MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY,FACTION
Aura,Blackrock Mountain,Moira Barbabronzea,Impedisce l&sbquo;uso del Potere Eroe di Thaurissan.Attacca solo i servitori con <b>Provocazione</b>.,1,2,3,Minion,BRMA03_3,,,,,,,,,,,
,Blackrock Mountain,MORITE INSETTI!,<b>Potere Eroe</b>Infligge 8 danni a un nemico casuale. DUE VOLTE.,,2,,Hero Power,BRM_027pH,,,,,,,,,,,
,Blackrock Mountain,MUORI INSETTO!,<b>Potere Eroe</b>Infligge 8 danni a un nemico casuale.,,2,,Hero Power,BRM_027p,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,MUORI INSETTO!,Infligge $8 danni a un nemico casuale.,,0,,Spell,BRMA13_8,,,,,,,,,,,
,Blackrock Mountain,Mutazione,<b>Potere Eroe</b>Scarta una carta casuale.,,1,,Hero Power,BRMA12_10,,,,,,,,,,,
,Blackrock Mountain,Mutazione Cromatica,Trasforma un servitore in un Dragoide Cromatico 2/2.,,2,,Spell,BRMA12_8,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2H,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3H,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA17_2,,,,,,,,,,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMC_02,,,,,,,,,,,
Battlecry,Blackrock Mountain,Nefarian,<b>Grido di Battaglia:</b> mette nella tua mano 2 Magie casuali della classe dell&sbquo;avversario.,8,9,8,Minion,BRM_030,True,Ruan Jia,Legendary,Può essere creata dopo aver completato il Laboratorio Segreto.,Lo chiamano &bdquo;Ala Nera&bdquo; perché è un Drago Nero... e ha delle ali.,Sbloccata sconfiggendo tutti i boss del Massiccio Roccianera!,,True,Dragon,,
,Blackrock Mountain,Nefarian,,,,30,Hero,BRMA13_3,,,,,,,,,,,
,Blackrock Mountain,Nefarian Attacca!,<b>Potere Eroe</b>Nefarian fa piovere fuoco dall&sbquo;alto.,,0,,Hero Power,BRMA17_8H,,,,,,,,,,,
,Blackrock Mountain,Nefarian Attacca!,<b>Potere Eroe</b>Nefarian fa piovere fuoco dall&sbquo;alto.,,0,,Hero Power,BRMA17_8,,,,,,,,,,,
,Blackrock Mountain,Onyxia,,,,30,Hero,BRMA17_3H,,,,,,,,,,,
,Blackrock Mountain,Onyxia,,,,15,Hero,BRMA17_3,,,,,,,,,,,
Taunt,Blackrock Mountain,Orco Vecchia Orda,<b>Provocazione</b>,1,1,1,Minion,BRMA09_3t,,,,,,,,,,,
Taunt,Blackrock Mountain,Orco Vecchia Orda,<b>Provocazione</b>,2,1,2,Minion,BRMA09_3Ht,,,,,,,,,,,
,Blackrock Mountain,Potere del Fuoco,<b>Potere Eroe</b>Infligge 30 danni.,,2,,Hero Power,BRMA03_2,,,,,,,,,,,
,Blackrock Mountain,Potere Draconico,Statistiche aumentate.,,,,Enchantment,BRM_020e,,,,,,,,,,,
,Blackrock Mountain,Pozione del Vigore,+2/+2.,,,,Enchantment,BRMA15_2He,,,,,,,,,,,
,Blackrock Mountain,Prendeteli!,Evoca quattro Nani 1/1 con <b>Provocazione</b>.,,3,,Spell,BRMA01_4,,,,,,,,,,,
Taunt,Blackrock Mountain,Prototipo Cromatico,<b>Provocazione</b>,1,2,4,Minion,BRMA17_7,,,,,,,,,,,
,Blackrock Mountain,Ragnaros,,,,8,Hero,BRM_027h,,,,,,,,,,,
,Blackrock Mountain,Ragnaros,,,,30,Hero,BRMA06_3H,,,,,,,,,,,
,Blackrock Mountain,Ragnaros,,,,30,Hero,BRMC_01,,,,,,,,,,,
,Blackrock Mountain,Ragnaros,,,,8,Hero,BRMA06_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Rend Manonera,<b>Grido di Battaglia:</b> se hai un Drago in mano distrugge un servitore <b>Leggendario</b>.,8,7,4,Minion,BRM_029,True,Alex Horley,Legendary,Può essere creata dopo aver completato i Bastioni di Roccianera.,Rend crede di essere il Vero Capoguerra dell&sbquo;Orda e continua a modificare la pagina di Wikipedia &bdquo;Capoguerra dell&sbquo;Orda&bdquo; inserendo la sua foto.,Sbloccata completando i Bastioni di Roccianera.,,True,,,
,Blackrock Mountain,Rend Manonera,,,,30,Hero,BRMA09_1,,,,,,,,,,,
,Blackrock Mountain,Rend Manonera,,,,30,Hero,BRMA09_1H,,,,,,,,,,,
,Blackrock Mountain,Resurrezione,Evoca un tuo servitore casuale morto in questa partita.,,2,,Spell,BRM_017,True,Luke Mancini,Rare,Può essere creata dopo aver sconfitto l&sbquo;Imperatore Thaurissan nei Sotterranei di Roccianera.,Entrando nel sotterraneo vidi il cadavere di un avventuriero. Prima di morire aveva scritto col sangue le sue due ultime parole: &bdquo;rez plz&bdquo;.,Sbloccata sconfiggendo l&sbquo;Imperatore Thaurissan nei Sotterranei di Roccianera.,Priest,,,,
,Blackrock Mountain,Ricarica,Ricarica tutti i Cristalli di Mana vuoti.,,0,,Spell,BRMA14_11,,,,,,,,,,,
,Blackrock Mountain,Rivincita,Infligge $1 |4(dannodanni) a TUTTI i servitori. Se il tuo eroe ha Salute pari a 12 o inferiore infligge $3 danni.,,2,,Spell,BRM_015,True,Ben Olson,Rare,Può essere creata dopo aver sconfitto Alafurion nella Fortezza dell&sbquo;Ala Nera.,Molto meglio di Esplosione Arcana. E poiché Assalto Mortale è peggiore di Palla di Fuoco è la giusta rivincita dei Guerriero sul Mago.,Sbloccata sconfiggendo Alafurion nella Fortezza dell&sbquo;Ala Nera.,Warrior,,,,
,Blackrock Mountain,Roccia Forte,Evoca 3 Fedeli del Fuoco. <b>Sovraccarico:</b> (2),,3,,Spell,BRMA04_4H,,,,,,,,,,,
,Blackrock Mountain,Roccia Forte,Evoca 3 Fedeli del Fuoco. <b>Sovraccarico:</b> (2),,3,,Spell,BRMA04_4,,,,,,,,,,,
Taunt,Blackrock Mountain,Rodimagma,<b>Provocazione</b>,10,5,2,Minion,BRMA14_12,,,Legendary,,,,,True,,,
,Blackrock Mountain,Salone della Covata,<b>Potere Eroe</b>+1 Salute a ogni Uovo Corrotto poi ne evoca uno.,,1,,Hero Power,BRMA10_3,,,,,,,,,,,
,Blackrock Mountain,Salone della Covata,<b>Potere Eroe</b>+1 Salute a ogni Uovo Corrotto poi ne evoca uno.,,0,,Hero Power,BRMA10_3H,,,,,,,,,,,
,Blackrock Mountain,Sangue di Drago,+1/+1.,,,,Enchantment,BRM_033e,,,,,,,,,,,
,Blackrock Mountain,Servitori d&sbquo;Ossa,<b>Potere Eroe</b>Evoca due Costrutti d&sbquo;Ossa 4/2.,,2,,Hero Power,BRMA17_5H,,,,,,,,,,,
,Blackrock Mountain,Servitori d&sbquo;Ossa,<b>Potere Eroe</b>Evoca due Costrutti d&sbquo;Ossa 2/1.,,2,,Hero Power,BRMA17_5,,,,,,,,,,,
,Blackrock Mountain,Sguardo Intenso,<b>Potere Eroe Passivo</b>Tutte le carte costano (1) Mana. Hai al massimo 2 Cristalli di Mana e l&sbquo;avversario 1.,,,,Hero Power,BRMA08_2H,,,,,,,,,,,
,Blackrock Mountain,Sguardo Intenso,<b>Potere Eroe Passivo</b>Tutte le carte costano (1) Mana. I giocatori hanno al massimo 1 Cristallo di Mana.,,,,Hero Power,BRMA08_2,,,,,,,,,,,
,Blackrock Mountain,Soffio del Drago,Infligge $4 danni. Costa (1) Mana in meno per ogni servitore morto in questo turno.,,5,,Spell,BRM_003,True,Mauricio Herrera,Common,Può essere creata dopo aver completato la Sfida di Classe del Mago nel Massiccio Roccianera.,Certo i draghi soffiano fuoco ma sapevi che possono soffiare anche zucchero filato? Purtroppo non è facile convincerli a farlo.,Sbloccata completando la Sfida di Classe del Mago nel Massiccio Roccianera.,Mage,,,,
,Blackrock Mountain,Soffio Sonico,Infligge $3 danni a un servitore. +3 Attacco alla tua arma.,,4,,Spell,BRMA16_3,,,,,,,,,,,
,Blackrock Mountain,Soffio Sonico,+3 Attacco.,,,,Enchantment,BRMA16_3e,,,,,,,,,,,
,Blackrock Mountain,Spazzata di Coda,Infligge $4 danni.,,4,,Spell,BRM_030t,,,,,,,,,,,
Taunt,Blackrock Mountain,Spettatore Ferroscuro,<b>Provocazione</b>,1,1,1,Minion,BRMA02_2t,,,,,,,,,,,
Battlecry,Blackrock Mountain,Tecnica Ala Nera,<b>Grido di Battaglia:</b> +1/+1 se hai un Drago in mano.,2,3,4,Minion,BRM_033,True,Matt Dixon,Common,Può essere creata dopo aver sconfitto il Barone Geddon nel Nucleo Ardente.,Questa è la persona giusta da chiamare quando vuoi potenziare il tuo drago. Non fidarti dei tecnici non certificati!,Sbloccata sconfiggendo il Barone Geddon nel Nucleo Ardente.,,,,,Neutral
,Blackrock Mountain,TEMPO DI SCHIACCIARE,Infligge $5 danni a un nemico casuale. Fornisce 5 Armatura.,,4,,Spell,BRMA07_3,,,,,,,,,,,
,Blackrock Mountain,Thaurissan,Alla fine del tuo turno riduce il costo delle carte nella tua mano di (1) Mana.,5,6,5,Minion,BRM_028,True,Wayne Reynolds,Legendary,Può essere creata dopo aver completato i Sotterranei di Roccianera.,Il suo secondo più grande rimorso è stato evocare un crudele Signore del Fuoco che ha schiavizzato la sua intera razza.,Sbloccata completando i Sotterranei di Roccianera.,,True,,,
,Blackrock Mountain,Thaurissan,,,,30,Hero,BRMA03_1H,,,,,,,,,,,
,Blackrock Mountain,Thaurissan,,,,30,Hero,BRMA03_1,,,,,,,,,,,
,Blackrock Mountain,Ti ho sentito...,Attacco aumentato.,,,,Enchantment,BRMA16_5e,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,Tiro Rapido,Infligge $3 danni. Se la tua mano è vuota pesca una carta.,,2,,Spell,BRM_013,True,Jonboy Meyers,Common,Può essere creata dopo aver completato la Sfida di Classe del Cacciatore nel Massiccio Roccianera.,Ian Solo ha sparato per primo.,Sbloccata completando la Sfida di Classe del Cacciatore nel Massiccio Roccianera.,Hunter,,,,
,Blackrock Mountain,Toxitron,All&sbquo;inizio del tuo turno infligge 1 danno a TUTTI gli altri servitori.,3,1,3,Minion,BRMA14_5,,,Legendary,,,,,True,Mech,,
,Blackrock Mountain,Toxitron,All&sbquo;inizio del tuo turno infligge 1 danno a TUTTI gli altri servitori.,4,1,4,Minion,BRMA14_5H,,,Legendary,,,,,True,Mech,,
Taunt,Blackrock Mountain,Treant Vulcanico,<b>Provocazione</b>. Costa (1) Mana in meno per ogni servitore morto in questo turno.,7,9,8,Minion,BRM_009,True,Trent Kaniuga,Rare,Può essere creata dopo aver completato la Sfida di Classe del Druido nel Massiccio Roccianera.,Sua madre gli diceva sempre di non eruttare dopo aver mangiato.,Sbloccata completando la Sfida di Classe del Druido nel Massiccio Roccianera.,Druid,,,,
Windfury,Blackrock Mountain,Turbine di Cenere,<b>Furia del Vento</b>,4,0,5,Minion,BRMA13_7,,,,,,,,,,,
Taunt,Blackrock Mountain,Ubriacone,<b>Provocazione</b>,1,1,1,Minion,BRMA01_4t,,,,,,,,,,,
,Blackrock Mountain,Uovo Corrotto,Quando raggiunge 4 o più Salute si schiude.,0,1,1,Minion,BRMA10_4,,,,,,,,,,,
,Blackrock Mountain,Uovo Corrotto,Quando raggiunge 5 o più Salute si schiude.,0,1,3,Minion,BRMA10_4H,,,,,,,,,,,
,Blackrock Mountain,Uovo di Drago,Quando subisce danni evoca un Draghetto 2/1.,0,1,2,Minion,BRM_022,True,Jaemin Kim,Rare,Può essere creata dopo aver sconfitto Rend Manonera nei Bastioni di Roccianera.,Considerali dei proiettili per la tua arma sparadraghi.,Sbloccata sconfiggendo Rend Manonera nei Bastioni di Roccianera.,,,,,
,Blackrock Mountain,Vaelastrasz il Corrotto,,,,30,Hero,BRMA11_1,,,,,,,,,,,
,Blackrock Mountain,Vaelastrasz il Corrotto,,,,30,Hero,BRMA11_1H,,,,,,,,,,,
,Blackrock Mountain,Vecchia Orda,<b>Potere Eroe</b>Evoca due Orchi 1/1 con <b>Provocazione</b>. Ottiene un nuovo Potere Eroe.,,2,,Hero Power,BRMA09_3,,,,,,,,,,,
,Blackrock Mountain,Vecchia Orda,<b>Potere Eroe</b>Evoca due Orchi 2/2 con <b>Provocazione</b>. Ottiene un nuovo Potere Eroe.,,2,,Hero Power,BRMA09_3H,,,,,,,,,,,
,Blackrock Mountain,Veglia Solenne,Pesca 2 carte. Costa (1) Mana in meno per ogni servitore morto in questo turno.,,5,,Spell,BRM_001,True,Jaime Jones,Common,Può essere creata dopo aver completato la Sfida di Classe del Paladino nel Massiccio Roccianera.,Ogni anno la gente si raduna davanti al Massiccio Roccianera per ricordare chi si è gettato nella lava sotto l&sbquo;effetto di Controllo Mentale.,Sbloccata completando la Sfida di Classe del Paladino nel Massiccio Roccianera.,Paladin,,,,
,Blackrock Mountain,Vera Forma,<b>Potere Eroe</b>Che i giochi abbiano inizio!,,1,,Hero Power,BRMA13_2,,,,,,,,,,,
,Blackrock Mountain,Vera Forma,<b>Potere Eroe</b>Che i giochi abbiano inizio!,,1,,Hero Power,BRMA13_2H,,,,,,,,,,,
,Blackrock Mountain,Vero Capoguerra,Distrugge un servitore Leggendario.,,1,,Spell,BRMA09_6,,,,,,,,,,,
,Blackrock Mountain,Victor Nefarius,,,,30,Hero,BRMA13_1H,,,,,,,,,,,
,Blackrock Mountain,Victor Nefarius,,,,30,Hero,BRMA13_1,,,,,,,,,,,
,Blackrock Mountain,Vigore del Crepuscolo,Salute aumentata.,,,,Enchantment,BRM_004e,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Vigore del Drago,Costa (3) Mana in meno per questo turno.,,,,Enchantment,BRM_003e,,,,,,,Mage,,,,
