MECHANICS,SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,FACTION,RARITY,HEALTH,ARTIST,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,INPLAYTEXT,RACE
,Basic,Martello dell&sbquo;Ira,Infligge $3 danni. Pesca una carta.,Spell,CS2_094,Paladin,True,Neutral,Free,,Efrem Palacios,,4,Sbloccata al livello 32.,Un buon Paladino ha molti attrezzi a sua disposizione: Martello dell&sbquo;Ira Pinze della Vendetta Incudine della Giustizia...,Sbloccata al livello 1.,,,
Battlecry,Basic,Melma delle Paludi,<b>Grido di Battaglia:</b> distrugge l&sbquo;arma dell&sbquo;avversario.,Minion,EX1_066,,True,Alliance,Common,2,Chris Rahn,3,2,Sbloccata al livello 57 del Ladro.,Le melme amano il flamenco. Non chiederti il perché.,,,,
Morph,Basic,Metamorfosi,Trasformato in una Pecora 1/1.,Enchantment,CS2_022e,Mage,,Neutral,Common,,,,,,,,,,
,Basic,Metamorfosi,Trasforma un servitore in una Pecora 1/1.,Spell,CS2_022,Mage,True,Neutral,Free,,Vance Kovacs,,4,Sbloccata al livello 47.,Qui ci andava un gioco di parole ma non è uscito beee-ne.,Sbloccata al livello 1.,,,
,Basic,Mietimorte d&sbquo;Arcanite,,Weapon,CS2_112,Warrior,True,Neutral,Common,,Stefan Kopinski,5,5,Sbloccata al livello 51.,Davvero dovresti aver paura della morte.,Sbloccata al livello 10.,2,,
,Basic,Minidrago Meccanico,,Minion,EX1_025t,,,Neutral,Common,1,,2,1,,,,,,Mech
Taunt,Basic,Misha,<b>Provocazione</b>,Minion,NEW1_032,Hunter,,,Common,4,,4,3,,,,,,Beast
ImmuneToSpellpower,Basic,Missili Arcani,Infligge $3 danni suddivisi casualmente tra tutti i nemici.,Spell,EX1_277,Mage,True,Neutral,Free,,Warren Mahy,,1,Sbloccata al livello 32.,Visto che sei un Mago potentissimo ci si aspetterebbe un po&sbquo; di più da te sul controllo dei Missili Arcani.,Sbloccata al livello 1.,,,
,Basic,Mlarggragllabl!,+1 Attacco.,Enchantment,EX1_508o,,,,,,,,,,,,,,
,Basic,Moneta,Fornisce 1 Cristallo di Mana solo per questo turno.,Spell,GAME_005,,,,,,,,,,,,,,
,Basic,Moneta,,Enchantment,GAME_005e,,,,,,,,,,,,,,
Charge,Basic,Murloc Branchiazzurra,<b>Carica</b>,Minion,CS2_173,,True,Neutral,Common,1,Jakub Kasper,2,2,Sbloccata al livello 53 del Paladino.,Vuole solo un abbraccio. Un molliccio... viscido... abbraccio.,,,,Murloc
Battlecry,Basic,Murloc Cacciamaree,<b>Grido di Battaglia:</b> evoca un Murloc Esploratore 1/1.,Minion,EX1_506,,True,Neutral,Common,1,Dan Scott,2,2,Sbloccata al livello 53 del Ladro.,&bdquo;Death will rise from the tides!&bdquo; - I Am Murloc,,,,Murloc
,Basic,Murloc Esploratore,,Minion,EX1_506a,,,Neutral,Common,1,,1,0,,,,,,Murloc
,Basic,Murloc Incursore,,Minion,CS2_168,,True,Alliance,Free,1,Dan Scott,2,1,Sbloccata al livello 51 del Sacerdote.,Mrrraggglhlhghghlgh mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!,,,,Murloc
,Basic,Mutaforma,<b>Potere Eroe</b>+1 Attacco per questo turno e 1 Armatura.,Hero Power,CS2_017,Druid,,Neutral,Free,,,,2,,,,,,
,Basic,NOOOOOOOOOOOO,Per qualche ragione la carta che hai usato è stata cancellata. Ecco prendine un&sbquo;altra!,Spell,GAME_006,,,,,,,,2,,Anche la descrizione è stata cancellata. Maledizione.,,,,
,Basic,Ogre Rocciadura,,Minion,CS2_200,,True,,Free,7,Brian Despain,6,6,Sbloccata al livello 51 dello Stregone.,&bdquo;IO HA OTTIME CAPACITÀ PER COSTO!&bdquo;,,,,
Taunt,Basic,Ombra del Vuoto,<b>Provocazione</b>,Minion,CS2_065,Warlock,True,Neutral,Free,3,Alex Horley Orlandelli,1,1,Sbloccata al livello 36.,Si dice che vedano il bicchiere sempre mezzo... vuoto.,Sbloccata al livello 1.,,,Demon
Aura,Basic,Oracolo Scagliasalda,TUTTI gli altri Murloc hanno +1 Attacco.,Minion,EX1_508,,True,Neutral,Common,1,Phil Saunders,1,1,Sbloccata al livello 53 dello Stregone.,Questi sono i Murloc intelligenti. Non che cambi molto da quelli normali...,,,,Murloc
Battlecry,Basic,Oratore del Vento,<b>Grido di Battaglia:</b> fornisce <b>Furia del Vento</b> a un altro tuo servitore.,Minion,EX1_587,Shaman,True,Neutral,Common,3,Vance Kovacs,3,4,Sbloccata al livello 45.,C&sbquo;è qualcosa di peggio di un Oratore del Vento con l&sbquo;alitosi?,Sbloccata al livello 8.,,,
,Basic,Ordine di Morte,Infligge $3 danni. Se controlli una Bestia infligge $5 danni.,Spell,EX1_539,Hunter,True,Neutral,Common,,Gabe from Penny Arcade,,3,Sbloccata al livello 49.,&bdquo;Muori!&bdquo; ordinò.,Sbloccata al livello 10.,,,
,Basic,Palla di Fuoco,Infligge $6 danni.,Spell,CS2_029,Mage,True,Neutral,Free,,Ralph Horsley,,4,Sbloccata al livello 44.,Questo incantesimo è perfetto per bruciare le cose. Se cerchi una magia per abbrustolire o semplicemente scaldare sei nel posto sbagliato.,Sbloccata al livello 1.,,,
,Basic,Parola d&sbquo;Ombra: Dolore,Distrugge un servitore con Attacco pari a 3 o inferiore.,Spell,CS2_234,Priest,True,,Free,,Raymond Swanland,,2,Sbloccata al livello 36.,Un miglioramento rispetto all&sbquo;incantesimo lanciato da molti accoliti novizi: &bdquo;Parola d&sbquo;Ombra: Fastidio&bdquo;.,Sbloccata al livello 1.,,,
,Basic,Parola d&sbquo;Ombra: Morte,Distrugge un servitore con Attacco pari a 5 o superiore.,Spell,EX1_622,Priest,True,,Common,,Raymond Swanland,,3,Sbloccata al livello 43.,Se manca il bersaglio lascia una cicatrice a forma di saetta sulla sua fronte.,Sbloccata al livello 8.,,,
,Basic,Parola del Potere: Scudo,+2 Salute.,Enchantment,CS2_004e,Priest,,,,,,,,,,,,,
,Basic,Parola del Potere: Scudo,+2 Salute a un servitore. Pesca una carta.,Spell,CS2_004,Priest,True,Neutral,Free,,Jessica Jung,,1,Sbloccata al livello 47.,Certo la protezione aggiuntiva è una bella cosa ma lo scudo riduce parecchio la visibilità.,Sbloccata al livello 1.,,,
Taunt,Basic,Patriarca Mantoargenteo,<b>Provocazione</b>,Minion,CS2_127,,True,Horde,Common,4,Daren Bader,1,3,Sbloccata al livello 53 del Guerriero.,Si comporta come se comandasse lui ma in realtà è la Matriarca Mantoargenteo che manda avanti la baracca.,,,,Beast
,Basic,Patto Sacrificale,Distrugge un Demone. Rigenera #5 Salute al tuo eroe.,Spell,NEW1_003,Warlock,True,,Common,,Jim Nelson,,0,Sbloccata al livello 15.,Questo è il motivo per cui i Demoni non diventano mai amici degli Stregoni.,Sbloccata al livello 8.,,,
,Basic,Pecora,,Minion,CS2_tk1,,,Neutral,Common,1,,1,0,,,,,,Beast
,Basic,Potenziamento Armatura,<b>Potere Eroe</b>Ottiene 2 Armatura.,Hero Power,CS2_102,Warrior,,Neutral,Free,,,,2,,,,,,
,Basic,Potenziato,+1 Attacco dal Capoincursione.,Enchantment,CS2_122e,,,,,,,,,,,,,,
,Basic,Presenza del Maestro,+2/+2 e <b>Provocazione</b>.,Enchantment,DS1_070o,Hunter,,,,,,,,,,,,,
,Basic,Pugnalata alle Spalle,Infligge $2 danni a un servitore non danneggiato.,Spell,CS2_072,Rogue,True,Neutral,Free,,Michael Sutfin,,0,Sbloccata al livello 36.,È interessante vedere quanto spesso gridando &bdquo;Guarda là!&bdquo; induca anche i nemici a girarsi.,Sbloccata al livello 1.,,,
,Basic,Punizione Sacra,Infligge $2 danni.,Spell,CS1_130,Priest,True,Neutral,Free,,Steve Ellis,,1,Sbloccata al livello 23.,Non importa quanto tu sia pio. Tutti hanno bisogno ogni tanto di una punizione.,Sbloccata al livello 1.,,,
Taunt,Basic,Rana,<b>Provocazione</b>,Minion,hexfrog,,,Neutral,Common,1,,0,0,,,,,,Beast
,Basic,Raptor Codarossa,,Minion,CS2_172,,True,Horde,Free,2,Dan Brereton,3,2,Sbloccata al livello 57 del Cacciatore.,&bdquo;Uccidi 30 Raptor.&bdquo; - Hemet Nesingwary,,,,Beast
,Basic,Recluta Mano d&sbquo;Argento,,Minion,CS2_101t,Paladin,,,Free,1,,1,1,,,,,,
,Basic,Rexxar,,Hero,HERO_05,Hunter,True,Neutral,Free,30,,,,,,,,,
,Basic,Rinforzo,<b>Potere Eroe</b>Evoca una Recluta Mano d&sbquo;Argento 1/1.,Hero Power,CS2_101,Paladin,,Neutral,Free,,,,2,,,,,,
,Basic,Rinoceronte Furioso,Le tue Bestie hanno <b>Carica</b>.,Minion,DS1_178,Hunter,True,Neutral,Common,5,Lars Grant-West,2,5,Sbloccata al livello 43.,I rinoceronti furiosi della tundra sono spesso confusi con i kodo. O forse mi sto confondendo?,Sbloccata al livello 8.,,,Beast
,Basic,Risucchio di Vita,Infligge $2 danni. Rigenera #2 Salute al tuo eroe.,Spell,CS2_061,Warlock,True,Neutral,Free,,Alex Horley Orlandelli,,3,Sbloccata al livello 45.,&bdquo;Ti ho appena risucchiato un anno di vita.&bdquo;,Sbloccata al livello 1.,,,
,Basic,Ruggito Selvaggio,+2 Attacco ai tuoi personaggi per questo turno.,Spell,CS2_011,Druid,True,Neutral,Common,,Grace Liu,,3,Sbloccata al livello 43.,Cosa esprimono i loro ruggiti? Nessuno può dirlo ma sembra quasi &bdquo;Oh Long Johnson&bdquo;. Probabilmente non si tratta di questo.,Sbloccata al livello 4.,,,
OneTurnEffect,Basic,Ruggito Selvaggio,+2 Attacco per questo turno.,Enchantment,CS2_011o,Druid,,,,,,,,,,,,,
,Basic,Scatto,Pesca 4 carte.,Spell,CS2_077,Rogue,True,Neutral,Common,,James Zhang,,7,Sbloccata al livello 49.,&bdquo;Sono sprecato per la corsa campestre! Noi Ladri siamo scattisti nati! Micidiali sulle brevi distanze!&bdquo; - un Nano Ladro,Sbloccata al livello 10.,,,
,Basic,Scheletro,<b></b>,Minion,skele11,,,Neutral,Common,1,,1,1,,,,,,
Taunt,Basic,Scorta Goblin,<b>Provocazione</b>,Minion,CS2_187,,True,Horde,Common,4,Matt Cavotta,5,5,Sbloccata al livello 55 dello Sciamano.,Puoi ingaggiarlo... finché qualcuno non gli offre abbastanza oro per farlo rivoltare contro di te.,,,,
,Basic,Scudo Saldo,Fornisce 5 Armatura. Pesca una carta.,Spell,EX1_606,Warrior,True,Neutral,Common,,Michael Komarck,,3,Sbloccata al livello 28.,Gli scudi furono inventati perché una Faccia Salda non serviva a un granché.,Sbloccata al livello 8.,,,
,Basic,Segugio del Nucleo,,Minion,CS2_201,,True,,Common,5,E.M. Gist,9,7,Sbloccata al livello 51 del Cacciatore.,Non puoi addomesticare un Segugio del Nucleo. Al massimo puoi addestrarlo a mangiare qualcun altro.,,,,Beast
,Basic,Sfregio,+2 Attacco al tuo eroe per questo turno e 2 Armatura.,Spell,CS2_005,Druid,True,Neutral,Free,,Dany Orizio,,1,Sbloccata al livello 32.,Se vuoi distrarre un Druido in Forma Felina basta agitargli un Laser Gnomesco sotto il muso.,Sbloccata al livello 1.,,,
OneTurnEffect,Basic,Sfregio,+2 Attacco per questo turno.,Enchantment,CS2_005o,Druid,,,,,,,,,,,,,
,Basic,Sguardo dal Cielo,+1 Attacco da Leokk.,Enchantment,NEW1_033o,Hunter,,,,,,,,,,,,,
Battlecry,Basic,Signore dei Lupi Bianchi,<b>Grido di Battaglia:</b> ottiene +1/+1 per ogni altro tuo servitore sul campo di battaglia.,Minion,CS2_226,,True,Horde,Common,4,James Ryman,4,5,Sbloccata al livello 53 dello Sciamano.,I Lupi Bianchi sono perennemente in guerra con i Piccatonante per il controllo della Valle d&sbquo;Alterac. Ogni tentativo di riappacificazione è fallito poiché il Capitano Galvangar ha sempre ucciso il mediatore.,,,,
,Basic,Spadone di Verargento,Quando il tuo eroe attacca rigenera 2 Salute.,Weapon,CS2_097,Paladin,True,Neutral,Common,,Ryan Sook,4,4,Sbloccata al livello 40.,Trancia e affetta divinamente. Potresti anche usarlo per tagliarti le unghie ma io non lo farei se fossi in te.,Sbloccata al livello 2.,2,,
,Basic,Sparizione,Fa tornare TUTTI i servitori nella mano di coloro che li controllano.,Spell,NEW1_004,Rogue,True,,Common,,Sean O’Daniels,,6,Sbloccata al livello 23.,,Sbloccata al livello 8.,,,
,Basic,Spazzata,Infligge $4 danni a un nemico e $1 |4(dannodanni) a tutti gli altri nemici.,Spell,CS2_012,Druid,True,Neutral,Common,,Sean O’Daniels,,4,Sbloccata al livello 47.,Se un orso si alza in piedi e allarga le zampe significa che vuole spazzarti via... o abbracciarti. In ogni caso è meglio scappare!,Sbloccata al livello 8.,,,
,Basic,Spira Letale,Infligge $1 |4(dannodanni) a un servitore. Se il bersaglio muore pesca una carta.,Spell,EX1_302,Warlock,True,Neutral,Common,,Matt Gaser,,1,Sbloccata al livello 43.,Se le tue magie hanno la forma di orrendi teschi te lo meriti di pescare delle altre carte.,Sbloccata al livello 4.,,,
,Basic,Spirito Divino,Raddoppia la Salute di un servitore.,Spell,CS2_236,Priest,True,,Common,,Jim Pavelec,,2,Sbloccata al livello 28.,Doppia sfida doppio divertimento!,Sbloccata al livello 2.,,,
,Basic,Spirito Divino,Salute raddoppiata.,Enchantment,CS2_236e,Priest,,,,,,,,,,,,,
,Basic,Stendardo dei Lupi Bianchi,Statistiche aumentate.,Enchantment,CS2_226e,,,,,,,,,,,,,,
,Basic,Stilettata,Infligge $1 |4(dannodanni). Pesca una carta.,Spell,EX1_278,Rogue,True,Neutral,Common,,Alex Garner,,2,Sbloccata al livello 45.,I Ladri uccidono con stile-ttate.,Sbloccata al livello 6.,,,
Battlecry,Basic,Succube,<b>Grido di Battaglia:</b> scarta una carta casuale.,Minion,EX1_306,Warlock,True,Neutral,Free,3,Matt Dixon,4,2,Sbloccata al livello 40.,Indubbiamente essere uno Stregone ha i suoi vantaggi...,Sbloccata al livello 1.,,,Demon
,Basic,Tartarabbia dell&sbquo;Oasi,,Minion,CS2_119,,True,,Free,7,Ittoku,2,4,Sbloccata al livello 51 del Druido.,Ha un sogno: volare e sputare fuoco come il suo idolo. Non si realizzerà mai.,,,,Beast
Battlecry,Basic,Taumaturgo Vudù,<b>Grido di Battaglia:</b> rigenera 2 Salute.,Minion,EX1_011,,True,Horde,Free,1,Karl Richardson,2,1,Sbloccata al livello 55 del Ladro.,Il vudù sarà pure un&sbquo;arte incompresa ma <i>è</i> arte.,,,,
,Basic,Thrall,,Hero,HERO_02,Shaman,True,Neutral,Free,30,,,,,,,,,
,Basic,Tiro Arcano,Infligge $2 danni.,Spell,DS1_185,Hunter,True,Neutral,Free,,Luca Zontini,,1,Sbloccata al livello 32.,I Maghi un tempo evocavano le Frecce Arcane per i Cacciatori fin quando questi non impararono un po&sbquo; di magia. La conseguente crisi gettò Roccavento in una recessione economica.,Sbloccata al livello 1.,,,
,Basic,Tiro Multiplo,Infligge $3 danni a due servitori nemici casuali.,Spell,DS1_183,Hunter,True,Neutral,Free,,Benjamin Zhang,,4,Sbloccata al livello 36.,Non è una questione di qualità ma di quantità.,Sbloccata al livello 1.,,,
,Basic,Tiro Stabilizzato,<b>Potere Eroe</b>Infligge 2 danni all&sbquo;eroe nemico.,Hero Power,DS1h_292,Hunter,,Neutral,Free,,,,2,,,,,,
,Basic,Tocco Curativo,Rigenera #8 Salute.,Spell,CS2_007,Druid,True,Neutral,Free,,Cyril Van Der Haegen,,3,Sbloccata al livello 15.,8 Salute nessuna attesa.,Sbloccata al livello 1.,,,
AdjacentBuff|Aura,Basic,Totem del Fuoco,I servitori adiacenti hanno +2 Attacco.,Minion,EX1_565,Shaman,True,Neutral,Common,3,Jonathan Ryder,0,2,Sbloccata al livello 43.,I costruttori di totem utilizzano legni molto rari. Si mormora esistano totem fatti addirittura con i Treant Legnoferreo.,Sbloccata al livello 4.,,,Totem
Spellpower,Basic,Totem dell&sbquo;Aria,<b>+1 Danni Magici</b>,Minion,CS2_052,Shaman,,Neutral,Free,2,,0,1,,,,,,Totem
Taunt,Basic,Totem della Pietra,<b>Provocazione</b>,Minion,CS2_051,Shaman,,Neutral,Free,2,,0,1,,,,,,Totem
,Basic,Totem della Vita,Alla fine del tuo turno rigenera 1 Salute a tutti i tuoi servitori.,Minion,NEW1_009,Shaman,,,Free,2,,0,1,,,,,,Totem
,Basic,Totem delle Fiamme,,Minion,CS2_050,Shaman,,Neutral,Free,1,,1,1,,,,,,Totem
,Basic,Tracciamento,Guarda le prime tre carte del tuo mazzo. Pescane una e scarta le altre.,Spell,DS1_184,Hunter,True,Neutral,Free,,Mauro Cascioli,,1,Sbloccata al livello 15.,Per il giocatore che non sa quale carta inserire nel proprio mazzo.,Sbloccata al livello 1.,,,
,Basic,Tramortimento,Fa tornare un servitore nemico nella mano dell&sbquo;avversario.,Spell,EX1_581,Rogue,True,Neutral,Free,,Scott Altmann,,2,Sbloccata al livello 40.,Le Ladre usano sempre Tramortimento sui loro compagni per costringerli a guardare i film romantici.,Sbloccata al livello 1.,,,
Taunt,Basic,Treant Legnoferreo,<b>Provocazione</b>,Minion,CS2_232,Druid,True,Neutral,Common,8,Dave Allsop,8,8,Sbloccata al livello 49.,Ti <i>sfido</i> ad attaccare Darnassus.,Sbloccata al livello 10.,,,
,Basic,Turbine,Infligge $1 |4(dannodanni) a TUTTI i servitori.,Spell,EX1_400,Warrior,True,Neutral,Common,,Jonboy Meyers,,1,Sbloccata al livello 32.,Il modo migliore per riconoscere un Guerriero veterano da un novellino è che quest&sbquo;ultimo grida &bdquo;Uuooooo&bdquo; quando esegue un Turbine.,Sbloccata al livello 6.,,,
,Basic,Ululato Furioso,+1 Attacco dal Lupo della Foresta.,Enchantment,DS1_175o,Hunter,,,,,,,,,,,,,
,Basic,Umiltà,Attacco pari a 1.,Enchantment,EX1_360e,Paladin,,Neutral,,,,,,,,,,,
,Basic,Umiltà,L&sbquo;Attacco di un servitore diventa pari a 1.,Spell,EX1_360,Paladin,True,Neutral,Common,,Daren Bader,,1,Sbloccata al livello 28.,Questa carta bagna qualsiasi cosa. Oh no aspetta quella è &bdquo;Umidità&bdquo;.,Sbloccata al livello 6.,,,
,Basic,Uther l&sbquo;Araldo della Luce,,Hero,HERO_04,Paladin,True,Neutral,Free,30,,,,,,,,,
,Basic,Valeera Sanguinar,,Hero,HERO_03,Rogue,True,Neutral,Free,30,,,,,,,,,
,Basic,Veleno Mortale,+2 Attacco alla tua arma.,Spell,CS2_074,Rogue,True,Neutral,Free,,Trevor Jacobs,,1,Sbloccata al livello 43.,I Ladri custodiscono gelosamente i segreti della creazione di veleni temendo che i Maghi possano utilizzarli nelle loro magie. Dardi Avvelenati? Pioggia di Veleno? Meglio evitare.,Sbloccata al livello 1.,,,
,Basic,Veleno Mortale,+2 Attacco.,Enchantment,CS2_074e,,,,,,,,,,,,,,
,Basic,Vendetta della Moneta,Cominciare per secondo rende più forte il tuo primo servitore.,Enchantment,GAME_003e,,,,,,,,,,,,,,
,Basic,Vendetta della Moneta,Cominciare per secondo rende più forte il tuo primo servitore.,Enchantment,GAME_003,,,,,,,,,,,,,,
,Basic,Ventaglio di Lame,Infligge $1 |4(dannodanni) a tutti i servitori nemici. Pesca una carta.,Spell,EX1_129,Rogue,True,Neutral,Common,,Andrew Robinson,,3,Sbloccata al livello 29.,Non è consigliabile usarlo per rinfrescarsi nelle giornate più afose.,Sbloccata al livello 4.,,,
,Basic,Vigore di Roccavento,+1/+1 dal Campione di Roccavento.,Enchantment,CS2_222o,,,,,,,,,,,,,,
,Basic,Vigore Totemico,+2 Salute.,Enchantment,EX1_244e,Shaman,,,,,,,,,,,,,
,Basic,Vigore Totemico,+2 Salute ai tuoi Totem.,Spell,EX1_244,Shaman,True,Neutral,Common,,Trent Kaniuga,,0,Sbloccata al livello 28.,La distruzione dei totem non è più un&sbquo;attività ricreativa.,Sbloccata al livello 6.,,,
,Basic,Visione Mentale,Mette nella tua mano una copia di una carta casuale dalla mano dell&sbquo;avversario.,Spell,CS2_003,Priest,True,Neutral,Common,,Michael Komarck,,1,Sbloccata al livello 32.,So cosa hai fatto.,Sbloccata al livello 4.,,,
,Basic,Yeti di Ventofreddo,,Minion,CS2_182,,True,Neutral,Common,5,Mauro Cascioli,4,4,Sbloccata al livello 55 del Guerriero.,Ha sempre sognato di scendere dalla montagna e di vendere spaghetti di riso ma non ha mai avuto il coraggio di farlo.,,,,
