MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY,RACE
,Curse of Naxxramas,Sovraccarico,+2 Salute.,,,,Enchantment,NAX13_03e,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Spade Danzanti,<b>Rantolo di Morte:</b> l&sbquo;avversario pesca una carta.,4,3,4,Minion,FP1_029,True,Jon McConnell,Common,Può essere creata dopo aver sconfitto l&sbquo;Istruttore Razuvious nell&sbquo;Ala dei Combattenti.,C&sbquo;è una sola cosa che diciamo alla morte: non oggi!,Sbloccata sconfiggendo l&sbquo;Istruttore Razuvious nell&sbquo;Ala dei Combattenti.,,,,
Deathrattle,Curse of Naxxramas,Spora,<b>Rantolo di Morte:</b> +8 Attacco a tutti i servitori nemici.,0,0,1,Minion,NAX6_03t,,,,,,,,,,
Deathrattle|Taunt,Curse of Naxxramas,Sputafango,<b>Provocazione</b>. <b>Rantolo di Morte:</b> evoca una Melma 1/2 con <b>Provocazione</b>.,3,5,5,Minion,FP1_012,True,Nate Bowden,Rare,Può essere creata dopo aver sconfitto Loatheb nell&sbquo;Ala della Pestilenza.,Guai a infangare il loro nome!,Sbloccata sconfiggendo Loatheb nell&sbquo;Ala della Pestilenza.,,,,
Deathrattle,Curse of Naxxramas,Stalagg,<b>Rantolo di Morte:</b> se anche Feugen è morto in questa partita evoca Thaddius.,7,5,4,Minion,FP1_014,True,Dany Orizio,Legendary,Può essere creata dopo aver completato l&sbquo;Ala dei Costrutti.,Stalagg ha voluto scrivere la sua descrizione: &bdquo;STALAGG FORTISSIMO!&bdquo;,Sbloccata completando l&sbquo;Ala dei Costrutti.,,True,,
,Curse of Naxxramas,Stalagg,,7,5,4,Minion,NAX13_05H,,,Legendary,,,,,True,,
Deathrattle,Curse of Naxxramas,Tessitela,<b>Rantolo di Morte:</b> mette nella tua mano una Bestia casuale.,1,1,1,Minion,FP1_011,True,Dan Brereton,Common,Può essere creata dopo aver completato la Sfida di Classe del Cacciatore a Naxxramas.,I bozzoli dei ragni sono come piccole piñata!,Sbloccata completando la Sfida di Classe del Cacciatore a Naxxramas.,Hunter,,,Beast
,Curse of Naxxramas,Thaddius,,,,45,Hero,NAX13_01H,,,,,,,,,,
,Curse of Naxxramas,Thaddius,,,,30,Hero,NAX13_01,,,,,,,,,,
,Curse of Naxxramas,Thaddius,,11,10,11,Minion,FP1_014t,,,Legendary,,,,,True,,
,Curse of Naxxramas,Thane Korth&sbquo;azz,Il tuo eroe è <b>Immune</b>.,2,3,7,Minion,NAX9_03H,,,,,,,,True,,
,Curse of Naxxramas,Thane Korth&sbquo;azz,Il tuo eroe è <b>Immune</b>.,1,3,7,Minion,NAX9_03,,,,,,,,True,,
,Curse of Naxxramas,Treant,,2,1,2,Minion,FP1_019t,,,,,,,Druid,,,
Deathrattle,Curse of Naxxramas,Uovo di Nerubiano,<b>Rantolo di Morte:</b> evoca un Nerubiano 4/4.,0,2,2,Minion,FP1_007,True,Justin Thavirat,Rare,Può essere creata dopo aver sconfitto Maexxna nell&sbquo;Ala degli Aracnidi.,Le uova sono un&sbquo;ottima fonte di proteine... e di Nerubiani.,Sbloccata sconfiggendo Maexxna nell&sbquo;Ala degli Aracnidi.,,,,
,Curse of Naxxramas,Veleno Necrotico,Distrugge un servitore.,,2,,Spell,NAX3_03,,,,,,,,,,
,Curse of Naxxramas,Vendetta,+3/+2.,,,,Enchantment,FP1_020e,,,,,,,Paladin,,,
,Curse of Naxxramas,Zaffirion,,,,30,Hero,NAX14_01,,,,,,,,,,
,Curse of Naxxramas,Zaffirion,,,,45,Hero,NAX14_01H,,,,,,,,,,
