SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,COST,FLAVOR,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,Ricercatore Svitato,<b>Grido di Battaglia:</b> pesca una carta. Se è un servitore lo trasforma in una Gallina.,Minion,GVG_092,,True,Jesper Esjing,Rare,3,Resta stupito anche lui quando gli capita di essere trasformato in gallina.,3,2,,Battlecry,,
Goblins vs Gnomes,Richiamo Ancestrale,Mette sul campo di battaglia un servitore casuale dalla mano di ogni giocatore.,Spell,GVG_029,Shaman,True,Dan Scott,Epic,4,Non sempre a rispondere sono i propri antenati...,,,,,,
Goblins vs Gnomes,Richiamo Famiglio,Pesca una carta. Se è una Bestia costa (4) Mana in meno.,Spell,GVG_017,Hunter,True,E.M. Gist,Rare,2,I veri Cacciatori addomesticano i Granchi Affamati.,,,,,,
Goblins vs Gnomes,Riciclaggio,Statistiche aumentate.,Enchantment,GVG_106e,,,,,,,,,,,,
Goblins vs Gnomes,Riciclo,Fa tornare un servitore nemico nel mazzo dell&sbquo;avversario.,Spell,GVG_031,Druid,True,Brandon Kitkouski,Rare,6,L&sbquo;idea di riciclo dei Druidi consiste nel mettere la plastica da una parte e i servitori nemici dall&sbquo;altra.,,,,,,
Goblins vs Gnomes,Riciclobot,Ottiene +2/+2 quando muore un tuo Robot.,Minion,GVG_106,,True,Zoltan Boros,Epic,5,I rottami di un robot sono un incredibile potenziamento per un altro!,1,5,Mech,,,
Goblins vs Gnomes,Riparabot Migliorato,<b>Grido di Battaglia:</b> +4 Salute a un altro tuo Robot.,Minion,GVG_083,Priest,True,Nutchapol Thitinunthakorn,Rare,5,In realtà è lo stesso modello della generazione precedente hanno solo aggiunto la parola &bdquo;migliorato&bdquo; e raddoppiato il prezzo.,5,5,Mech,Battlecry,,
Goblins vs Gnomes,Riparazioni!,+4 Salute.,Enchantment,GVG_069a,Priest,,,,,,,,,,,
Goblins vs Gnomes,Robobarbiere Goblin,<b>Grido di Battaglia:</b> +1 Attacco alla tua arma.,Minion,GVG_023,Rogue,True,Zolton Boros,Common,2,Ottimo per accorciare le basette o l&sbquo;altezza di qualcuno.,3,2,Mech,Battlecry,,
Goblins vs Gnomes,Robobomba,<b>Rantolo di Morte:</b> infligge da 1 a 4 danni a un nemico casuale.,Minion,GVG_110t,,,,,1,,1,1,Mech,Deathrattle,,
Goblins vs Gnomes,Roboevocatore,I tuoi Robot costano (1) Mana in meno.,Minion,GVG_006,,True,Phil Saunders,Common,2,Robot che evocano robot? E poi? Ciambelle che evocano ciambelle? Mmm...,2,3,Mech,Aura,,
Goblins vs Gnomes,Robot da Guerra,<b>Rabbia:</b> +1 Attacco.,Minion,GVG_051,Warrior,True,Tyler Walpole,Common,1,La produzione di massa dei Robot da Guerra è stata interrotta quando si è scoperto che erano stati realizzati in miniatura.,1,3,Mech,Enrage,,
Goblins vs Gnomes,Sabotaggio,Distrugge un servitore nemico casuale. <b>Combo:</b> inoltre distrugge l&sbquo;arma dell&sbquo;avversario.,Spell,GVG_047,Rogue,True,Dave Allsop,Epic,4,Da non confondere con il canottaggio.,,,,Combo,,
Goblins vs Gnomes,Sanitarizzatore,Quando viene curato un personaggio infligge 1 danno a un nemico casuale.,Minion,GVG_072,Priest,True,Dan Scott,Rare,2,Tirare i pugni è la sua funzione primaria. E anche quella secondaria.,2,3,Mech,,,
Goblins vs Gnomes,Sbuffaneve,<b>Congela</b> i personaggi che danneggia.,Minion,GVG_002,Mage,True,Gabor Szikszai,Common,2,Particolarmente apprezzato per tenere fresche le bibite.,2,3,Mech,Freeze,,
Goblins vs Gnomes,Scambio,Attacco e Salute scambiati dal Commutatore.,Enchantment,PART_006a,,,,,,,,,,,,
Goblins vs Gnomes,Schiacciamento,Distrugge un servitore. Se controlli un servitore danneggiato costa (4) Mana in meno.,Spell,GVG_052,Warrior,True,Michael Sutfin,Epic,7,A detta dei barbari usare questa carta su un nemico è la sensazione più bella che uno possa provare.,,,,,,
Goblins vs Gnomes,Sciamano Mazzaduna,<b>Furia del Vento</b>. Probabilità del 50% di attaccare il nemico sbagliato. <b>Sovraccarico:</b> (1),Minion,GVG_066,Shaman,True,José Ladrönn,Rare,4,Si limita a chiudere gli occhi e attaccare. Raarararrrarar!,5,4,,Windfury,,
Goblins vs Gnomes,Segatronchi di Sneed,<b>Rantolo di Morte:</b> evoca un servitore leggendario casuale.,Minion,GVG_114,,True,Christopher Moeller,Legendary,8,Quando Sneed venne sconfitto nelle Miniere della Morte il suo Segatronchi fu venduto all&sbquo;asta a un anonimo compratore (probabilmente Boccalarga).,5,7,Mech,Deathrattle,True,
Goblins vs Gnomes,Segatronchi Pilotato,<b>Rantolo di Morte:</b> evoca un servitore casuale da 2 Mana.,Minion,GVG_096,,True,Dan Scott,Common,4,Un tempo solo i Goblin pilotavano i Segatronchi. Al giorno d&sbquo;oggi ci puoi trovare dal Vate della Rovina al Ramingo della Sapienza Cho.,4,3,Mech,Deathrattle,,
Goblins vs Gnomes,Sensei di Ferro,Alla fine del tuo turno +2/+2 a un altro tuo Robot casuale.,Minion,GVG_027,Rogue,True,Brian Despain,Rare,3,Ai robot piace collaborare con lui perché sa come parlare la loro lingua. 01001000 01100001 01101001,2,2,Mech,,,
Goblins vs Gnomes,Sigillo della Luce,Rigenera #4 Salute al tuo eroe e gli fornisce +2 Attacco per questo turno.,Spell,GVG_057,Paladin,True,Jason Chan,Common,2,Ottimo per risparmiare sulla bolletta elettrica.,,,,ImmuneToSpellpower,,
Goblins vs Gnomes,Sigillo della Luce,+2 Attacco per questo turno.,Enchantment,GVG_057a,,,,,,,,,,OneTurnEffect,,
Goblins vs Gnomes,Signora del Dolore,Quando infligge danni rigenera Salute al tuo eroe pari ai danni inflitti.,Minion,GVG_018,Warlock,True,Carl Critchlow,Rare,2,Sua sorella è la Signora del Colore vende quadri.,1,4,Demon,,,
Goblins vs Gnomes,Signora dello Scudo,<b>Grido di Battaglia:</b> fornisce 5 Armatura.,Minion,GVG_053,Warrior,True,Alex Horley Orlandelli,Rare,6,Ha ben tre Portascudi al suo servizio.,5,5,,Battlecry,,
Goblins vs Gnomes,Sovralimentato,<b>+2 Danni Magici</b>.,Enchantment,GVG_123e,Mage,,,,,,,,,Spellpower,,
Goblins vs Gnomes,Sparachiodi,Quando lanci una Magia da 1 Mana mette nella tua mano un Robot casuale.,Minion,GVG_117,,True,Luke Mancini,Legendary,6,Sparachiodi al liceo è stato eletto il &bdquo;Più probabile a esplodere&bdquo;.,3,6,,,True,
Goblins vs Gnomes,Sparalame,+1 Attacco.,Enchantment,GVG_043e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Sparalame,<b>Grido di Battaglia:</b> +1 Attacco a un tuo servitore casuale.,Weapon,GVG_043,Hunter,True,Gino Whitehall,Common,2,Nulla risolve le controversie quanto una lama in fronte.,2,,,Battlecry,,2
Goblins vs Gnomes,Spargicenere,<b>+1 Danni Magici</b>,Minion,GVG_123,Mage,True,Phil Saunders,Rare,3,Il suo inventore ha avuto numerose dispute con il detentore dei brevetti del Segatronchi Goblin.,3,3,Mech,Spellpower,,
Goblins vs Gnomes,Sputafiamme,Infligge $4 danni a un servitore nemico casuale.,Spell,GVG_001,Mage,True,Mauricio Herrera,Common,2,Solo perché si chiama Sputafiamme non significa che sia riconoscibile dagli altri congegni Goblin.,,,,,,
Goblins vs Gnomes,Stretta di Mal&sbquo;Ganis,+2/+2 da Mal&sbquo;Ganis.,Enchantment,GVG_021e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Supercarro MAX,<b>Scudo Divino</b>,Minion,GVG_079,,True,Nutchapol Thitinunthakorn,Common,8,La fabbrica di Supercarri di Tanaris è riuscita a crearne solo due poi ha finito il budget.,7,7,Mech,Divine Shield,,
Goblins vs Gnomes,Supergolem Pilotato,<b>Rantolo di Morte:</b> evoca un servitore casuale da 4 Mana.,Minion,GVG_105,,True,Michael Phillippi,Epic,6,La vetta dell&sbquo;Ingegneria Goblin. Completo di massaggiapiedi e macchina per il caffè.,6,4,Mech,Deathrattle,,
Goblins vs Gnomes,Sussurri Fatui,+5/+5 e <b>Provocazione</b>.,Spell,GVG_041a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Sussurri Fatui,Evoca 5 Fuochi Fatui.,Spell,GVG_041b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Sussurri Fatui,+5/+5 e <b>Provocazione</b>.,Enchantment,GVG_041c,Druid,,,,,,,,,,,
Goblins vs Gnomes,Sussurri Fatui,<b>Scegli:</b> evoca 5 Fuochi Fatui <b>o</b> +5/+5 e <b>Provocazione</b> a un servitore.,Spell,GVG_041,Druid,True,Trent Kaniuga,Epic,6,I Fuochi Fatui piacciono a tutti tranne forse ad Archimonde...,,,,,,
Goblins vs Gnomes,Svitabulloni,Ha +2 Attacco fintanto che controlli un Robot.,Weapon,GVG_024,Rogue,True,Richard Wright,Epic,3,La scelta ideale per svitare i bulloni e annientare i Trogg!,1,,,Aura,,3
Goblins vs Gnomes,Tecnofluidificatore,+3 Attacco alla tua arma. <b>Combo:</b> inoltre +3 Attacco a un tuo servitore casuale.,Spell,GVG_022,Rogue,True,Den,Common,4,Per una lubrificazione senza eguali.,,,,Combo,,
Goblins vs Gnomes,Tecnofluidificatore,+3 Attacco.,Enchantment,GVG_022b,,,,,,,,,,,,
Goblins vs Gnomes,Tecnofluidificatore,+3 Attacco.,Enchantment,GVG_022a,,,,,,,,,,,,
Goblins vs Gnomes,Tecnoingegnere,Ha +2 Attacco fintanto che controlli un Robot.,Minion,GVG_013,,True,Trent Kaniuga,Common,1,Dopo un po&sbquo; non noti più gli ingranaggi e le ruote dentate. Tutto ciò che vedi sono robot carriragno raggi della morte...,1,2,,Aura,,
Goblins vs Gnomes,Tecnomago Goblin,<b>Grido di Battaglia:</b> se controlli un Robot infligge 4 danni suddivisi casualmente tra tutti i nemici.,Minion,GVG_004,Mage,True,Glenn Rane,Rare,4,Se non hai una bomba sotto mano generalmente basta lanciare una qualsiasi invenzione dei Goblin.,5,4,,Battlecry,,
Goblins vs Gnomes,Temprato,Statistiche aumentate.,Enchantment,GVG_027e,Rogue,,,,,,,,,,,
Goblins vs Gnomes,Testa di Mimiron,All&sbquo;inizio del tuo turno distrugge i tuoi Robot se ne controlli almeno 3 e forma V-07-TR-0N.,Minion,GVG_111,,True,Trent Kaniuga,Legendary,5,Non premere mai il Grosso Pulsante Rosso!,4,5,Mech,,True,
Goblins vs Gnomes,Tiro del Cobra,Infligge $3 danni a un servitore e all&sbquo;eroe nemico.,Spell,GVG_073,Hunter,True,Howard Lyon,Common,5,I Tiri del Cobra fanno molti più danni delle Coccole del Cobra.,,,,,,
Goblins vs Gnomes,Toshley,<b>Grido di Battaglia</b> e <b>Rantolo di Morte:</b> mette nella tua mano una carta <b>Gadget</b>.,Minion,GVG_115,,True,Zoltan & Gabor,Legendary,6,Ricordati dei convertitori energetici!,5,7,,Battlecry|Deathrattle,True,
Goblins vs Gnomes,Totem della Salute,Alla fine del tuo turno rigenera 4 Salute al tuo eroe.,Minion,GVG_039,Shaman,True,Guangjian Huang,Rare,2,Questi totem si trovano facilmente alla Fiera dello Sciamano il sabato mattina.,0,3,Totem,,,
Goblins vs Gnomes,Trasmutatore,<b>Grido di Battaglia:</b> trasforma un tuo servitore in un altro servitore casuale con lo stesso costo in Mana.,Minion,GVG_108,,True,Ben Olson,Epic,2,Sconsigliato per chi ha disturbi della personalità.,3,2,,Battlecry,,
Goblins vs Gnomes,Trogg Faucisalde,Ottiene +2 Attacco quando l&sbquo;avversario lancia una Magia.,Minion,GVG_068,,True,Chris Rahn,Common,4,Come il suo nome lascia immaginare è un&sbquo;ottima forchetta.,3,5,,,,
Goblins vs Gnomes,Trogg Scheggiadura,Ottiene +1 Attacco quando l&sbquo;avversario lancia una Magia.,Minion,GVG_067,,True,Peet Cooper,Common,2,L&sbquo;unica cosa peggiore di dover sentire l&sbquo;odore di un Trogg è essere costretti ad ascoltare le sue poesie.,2,3,,,,
Goblins vs Gnomes,Troggzor Terrestrator,Quando l&sbquo;avversario lancia una Magia evoca un Trogg Faucisalde.,Minion,GVG_118,,True,Mike Sass,Legendary,7,Continua a terrestratorare il mondo nonostante i tentativi per fermarlo.,6,6,,,True,
Goblins vs Gnomes,Truffatore Guercio,Ottiene <b>Furtività</b> quando giochi un Pirata.,Minion,GVG_025,Rogue,True,Danny Beck,Rare,2,Pensate cosa potrebbe fare se avesse entrambi gli occhi...,4,1,Pirate,,,
Goblins vs Gnomes,V-07-TR-0N,<b>Carica</b>. <b>Super Furia del Vento</b> <i>(può attaccare quattro volte in un turno)</i>.,Minion,GVG_111t,,,Chris Seaman,Legendary,8,,4,8,Mech,Charge,True,
Goblins vs Gnomes,Vigore di Rabberciopoli,+1/+1.,Enchantment,GVG_102e,,,,,,,,,,,,
Goblins vs Gnomes,Vigore di Zul&sbquo;Farrak,Attacco moltiplicato.,Enchantment,GVG_049e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Vilcannone,Alla fine del tuo turno infligge 2 danni a un servitore non Robot casuale.,Minion,GVG_020,Warlock,True,Matt Gaser,Rare,4,Sulla confezione c&sbquo;è scritto: &bdquo;Nuovo e migliorato con il 200% in più di viltà!&bdquo;.,3,5,Mech,,,
Goblins vs Gnomes,Vilrazziatore,Quando l&sbquo;avversario gioca una carta scarta le prime 3 carte del tuo mazzo.,Minion,GVG_016,,True,Zoltan & Gabor,Epic,5,Molto razziatore. Estremamente vile. Da non perdere.,8,8,Mech,,,
Goblins vs Gnomes,Vol&sbquo;jin,<b>Grido di Battaglia:</b> scambia la sua Salute con quella di un altro servitore.,Minion,GVG_014,Priest,True,Raymond Swanland,Legendary,5,Vol&sbquo;jin è un Cacciatore dell&sbquo;Ombra che è come un Sacerdote dell&sbquo;Ombra ma con molto vudù in più.,6,2,,Battlecry,True,
Goblins vs Gnomes,Yeti Meccanico,<b>Rantolo di Morte:</b> ogni giocatore ottiene una carta <b>Gadget</b>.,Minion,GVG_078,,True,Chris Seaman,Common,4,Gli Yeti della Gola di Ventofreddo sono sia una fonte di ispirazione che una fonte di materie prime.,4,5,Mech,Deathrattle,,
Goblins vs Gnomes,Zampalunga Perduto,,Minion,GVG_071,,True,Benjamin Zhang,Common,4,Ha un tatuaggio con scritto: &bdquo;Se mi trovi riportami a Mulgore&bdquo;.,5,4,Beast,,,
Goblins vs Gnomes,Zanne Metalliche,+2 Attacco.,Enchantment,GVG_048e,Hunter,,,,,,,,,,,
