MECHANICS,COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,RACE,INPLAYTEXT,DURABILITY
Battlecry,True,Classic,Krwawy rycerz,Neutral,<b>Okrzyk bojowy:</b> Wszyscy stronnicy tracą <b>Boską tarczę</b>. Otrzymuje +3/+3 za każdą straconą tarczę.,Trent Kaniuga,Epic,3,3,3,Krwawi rycerze otrzymują swoje święte moce ze Słonecznej Studni. Kąpiel w niej jest surowo wzbroniona!,Minion,EX1_590,,,,,
,,Classic,Krwawy szał,,Nie traci wytrzymałości.,,,,,,,Enchantment,EX1_411e,Warrior,,,,
,,Classic,Księżycowy ogień,Neutral,Zadaj 2 pkt. obrażeń.,,,,,,,Spell,EX1_166a,Druid,,,,
Battlecry,True,Classic,Łamacz zaklęć,Horde,<b>Okrzyk bojowy:</b> <b>Wycisz</b> stronnika.,Matt Cavotta,Common,4,4,3,„Abrakadabra cieciu!”,Minion,EX1_048,,,,,
,,Classic,Łaska Eluny,,Zwiększone zdrowie.,,,,,,,Enchantment,EX1_004e,,,,,
,,Classic,Łaska półboga,Neutral,+2/+2.,,,,,,,Enchantment,EX1_573ae,Druid,,,,
,,Classic,Łaska półboga,Neutral,Twoi pozostali stronnicy otrzymują +2/+2.,,,,,,,Spell,EX1_573a,Druid,,,,
Battlecry|Spellpower,True,Classic,Lazurowy smokowiec,Neutral,<b>Obrażenia zaklęć +1</b>. <b>Okrzyk bojowy:</b> Dobierz kartę.,Ben Zhang,Rare,4,5,4,W przyszłości ma plany osiąść na jakimś wybrzeżu. Też najlepiej lazurowym.,Minion,EX1_284,,,Dragon,,
Battlecry|Charge,True,Classic,Leeroy Jenkins,Alliance,<b>Szarża</b>. <b>Okrzyk bojowy:</b> Przyzwij dwa Pisklęta 1/1 twojemu przeciwnikowi.,Gabe from Penny Arcade,Legendary,6,5,2,Przynajmniej został mu wściekły kurczak.,Minion,EX1_116,,True,,,
,,Classic,Lekcja Szan&sbquo;do,Neutral,Przyzwij dwa Drzewce 2/2 z <b>Prowokacją</b>.,,,,,,,Spell,EX1_573b,Druid,,,,
Deathrattle,True,Classic,Lew bujnogrzywy,,<b>Agonia:</b> Przyzwij dwie Hieny 2/2.,Milivoj Ceran,Rare,6,6,5,Na ciebie czekam lwie. Czekam aż hiena zeżre cię!,Minion,EX1_534,Hunter,,Beast,,
,True,Classic,Licytator z Gadżetonu,Neutral,Dobierz kartę za każdym razem gdy rzucisz zaklęcie.,Matt Dixon,Rare,4,6,4,Kiedyś prowadził czarnorynkowy dom aukcyjny ale zrezygnował z powodu nadmiaru przemocy.,Minion,EX1_095,,,,,
Secret,True,Classic,Lodowa bariera,Neutral,<b>Sekret:</b> Gdy twój bohater zostanie zaatakowany otrzymujesz 8 pkt. pancerza.,Alex Garner,Common,,3,,To zaklęcie poziomu 1. Na poziomie 2 jest „Ściana z batonu”.,Spell,EX1_289,Mage,,,,
Freeze,True,Classic,Lodowa lanca,Neutral,<b>Zamroź</b> postać. Jeśli jest już <b>Zamrożona</b> zadaj zamiast tego $4 pkt. obrażeń.,Alex Horley Orlandelli,Common,,1,,Chodzi przede wszystkim o to żeby nie rozszczepić lancy. Inaczej otrzymasz „Lodową francę” która jest znacznie mniej skuteczna.,Spell,CS2_031,Mage,,,,
OneTurnEffect,,Classic,Lodowy blok,,Twój bohater ma w tej turze <b>Niewrażliwość</b>.,,,,,,,Enchantment,EX1_295o,Mage,,,,
Secret,True,Classic,Lodowy blok,Neutral,<b>Sekret:</b> Gdy twój bohater otrzyma zabójcze obrażenia zapobiegasz im oraz zyskujesz w tej turze <b>Niewrażliwość</b>.,Carl Frank,Epic,,3,,Lód jest cud bo zawsze go w bród!,Spell,EX1_295,Mage,,,,
,True,Classic,Łomot,Neutral,Zadaj $2 pkt. obrażeń stronnikowi. Jeśli przeżyje dobierz kartę.,E.M. Gist,Common,,2,,„Dun da dun dun da dun”. - jeśli kiedykolwiek usłyszysz nucącego tak ogra to znaczy że dostaniesz łomot.,Spell,EX1_391,Warrior,,,,
,,Classic,Lord Jaraxxus,Neutral,,,Legendary,0,0,15,,Hero,EX1_323h,Warlock,,Demon,,
Battlecry,True,Classic,Lord Jaraxxus,,<b>Okrzyk bojowy:</b> Zniszcz twojego bohatera i zastąp go Lordem Jaraxxusem.,Alex Horley Orlandelli,Legendary,3,9,15,„ŻAŁOSNY GNOMIE! TWOJA AROGANCJA DOPROWADZI CIĘ DO ZGUBY!!!!”,Minion,EX1_323,Warlock,True,Demon,,
Battlecry,True,Classic,Lord otchłani,Neutral,<b>Okrzyk bojowy:</b> Zadaj 5 pkt. obrażeń twojemu bohaterowi.,Glenn Rane,Epic,5,4,6,Mannoroth Magtheridon oraz Brutallus już nie żyją ale jak się okazało lordów otchłani jest CAŁA MASA.,Minion,EX1_313,Warlock,,Demon,,
Battlecry,True,Classic,Łowca grubego zwierza,,<b>Okrzyk bojowy:</b> Zniszcz stronnika z atakiem 7 lub większym.,Chris Seaman,Epic,4,3,2,Zwykłe diabłozaury przestały mu wystarczać. Wkrótce zapoluje na Onyksję korzystając jedynie ze snopowiązałki.,Minion,EX1_005,,,,,
Secret,True,Classic,Lustrzany byt,Neutral,<b>Sekret:</b> Gdy twój przeciwnik zagra stronnika przyzwij jego kopię.,Raven Mimura,Common,,3,,Byt albo nie byt? Oto jest pytanie!,Spell,EX1_294,Mage,,,,
Deathrattle|Spellpower,True,Classic,Mag krwi Thalnos,Neutral,<b>Obrażenia zaklęć +1</b>. <b>Agonia:</b> Dobierz kartę.,Alex Horley Orlandelli,Legendary,1,2,1,Kieruje coroczną zbiórką krwi w Szkarłatnym Klasztorze.,Minion,EX1_012,,True,,,
Battlecry,True,Classic,Magini Kirin Toru,Neutral,<b>Okrzyk bojowy:</b> Następny <b>Sekret</b> który zagrasz w tej turze kosztuje (0).,Popo Wei,Rare,4,3,3,Kirin Tor ma siedzibę w latającym mieście Dalaran. Jak Dalaran utrzymuje się w powietrzu? Dwie gałki lodów a na to jedna gałka Dalaranu.,Minion,EX1_612,Mage,,,,
,True,Classic,Majtek z Południowych Mórz,Alliance,Posiada <b>Szarżę</b> gdy masz broń na wyposażeniu.,Dan Brereton,Common,2,1,1,Tak naprawdę nie nosi majtek. Tylko portki.,Minion,CS2_146,,,Pirate,,
Spellpower,True,Classic,Malygos,Neutral,<b>Obrażenia zaklęć +5</b>,Michael Komarck,Legendary,4,9,12,Malygos nie znosi kiedy ludzie używają magii. Normalnie szaleje z wściekłości!,Minion,EX1_563,,True,Dragon,,
,True,Classic,Manoholiczka,Alliance,Otrzymuje +2 do ataku w tej turze za każdym razem gdy rzucisz zaklęcie.,Hideaki Takamura,Rare,1,2,3,Stara się zerwać z nałogiem ale wciąż szprycuje się maną gdy ma stresujący dzień.,Minion,EX1_055,,,,,
Silence,True,Classic,Masowe rozproszenie,,<b>Wycisz</b> wszystkich wrogich stronników. Dobierz kartę.,Sean O&sbquo;Daniels,Rare,,4,,Rozprasza wzmocnienia nadzieje i złudzenia.,Spell,EX1_626,Priest,,,,
Battlecry,True,Classic,Mełko Gromiłło,,<b>Okrzyk bojowy:</b> W następnej turze zaklęcia przeciwnika kosztują (0).,Jim Nelson,Legendary,4,2,4,Ulubiony żart magów: jaka jest największa odległość na całym Azeroth? Między wzrostem Mełka a rozmiarem jego ego!,Minion,NEW1_029,,True,,,
,True,Classic,Miecz Sprawiedliwości,Neutral,Gdy przyzywasz stronnika otrzymuje on +1/+1 zaś miecz traci 1 pkt. wytrzymałości.,Efrem Palacios,Epic,1,3,,Niechaj Miecz Sprawiedliwości w trzewiach wroga dziś zagości!,Weapon,EX1_366,Paladin,,,,5
,True,Classic,Mistrz miecznictwa,,Na koniec twojej tury daj innemu losowemu przyjaznemu stronnikowi +1 do ataku.,E.M. Gist,Rare,1,2,3,W chwilach wolnych zajmuje się hodowlą ryb. Jego największym sukcesem jest miecznik.,Minion,NEW1_037,,,,,
Battlecry,True,Classic,Mistrzyni kamuflażu,,<b>Okrzyk bojowy:</b> Daj przyjaznemu stronnikowi <b>Ukrycie</b>.,Ron Spencer,Rare,4,4,4,Tak naprawdę jest mężczyzną. I taurenem. W końcu na tytuł „mistrzyni kamuflażu” trzeba jakoś zasłużyć.,Minion,NEW1_014,Rogue,,,,
,True,Classic,Moc dziczy,Neutral,<b>Wybierz jedno:</b> Daj swoim stronnikom +1/+1; lub przyzwij Panterę 3/2.,Steve Tappin,Common,,2,,„A tera zje cię pantera!”,Spell,EX1_160,Druid,,,,
OneTurnEffect,,Classic,Moc Kirin Toru,,Twój następny Sekret kosztuje (0).,,,,,,,Enchantment,EX1_612o,Mage,,,,
,,Classic,Moc sprawiedliwości,,Ma +1/+1.,,,,,,,Enchantment,EX1_366e,Paladin,,,,
,True,Classic,Morski olbrzym,Neutral,Kosztuje (1) mniej za każdego innego stronnika na polu bitwy.,Svetlin Velinov,Epic,8,10,8,A może ten olbrzym od morza woli góry?,Minion,EX1_586,,,,,
,,Classic,Mrgglaargl!,,Dowódca murloków daje +2/+1.,,,,,,,Enchantment,EX1_507e,,,,,
,,Classic,Mrghlglhal,,+2 do zdrowia.,,,,,,,Enchantment,EX1_103e,,,,,
Enrage,True,Classic,Mściwy kowal,Horde,<b>Szał:</b> Twoja broń ma +2 do ataku.,Justin Sweet,Common,4,5,6,Wykuje dla ciebie miecz ale musisz przynieść 5 sztabek stali 3 grudki ziemi oraz skalp poprzedniego klienta.,Minion,CS2_221,,,,,
Battlecry,True,Classic,Nadiskrownik Opiłek,Alliance,<b>Okrzyk bojowy:</b> Przemień innego losowego stronnika w diabłozaura 5/5 lub wiewiórkę 1/1.,Tom Baxa,Legendary,3,3,3,Nadiskrownik Opiłek niemal stracił swoją licencję iskrownika po Wielkiej Inwazji Wiewiórek na Żelazną Kuźnię w roku 9.,Minion,EX1_083,,True,,,
,True,Classic,Nadmiar mocy,Neutral,Daj przyjaznemu stronnikowi +4/+4 do końca tury. Następnie stronnik umrze. W męczarniach.,Tom Baxa,Common,,1,,Nie jesteśmy w stanie opisać jak ogromne są to męczarnie. Są PRZERAŻAJĄCE! Albo jeszcze gorzej. Po prostu tego nie rób.,Spell,EX1_316,Warlock,,,,
,,Classic,Nadmiar mocy,Neutral,Ten stronnik ma +4/+4 ale na koniec tury umrze w męczarniach.,,,,,,,Enchantment,EX1_316e,Warlock,,,,
,,Classic,Naginaczka zaklęć,,,,Epic,1,0,3,,Minion,tt_010a,Mage,,,,
Secret,True,Classic,Naginaczka zaklęć,Neutral,<b>Sekret:</b> Gdy wróg rzuci zaklęcie na stronnika przyzwij stronnika 1/3 jako nowy cel.,Gonzalo Ordonez,Epic,,3,,Choć przechwytywanie wrogich błyskawic to świetna zabawa naginaczka zaklęć zdecydowanie woli przejmować takie czary jak znak ostępów. To zdecydowanie wredniejsze podejście. A krwawe elfy... no cóż po prostu wredne są.,Spell,tt_010,Mage,,,,
,,Classic,Najedzenie,,Zwiększony atak i zdrowie.,,,,,,,Enchantment,EX1_531e,Hunter,,,,
,True,Classic,Nakładanie rąk,Neutral,Przywróć #8 pkt. zdrowia. Dobierz 3 karty.,Raymond Swanland,Epic,,8,,Ręce które leczą.,Spell,EX1_354,Paladin,,,,
,,Classic,Nasycenie,Neutral,Otrzymujesz 2 kryształy many.,,,,,,,Spell,EX1_164a,Druid,,,,
,,Classic,Nasycenie,Neutral,Dobierz 3 karty.,,,,,,,Spell,EX1_164b,Druid,,,,
,True,Classic,Nasycenie,Neutral,<b>Wybierz jedno:</b> Otrzymujesz 2 kryształy many; lub dobierz 3 karty.,Terese Nielsen,Rare,,5,,Druidów syci wiele rzeczy: potęga natury śpiew ptaków tort czekoladowy.,Spell,EX1_164,Druid,,,,
,True,Classic,Nat Pagle,Neutral,Na początku twojej tury masz 50% szans na dobranie dodatkowej karty.,Steve Prescott,Legendary,0,2,4,Nat Pagle najlepszy wędkarz w Azeroth! Wynalazł Wędko-Łapa 3000 Żyłko-Ciąga 3000 oraz Nęci-Haka 2099 (wciąż testowany).,Minion,EX1_557,,True,,,
,True,Classic,Naturalizacja,Neutral,Zniszcz stronnika. Przeciwnik dobiera 2 karty.,Leo Che,Common,,1,,I kolejny do piachu.,Spell,EX1_161,Druid,,,,
,True,Classic,Nauczycielka Purpurowych,,Za każdym razem gdy rzucisz zaklęcie przyzwij Czeladnika Purpurowych 1/1.,James Ryman,Rare,3,4,5,Jeśli nie będziesz uważać zamieni cię w prosiaka.,Minion,NEW1_026,,,,,
,,Classic,Nauki Kirin Toru,,<b>Obrażenia zaklęć +1</b>,,,,,,,Enchantment,EX1_584e,,,,,
AffectedBySpellPower,True,Classic,Nawałnica ostrzy,Neutral,Zniszcz twoją broń i zadaj obrażenia od niej wszystkim wrogom.,Hideaki Takamura,Rare,,2,,„Słuchaj tu nie chodzi tylko o to żeby szybko machać sztyletami. To znacznie bardziej skomplikowane”. - Szan trener łotrów.,Spell,CS2_233,Rogue,,,,
,True,Classic,Nowicjuszka,,Na koniec twojej tury daj innemu losowemu przyjaznemu stronnikowi +1 do zdrowia.,Vance Kovacs,Rare,2,1,1,Ma nadzieję że kiedyś skończy praktyki w szpitalu na peryferiach.,Minion,EX1_004,,,,,
,True,Classic,Nozdormu,Neutral,Gracze mają tylko 15 sekund na wykonanie swojej tury.,James Ryman,Legendary,8,9,8,15 sekund to za mało żeby napisać coś zabawnego!,Minion,EX1_560,,True,Dragon,,
,True,Classic,Nożownik,,Za każdym razem gdy przyzywasz stronnika zadaj 1 pkt. obrażeń losowemu wrogowi.,Matt Cavotta,Rare,3,2,2,Wołają na niego „Ed Nożoręki”.,Minion,NEW1_019,,,,,
,,Classic,Obrońca,Neutral,,,Common,2,1,1,,Minion,EX1_130a,Paladin,,,,
Battlecry,True,Classic,Obrońca Argusa,Alliance,<b>Okrzyk bojowy:</b> Daj sąsiednim stronnikom +1/+1 oraz <b>Prowokację</b>.,Alex Horley Orlandelli,Rare,2,4,3,Wydawałoby się że Argus nie potrzebuje zbytnio obrony. A jednak.,Minion,EX1_093,,,,,
Secret,True,Classic,Odkupienie,Neutral,<b>Sekret:</b> Gdy jeden z twoich stronników zginie przywróć go do życia z 1 pkt. zdrowia.,Ittoku,Common,,1,,Powrócić żywym po śmierci - to dopiero przeżycie!,Spell,EX1_136,Paladin,,,,
Charge,,Classic,Ogar,,<b>Szarża</b>,,,1,1,1,,Minion,EX1_538t,Hunter,,Beast,,
,,Classic,Ogień Alexstrazy,,Zdrowie ustawione na 15.,,,,,,,Enchantment,EX1_561e,,,,,
,True,Classic,Ognik,Neutral,,Malcolm Davis,Common,1,0,1,Gdzie ogników kupa tam i eredar du... znaczy się łatwo nie ma.,Minion,CS2_231,,,,,
,True,Classic,Ognisty olbrzym,,Kosztuje (1) mniej za każdy punkt obrażeń otrzymany przez twojego bohatera.,Glenn Rane,Epic,8,20,8,Nieustanna gorączka zapalenie płuc paląca zgaga... i nikt nie chce być jego lekarzem.,Minion,EX1_620,,,,,
Secret,True,Classic,Oko za oko,Neutral,<b>Sekret:</b> Gdy twój bohater otrzyma obrażenia zadaj tyle samo obrażeń wrogiemu bohaterowi.,James Ryman,Common,,1,,Sprawiedliwość czasami przyjmuje postać pięści walącej w zęby.,Spell,EX1_132,Paladin,,,,
Battlecry,True,Classic,Okrutny nadzorca,Neutral,<b>Okrzyk bojowy:</b> Zadaj 1 pkt. obrażeń stronnikowi i daj mu +2 do ataku.,Phroilan Gardner,Common,2,2,2,„Masz być w robocie w niedzielę!”,Minion,EX1_603,Warrior,,,,
Battlecry,True,Classic,Onyxia,Neutral,<b>Okrzyk bojowy:</b> Przyzwij Pisklęta 1/1 aż zapełnią twoje pole bitwy.,Dany Orizio,Legendary,8,9,8,Onyxia przez długi czas przebywała na Dworze Wichrogrodu pod przebraniem Lady Katrany Prestor. A wydawałoby się że zdradzą ją wielkie skrzydła i łuski.,Minion,EX1_562,,True,Dragon,,
,True,Classic,Opiekun Gaju,Neutral,<b>Wybierz jedno:</b> Zadaj 2 pkt. obrażeń; lub <b>Wycisz</b> stronnika.,Gabor Szikszai,Rare,2,4,4,„Wielokrotnie obserwowałem te szlachetne istoty na skraju lasu. Niestety zawsze płoszyły się gdy tylko pan Sułek zakradał się do pobliskiego paśnika na wieczorną wyżerkę”. - z dziennika Gajowego Maruchy,Minion,EX1_166,Druid,,,,
,True,Classic,Orli Róg,,Za każdym razem gdy ujawniony zostaje przyjazny <b>Sekret</b> zyskuje 1 pkt. wytrzymałości.,Cyril Van Der Haegen,Rare,3,3,,Pierwsza lekcja: Ostrym końcem w stronę przeciwnika.,Weapon,EX1_536,Hunter,,,,2
,,Classic,Ostre!,,+2 do ataku od mściwego kowala.,,,,,,,Enchantment,CS2_221e,,,,,
Battlecry|Combo,True,Classic,Ostrze Zatracenia,Neutral,<b>Okrzyk bojowy:</b> Zadaj 1 pkt. obrażeń. <b>Kombinacja:</b> Zamiast tego zadaj 2 pkt. obrażeń.,Daren Bader,Rare,2,3,,Ostrze Zatracenia ma w sobie moc Ragnarosa - Pana Ognia najpotężniejszego spośród płonących żywiołaków.,Weapon,EX1_133,Rogue,,,,2
,True,Classic,Padlinożerna hiena,,Otrzymuje +2/+1 za każdym razem gdy zginie przyjazna Bestia.,Jim Nelson,Common,2,2,2,Hieny wolą ogryzać kości kodo lub latających węży ale zeżrą właściwie wszystko. Nawet rozgotowane brukselki.,Minion,EX1_531,Hunter,,Beast,,
,,Classic,Pakt krwi,,Zwiększone zdrowie.,,,,,,,Enchantment,CS2_059o,Warlock,,,,
,,Classic,Pantera,,,,Common,3,2,2,,Minion,EX1_160t,Druid,,Beast,,
Battlecry,True,Classic,Pędzący kodo,,<b>Okrzyk bojowy:</b> Zniszcz losowego wrogiego stronnika z atakiem 2 lub mniejszym.,Daren Bader,Rare,3,5,5,Ten kodo jest tak cwany że nawet potrafi kodować!,Minion,NEW1_041,,,Beast,,
,,Classic,Pełna siła,,Ten stronnik ma +2 do ataku.,,,,,,,Enchantment,CS2_181e,,,,,
,,Classic,Pełnia many,,Zwiększony atak.,,,,,,,Enchantment,NEW1_012o,Mage,,,,
,,Classic,Pełny brzuch,,+2/+2. Zeżarł Murloka.,,,,,,,Enchantment,NEW1_017e,,,,,
,True,Classic,Pirowybuch,Neutral,Zadaj $10 pkt. obrażeń.,Luca Zontini,Epic,,10,,Pamiętaj by po dobraniu tej karty zaśmiać się diabolicznie.,Spell,EX1_279,Mage,,,,
,,Classic,Pisklę,,,,,1,1,1,,Minion,EX1_116t,,,Dragon,,
,,Classic,Pisklę,Neutral,,,,1,1,1,,Minion,ds1_whelptoken,,,Dragon,,
,True,Classic,Płatnerz,Neutral,Otrzymujesz 1 pkt. pancerza za każdym razem gdy przyjazny stronnik zostanie zraniony.,Greg Hildebrandt,Rare,1,2,4,Nie nie przyjmuje wynagrodzenia w naturze.,Minion,EX1_402,Warrior,,,,
,,Classic,Płomień Azzinotha,,,,,2,1,1,,Minion,EX1_614t,,,,,
Battlecry,True,Classic,Płomienny chochlik,Neutral,<b>Okrzyk bojowy:</b> Zadaj 3 pkt. obrażeń twojemu bohaterowi.,Alex Horley Orlandelli,Common,3,1,2,Chochliki lubią prażyć się w ogniu. Taka sytuacja.,Minion,EX1_319,Warlock,,Demon,,
Deathrattle|Taunt,True,Classic,Plugastwo,Neutral,<b>Prowokacja</b>. <b>Agonia:</b> Zadaj $2 pkt. obrażeń WSZYSTKIM postaciom.,Alex Horley Orlandelli,Rare,4,5,4,Plugastwa uwielbiają świeże mięso i długie spacery po plaży.,Minion,EX1_097,,,,,
,,Classic,Pod strażą,,Zwiększony atak.,,,,,,,Enchantment,EX1_001e,,,,,
Aura,True,Classic,Portal przywołania,Neutral,Twoi stronnicy kosztują (2) mniej ale nie mniej niż (1).,Tyler Walpole,Common,0,4,4,Nie mniej niż jeden. Nie mniej niż zerooo… O! O! O! O!,Minion,EX1_315,Warlock,,,,
Combo,True,Classic,Porywacz,,<b>Kombinacja:</b> Cofnij stronnika na rękę właściciela.,Dave Allsop,Epic,5,6,3,Chciał zostać podrywaczem. Ale mu nie wyszło.,Minion,NEW1_005,Rogue,,,,
,True,Classic,Poskramiacz fal,Neutral,Otrzymuje +1 do ataku za każdym razem gdy zostaje przyzwany Murlok.,Jaemin Kim,Rare,1,1,2,Na zlotach rodzinnych robi się z niego prawdziwy siłacz.,Minion,EX1_509,,,Murloc,,
,True,Classic,Postać cienia,,Twoja moc specjalna zmienia się w „Zadaj 2 pkt. obrażeń”. Jeśli posiadasz już postać cienia: 3 pkt. obrażeń.,Alex Horley Orlandelli,Epic,,3,,Czy oświetlony kapłan pod postacią cienia rzuca cień?,Spell,EX1_625,Priest,,,,
,,Classic,Postać kota,Neutral,<b>Szarża</b>,,Common,,,,,Spell,EX1_165a,Druid,,,,
,,Classic,Postać niedźwiedzia,Neutral,+2 do zdrowia oraz <b>Prowokacja</b>.,,Common,,,,,Spell,EX1_165b,Druid,,,,
Battlecry,True,Classic,Postrach Pustki,,<b>Okrzyk bojowy:</b> Zniszcz sąsiadujących z nim stronników a zyska ich atak oraz zdrowie.,Alexander Alexandrov,Rare,3,3,3,Jeśli włożysz tę kartę do talii stracisz zaufanie WSZYSTKICH swoich stronników.,Minion,EX1_304,Warlock,,Demon,,
,True,Classic,Poszukiwacz przygód,Alliance,Otrzymuje +1/+1 za każdym razem gdy zagrasz kartę.,Attila Adorjany,Rare,2,3,2,„Czy ktoś ma jakieś zbędne skóry dzika?”,Minion,EX1_044,,,,,
,True,Classic,Powierniczka tajemnic,Alliance,Otrzymuje +1/+1 za każdym razem gdy zagrany zostaje <b>Sekret</b>.,Gonzalo Ordonez,Rare,1,1,2,Obiecuje że nikomu nie powie co zrobiliście zeszłego lata.,Minion,EX1_080,,,,,
,,Classic,Pradawne nauki,,Dobierz 2 karty.,,,,,,,Spell,NEW1_008a,Druid,,,,
,,Classic,Pradawne tajemnice,,Przywróć 5 pkt. zdrowia.,,,,,,,Spell,NEW1_008b,Druid,,,,
Battlecry,True,Classic,Prastary gorzelnik,Alliance,<b>Okrzyk bojowy:</b> Cofnij przyjaznego stronnika na twoją rękę.,Bernie Kang,Common,5,4,4,Większość pandarenów twierdzi że jego gorzałka smakuje jak gnu. Ale najwyraźniej jest to komplement.,Minion,EX1_057,,,,,
,True,Classic,Prastary obserwator,Alliance,Nie może atakować.,Richard Wright,Rare,4,2,5,Masz dziwne wrażenie że jego oczy cały czas za tobą podążają.,Minion,EX1_045,,,,,
Battlecry,True,Classic,Prorok Światłozimnych,Neutral,<b>Okrzyk bojowy:</b> Daj WSZYSTKIM pozostałym Murlokom +2 do zdrowia.,Arthur Gimaldinov,Rare,2,3,3,Choć mieszka w głębinach nie powala głębią intelektu.,Minion,EX1_103,,,Murloc,,
,True,Classic,Prorok Velen,Neutral,Podwajasz wartości obrażeń i leczenia z twoich zaklęć oraz mocy specjalnej.,Wei Wang,Legendary,7,7,7,Został wygnany z domu a wszyscy jego bracia przeszli na stronę zła ale poza tym nie ma na co narzekać.,Minion,EX1_350,Priest,True,,,
,True,Classic,Prorok zagłady,,Na początku twojej tury zniszcz WSZYSTKICH stronników.,Alex Horley Orlandelli,Epic,0,2,7,Lepiej mu idzie prorokowanie numerów na loterii.,Minion,NEW1_021,,,,,
Battlecry,True,Classic,Protektor Argentu,Neutral,<b>Okrzyk bojowy:</b> Daj przyjaznemu stronnikowi <b>Boską tarczę</b>.,Doug Alexander,Common,2,2,2,„Nie znaczy to że możesz teraz uchylać się przed kulami ognia. Dzięki tej tarczy nie będziesz musiał”.,Minion,EX1_362,Paladin,,,,
Battlecry,True,Classic,Protektorka Słonecznej Furii,Alliance,<b>Okrzyk bojowy:</b> Daj sąsiednim stronnikom <b>Prowokację</b>.,James Ryman,Rare,2,2,3,Co prawda nosi tarczę ale tylko po to żeby dać ją komuś za kim się schowa.,Minion,EX1_058,,,,,
,,Classic,Przebudzenie Ysery,,Zadaj $5 pkt. obrażeń wszystkim postaciom oprócz Ysery.,,,,2,,,Spell,DREAM_02,Dream,,,,
,,Classic,Przeciążenie,,Zwiększone statystyki.,,,,,,,Enchantment,EX1_258e,Shaman,,,,
Stealth,True,Classic,Przyczajona pantera,Horde,<b>Ukrycie</b>,Jaemin Kim,Common,4,3,2,Weszła kiedyś w spółkę z ukrytym smokiem.,Minion,EX1_017,,,Beast,,
,True,Classic,Przygotowanie,Neutral,Następne zaklęcie jakie rzucisz w tej turze kosztuje (3) mniej.,Clint Langley,Epic,,0,,Trucizna? Jest. Kamuflaż? Jest. Zaostrzona broń? Jest. Przeciwnik? Jeszcze jest.,Spell,EX1_145,Rogue,,,,
OneTurnEffect,,Classic,Przygotowanie,,Następne zaklęcie jakie rzucisz w tej turze kosztuje (3) mniej.,,,,,,,Enchantment,EX1_145o,Rogue,,,,
,,Classic,Przywódca stada,Neutral,Daj swoim stronnikom +1/+1.,,,,,,,Spell,EX1_160b,Druid,,,,
,,Classic,Przywódca stada,,+1/+1,,,,,,,Enchantment,EX1_160be,Druid,,,,
,True,Classic,Przywódczyni kultu,Neutral,Dobierz kartę za każdym razem gdy zginie jeden z twoich stronników.,Raymond Swanland,Common,4,4,2,Może i przewodzi nikczemnemu kultowi ale i tak co tydzień dzwoni do rodziców.,Minion,EX1_595,,,,,
,,Classic,Przyzwij Panterę,Neutral,Przyzwij Panterę 3/2.,,,,,,,Spell,EX1_160a,Druid,,,,
Windfury,True,Classic,Pyłowy diablik,Neutral,<b>Furia wichru</b>.<b>Przeciążenie:</b> (2),Raymond Swanland,Common,3,1,1,Zachodni Brzeg pełen jest pyłowych diablików. I sępów. I szalonych golemów. I piratów. Po kiego ktoś chciałby tam mieszkać?,Minion,EX1_243,Shaman,,,,
,True,Classic,Ragnaros Władca Ognia,Neutral,Nie może atakować. Na koniec twojej tury zadaj 8 pkt. obrażeń losowemu wrogowi.,Greg Staples,Legendary,8,8,8,„CZY WIESZ ŻE WSZYSTKO CO KOCHASZ JEST ŁATWOPALNE?”,Minion,EX1_298,,True,,,
Battlecry,True,Classic,Ranny mistrz ostrzy,Horde,<b>Okrzyk bojowy:</b> Zadaje SOBIE 4 pkt. obrażeń.,Samwise,Rare,4,3,7,Twierdzi że to stara rana z czasów wojny ale najpewniej sam się zaciął przy goleniu.,Minion,CS2_181,,,,,
,,Classic,Ręka Argusa,,+1/+1 oraz <b>Prowokacja</b>.,,,,,,,Enchantment,EX1_093e,,,,,
,True,Classic,Równość,Neutral,Zmień zdrowie WSZYSTKICH stronników na 1.,Michal Ivan,Rare,,2,,Czasami karta ta widywana jest w otoczeniu podejrzanych osobników o pseudonimach „Braterstwo” i „Wolność”.,Spell,EX1_619,Paladin,,,,
,,Classic,Równość,,Zdrowie zmienione na 1.,,,,,,,Enchantment,EX1_619e,Paladin,,,,
Combo,True,Classic,Rozbicie czachy,Neutral,Zadaj $2 pkt. obrażeń wrogiemu bohaterowi. <b>Kombinacja:</b> W następnej turze cofnij tę kartę na rękę.,James Zhang,Rare,,3,,Gdy wszystko inne zawiedzie pozostaje jedynie szybkie grzmotnięcie w czachę.,Spell,EX1_137,Rogue,,,,
Battlecry,True,Classic,Rozjemca Aldorów,Neutral,<b>Okrzyk bojowy:</b> Zmień atak wrogiego stronnika na 1.,Dany Orizio,Rare,3,3,3,Niby taki rozjemca ale jak przywali...,Minion,EX1_382,Paladin,,,,
,True,Classic,Rozjuszony berserker,Neutral,Otrzymuje +1 do ataku za każdym razem gdy dowolny stronnik zostanie zraniony.,Simon Bisley,Rare,2,3,4,Zanim zajął się berserkowaniem pracował jako księgowy.,Minion,EX1_604,Warrior,,,,
