SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,MECHANICS,HEALTH,INPLAYTEXT,DURABILITY,ATTACK,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Classic,Sędziwy mag,Neutral,<b>Okrzyk bojowy:</b> Daj sąsiednim stronnikom <b>Obrażenia zaklęć +1</b>.,Rare,4,Minion,EX1_584,Battlecry,5,,,2,,True,Howard Lyon,Czasami się zapomni i wparuje prosto do nieswojej gry.,,,,
Classic,Sen,,Cofnij stronnika na rękę właściciela.,,0,Spell,DREAM_04,,,,,,Dream,,,,,,,
Classic,Siła natury,Neutral,Przyzwij trzy Drzewce 2/2 z <b>Szarżą</b> które zginą na koniec tury.,Epic,6,Spell,EX1_571,,,,,,Druid,True,Trevor Jacobs,„Chyba kimnę się zdziebko pod tymi drzewkami. Chwilę... AAAAAAA!” - Migotek pechowy gnom.,,,,
Classic,Siła stada,,Wilkor alfa daje temu stronnikowi +1 do ataku.,,,Enchantment,EX1_162o,,,,,,,,,,,,,
Classic,Skarbomania,,Zwiększony atak.,,,Enchantment,NEW1_018e,,,,,,,,,,,,,
Classic,Skrucha,,Zdrowie zmniejszone do 1.,,,Enchantment,EX1_379e,,,,,,Paladin,,,,,,,
Classic,Skrucha,Neutral,<b>Sekret:</b> Gdy twój przeciwnik zagra stronnika zmniejsz jego zdrowie do 1.,Common,1,Spell,EX1_379,Secret,,,,,Paladin,True,Gonzalo Ordonez,Paladyni znani są ze skromności i okazywania skruchy ale tylko tuż przed klęską.,,,,
Classic,Skuteczna motywacja,,+2 do ataku.,,,Enchantment,EX1_603e,,,,,,Warrior,,,,,,,
Classic,Słońcowierca,Alliance,<b>Prowokacja</b>. <b>Boska tarcza</b>.,Rare,6,Minion,EX1_032,Divine Shield|Taunt,5,,,4,,True,Andrea Uderzo,Słońcowiercy to zakon taureńskich paladynów wyznających An&sbquo;she - bóstwo słońca.,,,,
Classic,Śmiercioskrzydły,,<b>Okrzyk bojowy:</b> Zniszcz wszystkich pozostałych stronników i odrzuć całą rękę.,Legendary,10,Minion,NEW1_030,Battlecry,12,,,12,,True,Bernie Kang,Śmiercioskrzydły był niegdyś szlachetnym smokiem znanym jako Neltarion. Oszalał jednak i zniszczył Azeroth by w końcu zostać pokonanym. Czyżby kompleksy z dzieciństwa?,True,Dragon,,
Classic,Smoczy jastrząb,Horde,<b>Furia wichru</b>,Common,1,Minion,CS2_169,Windfury,1,,,1,,True,Greg Hildebrandt,Próba nazwania ich „smostrząbami” nie spotkała się z akceptacją.,,Beast,,
Classic,Smokowiec zmierzchu,Neutral,<b>Okrzyk bojowy:</b> Otrzymuje +1 do zdrowia za każdą kartę w ręce.,Rare,4,Minion,EX1_043,Battlecry,1,,,4,,True,Jaemin Kim,Smokowce zmierzchu żywią się mistyczną energią. I paluszkami.,,Dragon,,
Classic,Snajperstwo,Neutral,<b>Sekret:</b> Gdy twój przeciwnik zagra stronnika zadaj mu $4 pkt. obrażeń.,Common,2,Spell,EX1_609,Secret,,,,,Hunter,True,Lorenzo Minaca,Dobry snajper zawsze trafia prosto w cel. Chyba że mu akurat zniesie.,,,,
Classic,Sowa żelaznodzioba,Horde,<b>Okrzyk bojowy:</b> <b>Wycisz</b> stronnika.,Common,2,Minion,CS2_203,Battlecry,1,,,2,,True,Trevor Jacobs,Ich skrzydła są ciche lecz ich pisk to... całkowite przeciwieństwo ciszy.,,Beast,,
Classic,Spadające gwiazdy,,Zadaj $5 pkt. obrażeń stronnikowi.,,,Spell,NEW1_007b,,,,,,Druid,,,,,,,
Classic,Spadające gwiazdy,,Zadaj $2 pkt. obrażeń wszystkim wrogim stronnikom.,,,Spell,NEW1_007a,,,,,,Druid,,,,,,,
Classic,Spadające gwiazdy,,<b>Wybierz jedno:</b> Zadaj $5 pkt. obrażeń stronnikowi; lub zadaj $2 pkt. obrażeń wszystkim wrogim stronnikom.,Rare,5,Spell,NEW1_007,,,,,,Druid,True,Richard Wright,Czy niebo spada nam na głowy? W rzeczy samej.,,,,
Classic,Spopielacz,,,Legendary,5,Weapon,EX1_383t,,,,3,5,Paladin,,,,,,,
Classic,Spuścić psy!,,Przyzwij Ogara 1/1 z <b>Szarżą</b> za każdego wrogiego stronnika.,Common,3,Spell,EX1_538,,,,,,Hunter,True,Linggar Bramanty,Kto dogoni psa? Może ty może ty? Może jednak ja!,,,,
Classic,Starcie umysłów,Neutral,Umieść kopię losowego stronnika z talii przeciwnika na polu bitwy.,Epic,4,Spell,EX1_345,,,,,,Priest,True,Zoltan & Gabor,Czasami wydaje się że to wszystko jakaś gra.,,,,
Classic,Stożek zimna,Neutral,<b>Zamroź</b> stronnika oraz stronników obok niego i zadaj im wszystkim $1 pkt. obrażeń.,Common,4,Spell,EX1_275,Freeze,,,,,Mage,True,Leo Che,Tak wygląda walec zimna poddany obróbce ze skrawaniem.,,,,
Classic,Straszliwy korsarz,,<b>Prowokacja.</b> Kosztuje (1) mniej za każdy punkt ataku twojej broni.,Common,4,Minion,NEW1_022,Taunt,3,,,3,,True,Trent Kaniuga,„Arrrr” w pirackim narzeczu oznacza „Witaj jaśnie panie”.,,Pirate,,
Classic,Strażniczka Światłości,,Otrzymuje +2 do ataku za każdym razem gdy jakaś postać zostanie uzdrowiona.,Rare,1,Minion,EX1_001,,2,,,1,,True,Erik Ko,Praktyki odbywała w sklepie z lampami.,,,,
Classic,Strażnik Spaczenia,Neutral,<b>Prowokacja</b>. <b>Okrzyk bojowy:</b> Zniszcz jeden ze swoich kryształów many.,Rare,3,Minion,EX1_301,Battlecry|Taunt,5,,,3,Warlock,True,John Polidora,Tak będzie dla ciebie walczyć. ALE ZROBI TO NIECHĘTNIE.,,Demon,,
Classic,Strażnik Srebrnej Luny,Horde,<b>Boska tarcza</b>,Common,4,Minion,EX1_023,Divine Shield,3,,,3,,True,Phroilan Gardner,Kiedy pierwszym razem próbowali ochronić Srebrną Lunę przed plagą nie do końca im się udało...,,,,
Classic,Strażnik Zagłady,Neutral,<b>Szarża</b>. <b>Okrzyk bojowy:</b> Odrzuć dwie losowe karty.,Rare,5,Minion,EX1_310,Battlecry|Charge,7,,,5,Warlock,True,Lucas Graciano,Przywołanie Strażnika Zagłady to spore ryzyko. <i>Ktoś</i> wyciągnie kopyta.,,Demon,,
Classic,Stróż Mogu&sbquo;szanu,Neutral,<b>Prowokacja</b>,Common,4,Minion,EX1_396,Taunt,7,,,1,,True,Cole Eastburn,Jedyne co robią przez całe dnie to gadają o Królu Gromów. NUUUUDY!,,,,
Classic,Strzaskanie umysłu,,<b>Moc specjalna</b>Zadaj 3 pkt. obrażeń.,,2,Hero Power,EX1_625t2,,,,,,Priest,,,,,,,
Classic,Studnia światła,Neutral,Na początku twojej tury przywróć 3 pkt. zdrowia przyjaznej postaci.,Rare,2,Minion,EX1_341,,5,,,0,Priest,True,Blizzard Entertainment,Nie wiadomo czy ludzie ignorują studnię światła czy jest ona po prostu niewidzialna.,,,,
Classic,Stwór z moczarów,Alliance,<b>Prowokacja</b>,Common,5,Minion,CS1_069,Taunt,6,,,3,,True,Monica Langlois,Dawniej zwano go Jozinem z Bazin ale weszła ustawa o ochronie danych osobowych.,,,,
Classic,Świątynny nadzorca,,<b>Okrzyk bojowy:</b> Daj przyjaznemu stronnikowi +3 do zdrowia.,Common,6,Minion,EX1_623,Battlecry,6,,,6,Priest,True,Daren Bader,W czwartkowe noce dorabia jako ochroniarz w karczmie „Pod Knurem i Gwizdkiem”.,,,,
Classic,Świetlista istota,Neutral,Atak tego stronnika jest zawsze równy jego zdrowiu.,Common,4,Minion,EX1_335,,5,,,0,Priest,True,Daarken,Świeci nie tylko oczami.,,,,
Classic,Święty gniew,Neutral,Dobierz kartę i zadaj obrażenia równe jej kosztowi.,Rare,5,Spell,EX1_365,,,,,,Paladin,True,Justin Sweet,Dawaj na gołe klaty!,,,,
Classic,Święty ogień,,Zadaj $5 pkt. obrażeń. Przywróć #5 pkt. zdrowia twojemu bohaterowi.,Rare,6,Spell,EX1_624,,,,,,Priest,True,Miguel Coimbra,Często następuje po nim siwy dym!,,,,
Classic,Sylwana Bieżywiatr,,<b>Agonia:</b> Przejmij kontrolę nad losowym wrogim stronnikiem.,Legendary,6,Minion,EX1_016,Deathrattle,5,,,5,,True,Glenn Rane,Sylwana została zamieniona w królową upiorów przez Arthasa. Mocno ją tym wkurzył.,True,,,
Classic,Szalejący worgen,Neutral,<b>Szał:</b> <b>Furia wichru</b> oraz +1 do ataku.,Common,3,Minion,EX1_412,Enrage,3,,,3,,True,Alex Horley Orlandelli,Wścieklizna dopada nawet najlepszych.,,,,
Classic,Szaleństwo cieni,Neutral,Do końca tury przejmij kontrolę nad wrogim stronnikiem z atakiem 3 lub mniejszym.,Rare,4,Spell,EX1_334,,,,,,Priest,True,Mark Gibbons,Tłumacz to sobie jak chcesz ale to dość wredne zagranie.,,,,
Classic,Szaleństwo cieni,,Kontrola nad tym stronnikiem została zamieniona w tej turze.,,,Enchantment,EX1_334e,,,,,,Priest,,,,,,,
Classic,Szalony alchemik,Neutral,<b>Okrzyk bojowy:</b> Zamień atak i zdrowie wybranego stronnika.,Rare,2,Minion,EX1_059,Battlecry,2,,,2,,True,Tom Fleming,Początkowo eksperymentował na murlokach ale jakoś bez efektów.,,,,
Classic,Szalony bombiarz,Alliance,<b>Okrzyk bojowy:</b> Zadaj 3 pkt. obrażeń losowo rozdzielone pomiędzy wszystkimi innymi postaciami.,Common,2,Minion,EX1_082,Battlecry,2,,,3,,True,Mike Sass,Nie jest jakoś szczególnie szalony tylko nie do końca przestrzega przepisów BHP.,,,,
Classic,Szkarłatny krzyżowiec,Alliance,<b>Boska tarcza</b>,Common,3,Minion,EX1_020,Divine Shield,1,,,3,,True,Gonzalo Ordonez,Kiedyś śniło się jej że poślubiła karmazynowego króla.,,,,
Classic,Szlachetne poświęcenie,Neutral,<b>Sekret:</b> Gdy wróg zaatakuje przyzwij Obrońcę 2/1 jako nowy cel ataku.,Common,1,Spell,EX1_130,Secret,,,,,Paladin,True,Zoltan & Gabor,Zawsze będziemy pamiętać twe imię hmm... szlachetny obrońco!,,,,
Classic,Szmaragdowy smokowiec,,,,4,Minion,DREAM_03,,6,,,7,Dream,,,,,Dragon,,
Classic,Szpikożerny ghul,Neutral,Otrzymuje +1 do ataku za każdym razem gdy zginie dowolny stronnik.,Common,3,Minion,tt_004,,3,,,2,,True,Alex Horley Orlandelli,„Szpikożerny” to niesprawiedliwe imię. Pewnie chciałby zjeść coś innego ale nic mu nie zostawili.,,,,
Classic,Tajemny golem,Neutral,<b>Szarża</b>. <b>Okrzyk bojowy:</b> Daj twojemu przeciwnikowi kryształ many.,Rare,3,Minion,EX1_089,Battlecry|Charge,2,,,4,,True,Sedhayu Ardian,Perfekcyjna Pani Domu poleca tajemne golemy jako stylową dekorację każdego salonu. Ponadto można z nimi porozmawiać o wszystkim.,,,,
Classic,Tarczownik,Neutral,<b>Prowokacja</b>,Common,1,Minion,EX1_405,Taunt,4,,,0,,True,Carl Critchlow,Widziałeś jaki rozmiar mają tarcze w grze? To niełatwa praca.,,,,
Classic,Tauren wojownik,Neutral,<b>Prowokacja</b>. <b>Szał:</b> +3 do ataku.,Common,3,Minion,EX1_390,Enrage|Taunt,3,,,2,,True,Paul Warzecha,Tauren w walce Hordzie lżej!,,,,
Classic,Technik kontroli umysłu,Alliance,<b>Okrzyk bojowy:</b> Jeżeli przeciwnik ma przynajmniej 4 stronników przejmij losowo kontrolę nad jednym z nich.,Rare,3,Minion,EX1_085,Battlecry,3,,,3,,True,Leo Che,Technologia kontroli umysłu to prężnie rozwijająca się dziedzina nauki która przyczyni się do zrealizowania 200% normy przewidzianej w obecnym planie 5-letnim.,,,,
Classic,Totem przypływu many,Neutral,Na koniec twojej tury dobierz kartę.,Rare,3,Minion,EX1_575,,3,,,0,Shaman,True,Scott Altmann,Podobno niektórzy szamani potrafią 10 razy szybko powtórzyć „Tam mam ten totem”.,,Totem,,
Classic,Trędowaty gnom,Neutral,<b>Agonia:</b> Zadaj 2 pkt. obrażeń wrogiemu bohaterowi.,Common,1,Minion,EX1_029,Deathrattle,1,,,2,,True,Glenn Rane,Bardzo by chciał zostać twoim przyjacielem ale naprawdę źle odbiera brak akceptacji.,,,,
Classic,Tycia przywoływaczka,Alliance,Pierwszy stronnik zagrany przez ciebie w każdej turze kosztuje (1) mniej.,Rare,2,Minion,EX1_076,Aura,2,,,2,,True,Ron Spears,Najbardziej w świecie boi się swojego nemezis: Przytycia.,,,,
Classic,Tygrys z Cierniodławów,Alliance,<b>Ukrycie</b>,Common,5,Minion,EX1_028,Stealth,5,,,5,,True,Alex Horley Orlandelli,Tygrysy często mylone są z Jagrysami i Ongrysami. Choć wiadomo że to Ongrys gryzł!,,Beast,,
Classic,Tyrion Fordring,Neutral,<b>Boska tarcza</b>. <b>Prowokacja</b>. <b>Agonia:</b> Wyposaż bohatera w Spopielacz 5/3.,Legendary,8,Minion,EX1_383,Deathrattle|Divine Shield|Taunt,6,,,6,Paladin,True,Brom,Największym zaskoczeniem dla osób nieznających Tyriona jest fakt że wcale nie jest karłem!,True,,,
Classic,Uczennica czarownika,Neutral,Twoje zaklęcia kosztują (1) mniej.,Common,2,Minion,EX1_608,Aura,2,,,3,Mage,True,Alex Horley Orlandelli,Uczniowie świetnie się nadają do wykorzystywania. „Hej przyzwij mi trochę tych bułeczek z maną! I kawy! A właściwie to kawy z maną!”,,,,
Classic,Ugryzienie,,+4 do ataku w tej turze.,,,Enchantment,EX1_570e,OneTurnEffect,,,,,,,,,,,,
Classic,Ugryzienie,Neutral,Daj twojemu bohaterowi +4 do ataku w tej turze oraz +4 pkt. pancerza.,Rare,4,Spell,EX1_570,,,,,,Druid,True,Tom Baxa,Zjedz mięso. Ziemniaki możesz zostawić.,,,,
Classic,Ukrycie,,Ukrycie trwa do następnej tury.,,,Enchantment,EX1_128e,,,,,,Rogue,,,,,,,
Classic,Ukrycie,Neutral,Daj swoim stronnikom <b>Ukrycie</b> do twojej następnej tury.,Common,1,Spell,EX1_128,,,,,,Rogue,True,Steve Hui,Łotrzy ukrywają wszystko za wyjątkiem emocji. Są po prostu bardzo wylewni.,,,,
Classic,Ulepszenie!,Neutral,Jeśli masz broń daj jej +1/+1. W innym przypadku wyposaż bohatera w broń 1/3.,Rare,1,Spell,EX1_409,,,,,,Warrior,True,Matt Cavotta,Z taką bronią nie ma żartów!,,,,
Classic,Ulepszono,,+1 do ataku oraz +1 do wytrzymałości.,,,Enchantment,EX1_409e,,,,,,Warrior,,,,,,,
Classic,Ulepszono,,Zwiększona wytrzymałość.,,,Enchantment,EX1_536e,,,,,,Hunter,,,,,,,
Classic,Upiór many,Neutral,WSZYSCY stronnicy kosztują (1) więcej.,Rare,2,Minion,EX1_616,Aura,2,,,2,,True,Luca Zontini,Wypełzają w nocy żeby zeżreć resztki kryształów many ze stołu.,,,,
Classic,Ustąp pola!,,Atak zmieniony na 1.,,,Enchantment,EX1_382e,,,,,,Paladin,,,,,,,
Classic,Uszkodzony golem,Neutral,,Common,1,Minion,skele21,,1,,,2,,,,,,Mech,,
Classic,Utrzymanie tajemnicy,,Zwiększone statystyki.,,,Enchantment,EX1_080o,,,,,,,,,,,,,
Classic,Uzbrojenie,,Zwiększony atak.,,,Enchantment,NEW1_037e,,,,,,,False,,,,,,
Classic,W pułapce,,Karta ta będzie <b>Zamrożona</b> ponownie na początku kolejnej tury.,,,Enchantment,EX1_611e,,,,,,Hunter,,,,,,,
Classic,Wąż,Neutral,,Common,0,Minion,EX1_554t,,1,,,1,Hunter,,,,,Beast,,
Classic,Wewnętrzny szał,Neutral,Zadaj $1 pkt. obrażeń stronnikowi i daj mu +2 do ataku.,Common,0,Spell,EX1_607,,,,,,Warrior,True,Slawomir Maniak,Dobra mina do złej gry to ich motto.,,,,
Classic,Wewnętrzny szał,,+2 do ataku.,,,Enchantment,EX1_607e,,,,,,Warrior,,,,,,,
Classic,Wewnętrzny żar,Neutral,Zmień atak stronnika na równy jego zdrowiu.,Common,1,Spell,CS1_129,,,,,,Priest,True,Steve Prescott,Dobry pomysł: dopakowanie stronników. Zły pomysł: stronienie od dopakowania.,,,,
Classic,Wewnętrzny żar,,Atak stronnika jest równy jego zdrowiu.,,,Enchantment,CS1_129e,,,,,,Priest,,,,,,,
Classic,Wężowa pułapka,Neutral,<b>Sekret:</b> Gdy jeden z twoich stronników zostanie zaatakowany przyzwij trzy Węże 1/1.,Epic,2,Spell,EX1_554,Secret,,,,,Hunter,True,Bernie Kang,Czemu to musiały być węże?,,,,
Classic,Wichrogniewna harpia,Alliance,<b>Furia wichru</b>,Common,6,Minion,EX1_033,Windfury,5,,,4,,True,Luke Mancini,Zbyt przyjemne to harpie nie są. Oględnie rzecz mówiąc.,,,,
Classic,Widzący z Kręgu Ziemi,,<b>Okrzyk bojowy:</b> Przywróć 3 pkt. zdrowia.,Common,3,Minion,CS2_117,Battlecry,3,,,3,,True,Alex Horley Orlandelli,Spojrzeniem sięga tam gdzie wzrok innych nie sięga.,,,,
Classic,Wiedziciel Czo,Neutral,Za każdym razem gdy gracz rzuci zaklęcie umieść jego kopię w ręce drugiego gracza.,Legendary,2,Minion,EX1_100,,4,,,0,,True,Mark Zug,Wiedziciel Czo zbiera historie i podania z krainy Pandarii ale najbardziej lubi opowieść o pierścieniu i górze.,True,,,
Classic,Wieszcz z Thrallmaru,Horde,<b>Furia wichru</b>,Common,3,Minion,EX1_021,Windfury,3,,,2,,True,Efrem Palacios,Postanowił napisać epicki poemat. Ma już pierwszy wers: „Thrallmarze ojczyzno moja ty jesteś jak zdrowie”.,,,,
Classic,Wiewiórka,Neutral,,Common,1,Minion,EX1_tk28,,1,,,1,,,,,,Beast,,
Classic,Wilkor alfa,Neutral,Sąsiedni stronnicy otrzymują +1 do ataku.,Common,2,Minion,EX1_162,AdjacentBuff|Aura,2,,,2,,True,John Dickenson,Nie możemy się doczekać wydania Bety Wilkora. Przekażcie dalej ten wpis aby wziąć udział w losowaniu kluczy!,,Beast,,
Classic,Worgen dywersant,Alliance,<b>Ukrycie</b>,Common,1,Minion,EX1_010,Stealth,1,,,2,,True,Raymond Swanland,Jeśli chcesz powstrzymać dywersję worgenów wystarczy krzyknąć „Do budy!”,,,,
Classic,Wściekłość,,Zwiększony atak.,,,Enchantment,EX1_604o,,,,,,Warrior,,,,,,,
Classic,Wściekły kurczak,,<b>Szał:</b> +5 do ataku.,Rare,1,Minion,EX1_009,Enrage,1,,,1,,True,Mike Sass,&bdquo;Lusia wściekła się gdy odwołano obchody Święta Kreta&bdquo; - Pan Józek znany hodowca kurczaków.,,Beast,,
Classic,Wstrząs ziemi,Neutral,<b>Wycisz</b> stronnika a następnie zadaj mu $1 pkt. obrażeń.,Common,1,Spell,EX1_245,Silence,,,,,Shaman,True,Kevin Chin,Wstrząs Ziemi? A nie powinien to być raczej „Wstrząs Azeroth”?,,,,
Classic,Wybuchowa pułapka,Neutral,<b>Sekret:</b> Gdy twój bohater zostanie zaatakowany zadaj $2 pkt. obrażeń wszystkim wrogom.,Common,2,Spell,EX1_610,Secret,,,,,Hunter,True,Brandon Kitkouski,Na szczęście nie jest to szklana pułapka.,,,,
Classic,Wybuchowy strzał,Neutral,Zadaj $5 pkt. obrażeń stronnikowi oraz $2 pkt. obrażeń jego sąsiadom.,Rare,5,Spell,EX1_537,,,,,,Hunter,True,Tom Baxa,Wyciągnij zawleczkę policz do 5 i w nogi.,,,,
Classic,Wyciszenie,Neutral,<b>Wycisz</b> stronnika.,Common,0,Spell,EX1_332,Silence,,,,,Priest,True,Zoltan & Gabor,Zarezerwowane na rzucających zaklęcia przeciwników nikczemnych liczów zza grobu oraz wieczory karaoke w karczmie pod Żrącym Żarłokiem.,,,,
Classic,Wyczucie demonów,Neutral,Umieść w ręce 2 losowe Demony z twojej talii.,Common,3,Spell,EX1_317,,,,,,Warlock,True,Raven Mimura,Z reguły demony rzucają się w oczy i nie trzeba żadnego zaklęcia żeby je wyczuć.,,,,
Classic,Wyjęcie korzeni,Neutral,+5 do ataku.,,,Spell,EX1_178b,,,,,,Druid,,,,,,,
Classic,Wyjęte korzenie,,+5 do ataku.,,,Enchantment,EX1_178be,,,,,,Druid,,,,,,,
Classic,Wymaga ostrzenia,,Zmniejszony atak.,,,Enchantment,EX1_411e2,,,,,,Warrior,,,,,,,
Classic,Wypaczona Otchłań,Neutral,Zniszcz wszystkich stronników.,Epic,8,Spell,EX1_312,,,,,,Warlock,True,Dave Allsop,Wypaczona Otchłań to bezkształtne miejsce pełne magii iluzjii zniszczonych stronników.,,,,
Classic,Wyparowanie,Neutral,<b>Sekret:</b> Zniszcz stronnika który zaatakuje twojego bohatera.,Rare,3,Spell,EX1_594,Secret,,,,,Mage,True,Raymond Swanland,Czy Śmiercioskrzydły spowodował Kataklizm bo kiedyś przegrał przez tę kartę? Możemy nigdy się tego nie dowiedzieć.,,,,
Classic,Wypatroszenie,Neutral,Zadaj $2 pkt. obrażeń. <b>Kombinacja:</b> Zamiast tego zadaj $4 pkt. obrażeń.,Common,2,Spell,EX1_124,Combo,,,,,Rogue,True,Ariel Olivetti,Koszt wypatroszenia przeciwnika jest bardzo wysoki. Głównie przez rachunki za spranie krwi ze skórzanej zbroi.,,,,
Classic,Wyrocznia Światłozimnych,Neutral,<b>Okrzyk bojowy:</b> Każdy gracz dobiera 2 karty.,Rare,3,Minion,EX1_050,Battlecry,2,,,2,,True,Steve Prescott,Widzą przyszłość. W tej przyszłości obaj gracze dobierają kolejne karty. Aż ciarki po plecach chodzą.,,Murloc,,
Classic,Wyssanie duszy,Neutral,Zniszcz stronnika. Przywróć #3 pkt. zdrowia twojemu bohaterowi.,Rare,6,Spell,EX1_309,,,,,,Warlock,True,Tyler Walpole,Lepiej unikać wyssania własnej duszy. Możesz w ten sposób stworzyć błędny krąg.,,,,
Classic,Wyżer,,Na koniec twojej tury przyzwij Gnola 2/2 z <b>Prowokacją</b>.,Legendary,6,Minion,NEW1_040,,4,,,4,,True,Laurel D. Austin,Wyżer jest supermocny. Jeśli go zabijesz to tylko dlatego że ci na to <i>pozwolił</i>.,True,,,
Classic,Wyzwolony żywiołak,Neutral,Otrzymuje +1/+1 za każdym razem gdy zagrasz kartę z <b>Przeciążeniem</b>.,Common,3,Minion,EX1_258,,4,,,2,Shaman,True,Matt Gaser,Zbiera datki na „Ruch Wyzwolenia Żywiołaków”.,,,,
Classic,Wzmocnienie,,Zwiększone zdrowie.,,,Enchantment,NEW1_025e,,,,,,,,,,,,,
Classic,Wzrost,,Gruul rośnie...,,,Enchantment,NEW1_038o,,,,,,,,,,,,,
Classic,Wzrost mocy,,Manoholiczka ma zwiększony atak.,,,Enchantment,EX1_055o,OneTurnEffect,,,,,,,,,,,,
Classic,Yarrr!,,Kapitan daje +1/+1.,,,Enchantment,NEW1_027e,,,,,,,,,,,,,
Classic,Ysera,Neutral,Na koniec twojej tury dodaj Kartę Snu do twojej ręki.,Legendary,9,Minion,EX1_572,,12,,,4,,True,Gabor Szikszai,Ysera włada Szmaragdowym Snem. A ten wygląda zupełnie jak prawdziwy świat tyle że podpicowany na zielono.,True,Dragon,,
Classic,Zabić Mełka!,,W tej turze zaklęcia kosztują (0)!,Legendary,,Enchantment,NEW1_029t,,,,,,,,,,,,,
Classic,Zabójca z Krukowiska,Alliance,<b>Ukrycie</b>,Rare,7,Minion,CS2_161,Stealth,5,,,7,,True,Ralph Horsley,Wyślij mu paczkę z nazwiskiem i 10 000 sztuk złota. On zajmie się resztą.,,,,
Classic,Zabójczy cios,Neutral,Zadaj $4 pkt. obrażeń. Jeśli masz 12 pkt. zdrowia lub mniej zamiast tego zadaj $6 pkt. obrażeń.,Rare,4,Spell,EX1_408,,,,,,Warrior,True,Zoltan & Gabor,„Jeśli masz użyć tylko jednej umiejętności niech to będzie ‘zabójczy cios’”. - Kodeks Wojowników ustęp 6,,,,
Classic,Zabójczy strzał,Neutral,Zniszcz losowego wrogiego stronnika.,Common,3,Spell,EX1_617,,,,,,Hunter,True,Steve Prescott,Pół-ogry mok’nathal nie słyną z precyzji. Ale nie stosują półśrodków gdy trzeba coś zabić.,,,,
Classic,Zakorzenienie,Neutral,+5 do zdrowia oraz <b>Prowokacja</b>.,,,Spell,EX1_178a,,,,,,Druid,,,,,,,
Classic,Zakorzenienie,,+5 do zdrowia oraz <b>Prowokacja</b>.,,,Enchantment,EX1_178ae,,,,,,Druid,,,,,,,
Classic,Żałosny chochlik,,<i>Skończyły ci się Demony! Ale przynajmniej zawsze masz chochliki...</i>,Common,1,Minion,EX1_317t,,1,,,1,Warlock,,,,,Demon,,
Classic,Zamieć,Neutral,Zadaj $2 pkt. obrażeń wszystkim wrogim stronnikom i ich <b>Zamroź</b>.,Rare,6,Spell,CS2_028,Freeze,,,,,Mage,True,Chris Seaman,Zamieć jak co roku zaskoczyła gierowców.,,,,
Classic,Zamrażająca pułapka,Neutral,<b>Sekret:</b> Gdy wrogi stronnik zaatakuje cofnij go na rękę właściciela i zwiększ jego koszt o (2).,Common,2,Spell,EX1_611,Secret,,,,,Hunter,True,Matt Gaser,„Kurde bele ale zimnica”. - prawidłowa reakcja po rzuceniu zamrażającej pułapki.,,,,
Classic,Zbieracz łupów,Neutral,<b>Agonia:</b> Dobierz kartę.,Common,2,Minion,EX1_096,Deathrattle,1,,,2,,True,Jim Nelson,Lubi sobie coś przyjumać.,,,,
Classic,Zbir spółki Gitgeszeft,Horde,Twoi stronnicy kosztują (3) więcej.,Common,5,Minion,CS2_227,Aura,6,,,7,,True,John Polidora,Właściciele goblińskiej spółki Gitgeszeft to tłuste szuje. I choć wszędzie węszą kasy pełne nadal coś im w bankach nie sztymuje.,,,,
Classic,Zbrojmistrzyni z Arathi,Neutral,<b>Okrzyk bojowy:</b> Wyposaż bohatera w broń 2/2.,Common,4,Minion,EX1_398,Battlecry,3,,,3,Warrior,True,Samwise,50% zniżki na broń naręczną. Oferta ograniczona czasowo!,,,,
Classic,Zdrada,Neutral,Zmuś wrogiego stronnika do zadania obrażeń stronnikom obok siebie.,Common,2,Spell,EX1_126,,,,,,Rogue,True,Lucas Graciano,Każdy ma swoją cenę. Na przykład gnomy można przekupić pluszowymi zwierzątkami i niewielką ilością czekolady.,,,,
Classic,Zemsta VanCleefa,,Ten stronnik ma zwiększony atak oraz zdrowie.,,,Enchantment,EX1_613e,,,,,,Rogue,,,,,,,
Classic,Zgładziciel,Neutral,<b>Furia wichru. Przeciążenie:</b> (2),Epic,5,Weapon,EX1_567,Windfury,,,8,2,Shaman,True,John Polidora,Orgrim Zgładziciel dał ten legendarny oręż Thrallowi. Nazwa to zupełny przypadek.,,,,
Classic,Zimna krew,Neutral,Daj stronnikowi +2 do ataku. <b>Kombinacja:</b> Zamiast tego daj +4 do ataku.,Common,1,Spell,CS2_073,Combo,,,,,Rogue,True,Alex Horley Orlandelli,„Zachowuję zimną krew w każdej sytuacji!” - Królowa Krwi Lana&sbquo;thel,,,,
Classic,Zimna krew,,+2 do ataku.,,,Enchantment,CS2_073e,,,,,,Rogue,,,,,,,
Classic,Zimna krew,,+4 do ataku.,,,Enchantment,CS2_073e2,,,,,,Rogue,,,,,,,
Classic,Żmij many,,Otrzymuje +1 do ataku za każdym razem gdy rzucisz zaklęcie.,Common,1,Minion,NEW1_012,,3,,,1,Mage,True,Blizzard Cinematics,Te żmije karmią się tajemnymi energiami i choć z reguły nie stanowią większego zagrożenia nie powinno się ich zostawiać w wiadrze pełnym many.,,,,
