MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,ELITE,RACE,PLAYERCLASS,DURABILITY
Battlecry,True,Goblins vs Gnomes,Rekombobulator,Ben Olson,<b>Okrzyk bojowy:</b> Przemień przyjaznego stronnika w losowego stronnika o takim samym koszcie.,Epic,3,2,2,Ponieważ czasami kombobulacja udaje się dopiero za drugim razem.,Minion,GVG_108,,,,
Spellpower,True,Goblins vs Gnomes,Rozpylacz sadzy,Phil Saunders,<b>Obrażenia zaklęć +1</b>,Rare,3,3,3,Wynalazcy rozpylacza sadzy i goblińskiego szatkownika od lat ciągają się po sądach z powodu drobnego sporu o prawa patentowe.,Minion,GVG_123,,Mech,Mage,
Combo,True,Goblins vs Gnomes,Sabotaż,Dave Allsop,Zniszcz losowego wrogiego stronnika. <b>Kombinacja</b>: Oraz broń przeciwnika.,Epic,,4,,„Kto pod kim dołki kopie ten ma dobrą łopatę” – z Vademecum młodego sabotażysty.,Spell,GVG_047,,,Rogue,
,True,Goblins vs Gnomes,Serce demona,Kerem Beyit,Zadaj $5 pkt. obrażeń stronnikowi. Jeśli jest przyjaznym Demonem daj mu zamiast tego +5/+5.,Epic,,5,,Właściwie wszyscy członkowie Koła na Rzecz Demonów to czarnoksiężnicy. Przypadek? Nie sądzę.,Spell,GVG_019,,,Warlock,
,,Goblins vs Gnomes,Serce demona,,+5/+5.,,,,,,Enchantment,GVG_019e,,,Warlock,
,True,Goblins vs Gnomes,Skaczące ostrze,Andrew Hou,Zadaj $1 pkt. obrażeń losowemu stronnikowi. Powtarzaj aż zginie jakiś stronnik.,Epic,,3,,„Kosi kosi łapci. Pojedziem do babci. Babcia skosi gości. I obgryzie kości”. - popularna goblińska wyliczanka,Spell,GVG_050,,,Warrior,
Battlecry,True,Goblins vs Gnomes,Skurczmajster,Jim Nelson,<b>Okrzyk bojowy:</b> Daj stronnikowi -2 do ataku w tej turze.,Common,3,2,2,Po katastrofie wywołanej przez Światopowiększator gnomy bardzo nieufnie odnoszą się do wynalazków manipulujących rozmiarami przedmiotów i osób.,Minion,GVG_011,,,Priest,
,True,Goblins vs Gnomes,Snajper Parochlebców,Jun Kang,Moc specjalna twojego bohatera może być stosowana wobec stronników.,Epic,2,2,3,Gobliny najczęściej rozwiązują problemy za pomocą bomb dlatego nieczęsto trafiają się wśród nich snajperzy.,Minion,GVG_087,,,Hunter,
Freeze,True,Goblins vs Gnomes,Śniegoczłap,Gabor Szikszai,<b>Zamroź</b> każdą postać zranioną przez tego stronnika.,Common,2,2,3,Zaczłapuje przeciwników na śmierć.,Minion,GVG_002,,Mech,Mage,
,True,Goblins vs Gnomes,Strzał kobry,Howard Lyon,Zadaj $3 pkt. obrażeń stronnikowi oraz wrogiemu bohaterowi.,Common,,5,,Strzał kobry jest dużo łatwiej opanować niż szał kobry.,Spell,GVG_073,,,Hunter,
,,Goblins vs Gnomes,Super ostre!,,+1 do ataku.,,,,,,Enchantment,GVG_023a,,,,
,True,Goblins vs Gnomes,Światło Naaru,Jesper Ejsing,Przywróć #3 pkt. zdrowia. Jeśli cel wciąż jest ranny przyzwij Strażniczkę Światłości.,Rare,,1,,Światła takiej jakości to ze świecą szukać.,Spell,GVG_012,,,Priest,
Windfury,True,Goblins vs Gnomes,Szaman Kafardunów,José Ladrönn,<b>Furia wichruPrzeciążenie:</b> (1)50% szans na zaatakowanie niewłaściwego wroga.,Rare,5,4,4,Zamyka oczy i daje się ponieść pierwotnym instynktom.,Minion,GVG_066,,,Shaman,
Deathrattle,True,Goblins vs Gnomes,Szatkownik Szmondaka,Christopher Moeller,<b>Agonia:</b> Przyzwij losowego legendarnego stronnika.,Legendary,5,8,7,Kiedy Szmondak został pokonany jego szatkownik odkupił anonimowy nabywca. (Najprawdopodobniej był to Wyżer).,Minion,GVG_114,True,Mech,,
Battlecry,True,Goblins vs Gnomes,Szkarłatny czyściciel,Anton Zemskov,<b>Okrzyk bojowy:</b> Zadaj 2 pkt. obrażeń wszystkim stronnikom z <b>Agonią</b>.,Rare,4,3,3,Kierownictwo Szkarłatnej Krucjaty rozważa zmianę nazwy na „Fuksjowa Krucjata” celem złagodzenia wizerunku tej organizacji.,Minion,GVG_101,,,Paladin,
,True,Goblins vs Gnomes,Szlamior Duchobieżca,Clint Langley,Dobierz kartę za każdym razem gdy zginie przyjazny Murlok. <b>Przeciążenie:</b> (1),Epic,2,4,5,Żywioły przybywają z pomocą każdemu kto wzywa je w słusznej sprawie – nawet jeśli ów ktoś czyni to gulgocząc niezrozumiale.,Minion,GVG_040,,Murloc,Shaman,
Battlecry,True,Goblins vs Gnomes,Tarczowniczka,Alex Horley Orlandelli,<b>Okrzyk bojowy:</b> Otrzymujesz 5 pkt. pancerza.,Rare,5,6,5,Zawsze ma pod ręką kilka zapasowych tarcz – tak na wszelki wypadek.,Minion,GVG_053,,,Warrior,
Battlecry,True,Goblins vs Gnomes,Technik z Majsterkowa,Gabor Szikszai,<b>Okrzyk bojowy:</b> Otrzymuje +1/+1 oraz dodajesz kartę <b>Części zamiennej</b> do twojej ręki jeśli kontrolujesz Mecha.,Common,3,3,3,Jak przygoda to tylko w Majsterkowie!,Minion,GVG_102,,,,
,,Goblins vs Gnomes,Tłoki,,Zwiększony atak.,,,,,,Enchantment,GVG_076a,,,,
Battlecry|Deathrattle,True,Goblins vs Gnomes,Toshley,Zoltan & Gabor,<b>Okrzyk bojowy oraz Agonia:</b> Dodaj kartę <b>Części zamiennej</b> do twojej ręki.,Legendary,5,6,7,Marzył o mieczu świetlnym ale miał za mało mocy.,Minion,GVG_115,True,,,
,True,Goblins vs Gnomes,Trogg kruszyskalny,Peet Cooper,Otrzymuje +1 do ataku za każdym razem gdy przeciwnik rzuci zaklęcie.,Common,2,2,3,Jedyna rzecz gorsza od wąchania trogga to słuchanie jego poezji.,Minion,GVG_067,,,,
,True,Goblins vs Gnomes,Trogg twardopaszczy,Chris Rahn,Otrzymuje +2 do ataku za każdym razem gdy przeciwnik rzuci zaklęcie.,Common,3,4,5,Mimo twardej paszczy lubi jajka na miękko.,Minion,GVG_068,,,,
,True,Goblins vs Gnomes,Troggzor Zieminator,Mike Sass,Za każdym razem gdy przeciwnik rzuci zaklęcie przyzywasz Trogga twardopaszczego.,Legendary,6,7,6,Jeszcze tu wróci.,Minion,GVG_118,True,,,
,,Goblins vs Gnomes,Tryb bojowy,,+1 do ataku.,,,,,,Spell,GVG_030a,,,Druid,
,,Goblins vs Gnomes,Tryb bojowy,,+1 do ataku.,,,,,,Enchantment,GVG_030ae,,,Druid,
,,Goblins vs Gnomes,Tryb obronny,,+1 do zdrowia.,,,,,,Enchantment,GVG_030be,,,Druid,
,,Goblins vs Gnomes,Tryb obronny,,+1 do zdrowia.,,,,,,Spell,GVG_030b,,,Druid,
Battlecry,True,Goblins vs Gnomes,Trybomłot,Danny Orizio,<b>Okrzyk bojowy:</b> Daj losowemu przyjaznemu stronnikowi <b>Boską tarczę</b> oraz <b>Prowokację</b>.,Epic,2,3,,Kawał złomu wyrwany z jakiegoś ustrojstwa wetknięty na patyk i pomazany starożytnymi runami – broń tak niezawodna jak wskazuje na to jej opis.,Weapon,GVG_059,,,Paladin,3
,True,Goblins vs Gnomes,Trzask,Warren Mahy,Zadaj $3-$6 pkt. obrażeń.<b>Przeciążenie:</b> (1),Common,,2,,Słyszysz trzask i wydajesz wrzask!,Spell,GVG_038,,,Shaman,
Aura,True,Goblins vs Gnomes,Tycia wyklinaczka,Jonboy Meyers,Sąsiedni stronnicy nie mogą zostać wybrani jako cel zaklęć lub mocy specjalnych.,Epic,2,4,5,Zacięcie wyklina każde zaklęcie.,Minion,GVG_122,,,Mage,
Battlecry,True,Goblins vs Gnomes,Tygrys metalozębny,Hideaki Takamura,<b>Okrzyk bojowy:</b> Daj twoim innym Mechom +2 do ataku.,Rare,3,3,3,Nie zostawiaj ich na deszczu. W kraterze Un&sbquo;goro jest cała kolonia tygrysów rdzawozębnych.,Minion,GVG_048,,Mech,Hunter,
Battlecry,True,Goblins vs Gnomes,Ulepszony reperobot,Nutchapol Thitinunthakorn,<b>Okrzyk bojowy:</b> Daj przyjaznemu Mechowi +4 do zdrowia.,Rare,5,5,5,Ten model nie różni się niczym od poprzedniego – po prostu ma w nazwie słowo „ulepszony” i jest z tego powodu dwukrotnie droższy.,Minion,GVG_083,,Mech,Priest,
,,Goblins vs Gnomes,Uścisk Mal&sbquo;Ganisa,,Mal&sbquo;Ganis zapewnia +2/+2.,,,,,,Enchantment,GVG_021e,,,Warlock,
Charge,,Goblins vs Gnomes,V-07-TR-0N,Chris Seaman,<b>Szarża</b><b>Mega furia wichru</b> <i>(Może atakować cztery razy w ciągu tury).</i>,Legendary,4,8,8,,Minion,GVG_111t,True,Mech,,
Battlecry,True,Goblins vs Gnomes,Vol&sbquo;jin,Raymond Swanland,<b>Okrzyk bojowy:</b> Zamień punkty zdrowia z innym stronnikiem.,Legendary,6,5,2,Vol&sbquo;jin jest łowcą cienia czyli takim jakby kapłanem cienia ale z większym nastawieniem na wudowanie.,Minion,GVG_014,True,,Priest,
Aura,True,Goblins vs Gnomes,Wajcha Wihajmistrza,Richard Wright,Ma +2 do ataku gdy kontrolujesz Mecha.,Epic,1,3,,Do tentegowania i łbów rozwalania!,Weapon,GVG_024,,,Rogue,3
,True,Goblins vs Gnomes,Werbunek,Mike Hayes,Przyzwij trzech Rekrutów Srebrnej Dłoni 1/1. Wyposaż bohatera w broń 1/4.,Rare,,3,,„Dwóch synów matka miała - mądry został na roli a drugi poszedł do Srebrnej Dłoni”. – tekst przyśpiewki rekrutów.,Spell,GVG_061,,,Paladin,
Aura,True,Goblins vs Gnomes,Wihajmistrz,Trent Kaniuga,Ma +2 do ataku gdy kontrolujesz Mecha.,Common,1,1,2,W końcu się przyzwyczajasz. Ja już nawet nie zauważam sprężyn i kółek zębatych. Widzę robota pajęczy czołg promień śmierci...,Minion,GVG_013,,,,
,True,Goblins vs Gnomes,Wilk morski,Alex Horley Orlandelli,,Common,7,5,4,Przez pewien czas był wilkiem podmorskim ale w końcu go wyłowiono.,Minion,GVG_070,,Pirate,,
,,Goblins vs Gnomes,Wirujące ostrza,,+1 do ataku.,,,,,,Enchantment,PART_007e,,,,
,,Goblins vs Gnomes,Wirujące ostrza,Nutchapol Thitinunthakorn,Daj stronnikowi +1 do ataku.,,,1,,,Spell,PART_007,,,,
Windfury,True,Goblins vs Gnomes,Wirujący iskrobot,Jim Nelson,<b>Furia wichru</b>,Common,3,2,2,Należy go trzymać z dala od beczek z prochem.,Minion,GVG_037,,Mech,Shaman,
Divine Shield|Taunt,True,Goblins vs Gnomes,Wkurzotron,Matt Dixon,<b>Prowokacja</b><b>Boska tarcza</b>,Common,1,2,2,Wynalazcę Wkurzotrona niemal natychmiast wyrzucono z Akademii Majstrów później z Majsterkowa aż w końcu wygnano go ze Wschodnich Królestw i zakazano powrotu.,Minion,GVG_085,,Mech,,
,,Goblins vs Gnomes,Wybraniec Velena,,+2/+4 oraz <b>Obrażenia zaklęć +1</b>.,,,,,,Enchantment,GVG_010b,,,,
,True,Goblins vs Gnomes,Wybraniec Velena,Alex Horley Orlandelli,Daj stronnikowi +2/+4 oraz <b>Obrażenia zaklęć +1</b>.,Common,,3,,Jak Velen kogoś wybierze to nie ma zmiłuj!,Spell,GVG_010,,,Priest,
Deathrattle,True,Goblins vs Gnomes,Wybuchowa owca,Ralph Horsley,<b>Agonia:</b> Zadaj 2 pkt. obrażeń wszystkim stronnikom.,Common,1,2,1,Modę na wybuchowe owce zapoczątkował niejaki szewczyk Skuba z czworaków pod Wichrogrodem.,Minion,GVG_076,,Mech,,
,,Goblins vs Gnomes,Wyśrubnik,,+2/+2.,,,,,,Enchantment,GVG_055e,,,Warrior,
,,Goblins vs Gnomes,Wzmocnienie,,+2/+2.,,,,,,Enchantment,GVG_036e,,,Shaman,
,,Goblins vs Gnomes,Zacienienie,,Zamienione zdrowie.,,,,,,Enchantment,GVG_014a,,,Priest,
,True,Goblins vs Gnomes,Zagubiony biegus,Benjamin Zhang,,Common,5,4,4,Na zadku ma wytatuowaną wiadomość: „Znalazcę prosimy o zwrot zguby do Mulgoru”.,Minion,GVG_071,,Beast,,
Deathrattle,True,Goblins vs Gnomes,Załogowy podniebny golem,Michael Phillippi,<b>Agonia:</b> Przyzwij losowego stronnika o koszcie 4.,Epic,6,6,4,To szczytowe osiągnięcie goblińskiej technologii jest wyposażone w skórzaną tapicerkę ekspres do kawy i podgrzewane siedzenia.,Minion,GVG_105,,Mech,,
Deathrattle,True,Goblins vs Gnomes,Załogowy szatkownik,Dan Scott,<b>Agonia:</b> Przyzwij losowego stronnika o koszcie 2.,Common,4,4,3,Kiedyś tylko gobliny mogły siadać za sterami szatkowników. Dzisiaj produkują nawet modele dla taurenów.,Minion,GVG_096,,Mech,,
,,Goblins vs Gnomes,Zamiana,,Atak i zdrowie zostały zamienione przez Zmiano-odwracacz.,,,,,,Enchantment,PART_006a,,,,
,,Goblins vs Gnomes,Żelazna postać,,Zwiększone statystyki.,,,,,,Enchantment,GVG_027e,,,Rogue,
Battlecry,True,Goblins vs Gnomes,Żelazny moloch,Raymond Swanland,<b>Okrzyk bojowy:</b> Wtasuj Minę do talii przeciwnika. Jeśli zostanie dobrana eksploduje zadając 10 pkt. obrażeń.,Legendary,6,6,5,Żelazny moloch niestrudzenie strzeże Orgrimmaru. Jest tak skuteczny że właśnie udało mu się zostać pracownikiem miesiąca!,Minion,GVG_056,True,Mech,Warrior,
,True,Goblins vs Gnomes,Żelazny sensei,Brian Despain,Na koniec twojej tury daj innemu przyjaznemu Mechowi +2/+2.,Rare,2,3,2,Jest jednym z nielicznych pedagogów który znajduje wspólny język z mechami.01000111101001001,Minion,GVG_027,,Mech,Rogue,
,True,Goblins vs Gnomes,Zew przodków,Dan Scott,Umieść po jednym losowym stronniku z ręki każdego z graczy na polu bitwy.,Epic,,4,,Poprzednia wersja tej karty nazywała się „Zlew przodków” ale przodkowie się obrazili.,Spell,GVG_029,,,Shaman,
,,Goblins vs Gnomes,Zezłomowanie,,Zwiększone statystyki.,,,,,,Enchantment,GVG_106e,,,,
,True,Goblins vs Gnomes,Złomobot,Zoltan Boros,Otrzymuje +2/+2 za każdym razem gdy zginie przyjazny Mech.,Epic,1,5,5,To złomobot wszystko skrawa bez różnicy stal czy trawa. I w ogóle jest zabawa!,Minion,GVG_106,,Mech,,
,,Goblins vs Gnomes,Zmarszczenie brwi,,Zwiększone statystyki.,,,,,,Enchantment,GVG_100e,,,Warlock,
,,Goblins vs Gnomes,Zmiano-odwracacz,Nutthapon Petthai,Zamień atak i zdrowie stronnika.,,,1,,,Spell,PART_006,,,,
,True,Goblins vs Gnomes,Zmiażdżenie,Michael Sutfin,Zniszcz stronnika. Jeśli kontrolujesz rannego stronnika koszt tej karty jest mniejszy o (4) pkt.,Epic,,7,,Pewna wojowniczka imieniem Jagienka często używała tej karty na orzechach.,Spell,GVG_052,,,Warrior,
,True,Goblins vs Gnomes,Życiodajny totem,Guangjian Huang,Na koniec twojej tury przywraca 4 pkt. zdrowia twojemu bohaterowi.,Rare,0,2,3,Przed użyciem zapoznaj się z treścią ulotki dołączonej do opakowania bądź skonsultuj się z szamanem lub duchami przodków.,Minion,GVG_039,,Totem,Shaman,
