MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,FACTION,DURABILITY
,Blackrock Mountain,Rozkaz Drakkisata,Zniszcz stronnika. Otrzymujesz 10 pkt. pancerza.,,1,,Spell,BRMA08_3,,,,,,,,,,,
,Blackrock Mountain,Rwij Czarnoręki,,,,30,Hero,BRMA09_1,,,,,,,,,,,
Battlecry,Blackrock Mountain,Rwij Czarnoręki,<b>Okrzyk bojowy:</b> Jeśli masz w ręku Smoka zniszcz <b>legendarnego</b> stronnika.,8,7,4,Minion,BRM_029,True,Legendary,,,True,Alex Horley,Można wykonać po ukończeniuIglicy Czarnej Góry.,Z takim przydomkiem nie ma żadnych oporów przed pobrudzeniem sobie rąk.,Aby odblokować ukończ Iglicę Czarnej Góry.,,
,Blackrock Mountain,Rwij Czarnoręki,,,,30,Hero,BRMA09_1H,,,,,,,,,,,
,Blackrock Mountain,Ślepy szał,Zwiększony atak.,,,,Enchantment,BRMA10_6e,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Sługa Ognia,<b>Agonia:</b> Zadaj 1 pkt. obrażeń wrogiemu bohaterowi za każdego Sługę Ognia który zginął w tej turze.,0,0,5,Minion,BRMA04_3,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Sługa Ognia,<b>Agonia:</b> Zadaj 3 pkt. obrażeń wrogiemu bohaterowi za każdego Sługę Ognia który zginął w tej turze.,0,0,5,Minion,BRMA04_3H,,,,,,,,,,,
,Blackrock Mountain,Słyszę cię...,Zwiększony atak.,,,,Enchantment,BRMA16_5e,,,,,,,,,,,
,Blackrock Mountain,Smagnięcie,Zadaj $4 pkt. obrażeń.,,4,,Spell,BRM_030t,,,,,,,,,,,
,Blackrock Mountain,Smocza krew,+1/+1,,,,Enchantment,BRM_033e,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Smocza potęga,Kosztuje (3) mniej w tej turze.,,,,Enchantment,BRM_003e,,,,Mage,,,,,,,
,Blackrock Mountain,Smocze jajo,Za każdym razem gdy ten stronnik zostanie zraniony przyzwij Pisklę 2/1.,0,1,2,Minion,BRM_022,,Rare,,,True,Jaemin Kim,Można wykonać po pokonaniu Rwija Czarnorękiego w Iglicy Czarnej Góry.,Traktuj je jak amunicję do smoczego działa.,Aby odblokować pokonaj Rwija Czarnorękiego w Iglicy Czarnej Góry.,,
,Blackrock Mountain,Smocze Kły,Otrzymuje +1 do ataku za każdym razem gdy przeciwnik zagra kartę.,0,1,,Weapon,BRMA16_5,,,,,,,,,,,6
,Blackrock Mountain,Smocze zionięcie,Zadaj $4 pkt. obrażeń. Kosztuje (1) mniej za każdego stronnika który zginął w tej turze.,,5,,Spell,BRM_003,,Common,,Mage,True,Mauricio Herrera,Można wykonać po ukończeniu wyzwania klasowego dla maga w Czarnej Górze.,Smocze zionięcie jest najintensywniejsze zaraz po przebudzeniu.,Aby odblokować ukończ wyzwanie klasowe dla maga w Czarnej Górze.,,
Battlecry,Blackrock Mountain,Smoczy towarzysz,<b>Okrzyk bojowy:</b> Następny Smok którego zagrasz kosztuje (2) mniej.,5,5,5,Minion,BRM_018,,Rare,Dragon,Paladin,True,Raymond Swanland,Można wykonać po pokonaniu Generała Drakkisata w Iglicy Czarnej Góry.,Każdy potrzebuje w życiu odrobiny miłości. Nawet gruboskórne bestie.,Aby odblokować pokonaj Generała Drakkisata w Iglicy Czarnej Góry.,,
,Blackrock Mountain,Soniczne zionięcie,Zadaj $3 pkt. obrażeń stronnikowi. Daj twojej broni +3 do ataku,,4,,Spell,BRMA16_3,,,,,,,,,,,
,Blackrock Mountain,Soniczne zionięcie,+3 do ataku.,,,,Enchantment,BRMA16_3e,,,,,,,,,,,
,Blackrock Mountain,Splugawione jajo,Kiedy ten stronnik ma 4 lub więcej pkt. zdrowia następuje wylęg.,0,1,1,Minion,BRMA10_4,,,,,,,,,,,
,Blackrock Mountain,Splugawione jajo,Kiedy ten stronnik ma 5 lub więcej pkt. zdrowia następuje wylęg.,0,1,3,Minion,BRMA10_4H,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Stopienie,Atak zmieniony na 0 w tej turze.,,,,Enchantment,BRM_001e,,,,Priest,,,,,,,
Battlecry,Blackrock Mountain,Syn Płomienia,<b>Okrzyk bojowy:</b> Zadaj 6 pkt. obrażeń.,6,0,3,Minion,BRMA13_5,,,,,,,,,,,
,Blackrock Mountain,System Obronny Omnotron,,,,30,Hero,BRMA14_1,,,,,,,,,,,
,Blackrock Mountain,System Obronny Omnotron,,,,30,Hero,BRMA14_1H,,,,,,,,,,,
,Blackrock Mountain,Szef chochlików,Za każdym razem gdy ten stronnik zostanie zraniony przyzwij Chochlika 1/1.,2,3,4,Minion,BRM_006,,Common,Demon,Warlock,True,Steve Prescott,Można wykonać po pokonaniu Mojordomusa Egzekutusa w Ognistej Czeluści.,Wraz ze swoim gangiem chochlików lubi zakradać się do Wichrogrodu i pisać „Ragnaros rządzi!” na wieży magów.,Aby odblokować pokonaj Mojordomusa Egzekutusa w Ognistej Czeluści.,,
,Blackrock Mountain,Szpon Onyxii,,2,2,,Weapon,BRMA17_9,,,,,,,,,,,6
,Blackrock Mountain,Szpony Brzytworoga,Otrzymuje +1 do ataku za każdym razem gdy zginie Splugawione jajo.,1,1,,Weapon,BRMA10_6,,,,,,,,,,,5
AffectedBySpellPower,Blackrock Mountain,Szybki strzał,Zadaj $3 pkt. obrażeń.Jeśli masz pustą rękę dobierz kartę.,,2,,Spell,BRM_013,,Common,,Hunter,True,Jonboy Meyers,Można wykonać po ukończeniu wyzwania klasowego dla łowcy w Czarnej Górze.,To Han strzelił pierwszy!,Aby odblokować ukończ wyzwanie klasowe dla łowcy w Czarnej Górze.,,
,Blackrock Mountain,Szyderczy tłum,<b>Moc specjalna</b>Przyzwij Kibica 1/1 z <b>Prowokacją</b>.,,1,,Hero Power,BRMA02_2,,,,,,,,,,,
,Blackrock Mountain,Szyderczy tłum,<b>Moc specjalna</b>Przyzwij Kibica 1/1 z <b>Prowokacją</b>.,,0,,Hero Power,BRMA02_2H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Technik Czarnoskrzydłego,<b>Okrzyk bojowy:</b> Otrzymuje +1/+1 jeśli masz w ręku Smoka.,2,3,4,Minion,BRM_033,,Common,,,True,Matt Dixon,Można wykonać po pokonaniu Barona Geddona w Ognistej Czeluści.,Na studiach szkoliła się pod okiem człowieka-nietoperza.,Aby odblokować pokonaj Barona Geddona w Ognistej Czeluści.,Neutral,
,Blackrock Mountain,Toksytron,Na początku twojej tury zadaje 1 pkt. obrażeń wszystkim pozostałym stronnikom.,3,1,3,Minion,BRMA14_5,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Toksytron,Na początku twojej tury zadaje 1 pkt. obrażeń wszystkim pozostałym stronnikom.,4,1,4,Minion,BRMA14_5H,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Trzech na jednego,Wybierz stronnika. Wtasuj 3 kopie jego karty do twojej talii.,,2,,Spell,BRM_007,,Common,,Rogue,True,Jim Nelson,Można wykonać po pokonaniu Areny Czarnorytnych w Otchłani Czarnej Góry.,...to banda Łysego.,Aby odblokować pokonaj Arenę Czarnorytnych w Otchłani Czarnej Góry.,,
,Blackrock Mountain,Uroczyste czuwanie,Dobierz 2 karty. Kosztuje (1) mniej za każdego stronnika który zginął w tej turze.,,5,,Spell,BRM_001,,Common,,Paladin,True,Jaime Jones,Można wykonać po ukończeniu wyzwania klasowego dla paladyna w Czarnej Górze.,Co roku pod Czarną Górą gromadzą się tłumy opłakujące tych których kontrolą umysłu zmuszono do utopienia się w lawie.,Aby odblokować ukończ wyzwanie klasowe dla paladyna w Czarnej Górze.,,
,Blackrock Mountain,Vaelastraz Plugawy,,,,30,Hero,BRMA11_1H,,,,,,,,,,,
,Blackrock Mountain,Vaelastraz Plugawy,,,,30,Hero,BRMA11_1,,,,,,,,,,,
,Blackrock Mountain,Walimy!,Przyzwij czterech krasnoludów 1/1 z <b>Prowokacją</b>.,,3,,Spell,BRMA01_4,,,,,,,,,,,
,Blackrock Mountain,Wielkie pazury,+3/+3.,,,,Enchantment,BRM_024e,,,,,,,,,,,
Windfury,Blackrock Mountain,Wirujący popiół,<b>Furia wichru</b>,4,0,5,Minion,BRMA13_7,,,,,,,,,,,
,Blackrock Mountain,Wskrzeszenie,Przyzwij losowego przyjaznego stronnika który zginął w tej grze.,,2,,Spell,BRM_017,,Rare,,Priest,True,Luke Mancini,Można wykonać po pokonaniu Imperatora Thaurissana w Otchłani Czarnej Góry.,Po wejściu do podziemi zauważyłem powalonego awanturnika. W ostatnich chwilach życia wydrapał w kurzu na ścianie za sobą krótką wiadomość: „rez plz”.,Aby odblokować pokonaj Imperatora Thaurissana w Otchłani Czarnej Góry.,,
,Blackrock Mountain,Wstrząs lawy,Zadaj $2 pkt. obrażeń.Odblokuj twoje <b>Przeciążone</b> kryształy many.,,2,,Spell,BRM_011,,Rare,,Shaman,True,Zoltan Boros,Można wykonać po ukończeniu wyzwania klasowego dla szamana w Czarnej Górze.,Bliskie spotkanie z lawą może być zaprawdę wstrząsające!,Aby odblokować ukończ wyzwanie klasowe dla szamana w Czarnej Górze.,,
OneTurnEffect,Blackrock Mountain,Wstrząs lawy,Karty zagrane w tej turze nie powodują <b>Przeciążenia</b>.,,,,Enchantment,BRM_011t,,,,Shaman,,,,,,,
Taunt,Blackrock Mountain,Wulkaniczny drzewion,<b>Prowokacja.</b>Kosztuje (1) mniej za każdego stronnika który zginął w tej turze.,7,9,8,Minion,BRM_009,,Rare,,Druid,True,Trent Kaniuga,Można wykonać po ukończeniu wyzwania klasowego dla druida w Czarnej Górze.,Profesjonalnie zajmuje się rozpalaniem ognia przez pocieranie gałęzi.,Aby odblokować ukończ wyzwanie klasowe dla druida w Czarnej Górze.,,
,Blackrock Mountain,Wulkaniczny smokowiec,Kosztuje (1) mniej za każdego stronnika który zginął w tej turze.,6,6,4,Minion,BRM_025,,Common,Dragon,,True,Lucas Graciano,Można wykonać po pokonaniu Systemu Obronnego Omnotron w Ukrytym Laboratorium.,Po godzinach dorabia w zakładzie wulkanizacyjnym.,Aby odblokować pokonaj System Obronny Omnotron w Ukrytym Laboratorium.,,
,Blackrock Mountain,Wybuch many,<b>Moc specjalna</b>Zadaj 10 pkt. obrażeń wrogiemu bohaterowi jeśli ma niewydaną manę.,,0,,Hero Power,BRMA05_2H,,,,,,,,,,,
,Blackrock Mountain,Wybuch many,<b>Moc specjalna</b>Zadaj 5 pkt. obrażeń wrogiemu bohaterowi jeśli ma niewydaną manę.,,0,,Hero Power,BRMA05_2,,,,,,,,,,,
,Blackrock Mountain,Wykidajło Czarnorytnych,Zawsze wygrywa Bójki.,4,6,8,Minion,BRMA01_3,,,,,,,,,,,
,Blackrock Mountain,Wylęgarnia,<b>Moc specjalna</b>Daj wszystkim Splugawionym jajom +1 do zdrowia i przyzwij kolejne jajo.,,0,,Hero Power,BRMA10_3H,,,,,,,,,,,
,Blackrock Mountain,Wylęgarnia,<b>Moc specjalna</b>Daj wszystkim Splugawionym jajom +1 do zdrowia i przyzwij kolejne jajo.,,1,,Hero Power,BRMA10_3,,,,,,,,,,,
,Blackrock Mountain,Wytrwałość Zmierzchu,Zwiększone zdrowie.,,,,Enchantment,BRM_004e,,,,,,,,,,,
,Blackrock Mountain,Wyzwól Aberracje!,Przyzwij 3 Aberracje.,,2,,Spell,BRMA15_3,,,,,,,,,,,
,Blackrock Mountain,Wyzwolenie!,Twój następny Smok kosztuje (2) mniej.,,,,Enchantment,BRM_018e,,,,Paladin,,,,,,,
,Blackrock Mountain,Żarzyciel,Gdy rzucisz zaklęcie zadaj 2 pkt. obrażeń rozdzielone losowo pomiędzy wszystkimi wrogami.,2,3,4,Minion,BRM_002,,Rare,,Mage,True,Alex Horley Orlandelli,Można wykonać po pokonaniu Vaelastrazaw Leżu Czarnoskrzydłego.,Ukrytą pasją Żarzycieli jest ortografia. Godzinami potrafią rozmawiać o różnicach miedzy „ż” a „rz”.,Aby odblokować pokonaj Vaelastraza w Leżu Czarnoskrzydłego.,,
,Blackrock Mountain,Żarzyciel Akolita,,1,2,3,Minion,BRMA06_4,,,,,,,,,,,
,Blackrock Mountain,Żarzyciel Akolita,,3,2,3,Minion,BRMA06_4H,,,,,,,,,,,
,Blackrock Mountain,Zejście,<b>Moc specjalna</b>Przyzwij Gytha. Otrzymujesz nową moc specjalną.,,4,,Hero Power,BRMA09_5,,,,,,,,,,,
,Blackrock Mountain,Zejście,<b>Moc specjalna</b>Przyzwij Gytha. Otrzymujesz nową moc specjalną.,,4,,Hero Power,BRMA09_5H,,,,,,,,,,,
,Blackrock Mountain,Zemsta,Zadaj $1 pkt. obrażeń wszystkim stronnikom. Jeśli masz 12 pkt. zdrowia lub mniej zamiast tego zadaj $3 pkt. obrażeń.,,2,,Spell,BRM_015,,Rare,,Warrior,True,Ben Olson,Można wykonać po pokonaniu Brzytworogaw Leżu Czarnoskrzydłego.,Jest słodka i ponoć najlepiej smakuje na zimno.,Aby odblokować pokonaj Brzytworoga w Leżu Czarnoskrzydłego.,,
,Blackrock Mountain,Zielone Piętno,Gdy masz tę kartę w ręce przywracasz 2 pkt. zdrowia przeciwnikowi na początku twojej tury.,,1,,Spell,BRMA12_4,,,,,,,,,,,
,Blackrock Mountain,Zielone Piętno,Gdy masz tę kartę w ręce przywracasz 6 pkt. zdrowia przeciwnikowi na początku twojej tury.,,3,,Spell,BRMA12_4H,,,,,,,,,,,
,Blackrock Mountain,Żywa bomba,W turze Geddona zadaj 10 pkt. obrażeń wszystkim twoim postaciom.,,,,Enchantment,BRMA05_3He,,,,,,,,,,,
,Blackrock Mountain,Żywa bomba,Wybierz wrogiego stronnika. Jeśli przeżyje do twojej następnej tury zadaj $10 pkt. obrażeń wszystkim wrogom.,,3,,Spell,BRMA05_3H,,,,,,,,,,,
,Blackrock Mountain,Żywa bomba,W turze Geddona zadaj zadaj 5 pkt. obrażeń wszystkim twoim postaciom.,,,,Enchantment,BRMA05_3e,,,,,,,,,,,
,Blackrock Mountain,Żywa bomba,Wybierz wrogiego stronnika. Jeśli przeżyje do twojej następnej tury zadaj $5 pkt. obrażeń wszystkim wrogom.,,4,,Spell,BRMA05_3,,,,,,,,,,,
Taunt,Blackrock Mountain,Żywa lawa,<b>Prowokacja</b>,6,0,6,Minion,BRMA13_6,,,,,,,,,,,
