MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,ELITE,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
Battlecry,"Classic","Flame Imp","<b>Battlecry:</b> Deal 3 damage to your hero.","Minion","EX1_319",True,"Neutral","Alex Horley Orlandelli","Common",3,1,2,"Imps like being on fire.  They just do.",,"Warlock","Demon",,
,"Classic","Flame of Azzinoth",,"Minion","EX1_614t",,,,,2,1,1,,,,,,
,"Classic","Flare","All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.","Spell","EX1_544",True,"Neutral","Tyler Walpole","Rare",,2,,"Not only does it reveal your enemies but it's also great for parties!",,"Hunter",,,
,"Classic","Flesheating Ghoul","Whenever a minion dies gain +1 Attack.","Minion","tt_004",True,"Neutral","Alex Horley Orlandelli","Common",2,3,3,"'Flesheating' is an unfair name.  It's just that there's not really much else for him to eat.",,,,"Cannibalism",
,"Classic","Force of Nature","Summon three 2/2 Treants with <b>Charge</b> that die at the end of the turn.","Spell","EX1_571",True,"Neutral","Trevor Jacobs","Epic",,6,,""I think I'll just nap under these trees. Wait... AAAAAHHH!" - Blinkfizz the Unfortunate Gnome",,"Druid",,,
,"Classic","Forked Lightning","Deal $2 damage to 2 random enemy minions. <b>Overload:</b> (2)","Spell","EX1_251",True,"Neutral","Ralph Horsley","Common",,1,,"If you combine it with Spooned Lightning and Knived Lightning you have the full dining set.",,"Shaman",,,
Secret,"Classic","Freezing Trap","<b>Secret:</b> When an enemy minion attacks return it to its owner's hand and it costs (2) more.","Spell","EX1_611",True,"Neutral","Matt Gaser","Common",,2,,""Dang that's cold." - appropriate response to Freezing Trap or a mean joke.",,"Hunter",,,
Battlecry|Freeze,"Classic","Frost Elemental","<b>Battlecry:</b> <b>Freeze</b> a character.","Minion","EX1_283",True,"Neutral","Dan Scott","Common",5,6,5,"When a Water elemental and an Ice elemental love each other VERY much...",,,,,
,"Classic","Frothing Berserker","Whenever a minion takes damage gain +1 Attack.","Minion","EX1_604",True,"Neutral","Simon Bisley","Rare",2,3,4,"He used to work as an accountant before he tried his hand at Berserkering.",,"Warrior",,"Berserk",
,"Classic","Full Belly","+2/+2.  Full of Murloc.","Enchantment","NEW1_017e",,,,,,,,,,,,,
,"Classic","Full Strength","This minion has +2 Attack.","Enchantment","CS2_181e",,,,,,,,,,,,,
,"Classic","Gadgetzan Auctioneer","Whenever you cast a spell draw a card.","Minion","EX1_095",True,"Neutral","Matt Dixon","Rare",4,6,4,"He used to run the black market auction house but there was just too much violence and he had to move.",,,,"Auctioning",
,"Classic","Gladiator's Longbow","Your hero is <b>Immune</b> while attacking.","Weapon","DS1_188",True,"Neutral","Peter C. Lee","Epic",5,7,,"The longbow allows shots to be fired from farther away and is useful for firing on particularly odorous targets.",,"Hunter",,,2
Taunt,"Classic","Gnoll","<b>Taunt</b>","Minion","NEW1_040t",,,,,2,2,2,,,,,,
,"Classic","Gorehowl","Attacking a minion costs 1 Attack instead of 1 Durability.","Weapon","EX1_411",True,"Neutral","Zoltan & Gabor","Epic",7,7,,"Grommash Hellscream's famous axe.  Somehow this ended up in Prince Malchezaar's possession.  Quite the mystery!",,"Warrior",,,1
,"Classic","Greenskin's Command","+1/+1.","Enchantment","NEW1_024o",,,,,,,,,,,,,
Charge|Enrage,"Classic","Grommash Hellscream","<b>Charge</b>
<b>Enrage:</b> +6 Attack","Minion","EX1_414",True,"Neutral","Glenn Rane","Legendary",4,8,9,"Grommash drank the tainted blood of Mannoroth dooming the orcs to green skin and red eyes!  Maybe not his best decision.",True,"Warrior",,,
,"Classic","Growth","Gruul is growing...","Enchantment","NEW1_038o",,,,,,,,,,,,,
,"Classic","Gruul","At the end of each turn gain +1/+1 .","Minion","NEW1_038",True,,"Kev Walker","Legendary",7,8,7,"He's Gruul "the Dragonkiller".  He just wanted to cuddle them… he never meant to…",True,,,"Growth",
,"Classic","Hand of Argus","+1/+1 and <b>Taunt</b>.","Enchantment","EX1_093e",,,,,,,,,,,,,
Battlecry,"Classic","Harrison Jones","<b>Battlecry:</b> Destroy your opponent's weapon and draw cards equal to its Durability.","Minion","EX1_558",True,"Neutral","Matt Dixon","Legendary",5,5,4,"“That belongs in the Hall of Explorers!”",True,,,,
Deathrattle,"Classic","Harvest Golem","<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.","Minion","EX1_556",True,"Neutral","Brian Despain","Common",2,3,3,""Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down."",,,"Mech",,
Combo,"Classic","Headcrack","Deal $2 damage to the enemy hero. <b>Combo:</b> Return this to your hand next turn.","Spell","EX1_137",True,"Neutral","James Zhang","Rare",,3,,"When all else fails nothing beats a swift whack upside the head.",,"Rogue",,,
,"Classic","Heavy Axe",,"Weapon","EX1_409t",,,,,1,1,,,,"Warrior",,,3
,"Classic","Hogger","At the end of your turn summon a 2/2 Gnoll with <b>Taunt</b>.","Minion","NEW1_040",True,,"Laurel D. Austin","Legendary",4,6,4,"Hogger is super powerful. If you kill him it's because he <i>let</i> you.",True,,,,
,"Classic","Holy Fire","Deal $5 damage. Restore #5 Health to your hero.","Spell","EX1_624",True,,"Miguel Coimbra","Rare",,6,,"Often followed by Holy Smokes!",,"Priest",,,
,"Classic","Holy Wrath","Draw a card and deal damage equal to its cost.","Spell","EX1_365",True,"Neutral","Justin Sweet","Rare",,5,,"C'mon Molten Giant!!",,"Paladin",,,
Charge,"Classic","Hound","<b>Charge</b>","Minion","EX1_538t",,,,,1,1,1,,,"Hunter","Beast",,
,"Classic","Hour of Twilight","Increased Health.","Enchantment","EX1_043e",,,,,,,,,,,,,
Battlecry,"Classic","Hungry Crab","<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.","Minion","NEW1_017",True,,"Jaemin Kim","Epic",1,1,2,"Murloc.  It's what's for dinner.",,,"Beast",,
,"Classic","Hyena",,"Minion","EX1_534t",,,"Andrew Robinson","Rare",2,2,2,,,"Hunter","Beast",,
Secret,"Classic","Ice Barrier","<b>Secret:</b> When your hero is attacked gain 8 Armor.","Spell","EX1_289",True,"Neutral","Alex Garner","Common",,3,,"This is Rank 1.  Rank 2 is Chocolate Milk Barrier.",,"Mage",,,
Secret,"Classic","Ice Block","<b>Secret:</b> When your hero takes fatal damage prevent it and become <b>Immune</b> this turn.","Spell","EX1_295",True,"Neutral","Carl Frank","Epic",,3,,"Ice is nice and will suffice!",,"Mage",,,
OneTurnEffect,"Classic","Ice Block","Your hero is <b>Immune</b> this turn.","Enchantment","EX1_295o",,,,,,,,,,"Mage",,,
Freeze,"Classic","Ice Lance","<b>Freeze</b> a character. If it was already <b>Frozen</b> deal $4 damage instead.","Spell","CS2_031",True,"Neutral","Alex Horley Orlandelli","Common",,1,,"The trick is not to break the lance.  Otherwise you have "Ice Pieces."  Ice Pieces aren't as effective.",,"Mage",,,
,"Classic","Illidan Stormrage","Whenever you play a card summon a 2/1 Flame of Azzinoth.","Minion","EX1_614",True,"Neutral","Alex Horley Orlandelli","Legendary",7,6,5,"Illidan's brother Malfurion imprisoned him beneath Hyjal for 10000 years.  Stormrages are not good at letting go of grudges.",True,,"Demon",,
,"Classic","Imp",,"Minion","EX1_598",,"Neutral",,"Rare",1,1,1,,,,"Demon",,
,"Classic","Imp Master","At the end of your turn deal 1 damage to this minion and summon a 1/1 Imp.","Minion","EX1_597",True,"Neutral","Mark Gibbons","Rare",1,3,5,"She would enjoy the job a lot more if she just could get the imps to QUIT BITING HER.",,,,"Imp Master",
,"Classic","Infernal",,"Minion","EX1_tk34",,"Neutral",,"Common",6,6,6,,,"Warlock","Demon",,
,"Classic","INFERNO!","<b>Hero Power</b>
Summon a 6/6 Infernal.","Hero Power","EX1_tk33",,"Neutral",,,,2,,,,"Warlock",,,
,"Classic","Infusion","+3 Health.","Enchantment","EX1_623e",,,,,,,,,,"Priest",,,
Battlecry,"Classic","Injured Blademaster","<b>Battlecry:</b> Deal 4 damage to HIMSELF.","Minion","CS2_181",True,"Horde","Samwise","Rare",4,3,7,"He claims it is an old war wound but we think he just cut himself shaving.",,,,"Weakened",
,"Classic","Inner Fire","This minion's Attack is equal to its Health.","Enchantment","CS1_129e",,,,,,,,,,"Priest",,,
,"Classic","Inner Fire","Change a minion's Attack to be equal to its Health.","Spell","CS1_129",True,"Neutral","Steve Prescott","Common",,1,,"Good idea: Buffing your minions.  Bad idea: Starting a conversation in the Barrens.",,"Priest",,,
,"Classic","Inner Rage","+2 Attack.","Enchantment","EX1_607e",,,,,,,,,,"Warrior",,,
,"Classic","Inner Rage","Deal $1 damage to a minion and give it +2 Attack.","Spell","EX1_607",True,"Neutral","Slawomir Maniak","Common",,0,,"They're only smiling on the outside.",,"Warrior",,,
Battlecry,"Classic","Ironbeak Owl","<b>Battlecry:</b> <b>Silence</b> a minion.","Minion","CS2_203",True,"Horde","Trevor Jacobs","Common",2,2,1,"Their wings are silent but their screech is... whatever the opposite of silent is.",,,"Beast",,
Stealth,"Classic","Jungle Panther","<b>Stealth</b>","Minion","EX1_017",True,"Horde","Jaemin Kim","Common",4,3,2,"Stranglethorn is a beautiful place to visit but you wouldn't want to live there.",,,"Beast",,
,"Classic","Justice Served","Has +1/+1.","Enchantment","EX1_366e",,,,,,,,,,"Paladin",,,
,"Classic","Keeper of the Grove","<b>Choose One</b> - Deal 2 damage; or <b>Silence</b> a minion.","Minion","EX1_166",True,"Neutral","Gabor Szikszai","Rare",2,4,4,"These guys just show up and start Keeping your Groves without even asking.",,"Druid",,,
,"Classic","Keeping Secrets","Increased stats.","Enchantment","EX1_080o",,,,,,,,,,,,,
Combo,"Classic","Kidnapper","<b>Combo:</b> Return a minion to its owner's hand.","Minion","NEW1_005",True,,"Dave Allsop","Epic",5,6,3,"He just wants people to see his vacation photos.",,"Rogue",,,
,"Classic","Kill Millhouse!","Spells cost (0) this turn!","Enchantment","NEW1_029t",,,,"Legendary",,,,,,,,,
Charge,"Classic","King Krush","<b>Charge</b>","Minion","EX1_543",True,"Neutral","Alex Horley Orlandelli","Legendary",8,9,8,"The best defense against King Krush is to have someone you don’t like standing in front of you.",True,"Hunter","Beast",,
Battlecry,"Classic","King Mukla","<b>Battlecry:</b> Give your opponent 2 Bananas.","Minion","EX1_014",True,,"Sunny Gho","Legendary",5,3,5,"King Mukla wanders Jaguero Isle searching for love.",True,,"Beast",,
Battlecry,"Classic","Kirin Tor Mage","<b>Battlecry:</b> The next <b>Secret</b> you play this turn costs (0).","Minion","EX1_612",True,"Neutral","Popo Wei","Rare",4,3,3,"The Kirin Tor reside in the floating city of Dalaran.  How do you make a Dalaran float?  Two scoops of ice cream one scoop of Dalaran.",,"Mage",,,
,"Classic","Knife Juggler","After you summon a minion deal 1 damage to a random enemy.","Minion","NEW1_019",True,,"Matt Cavotta","Rare",3,2,2,"Ambitious Knife Jugglers sometimes graduate to Bomb Jugglers.    They never last long enough to make it onto a card though.",,,,"Juggler",
,"Classic","Laughing Sister","Can't be targeted by spells or Hero Powers.","Minion","DREAM_01",,,,,3,3,5,,,"Dream",,"Quick",
,"Classic","Lava Burst","Deal $5 damage. <b>Overload:</b> (2)","Spell","EX1_241",True,"Neutral","Dan Scott","Rare",,3,,"It's like an ocean of liquid magma in your mouth!",,"Shaman",,,
,"Classic","Lay on Hands","Restore #8 Health. Draw 3 cards.","Spell","EX1_354",True,"Neutral","Raymond Swanland","Epic",,8,,"A grammatically awkward life saver.",,"Paladin",,,
,"Classic","Leader of the Pack","Give your minions +1/+1.","Spell","EX1_160b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Leader of the Pack","+1/+1","Enchantment","EX1_160be",,,,,,,,,,"Druid",,,
Battlecry|Charge,"Classic","Leeroy Jenkins","<b>Charge</b>. <b>Battlecry:</b> Summon two 1/1 Whelps for your opponent.","Minion","EX1_116",True,"Alliance","Gabe from Penny Arcade","Legendary",6,5,2,"At least he has Angry Chicken.",True,,,,
Deathrattle,"Classic","Leper Gnome","<b>Deathrattle:</b> Deal 2 damage to the enemy hero.","Minion","EX1_029",True,"Neutral","Glenn Rane","Common",2,1,1,"He really just wants to be your friend but the constant rejection is starting to really get to him.",,,,,
,"Classic","Level Up!","Increased Attack and Health.","Enchantment","EX1_044e",,,,,,,,,,,,,
,"Classic","Lightning Bolt","Deal $3 damage. <b>Overload:</b> (1)","Spell","EX1_238",True,"Neutral","Daarken","Common",,1,,"Lightning Bolt! Lightning Bolt! Lightning Bolt!",,"Shaman",,,
,"Classic","Lightning Storm","Deal $2-$3 damage to all enemy minions. <b>Overload:</b> (2)","Spell","EX1_259",True,"Neutral","Christopher Moeller","Rare",,3,,"An umbrella won't be effective I'm afraid.",,"Shaman",,,
,"Classic","Lightspawn","This minion's Attack is always equal to its Health.","Minion","EX1_335",True,"Neutral","Daarken","Common",0,4,5,"Spawn of the Light? Or Pawn of the Lights?",,"Priest",,,
,"Classic","Lightwarden","Whenever a character is healed gain +2 Attack.","Minion","EX1_001",True,,"Erik Ko","Rare",1,1,2,"She’s smaller than her sisters Mediumwarden and Heavywarden.",,,,,
,"Classic","Lightwell","At the start of your turn restore 3 Health to a damaged friendly character.","Minion","EX1_341",True,"Neutral","Blizzard Entertainment","Rare",0,2,5,"It isn't clear if people ignore the Lightwell or if it is just invisible.",,"Priest",,"Healing",
Deathrattle,"Classic","Loot Hoarder","<b>Deathrattle:</b> Draw a card.","Minion","EX1_096",True,"Neutral","Jim Nelson","Common",2,2,1,"Always roll need.",,,,,
Battlecry,"Classic","Lord Jaraxxus","<b>Battlecry:</b> Destroy your hero and replace it with Lord Jaraxxus.","Minion","EX1_323",True,,"Alex Horley Orlandelli","Legendary",3,9,15,""TRIFLING GNOME! YOUR ARROGANCE WILL BE YOUR UNDOING!!!!"",True,"Warlock","Demon",,
,"Classic","Lord Jaraxxus",,"Hero","EX1_323h",,"Neutral",,"Legendary",0,0,15,,,"Warlock","Demon",,
,"Classic","Lorewalker Cho","Whenever a player casts a spell put a copy into the other player’s hand.","Minion","EX1_100",True,"Neutral","Mark Zug","Legendary",0,2,4,"Lorewalker Cho archives and shares tales from the land of Pandaria but his favorite story is the one where Joey and Phoebe go on a road trip.",True,,,"Meditate",
Battlecry,"Classic","Mad Bomber","<b>Battlecry:</b> Deal 3 damage randomly split between all other characters.","Minion","EX1_082",True,"Alliance","Mike Sass","Common",3,2,2,"He's not really all that crazy he is just not as careful with explosives as he should be.",,,,,
Spellpower,"Classic","Malygos","<b>Spell Damage +5</b>","Minion","EX1_563",True,"Neutral","Michael Komarck","Legendary",4,9,12,"Malygos hates it when mortals use magic.  He gets so mad!",True,,"Dragon",,
,"Classic","Mana Addict","Whenever you cast a spell gain +2 Attack this turn.","Minion","EX1_055",True,"Alliance","Hideaki Takamura","Rare",1,2,3,"She’s trying to kick the habit but still takes some mana whenever she has a stressful day.",,,,"Addicted",
,"Classic","Mana Gorged","Increased attack.","Enchantment","NEW1_012o",,,,,,,,,,"Mage",,,
,"Classic","Mana Tide Totem","At the end of your turn draw a card.","Minion","EX1_575",True,"Neutral","Scott Altmann","Rare",0,3,3,"It is said that some shaman can say "Floatin' totem" 10 times fast.",,"Shaman","Totem",,
Aura,"Classic","Mana Wraith","ALL minions cost (1) more.","Minion","EX1_616",True,"Neutral","Luca Zontini","Rare",2,2,2,"They come out at night to eat leftover mana crystals. "Mmmmmm" they say.",,,,,
,"Classic","Mana Wyrm","Whenever you cast a spell gain +1 Attack.","Minion","NEW1_012",True,,"Blizzard Cinematics","Common",1,1,3,"These wyrms feed on arcane energies and while they are generally considered a nuisance rather than a real threat you really shouldn't leave them alone with a bucket of mana.",,"Mage",,"Gorging",
,"Classic","Mark of Nature","This minion has +4 Health and <b>Taunt</b>.","Enchantment","EX1_155be",,,,,,,,,,"Druid",,,
,"Classic","Mark of Nature","<b>Choose One</b> - Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.","Spell","EX1_155",True,"Neutral","Clint Langley","Common",,3,,"Druids call it the "Mark of Nature."  Everyone else calls it "needing a bath."",,"Druid",,,
,"Classic","Mark of Nature","+4 Health and <b>Taunt</b>.","Spell","EX1_155b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Mark of Nature","+4 Attack.","Spell","EX1_155a",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Mark of Nature","This minion has +4 Attack.","Enchantment","EX1_155ae",,,,,,,,,,"Druid",,,
Silence,"Classic","Mass Dispel","<b>Silence</b> all enemy minions. Draw a card.","Spell","EX1_626",True,,"Sean O'Daniels","Rare",,4,,"It dispels buffs powers hopes and dreams.",,"Priest",,,
Battlecry,"Classic","Master of Disguise","<b>Battlecry:</b> Give a friendly minion <b>Stealth</b>.","Minion","NEW1_014",True,,"Ron Spencer","Rare",4,4,4,"She's actually a male tauren.  People don't call him "Master of Disguise" for nothing.",,"Rogue",,,
,"Classic","Master Swordsmith","At the end of your turn give another random friendly minion +1 Attack.","Minion","NEW1_037",True,,"E.M. Gist","Rare",1,2,3,"He's currently trying to craft a "flail-axe" but all the other swordsmiths say it can't be done.",,,,"Smithing",
Battlecry,"Classic","Millhouse Manastorm","<b>Battlecry:</b> Enemy spells cost (0) next turn.","Minion","NEW1_029",True,,"Jim Nelson","Legendary",4,2,4,""I'm gonna light you up sweetcheeks!"",True,,,,
Battlecry,"Classic","Mind Control Tech","<b>Battlecry:</b> If your opponent has 4 or more minions take control of one at random.","Minion","EX1_085",True,"Alliance","Leo Che","Rare",3,3,3,"Mind Control technology is getting better but that's not saying much.",,,,,
Summoned,"Classic","Mind Controlling",,"Enchantment","EX1_tk31",,"Neutral",,"Common",,,,,,"Priest",,,
,"Classic","Mind Shatter","<b>Hero Power</b>
Deal 3 damage.","Hero Power","EX1_625t2",,,,,,2,,,,"Priest",,,
,"Classic","Mind Spike","<b>Hero Power</b>
Deal 2 damage.","Hero Power","EX1_625t",,,,,,2,,,,"Priest",,,
,"Classic","Mindgames","Put a copy of a random minion from your opponent's deck into the battlefield.","Spell","EX1_345",True,"Neutral","Zoltan & Gabor","Epic",,4,,"Sometimes it feels like this is all a game.",,"Priest",,,
Secret,"Classic","Mirror Entity","<b>Secret:</b> When your opponent plays a minion summon a copy of it.","Spell","EX1_294",True,"Neutral","Raven Mimura","Common",,3,,""You go first." - Krush'gor the Behemoth to his pet boar.",,"Mage",,,
Secret,"Classic","Misdirection","<b>Secret:</b> When a character attacks your hero instead he attacks another random character.","Spell","EX1_533",True,"Neutral","Daren Bader","Rare",,2,,"Sometimes it's as simple as putting on a fake mustache and pointing at someone else.",,"Hunter",,,
Taunt,"Classic","Mogu'shan Warden","<b>Taunt</b>","Minion","EX1_396",True,"Neutral","Cole Eastburn","Common",1,4,7,"All these guys ever do is talk about the Thunder King.   BOOOORRRINNG!",,,,,
,"Classic","Molten Giant","Costs (1) less for each damage your hero has taken.","Minion","EX1_620",True,,"Glenn Rane","Epic",8,20,8,"He gets terrible heartburn.  BECAUSE HE IS FULL OF LAVA.",,,,,
,"Classic","Moonfire","Deal 2 damage.","Spell","EX1_166a",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Mortal Strike","Deal $4 damage. If you have 12 or less Health deal $6 instead.","Spell","EX1_408",True,"Neutral","Zoltan & Gabor","Rare",,4,,""If you only use one ability use Mortal Strike." - The Warrior Code Line 6",,"Warrior",,,
,"Classic","Mountain Giant","Costs (1) less for each other card in your hand.","Minion","EX1_105",True,"Neutral","Samwise","Epic",8,12,8,"His mother said that he was just big boned.",,,,,
,"Classic","Mrgglaargl!","Murloc Warleader is granting +2/+1.","Enchantment","EX1_507e",,,,,,,,,,,,,
,"Classic","Mrghlglhal","+2 Health.","Enchantment","EX1_103e",,,,,,,,,,,,,
,"Classic","Murloc Tidecaller","Whenever a Murloc is summoned gain +1 Attack.","Minion","EX1_509",True,"Neutral","Jaemin Kim","Rare",1,1,2,"This guy gets crazy strong at family reunions.",,,"Murloc",,
Aura,"Classic","Murloc Warleader","ALL other Murlocs have +2/+1.","Minion","EX1_507",True,"Neutral","Tim McBurnie","Epic",3,3,3,"Do Murlocs ever get tired of making the same old sound?  Nope!  Mrglglrglglglglglglgl!",,,"Murloc",,
,"Classic","Nat Pagle","At the start of your turn you have a 50% chance to draw an extra card.","Minion","EX1_557",True,"Neutral","Steve Prescott","Legendary",0,2,4,"Nat Pagle Azeroth's premier fisherman!  He invented the Auto-Angler 3000 the Extendo-Pole 3000 and the Lure-o-matic 2099 (still in testing).",True,,,"Fishing",
,"Classic","Naturalize","Destroy a minion. Your opponent draws 2 cards.","Spell","EX1_161",True,"Neutral","Leo Che","Common",,1,,"Another one bites the dust.",,"Druid",,,
,"Classic","Needs Sharpening","Decreased Attack.","Enchantment","EX1_411e2",,,,,,,,,,"Warrior",,,
,"Classic","Nightmare","Give a minion +5/+5. At the start of your next turn destroy it.","Spell","DREAM_05",,,,,,0,,,,"Dream",,,
,"Classic","Nightmare","This minion has +5/+5 but will be destroyed soon.","Enchantment","DREAM_05e",,,,,,,,,,,,,
Secret,"Classic","Noble Sacrifice","<b>Secret:</b> When an enemy attacks summon a 2/1 Defender as the new target.","Spell","EX1_130",True,"Neutral","Zoltan & Gabor","Common",,1,,"We will always remember you "Defender!"",,"Paladin",,,
,"Classic","Nourish","Draw 3 cards.","Spell","EX1_164b",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Nourish","Gain 2 Mana Crystals.","Spell","EX1_164a",,"Neutral",,,,,,,,"Druid",,,
,"Classic","Nourish","<b>Choose One</b> - Gain 2 Mana Crystals; or Draw 3 cards.","Spell","EX1_164",True,"Neutral","Terese Nielsen","Rare",,5,,"Druids take nourishment from many things: the power of nature the songbird's chirp a chocolate cake.",,"Druid",,,
,"Classic","Nozdormu","Players only have 15 seconds to take their turns.","Minion","EX1_560",True,"Neutral","James Ryman","Legendary",8,9,8,"Time to write some flavor text.",True,,"Dragon","Aspect of Time",
Battlecry,"Classic","Onyxia","<b>Battlecry:</b> Summon 1/1 Whelps until your side of the battlefield is full.","Minion","EX1_562",True,"Neutral","Dany Orizio","Legendary",8,9,8,"Onyxia long manipulated the Stormwind Court by disguising herself as Lady Katrana Prestor.   You would have thought that the giant wings and scales would have been a giveaway.",True,,"Dragon",,
,"Classic","Overloading","Increased stats.","Enchantment","EX1_258e",,,,,,,,,,"Shaman",,,
,"Classic","Panther",,"Minion","EX1_160t",,,,"Common",3,2,2,,,"Druid","Beast",,
Poisonous|Stealth,"Classic","Patient Assassin","<b>Stealth</b>. Destroy any minion damaged by this minion.","Minion","EX1_522",True,"Neutral","Ben Olson","Epic",1,2,1,"He’s not really that patient. It just takes a while for someone to walk by that he can actually reach.",,"Rogue",,"Sharpening",
Battlecry|Combo,"Classic","Perdition's Blade","<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.","Weapon","EX1_133",True,"Neutral","Daren Bader","Rare",2,3,,"Perdition's Blade is Ragnaros's back-up weapon while Sulfuras is in the shop.",,"Rogue",,,2
Aura,"Classic","Pint-Sized Summoner","The first minion you play each turn costs (1) less.","Minion","EX1_076",True,"Alliance","Ron Spears","Rare",2,2,2,"She's quite jealous of the Gallon-Sized Summoner.",,,,"Ritual",
Battlecry,"Classic","Pit Lord","<b>Battlecry:</b> Deal 5 damage to your hero.","Minion","EX1_313",True,"Neutral","Glenn Rane","Epic",5,4,6,"Mannoroth Magtheridon and Brutallus may be dead but it turns out there are a LOT of pit lords.",,"Warlock","Demon",,
OneTurnEffect,"Classic","Power of the Kirin Tor","Your next Secret costs (0).","Enchantment","EX1_612o",,,,,,,,,,"Mage",,,
,"Classic","Power of the Wild","<b>Choose One</b> - Give your minions +1/+1; or Summon a 3/2 Panther.","Spell","EX1_160",True,"Neutral","Steve Tappin","Common",,2,,"Never look a panther in the eye.  Or is it 'Always look a panther in the eye'?  Well it's one of those.",,"Druid",,,
,"Classic","Power Overwhelming","Give a friendly minion +4/+4 until end of turn. Then it dies. Horribly.","Spell","EX1_316",True,"Neutral","Tom Baxa","Common",,1,,"We cannot even describe how horrible the death is.  It's CRAZY bad!  Maybe worse than that.  Just don't do it.",,"Warlock",,,
,"Classic","Power Overwhelming","This minion has +4/+4 but will die a horrible death at the end of the turn.","Enchantment","EX1_316e",,"Neutral",,,,,,,,"Warlock",,,
OneTurnEffect,"Classic","Preparation","The next spell you cast this turn costs (3) less.","Enchantment","EX1_145o",,,,,,,,,,"Rogue",,,
,"Classic","Preparation","The next spell you cast this turn costs (3) less.","Spell","EX1_145",True,"Neutral","Clint Langley","Epic",,0,,""Be Prepared" - Rogue Motto",,"Rogue",,,
Battlecry,"Classic","Priestess of Elune","<b>Battlecry:</b> Restore 4 Health to your hero.","Minion","EX1_583",True,"Neutral","Dan Scott","Common",5,6,4,"If she threatens to "moon" you it's not what you think.",,,,,
,"Classic","Prophet Velen","Double the damage and healing of your spells and Hero Power.","Minion","EX1_350",True,"Neutral","Wei Wang","Legendary",7,7,7,"He's been exiled from his home and all his brothers turned evil but otherwise he doesn't have a lot to complain about.",True,"Priest",,,
,"Classic","Pyroblast","Deal $10 damage.","Spell","EX1_279",True,"Neutral","Luca Zontini","Epic",,10,,"Take the time for an evil laugh after you draw this card.",,"Mage",,,
,"Classic","Questing Adventurer","Whenever you play a card gain +1/+1.","Minion","EX1_044",True,"Alliance","Attila Adorjany","Rare",2,3,2,""Does anyone have some extra Boar Pelts?"",,,,"Questing",
Enrage,"Classic","Raging Worgen","<b>Enrage:</b> <b>Windfury</b> and +1 Attack","Minion","EX1_412",True,"Neutral","Alex Horley Orlandelli","Common",3,3,3,"If he's raging now just wait until he gets nerfed.",,,,,
,"Classic","Ragnaros the Firelord","Can't Attack. At the end of your turn deal 8 damage to a random enemy.","Minion","EX1_298",True,"Neutral","Greg Staples","Legendary",8,8,8,"Ragnaros was summoned by the Dark Iron dwarves who were eventually enslaved by the Firelord.  Summoning Ragnaros often doesn’t work out the way you want it to.",True,,,,
,"Classic","Rampage","+3/+3.","Enchantment","CS2_104e",,,,,,,,,,"Warrior",,,
,"Classic","Rampage","Give a damaged minion +3/+3.","Spell","CS2_104",True,"Neutral","Jonboy Meyers","Common",,2,,"Minion get ANGRY.   Minion SMASH!",,"Warrior",,,
Stealth,"Classic","Ravenholdt Assassin","<b>Stealth</b>","Minion","CS2_161",True,"Alliance","Ralph Horsley","Rare",7,7,5,"Just mail him a package with a name and 10000 gold.  He'll take care of the rest.",,,,,
,"Classic","Raw Power!","Increased stats.","Enchantment","EX1_274e",,,,,,,,,,"Mage",,,
Secret,"Classic","Redemption","<b>Secret:</b> When one of your minions dies return it to life with 1 Health.","Spell","EX1_136",True,"Neutral","Ittoku","Common",,1,,"I am not sure how you get demptioned the first time.  It’s a mystery!",,"Paladin",,,
Secret,"Classic","Repentance","<b>Secret:</b> When your opponent plays a minion reduce its Health to 1.","Spell","EX1_379",True,"Neutral","Gonzalo Ordonez","Common",,1,,"Repentance often comes in the moment before obliteration. Curious.",,"Paladin",,,
,"Classic","Repentance","Health reduced to 1.","Enchantment","EX1_379e",,,,,,,,,,"Paladin",,,
,"Classic","Rooted","+5 Health and <b>Taunt</b>.","Enchantment","EX1_178ae",,,,,,,,,,"Druid",,,
,"Classic","Rooted","+5 Health and <b>Taunt</b>.","Spell","EX1_178a",,"Neutral",,,,,,,,"Druid",,,
AffectedBySpellPower,"Classic","Savagery","Deal damage equal to your hero's Attack to a minion.","Spell","EX1_578",True,"Neutral","Dave Rapoza","Rare",,1,,"It is true that some druids are savage but others still enjoy a quiet moment and a spot of tea.",,"Druid",,,
