COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,FLAVOR,TYPE,ID,PLAYERCLASS,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
True,Goblins vs Gnomes,Screwjank Clunker,Jesper Esjing,<b>Battlecry</b>: Give a friendly Mech +2/+2.,Rare,4,If it breaks just kick it a couple of times while yelling &bdquo;Durn thing!&bdquo;,Minion,GVG_055,Warrior,2,5,Mech,Battlecry,,
,Goblins vs Gnomes,Screwy Jank,,+2/+2.,,,,Enchantment,GVG_055e,Warrior,,,,,,
True,Goblins vs Gnomes,Seal of Light,Jason Chan,Restore #4 Health to your hero and gain +2 Attack this turn.,Common,2,The walrus of Light restores EIGHT Health.,Spell,GVG_057,Paladin,,,,ImmuneToSpellpower,,
,Goblins vs Gnomes,Seal of Light,,+2 Attack this turn.,,,,Enchantment,GVG_057a,,,,,OneTurnEffect,,
True,Goblins vs Gnomes,Shadowbomber,Matt Dixon,<b>Battlecry:</b> Deal 3 damage to each hero.,Epic,1,Shadowbomber does her job but she&sbquo;s kind of phoning it in at this point.,Minion,GVG_009,Priest,2,1,,Battlecry,,
True,Goblins vs Gnomes,Shadowboxer,Dan Scott,Whenever a character is healed deal 1 damage to a random enemy.,Rare,2,Punching is its primary function. Also its secondary function.,Minion,GVG_072,Priest,2,3,Mech,,,
,Goblins vs Gnomes,Shadowed,,Health was swapped.,,,,Enchantment,GVG_014a,Priest,,,,,,
True,Goblins vs Gnomes,Shielded Minibot,Raymond Swanland,<b>Divine Shield</b>,Common,2,He chooses to believe what he is programmed to believe!,Minion,GVG_058,Paladin,2,2,Mech,Divine Shield,,
True,Goblins vs Gnomes,Shieldmaiden,Alex Horley Orlandelli,<b>Battlecry:</b> Gain 5 Armor.,Rare,6,She has three shieldbearers in her party to supply her with back ups when she gets low on durability.,Minion,GVG_053,Warrior,5,5,,Battlecry,,
True,Goblins vs Gnomes,Ship&sbquo;s Cannon,Warren Mahy,Whenever you summon a Pirate deal 2 damage to a random enemy.,Common,2,If you hear someone yell &bdquo;Cannonball!&bdquo; you&sbquo;re about to get wet. Or crushed.,Minion,GVG_075,,2,3,,,,
,Goblins vs Gnomes,Shrink Ray,,-2 Attack this turn.,,,,Enchantment,GVG_011a,,,,,OneTurnEffect,,
True,Goblins vs Gnomes,Shrinkmeister,Jim Nelson,<b>Battlecry:</b> Give a minion -2 Attack this turn.,Common,2,After the debacle of the Gnomish World Enlarger gnomes are wary of size-changing inventions.,Minion,GVG_011,Priest,3,2,,Battlecry,,
True,Goblins vs Gnomes,Siege Engine,Zero Yue,Whenever you gain Armor give this minion +1 Attack.,Rare,5,Wintergrasp Keep&sbquo;s only weakness!,Minion,GVG_086,Warrior,5,5,Mech,,,
True,Goblins vs Gnomes,Siltfin Spiritwalker,Clint Langley,Whenever another friendly Murloc dies draw a card. <b>Overload</b>: (1),Epic,4,The elements respond to anyone who calls them for a worthy cause even if you call them by yelling &bdquo;MRGHRGLGLGL!&bdquo;,Minion,GVG_040,Shaman,2,5,Murloc,,,
True,Goblins vs Gnomes,Sneed&sbquo;s Old Shredder,Christopher Moeller,<b>Deathrattle:</b> Summon a random legendary minion.,Legendary,8,When Sneed was defeated in the Deadmines his shredder was sold at auction to an anonymous buyer. (Probably Hogger.),Minion,GVG_114,,5,7,Mech,Deathrattle,True,
True,Goblins vs Gnomes,Snowchugger,Gabor Szikszai,<b>Freeze</b> any character damaged by this minion.,Common,2,Do the slow chant when he waddles by: &bdquo;Chug! Chug! Chug!&bdquo;,Minion,GVG_002,Mage,2,3,Mech,Freeze,,
True,Goblins vs Gnomes,Soot Spewer,Phil Saunders,<b>Spell Damage +1</b>,Rare,3,The inventor of the goblin shredder is involved in several patent disputes with the inventor of the soot spewer.,Minion,GVG_123,Mage,3,3,Mech,Spellpower,,
True,Goblins vs Gnomes,Spider Tank,Dany Orizio,,Common,3,&bdquo;What if we put guns on it?&bdquo; -Fizzblitz staring at the spider-transportation-machine,Minion,GVG_044,,3,4,Mech,,,
True,Goblins vs Gnomes,Steamwheedle Sniper,Jun Kang,Your Hero Power can target minions.,Epic,2,Goblins seldom have the patience for sniping. Most prefer lobbing explosives.,Minion,GVG_087,Hunter,2,3,,,,
True,Goblins vs Gnomes,Stonesplinter Trogg,Peet Cooper,Whenever your opponent casts a spell gain +1 Attack.,Common,2,The only thing worse than smelling troggs is listening to their poetry.,Minion,GVG_067,,2,3,,,,
,Goblins vs Gnomes,Switched,,Attack and Health have been swapped by Reversing Switch.,,,,Enchantment,PART_006a,,,,,,,
,Goblins vs Gnomes,Tank Mode,,+1 Health.,,,,Enchantment,GVG_030be,Druid,,,,,,
,Goblins vs Gnomes,Tank Mode,,+1 Health.,,,,Spell,GVG_030b,Druid,,,,,,
True,Goblins vs Gnomes,Target Dummy,Matt Dixon,<b>Taunt</b>,Rare,0,The engineering equivalent of a &bdquo;Kick Me&bdquo; sticker.,Minion,GVG_093,,0,2,Mech,Taunt,,
,Goblins vs Gnomes,The King,,Increased Attack.,,,,Enchantment,GVG_046e,Hunter,,,,,,
,Goblins vs Gnomes,Time Rewinder,Nutthapon Petthai,Return a friendly minion to your hand.,,1,,Spell,PART_002,,,,,,,
True,Goblins vs Gnomes,Tinker&sbquo;s Sharpsword Oil,Den,Give your weapon +3 Attack. <b>Combo:</b> Give a random friendly minion +3 Attack.,Common,4,&bdquo;Get ready to strike oil!&bdquo; - Super-cheesy battle cry,Spell,GVG_022,Rogue,,,,Combo,,
,Goblins vs Gnomes,Tinker&sbquo;s Sharpsword Oil,,+3 Attack.,,,,Enchantment,GVG_022a,,,,,,,
,Goblins vs Gnomes,Tinker&sbquo;s Sharpsword Oil,,+3 Attack.,,,,Enchantment,GVG_022b,,,,,,,
True,Goblins vs Gnomes,Tinkertown Technician,Gabor Szikszai,<b>Battlecry:</b> If you have a Mech gain +1/+1 and add a <b>Spare Part</b> to your hand.,Common,3,Won&sbquo;t you take me to... Tinkertown?,Minion,GVG_102,,3,3,,Battlecry,,
True,Goblins vs Gnomes,Toshley,Zoltan & Gabor,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,Legendary,6,Something about power converters.,Minion,GVG_115,,5,7,,Battlecry|Deathrattle,True,
True,Goblins vs Gnomes,Trade Prince Gallywix,Wei Wang,Whenever your opponent casts a spell gain a copy of it and give them a Coin.,Legendary,6,Gallywix believes in supply and demand. He supplies the beatings and demands you pay up!,Minion,GVG_028,Rogue,5,8,,,True,
True,Goblins vs Gnomes,Tree of Life,Steve Prescott,Restore all characters to full Health.,Epic,9,Healing: It grows on trees!,Spell,GVG_033,Druid,,,,,,
True,Goblins vs Gnomes,Troggzor the Earthinator,Mike Sass,Whenever your opponent casts a spell summon a Burly Rockjaw Trogg.,Legendary,7,He keeps earthinating the countryside despite attempts to stop him.,Minion,GVG_118,,6,6,,,True,
True,Goblins vs Gnomes,Unstable Portal,Sean O&sbquo;Daniels,Add a random minion to your hand. It costs (3) less.,Rare,2,The denizens of Azeroth have no idea how much work goes into stabilizing portals.  We spend like 30% of GDP on portal upkeep.,Spell,GVG_003,Mage,,,,,,
True,Goblins vs Gnomes,Upgraded Repair Bot,Nutchapol Thitinunthakorn,<b>Battlecry:</b> Give a friendly Mech +4 Health.,Rare,5,It&sbquo;s the same as the previous generation but they slapped the word &bdquo;upgraded&bdquo; on it to sell it for double.,Minion,GVG_083,Priest,5,5,Mech,Battlecry,,
,Goblins vs Gnomes,V-07-TR-0N,Chris Seaman,<b>Charge</b><b>Mega-Windfury</b> <i>(Can attack four times a turn.)</i>,Legendary,8,,Minion,GVG_111t,,4,8,Mech,Charge,True,
,Goblins vs Gnomes,Velen&sbquo;s Chosen,,+2/+4 and <b>Spell Damage +1</b>.,,,,Enchantment,GVG_010b,,,,,,,
True,Goblins vs Gnomes,Velen&sbquo;s Chosen,Alex Horley Orlandelli,Give a minion +2/+4 and <b>Spell Damage +1</b>.,Common,3,Velen wrote a &bdquo;Lovely Card&bdquo; for Tyrande with a picture of the Deeprun Tram that said &bdquo;I Choo-Choo-Choose you!&bdquo;,Spell,GVG_010,Priest,,,,,,
True,Goblins vs Gnomes,Vitality Totem,Guangjian Huang,At the end of your turn restore 4 Health to your hero.,Rare,2,You can usually find these at the totemist&sbquo;s market on Saturdays.,Minion,GVG_039,Shaman,0,3,Totem,,,
True,Goblins vs Gnomes,Vol&sbquo;jin,Raymond Swanland,<b>Battlecry:</b> Swap Health with another minion.,Legendary,5,Vol&sbquo;jin is a shadow hunter which is like a shadow priest except more voodoo.,Minion,GVG_014,Priest,6,2,,Battlecry,True,
True,Goblins vs Gnomes,Warbot,Tyler Walpole,<b>Enrage:</b> +1 Attack.,Common,1,Mass production of warbots was halted when it was discovered that they were accidentally being produced at &bdquo;sample size.&bdquo;,Minion,GVG_051,Warrior,1,3,Mech,Enrage,,
True,Goblins vs Gnomes,Wee Spellstopper,Jonboy Meyers,Adjacent minions can&sbquo;t be targeted by spells or Hero Powers.,Epic,4,Bane of spellcasters and spelling bees everywhere.,Minion,GVG_122,Mage,2,5,,Aura,,
,Goblins vs Gnomes,Well Equipped,,+2/+2.,,,,Enchantment,GVG_060e,Paladin,,,,,,
,Goblins vs Gnomes,Whirling Blades,,+1 Attack.,,,,Enchantment,PART_007e,,,,,,,
,Goblins vs Gnomes,Whirling Blades,Nutchapol Thitinunthakorn,Give a minion +1 Attack.,,1,,Spell,PART_007,,,,,,,
True,Goblins vs Gnomes,Whirling Zap-o-matic,Jim Nelson,<b>Windfury</b>,Common,2,If you pay a little extra you can get it in &bdquo;candy-apple red.&bdquo;,Minion,GVG_037,Shaman,3,2,Mech,Windfury,,
