MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,FACTION,DURABILITY
,Blackrock Mountain,Open the Gates,<b>Hero Power</b>Summon three 1/1 Whelps. Get a new Hero Power.,,2,,Hero Power,BRMA09_2,,,,,,,,,,,
,Blackrock Mountain,Pile On!,<b>Hero Power</b>Put a minion from each deck into the battlefield.,,0,,Hero Power,BRMA01_2,,,,,,,,,,,
,Blackrock Mountain,Pile On!,<b>Hero Power</b>Put two minions from your deck and one from your opponent&sbquo;s into the battlefield.,,0,,Hero Power,BRMA01_2H,,,,,,,,,,,
,Blackrock Mountain,Potion of Might,+2/+2.,,,,Enchantment,BRMA15_2He,,,,,,,,,,,
,Blackrock Mountain,Power of the Firelord,<b>Hero Power</b>Deal 30 damage.,,2,,Hero Power,BRMA03_2,,,,,,,,,,,
,Blackrock Mountain,Power Rager,+3/+3,,,,Enchantment,BRM_014e,,,,,,,,,Hunter,,
AffectedBySpellPower,Blackrock Mountain,Quick Shot,Deal $3 damage.If your hand is empty draw a card.,,2,,Spell,BRM_013,,Common,,True,Jonboy Meyers,Can be crafted after completing the Hunter Class Challenge in Blackrock Mountain.,Han shot first.,Unlocked by completing the Hunter Class Challenge in Blackrock Mountain.,Hunter,,
,Blackrock Mountain,Ragnaros the Firelord,,,,8,Hero,BRMA06_3,,,,,,,,,,,
,Blackrock Mountain,Ragnaros the Firelord,,,,8,Hero,BRM_027h,,,,,,,,,,,
,Blackrock Mountain,Ragnaros the Firelord,,,,30,Hero,BRMA06_3H,,,,,,,,,,,
,Blackrock Mountain,Ragnaros the Firelord,,,,30,Hero,BRMC_01,,,,,,,,,,,
,Blackrock Mountain,Razorgore the Untamed,,,,30,Hero,BRMA10_1,,,,,,,,,,,
,Blackrock Mountain,Razorgore the Untamed,,,,30,Hero,BRMA10_1H,,,,,,,,,,,
,Blackrock Mountain,Razorgore&sbquo;s Claws,Whenever a Corrupted Egg dies gain +1 Attack.,1,1,,Weapon,BRMA10_6,,,,,,,,,,,5
,Blackrock Mountain,Recharge,Fill all empty Mana Crystals.,,0,,Spell,BRMA14_11,,,,,,,,,,,
,Blackrock Mountain,Release the Aberrations!,Summon 3 Aberrations.,,2,,Spell,BRMA15_3,,,,,,,,,,,
Battlecry,Blackrock Mountain,Rend Blackhand,<b>Battlecry:</b> If you&sbquo;re holding a Dragon destroy a <b>Legendary</b> minion.,8,7,4,Minion,BRM_029,True,Legendary,,True,Alex Horley,Can be crafted after completing Blackrock Spire.,Rend believes he is the True Warchief of the Horde and he keeps editing the wikipedia page for &bdquo;Warchief of the Horde&bdquo; to include his picture.,Unlocked by completing Blackrock Spire.,,,
,Blackrock Mountain,Rend Blackhand,,,,30,Hero,BRMA09_1H,,,,,,,,,,,
,Blackrock Mountain,Rend Blackhand,,,,30,Hero,BRMA09_1,,,,,,,,,,,
,Blackrock Mountain,Resurrect,Summon a random friendly minion that died this game.,,2,,Spell,BRM_017,,Rare,,True,Luke Mancini,Can be crafted after defeating Emperor Thaurissan in Blackrock Depths.,I walked into the dungeon and noticed a slain adventurer. In his final moments he had scrawled out a message in the dust on the wall beside him. Two words: &bdquo;rez plz&bdquo;,Unlocked by defeating Emperor Thaurissan in Blackrock Depths.,Priest,,
,Blackrock Mountain,Revenge,Deal $1 damage to all minions. If you have 12 or less Health deal $3 damage instead.,,2,,Spell,BRM_015,,Rare,,True,Ben Olson,Can be crafted after defeating Razorgore in Blackwing Lair.,This is better than Arcane Explosion so I guess warriors are finally getting revenge on mages for Mortal Strike being worse than Fireball.,Unlocked by defeating Razorgore in Blackwing Lair.,Warrior,,
,Blackrock Mountain,Reverberating Gong,Destroy your opponent&sbquo;s weapon.,,1,,Spell,BRMA16_4,,,,,,,,,,,
,Blackrock Mountain,Rock Out,Summon 3 Firesworn. <b>Overload:</b> (2),,3,,Spell,BRMA04_4,,,,,,,,,,,
,Blackrock Mountain,Rock Out,Summon 3 Firesworn. <b>Overload:</b> (2),,3,,Spell,BRMA04_4H,,,,,,,,,,,
,Blackrock Mountain,Solemn Vigil,Draw 2 cards. Costs (1) less for each minion that died this turn.,,5,,Spell,BRM_001,,Common,,True,Jaime Jones,Can be crafted after completing the Paladin Class Challenge in Blackrock Mountain.,Each year folk gather in front of Blackrock Mountain to mourn those who were mind-controlled into the lava.,Unlocked by completing the Paladin Class Challenge in Blackrock Mountain.,Paladin,,
Battlecry,Blackrock Mountain,Son of the Flame,<b>Battlecry:</b> Deal 6 damage.,6,0,3,Minion,BRMA13_5,,,,,,,,,,,
,Blackrock Mountain,Sonic Breath,+3 Attack.,,,,Enchantment,BRMA16_3e,,,,,,,,,,,
,Blackrock Mountain,Sonic Breath,Deal $3 damage to a minion. Give your weapon +3 Attack.,,4,,Spell,BRMA16_3,,,,,,,,,,,
,Blackrock Mountain,Tail Swipe,Deal $4 damage.,,4,,Spell,BRM_030t,,,,,,,,,,,
,Blackrock Mountain,The Alchemist,<b>Passive Hero Power</b>Minions&sbquo; Attack and Health are swapped.Your minions have +2/+2.,,,,Hero Power,BRMA15_2H,,,,,,,,,,,
,Blackrock Mountain,The Alchemist,<b>Passive Hero Power</b>Whenever a minion is summoned swap its Attack and Health.,,,,Hero Power,BRMA15_2,,,,,,,,,,,
,Blackrock Mountain,The Majordomo,<b>Hero Power</b>Summon a 1/3 Flamewaker Acolyte.,,2,,Hero Power,BRMA06_2,,,,,,,,,,,
,Blackrock Mountain,The Majordomo,<b>Hero Power</b>Summon a 3/3 Flamewaker Acolyte.,,2,,Hero Power,BRMA06_2H,,,,,,,,,,,
,Blackrock Mountain,The Rookery,<b>Hero Power</b>Give all Corrupted Eggs +1 Health then summon one.,,0,,Hero Power,BRMA10_3H,,,,,,,,,,,
,Blackrock Mountain,The Rookery,<b>Hero Power</b>Give all Corrupted Eggs +1 Health then summon one.,,1,,Hero Power,BRMA10_3,,,,,,,,,,,
,Blackrock Mountain,The True Warchief,Destroy a Legendary minion.,,1,,Spell,BRMA09_6,,,,,,,,,,,
,Blackrock Mountain,TIME FOR SMASH,Deal $5 damage to a random enemy. Gain 5 Armor.,,4,,Spell,BRMA07_3,,,,,,,,,,,
,Blackrock Mountain,Toxitron,At the start of your turn deal 1 damage to all other minions.,3,1,3,Minion,BRMA14_5,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Toxitron,At the start of your turn deal 1 damage to all other minions.,4,1,4,Minion,BRMA14_5H,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,True Form,<b>Hero Power</b>Let the games begin!,,1,,Hero Power,BRMA13_2H,,,,,,,,,,,
,Blackrock Mountain,True Form,<b>Hero Power</b>Let the games begin!,,1,,Hero Power,BRMA13_2,,,,,,,,,,,
,Blackrock Mountain,Twilight Endurance,Increased Health.,,,,Enchantment,BRM_004e,,,,,,,,,,,
Battlecry,Blackrock Mountain,Twilight Whelp,<b>Battlecry:</b> If you&sbquo;re holding a Dragon gain +2 Health.,2,1,1,Minion,BRM_004,,Common,Dragon,True,Sam Nielson,Can be crafted after completing the Priest Class Challenge in Blackrock Mountain.,The twilight whelps are basically magic-vampires. Despite this they are not a reference to any popular series of novels.,Unlocked by completing the Priest Class Challenge in Blackrock Mountain.,Priest,,
,Blackrock Mountain,Unchained!,Your next Dragon costs (2) less.,,,,Enchantment,BRM_018e,,,,,,,,,Paladin,,
,Blackrock Mountain,Vaelastrasz the Corrupt,,,,30,Hero,BRMA11_1H,,,,,,,,,,,
,Blackrock Mountain,Vaelastrasz the Corrupt,,,,30,Hero,BRMA11_1,,,,,,,,,,,
,Blackrock Mountain,Volcanic Drake,Costs (1) less for each minion that died this turn.,6,6,4,Minion,BRM_025,,Common,Dragon,True,Lucas Graciano,Can be crafted after defeating Omnotron Defense System in the Hidden Laboratory.,Volcanic Drakes breathe lava instead of fire. The antacid vendor at Thorium Point does a brisk business with them.,Unlocked by defeating Omnotron Defense System in the Hidden Laboratory.,,,
Taunt,Blackrock Mountain,Volcanic Lumberer,<b>Taunt</b>Costs (1) less for each minion that died this turn.,7,9,8,Minion,BRM_009,,Rare,,True,Trent Kaniuga,Can be crafted after completing the Druid Class Challenge in Blackrock Mountain.,The roots the roots the roots is on fire!,Unlocked by completing the Druid Class Challenge in Blackrock Mountain.,Druid,,
,Blackrock Mountain,Whelp,,1,1,1,Minion,BRM_004t,,,,,,,,,,,
,Blackrock Mountain,Whelp,,1,1,1,Minion,BRMA09_2t,,,Dragon,,,,,,,,
,Blackrock Mountain,Whelp,,2,1,2,Minion,BRMA09_2Ht,,,Dragon,,,,,,,,
Windfury,Blackrock Mountain,Whirling Ash,<b>Windfury</b>,4,0,5,Minion,BRMA13_7,,,,,,,,,,,
,Blackrock Mountain,Wild Magic,<b>Hero Power</b>Put a random spell from your opponent&sbquo;s class into your hand.,,1,,Hero Power,BRMA13_4,,,,,,,,,,,
,Blackrock Mountain,Wild Magic,<b>Hero Power</b>Put a random spell from your opponent&sbquo;s class into your hand.,,1,,Hero Power,BRMA13_4H,,,,,,,,,,,
