TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,DURABILITY,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Destroy any minion damaged by this minion.,Classic,Minion,EX1_170,Emperor Cobra,Neutral,Rare,3,Poisonous,3,Fanged,2,,,True,Lars Grant-West,The Sholazar Basin is home to a lot of really horrible things. If you're going to visit wear bug spray.  And plate armor.,,Beast,,
Mana Addict has increased Attack.,Classic,Enchantment,EX1_055o,Empowered,,,,OneTurnEffect,,,,,,,,,,,,
Health changed to 1.,Classic,Enchantment,EX1_619e,Equality,,,,,,,,,Paladin,,,,,,,
Change the Health of ALL minions to 1.,Classic,Spell,EX1_619,Equality,Neutral,Rare,2,,,,,,Paladin,True,Michal Ivan,We are all special unique snowflakes... with 1 Health.,,,,
Increased Attack.,Classic,Enchantment,NEW1_037e,Equipped,,,,,,,,,,False,,,,,,
If you control a <b>Secret</b> at the end of your turn gain +2/+2.,Classic,Minion,EX1_274,Ethereal Arcanist,,Rare,4,,3,,3,,Mage,True,Michael Komarck,The ethereals are wrapped in cloth to give form to their non-corporeal bodies. Also because it's nice and soft.,False,,,
Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.,Classic,Spell,EX1_124,Eviscerate,Neutral,Common,2,Combo,,,,,Rogue,True,Ariel Olivetti,There is a high cost to Eviscerating your opponent:  It takes a long time to get blood stains out of leather armor.,,,,
Attack and Health have been swapped by Crazed Alchemist.,Classic,Enchantment,EX1_059e,Experiments!,,,,,,,,,,,,,,,,
Deal $5 damage to a minion and $2 damage to adjacent ones.,Classic,Spell,EX1_537,Explosive Shot,Neutral,Rare,5,,,,,,Hunter,True,Tom Baxa,Pull the pin count to 5 then shoot.  Then duck.,,,,
<b>Secret:</b> When your hero is attacked deal $2 damage to all enemies.,Classic,Spell,EX1_610,Explosive Trap,Neutral,Common,2,Secret,,,,,Hunter,True,Brandon Kitkouski,It traps your food AND cooks it for you!,,,,
<b>Secret:</b> When your hero takes damage deal that much damage to the enemy hero.,Classic,Spell,EX1_132,Eye for an Eye,Neutral,Common,1,Secret,,,,,Paladin,True,James Ryman,Justice sometimes takes the form of a closed fist into a soft cheek.,,,,
<b>Battlecry:</b> Choose a minion and become a copy of it.,Classic,Minion,EX1_564,Faceless Manipulator,Neutral,Epic,5,Battlecry,3,,3,,,True,Raymond Swanland,The Faceless Ones are servants of Yogg-Saron and they feed on fear. Right now they are feeding on your fear of accidentally disenchanting all your good cards.,,,,
Can't be targeted by spells or Hero Powers.,Classic,Minion,NEW1_023,Faerie Dragon,,Common,2,,2,,3,,,True,Samwise,Adorable.  Immune to Magic.  Doesn't pee on the rug.  The perfect pet!,,Dragon,,
One of your cards costs (3) less.,Classic,Enchantment,CS2_053e,Far Sight,,,,,,,,,Shaman,,Lars Grant-West,,,,,
Draw a card. That card costs (3) less.,Classic,Spell,CS2_053,Far Sight,Neutral,Epic,3,,,,,,Shaman,True,Lars Grant-West,Drek'thar can't see but he can <i>see</i>. You know what I mean? It's ok if you don't.,,,,
<b>Taunt</b>. <b>Battlecry:</b> Destroy one of your Mana Crystals.,Classic,Minion,EX1_301,Felguard,Neutral,Rare,3,Battlecry|Taunt,5,,3,,Warlock,True,John Polidora,Yes he'll fight for you.  BUT HE'S NOT GOING TO LIKE IT.,,Demon,,
<b>Taunt</b>,Classic,Minion,CS1_069,Fen Creeper,Alliance,Common,5,Taunt,6,,3,,,True,Monica Langlois,He used to be called Bog Beast but it confused people because he wasn't an actual beast.   Boom New Name!,,,,
Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload:</b> (2),Classic,Spell,EX1_248,Feral Spirit,Neutral,Rare,3,,,,,,Shaman,True,Clint Langley,Spirit wolves are like regular wolves with pom-poms.,,,,
,Classic,Minion,EX1_finkle,Finkle Einhorn,Neutral,Legendary,2,,3,,3,,,,,,True,,,
<b>Battlecry:</b> Deal 3 damage to your hero.,Classic,Minion,EX1_319,Flame Imp,Neutral,Common,1,Battlecry,2,,3,,Warlock,True,Alex Horley Orlandelli,Imps like being on fire.  They just do.,,Demon,,
,Classic,Minion,EX1_614t,Flame of Azzinoth,,,1,,1,,2,,,,,,,,,
All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.,Classic,Spell,EX1_544,Flare,Neutral,Rare,2,,,,,,Hunter,True,Tyler Walpole,Not only does it reveal your enemies but it's also great for parties!,,,,
Whenever a minion dies gain +1 Attack.,Classic,Minion,tt_004,Flesheating Ghoul,Neutral,Common,3,,3,Cannibalism,2,,,True,Alex Horley Orlandelli,'Flesheating' is an unfair name.  It's just that there's not really much else for him to eat.,,,,
Summon three 2/2 Treants with <b>Charge</b> that die at the end of the turn.,Classic,Spell,EX1_571,Force of Nature,Neutral,Epic,6,,,,,,Druid,True,Trevor Jacobs,"I think I'll just nap under these trees. Wait... AAAAAHHH!" - Blinkfizz the Unfortunate Gnome,,,,
Deal $2 damage to 2 random enemy minions. <b>Overload:</b> (2),Classic,Spell,EX1_251,Forked Lightning,Neutral,Common,1,,,,,,Shaman,True,Ralph Horsley,If you combine it with Spooned Lightning and Knived Lightning you have the full dining set.,,,,
<b>Secret:</b> When an enemy minion attacks return it to its owner's hand and it costs (2) more.,Classic,Spell,EX1_611,Freezing Trap,Neutral,Common,2,Secret,,,,,Hunter,True,Matt Gaser,"Dang that's cold." - appropriate response to Freezing Trap or a mean joke.,,,,
<b>Battlecry:</b> <b>Freeze</b> a character.,Classic,Minion,EX1_283,Frost Elemental,Neutral,Common,6,Battlecry|Freeze,5,,5,,,True,Dan Scott,When a Water elemental and an Ice elemental love each other VERY much...,,,,
Whenever a minion takes damage gain +1 Attack.,Classic,Minion,EX1_604,Frothing Berserker,Neutral,Rare,3,,4,Berserk,2,,Warrior,True,Simon Bisley,He used to work as an accountant before he tried his hand at Berserkering.,,,,
+2/+2.  Full of Murloc.,Classic,Enchantment,NEW1_017e,Full Belly,,,,,,,,,,,,,,,,
This minion has +2 Attack.,Classic,Enchantment,CS2_181e,Full Strength,,,,,,,,,,,,,,,,
Whenever you cast a spell draw a card.,Classic,Minion,EX1_095,Gadgetzan Auctioneer,Neutral,Rare,6,,4,Auctioning,4,,,True,Matt Dixon,He used to run the black market auction house but there was just too much violence and he had to move.,,,,
Your hero is <b>Immune</b> while attacking.,Classic,Weapon,DS1_188,Gladiator's Longbow,Neutral,Epic,7,,,,5,2,Hunter,True,Peter C. Lee,The longbow allows shots to be fired from farther away and is useful for firing on particularly odorous targets.,,,,
<b>Taunt</b>,Classic,Minion,NEW1_040t,Gnoll,,,2,Taunt,2,,2,,,,,,,,,
Attacking a minion costs 1 Attack instead of 1 Durability.,Classic,Weapon,EX1_411,Gorehowl,Neutral,Epic,7,,,,7,1,Warrior,True,Zoltan & Gabor,Grommash Hellscream's famous axe.  Somehow this ended up in Prince Malchezaar's possession.  Quite the mystery!,,,,
+1/+1.,Classic,Enchantment,NEW1_024o,Greenskin's Command,,,,,,,,,,,,,,,,
<b>Charge</b>
<b>Enrage:</b> +6 Attack,Classic,Minion,EX1_414,Grommash Hellscream,Neutral,Legendary,8,Charge|Enrage,9,,4,,Warrior,True,Glenn Rane,Grommash drank the tainted blood of Mannoroth dooming the orcs to green skin and red eyes!  Maybe not his best decision.,True,,,
Gruul is growing...,Classic,Enchantment,NEW1_038o,Growth,,,,,,,,,,,,,,,,
At the end of each turn gain +1/+1 .,Classic,Minion,NEW1_038,Gruul,,Legendary,8,,7,Growth,7,,,True,Kev Walker,He's Gruul "the Dragonkiller".  He just wanted to cuddle them… he never meant to…,True,,,
+1/+1 and <b>Taunt</b>.,Classic,Enchantment,EX1_093e,Hand of Argus,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Destroy your opponent's weapon and draw cards equal to its Durability.,Classic,Minion,EX1_558,Harrison Jones,Neutral,Legendary,5,Battlecry,4,,5,,,True,Matt Dixon,“That belongs in the Hall of Explorers!”,True,,,
<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,Classic,Minion,EX1_556,Harvest Golem,Neutral,Common,3,Deathrattle,3,,2,,,True,Brian Despain,"Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.",,Mech,,
Deal $2 damage to the enemy hero. <b>Combo:</b> Return this to your hand next turn.,Classic,Spell,EX1_137,Headcrack,Neutral,Rare,3,Combo,,,,,Rogue,True,James Zhang,When all else fails nothing beats a swift whack upside the head.,,,,
,Classic,Weapon,EX1_409t,Heavy Axe,,,1,,,,1,3,Warrior,,,,,,,
At the end of your turn summon a 2/2 Gnoll with <b>Taunt</b>.,Classic,Minion,NEW1_040,Hogger,,Legendary,6,,4,,4,,,True,Laurel D. Austin,Hogger is super powerful. If you kill him it's because he <i>let</i> you.,True,,,
Deal $5 damage. Restore #5 Health to your hero.,Classic,Spell,EX1_624,Holy Fire,,Rare,6,,,,,,Priest,True,Miguel Coimbra,Often followed by Holy Smokes!,,,,
Draw a card and deal damage equal to its cost.,Classic,Spell,EX1_365,Holy Wrath,Neutral,Rare,5,,,,,,Paladin,True,Justin Sweet,C'mon Molten Giant!!,,,,
<b>Charge</b>,Classic,Minion,EX1_538t,Hound,,,1,Charge,1,,1,,Hunter,,,,,Beast,,
Increased Health.,Classic,Enchantment,EX1_043e,Hour of Twilight,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,Classic,Minion,NEW1_017,Hungry Crab,,Epic,1,Battlecry,2,,1,,,True,Jaemin Kim,Murloc.  It's what's for dinner.,,Beast,,
,Classic,Minion,EX1_534t,Hyena,,Rare,2,,2,,2,,Hunter,,Andrew Robinson,,,Beast,,
<b>Secret:</b> When your hero is attacked gain 8 Armor.,Classic,Spell,EX1_289,Ice Barrier,Neutral,Common,3,Secret,,,,,Mage,True,Alex Garner,This is Rank 1.  Rank 2 is Chocolate Milk Barrier.,,,,
<b>Secret:</b> When your hero takes fatal damage prevent it and become <b>Immune</b> this turn.,Classic,Spell,EX1_295,Ice Block,Neutral,Epic,3,Secret,,,,,Mage,True,Carl Frank,Ice is nice and will suffice!,,,,
Your hero is <b>Immune</b> this turn.,Classic,Enchantment,EX1_295o,Ice Block,,,,OneTurnEffect,,,,,Mage,,,,,,,
<b>Freeze</b> a character. If it was already <b>Frozen</b> deal $4 damage instead.,Classic,Spell,CS2_031,Ice Lance,Neutral,Common,1,Freeze,,,,,Mage,True,Alex Horley Orlandelli,The trick is not to break the lance.  Otherwise you have "Ice Pieces."  Ice Pieces aren't as effective.,,,,
Whenever you play a card summon a 2/1 Flame of Azzinoth.,Classic,Minion,EX1_614,Illidan Stormrage,Neutral,Legendary,6,,5,,7,,,True,Alex Horley Orlandelli,Illidan's brother Malfurion imprisoned him beneath Hyjal for 10000 years.  Stormrages are not good at letting go of grudges.,True,Demon,,
,Classic,Minion,EX1_598,Imp,Neutral,Rare,1,,1,,1,,,,,,,Demon,,
At the end of your turn deal 1 damage to this minion and summon a 1/1 Imp.,Classic,Minion,EX1_597,Imp Master,Neutral,Rare,3,,5,Imp Master,1,,,True,Mark Gibbons,She would enjoy the job a lot more if she just could get the imps to QUIT BITING HER.,,,,
,Classic,Minion,EX1_tk34,Infernal,Neutral,Common,6,,6,,6,,Warlock,,,,,Demon,,
<b>Hero Power</b>
Summon a 6/6 Infernal.,Classic,Hero Power,EX1_tk33,INFERNO!,Neutral,,2,,,,,,Warlock,,,,,,,
+3 Health.,Classic,Enchantment,EX1_623e,Infusion,,,,,,,,,Priest,,,,,,,
<b>Battlecry:</b> Deal 4 damage to HIMSELF.,Classic,Minion,CS2_181,Injured Blademaster,Horde,Rare,3,Battlecry,7,Weakened,4,,,True,Samwise,He claims it is an old war wound but we think he just cut himself shaving.,,,,
This minion's Attack is equal to its Health.,Classic,Enchantment,CS1_129e,Inner Fire,,,,,,,,,Priest,,,,,,,
Change a minion's Attack to be equal to its Health.,Classic,Spell,CS1_129,Inner Fire,Neutral,Common,1,,,,,,Priest,True,Steve Prescott,Good idea: Buffing your minions.  Bad idea: Starting a conversation in the Barrens.,,,,
+2 Attack.,Classic,Enchantment,EX1_607e,Inner Rage,,,,,,,,,Warrior,,,,,,,
Deal $1 damage to a minion and give it +2 Attack.,Classic,Spell,EX1_607,Inner Rage,Neutral,Common,0,,,,,,Warrior,True,Slawomir Maniak,They're only smiling on the outside.,,,,
<b>Battlecry:</b> <b>Silence</b> a minion.,Classic,Minion,CS2_203,Ironbeak Owl,Horde,Common,2,Battlecry,1,,2,,,True,Trevor Jacobs,Their wings are silent but their screech is... whatever the opposite of silent is.,,Beast,,
<b>Stealth</b>,Classic,Minion,EX1_017,Jungle Panther,Horde,Common,3,Stealth,2,,4,,,True,Jaemin Kim,Stranglethorn is a beautiful place to visit but you wouldn't want to live there.,,Beast,,
Has +1/+1.,Classic,Enchantment,EX1_366e,Justice Served,,,,,,,,,Paladin,,,,,,,
<b>Choose One</b> - Deal 2 damage; or <b>Silence</b> a minion.,Classic,Minion,EX1_166,Keeper of the Grove,Neutral,Rare,4,,4,,2,,Druid,True,Gabor Szikszai,These guys just show up and start Keeping your Groves without even asking.,,,,
Increased stats.,Classic,Enchantment,EX1_080o,Keeping Secrets,,,,,,,,,,,,,,,,
<b>Combo:</b> Return a minion to its owner's hand.,Classic,Minion,NEW1_005,Kidnapper,,Epic,6,Combo,3,,5,,Rogue,True,Dave Allsop,He just wants people to see his vacation photos.,,,,
Spells cost (0) this turn!,Classic,Enchantment,NEW1_029t,Kill Millhouse!,,Legendary,,,,,,,,,,,,,,
<b>Charge</b>,Classic,Minion,EX1_543,King Krush,Neutral,Legendary,9,Charge,8,,8,,Hunter,True,Alex Horley Orlandelli,The best defense against King Krush is to have someone you don’t like standing in front of you.,True,Beast,,
<b>Battlecry:</b> Give your opponent 2 Bananas.,Classic,Minion,EX1_014,King Mukla,,Legendary,3,Battlecry,5,,5,,,True,Sunny Gho,King Mukla wanders Jaguero Isle searching for love.,True,Beast,,
<b>Battlecry:</b> The next <b>Secret</b> you play this turn costs (0).,Classic,Minion,EX1_612,Kirin Tor Mage,Neutral,Rare,3,Battlecry,3,,4,,Mage,True,Popo Wei,The Kirin Tor reside in the floating city of Dalaran.  How do you make a Dalaran float?  Two scoops of ice cream one scoop of Dalaran.,,,,
After you summon a minion deal 1 damage to a random enemy.,Classic,Minion,NEW1_019,Knife Juggler,,Rare,2,,2,Juggler,3,,,True,Matt Cavotta,Ambitious Knife Jugglers sometimes graduate to Bomb Jugglers.    They never last long enough to make it onto a card though.,,,,
Can't be targeted by spells or Hero Powers.,Classic,Minion,DREAM_01,Laughing Sister,,,3,,5,Quick,3,,Dream,,,,,,,
Deal $5 damage. <b>Overload:</b> (2),Classic,Spell,EX1_241,Lava Burst,Neutral,Rare,3,,,,,,Shaman,True,Dan Scott,It's like an ocean of liquid magma in your mouth!,,,,
Restore #8 Health. Draw 3 cards.,Classic,Spell,EX1_354,Lay on Hands,Neutral,Epic,8,,,,,,Paladin,True,Raymond Swanland,A grammatically awkward life saver.,,,,
Give your minions +1/+1.,Classic,Spell,EX1_160b,Leader of the Pack,Neutral,,,,,,,,Druid,,,,,,,
+1/+1,Classic,Enchantment,EX1_160be,Leader of the Pack,,,,,,,,,Druid,,,,,,,
<b>Charge</b>. <b>Battlecry:</b> Summon two 1/1 Whelps for your opponent.,Classic,Minion,EX1_116,Leeroy Jenkins,Alliance,Legendary,5,Battlecry|Charge,2,,6,,,True,Gabe from Penny Arcade,At least he has Angry Chicken.,True,,,
<b>Deathrattle:</b> Deal 2 damage to the enemy hero.,Classic,Minion,EX1_029,Leper Gnome,Neutral,Common,1,Deathrattle,1,,2,,,True,Glenn Rane,He really just wants to be your friend but the constant rejection is starting to really get to him.,,,,
Increased Attack and Health.,Classic,Enchantment,EX1_044e,Level Up!,,,,,,,,,,,,,,,,
Deal $3 damage. <b>Overload:</b> (1),Classic,Spell,EX1_238,Lightning Bolt,Neutral,Common,1,,,,,,Shaman,True,Daarken,Lightning Bolt! Lightning Bolt! Lightning Bolt!,,,,
Deal $2-$3 damage to all enemy minions. <b>Overload:</b> (2),Classic,Spell,EX1_259,Lightning Storm,Neutral,Rare,3,,,,,,Shaman,True,Christopher Moeller,An umbrella won't be effective I'm afraid.,,,,
This minion's Attack is always equal to its Health.,Classic,Minion,EX1_335,Lightspawn,Neutral,Common,4,,5,,0,,Priest,True,Daarken,Spawn of the Light? Or Pawn of the Lights?,,,,
Whenever a character is healed gain +2 Attack.,Classic,Minion,EX1_001,Lightwarden,,Rare,1,,2,,1,,,True,Erik Ko,She’s smaller than her sisters Mediumwarden and Heavywarden.,,,,
At the start of your turn restore 3 Health to a damaged friendly character.,Classic,Minion,EX1_341,Lightwell,Neutral,Rare,2,,5,Healing,0,,Priest,True,Blizzard Entertainment,It isn't clear if people ignore the Lightwell or if it is just invisible.,,,,
<b>Deathrattle:</b> Draw a card.,Classic,Minion,EX1_096,Loot Hoarder,Neutral,Common,2,Deathrattle,1,,2,,,True,Jim Nelson,Always roll need.,,,,
<b>Battlecry:</b> Destroy your hero and replace it with Lord Jaraxxus.,Classic,Minion,EX1_323,Lord Jaraxxus,,Legendary,9,Battlecry,15,,3,,Warlock,True,Alex Horley Orlandelli,"TRIFLING GNOME! YOUR ARROGANCE WILL BE YOUR UNDOING!!!!",True,Demon,,
,Classic,Hero,EX1_323h,Lord Jaraxxus,Neutral,Legendary,0,,15,,0,,Warlock,,,,,Demon,,
Whenever a player casts a spell put a copy into the other player’s hand.,Classic,Minion,EX1_100,Lorewalker Cho,Neutral,Legendary,2,,4,Meditate,0,,,True,Mark Zug,Lorewalker Cho archives and shares tales from the land of Pandaria but his favorite story is the one where Joey and Phoebe go on a road trip.,True,,,
<b>Battlecry:</b> Deal 3 damage randomly split between all other characters.,Classic,Minion,EX1_082,Mad Bomber,Alliance,Common,2,Battlecry,2,,3,,,True,Mike Sass,He's not really all that crazy he is just not as careful with explosives as he should be.,,,,
<b>Spell Damage +5</b>,Classic,Minion,EX1_563,Malygos,Neutral,Legendary,9,Spellpower,12,,4,,,True,Michael Komarck,Malygos hates it when mortals use magic.  He gets so mad!,True,Dragon,,
Whenever you cast a spell gain +2 Attack this turn.,Classic,Minion,EX1_055,Mana Addict,Alliance,Rare,2,,3,Addicted,1,,,True,Hideaki Takamura,She’s trying to kick the habit but still takes some mana whenever she has a stressful day.,,,,
Increased attack.,Classic,Enchantment,NEW1_012o,Mana Gorged,,,,,,,,,Mage,,,,,,,
At the end of your turn draw a card.,Classic,Minion,EX1_575,Mana Tide Totem,Neutral,Rare,3,,3,,0,,Shaman,True,Scott Altmann,It is said that some shaman can say "Floatin' totem" 10 times fast.,,Totem,,
ALL minions cost (1) more.,Classic,Minion,EX1_616,Mana Wraith,Neutral,Rare,2,Aura,2,,2,,,True,Luca Zontini,They come out at night to eat leftover mana crystals. "Mmmmmm" they say.,,,,
Whenever you cast a spell gain +1 Attack.,Classic,Minion,NEW1_012,Mana Wyrm,,Common,1,,3,Gorging,1,,Mage,True,Blizzard Cinematics,These wyrms feed on arcane energies and while they are generally considered a nuisance rather than a real threat you really shouldn't leave them alone with a bucket of mana.,,,,
This minion has +4 Health and <b>Taunt</b>.,Classic,Enchantment,EX1_155be,Mark of Nature,,,,,,,,,Druid,,,,,,,
<b>Choose One</b> - Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.,Classic,Spell,EX1_155,Mark of Nature,Neutral,Common,3,,,,,,Druid,True,Clint Langley,Druids call it the "Mark of Nature."  Everyone else calls it "needing a bath.",,,,
+4 Health and <b>Taunt</b>.,Classic,Spell,EX1_155b,Mark of Nature,Neutral,,,,,,,,Druid,,,,,,,
+4 Attack.,Classic,Spell,EX1_155a,Mark of Nature,Neutral,,,,,,,,Druid,,,,,,,
This minion has +4 Attack.,Classic,Enchantment,EX1_155ae,Mark of Nature,,,,,,,,,Druid,,,,,,,
<b>Silence</b> all enemy minions. Draw a card.,Classic,Spell,EX1_626,Mass Dispel,,Rare,4,Silence,,,,,Priest,True,Sean O'Daniels,It dispels buffs powers hopes and dreams.,,,,
<b>Battlecry:</b> Give a friendly minion <b>Stealth</b>.,Classic,Minion,NEW1_014,Master of Disguise,,Rare,4,Battlecry,4,,4,,Rogue,True,Ron Spencer,She's actually a male tauren.  People don't call him "Master of Disguise" for nothing.,,,,
At the end of your turn give another random friendly minion +1 Attack.,Classic,Minion,NEW1_037,Master Swordsmith,,Rare,2,,3,Smithing,1,,,True,E.M. Gist,He's currently trying to craft a "flail-axe" but all the other swordsmiths say it can't be done.,,,,
<b>Battlecry:</b> Enemy spells cost (0) next turn.,Classic,Minion,NEW1_029,Millhouse Manastorm,,Legendary,2,Battlecry,4,,4,,,True,Jim Nelson,"I'm gonna light you up sweetcheeks!",True,,,
<b>Battlecry:</b> If your opponent has 4 or more minions take control of one at random.,Classic,Minion,EX1_085,Mind Control Tech,Alliance,Rare,3,Battlecry,3,,3,,,True,Leo Che,Mind Control technology is getting better but that's not saying much.,,,,
,Classic,Enchantment,EX1_tk31,Mind Controlling,Neutral,Common,,Summoned,,,,,Priest,,,,,,,
<b>Hero Power</b>
Deal 3 damage.,Classic,Hero Power,EX1_625t2,Mind Shatter,,,2,,,,,,Priest,,,,,,,
<b>Hero Power</b>
Deal 2 damage.,Classic,Hero Power,EX1_625t,Mind Spike,,,2,,,,,,Priest,,,,,,,
Put a copy of a random minion from your opponent's deck into the battlefield.,Classic,Spell,EX1_345,Mindgames,Neutral,Epic,4,,,,,,Priest,True,Zoltan & Gabor,Sometimes it feels like this is all a game.,,,,
<b>Secret:</b> When your opponent plays a minion summon a copy of it.,Classic,Spell,EX1_294,Mirror Entity,Neutral,Common,3,Secret,,,,,Mage,True,Raven Mimura,"You go first." - Krush'gor the Behemoth to his pet boar.,,,,
<b>Secret:</b> When a character attacks your hero instead he attacks another random character.,Classic,Spell,EX1_533,Misdirection,Neutral,Rare,2,Secret,,,,,Hunter,True,Daren Bader,Sometimes it's as simple as putting on a fake mustache and pointing at someone else.,,,,
<b>Taunt</b>,Classic,Minion,EX1_396,Mogu'shan Warden,Neutral,Common,4,Taunt,7,,1,,,True,Cole Eastburn,All these guys ever do is talk about the Thunder King.   BOOOORRRINNG!,,,,
Costs (1) less for each damage your hero has taken.,Classic,Minion,EX1_620,Molten Giant,,Epic,20,,8,,8,,,True,Glenn Rane,He gets terrible heartburn.  BECAUSE HE IS FULL OF LAVA.,,,,
Deal 2 damage.,Classic,Spell,EX1_166a,Moonfire,Neutral,,,,,,,,Druid,,,,,,,
Deal $4 damage. If you have 12 or less Health deal $6 instead.,Classic,Spell,EX1_408,Mortal Strike,Neutral,Rare,4,,,,,,Warrior,True,Zoltan & Gabor,"If you only use one ability use Mortal Strike." - The Warrior Code Line 6,,,,
Costs (1) less for each other card in your hand.,Classic,Minion,EX1_105,Mountain Giant,Neutral,Epic,12,,8,,8,,,True,Samwise,His mother said that he was just big boned.,,,,
Murloc Warleader is granting +2/+1.,Classic,Enchantment,EX1_507e,Mrgglaargl!,,,,,,,,,,,,,,,,
+2 Health.,Classic,Enchantment,EX1_103e,Mrghlglhal,,,,,,,,,,,,,,,,
Whenever a Murloc is summoned gain +1 Attack.,Classic,Minion,EX1_509,Murloc Tidecaller,Neutral,Rare,1,,2,,1,,,True,Jaemin Kim,This guy gets crazy strong at family reunions.,,Murloc,,
ALL other Murlocs have +2/+1.,Classic,Minion,EX1_507,Murloc Warleader,Neutral,Epic,3,Aura,3,,3,,,True,Tim McBurnie,Do Murlocs ever get tired of making the same old sound?  Nope!  Mrglglrglglglglglglgl!,,Murloc,,
At the start of your turn you have a 50% chance to draw an extra card.,Classic,Minion,EX1_557,Nat Pagle,Neutral,Legendary,2,,4,Fishing,0,,,True,Steve Prescott,Nat Pagle Azeroth's premier fisherman!  He invented the Auto-Angler 3000 the Extendo-Pole 3000 and the Lure-o-matic 2099 (still in testing).,True,,,
Destroy a minion. Your opponent draws 2 cards.,Classic,Spell,EX1_161,Naturalize,Neutral,Common,1,,,,,,Druid,True,Leo Che,Another one bites the dust.,,,,
Decreased Attack.,Classic,Enchantment,EX1_411e2,Needs Sharpening,,,,,,,,,Warrior,,,,,,,
Give a minion +5/+5. At the start of your next turn destroy it.,Classic,Spell,DREAM_05,Nightmare,,,0,,,,,,Dream,,,,,,,
This minion has +5/+5 but will be destroyed soon.,Classic,Enchantment,DREAM_05e,Nightmare,,,,,,,,,,,,,,,,
<b>Secret:</b> When an enemy attacks summon a 2/1 Defender as the new target.,Classic,Spell,EX1_130,Noble Sacrifice,Neutral,Common,1,Secret,,,,,Paladin,True,Zoltan & Gabor,We will always remember you "Defender!",,,,
Draw 3 cards.,Classic,Spell,EX1_164b,Nourish,Neutral,,,,,,,,Druid,,,,,,,
Gain 2 Mana Crystals.,Classic,Spell,EX1_164a,Nourish,Neutral,,,,,,,,Druid,,,,,,,
<b>Choose One</b> - Gain 2 Mana Crystals; or Draw 3 cards.,Classic,Spell,EX1_164,Nourish,Neutral,Rare,5,,,,,,Druid,True,Terese Nielsen,Druids take nourishment from many things: the power of nature the songbird's chirp a chocolate cake.,,,,
Players only have 15 seconds to take their turns.,Classic,Minion,EX1_560,Nozdormu,Neutral,Legendary,9,,8,Aspect of Time,8,,,True,James Ryman,Time to write some flavor text.,True,Dragon,,
<b>Battlecry:</b> Summon 1/1 Whelps until your side of the battlefield is full.,Classic,Minion,EX1_562,Onyxia,Neutral,Legendary,9,Battlecry,8,,8,,,True,Dany Orizio,Onyxia long manipulated the Stormwind Court by disguising herself as Lady Katrana Prestor.   You would have thought that the giant wings and scales would have been a giveaway.,True,Dragon,,
Increased stats.,Classic,Enchantment,EX1_258e,Overloading,,,,,,,,,Shaman,,,,,,,
,Classic,Minion,EX1_160t,Panther,,Common,2,,2,,3,,Druid,,,,,Beast,,
<b>Stealth</b>. Destroy any minion damaged by this minion.,Classic,Minion,EX1_522,Patient Assassin,Neutral,Epic,2,Poisonous|Stealth,1,Sharpening,1,,Rogue,True,Ben Olson,He’s not really that patient. It just takes a while for someone to walk by that he can actually reach.,,,,
<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.,Classic,Weapon,EX1_133,Perdition's Blade,Neutral,Rare,3,Battlecry|Combo,,,2,2,Rogue,True,Daren Bader,Perdition's Blade is Ragnaros's back-up weapon while Sulfuras is in the shop.,,,,
The first minion you play each turn costs (1) less.,Classic,Minion,EX1_076,Pint-Sized Summoner,Alliance,Rare,2,Aura,2,Ritual,2,,,True,Ron Spears,She's quite jealous of the Gallon-Sized Summoner.,,,,
<b>Battlecry:</b> Deal 5 damage to your hero.,Classic,Minion,EX1_313,Pit Lord,Neutral,Epic,4,Battlecry,6,,5,,Warlock,True,Glenn Rane,Mannoroth Magtheridon and Brutallus may be dead but it turns out there are a LOT of pit lords.,,Demon,,
Your next Secret costs (0).,Classic,Enchantment,EX1_612o,Power of the Kirin Tor,,,,OneTurnEffect,,,,,Mage,,,,,,,
<b>Choose One</b> - Give your minions +1/+1; or Summon a 3/2 Panther.,Classic,Spell,EX1_160,Power of the Wild,Neutral,Common,2,,,,,,Druid,True,Steve Tappin,Never look a panther in the eye.  Or is it 'Always look a panther in the eye'?  Well it's one of those.,,,,
Give a friendly minion +4/+4 until end of turn. Then it dies. Horribly.,Classic,Spell,EX1_316,Power Overwhelming,Neutral,Common,1,,,,,,Warlock,True,Tom Baxa,We cannot even describe how horrible the death is.  It's CRAZY bad!  Maybe worse than that.  Just don't do it.,,,,
This minion has +4/+4 but will die a horrible death at the end of the turn.,Classic,Enchantment,EX1_316e,Power Overwhelming,Neutral,,,,,,,,Warlock,,,,,,,
