MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,ELITE,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,PLAYERCLASS,RACE
Deathrattle|Taunt,Curse of Naxxramas,Todesfürst,<b>Spott. Todesröcheln:</b> Euer Gegner legt einen Diener aus seinem Deck auf das Schlachtfeld.,2,3,8,Minion,FP1_009,True,Ben Olson,,Rare,Kann nach dem Sieg über die vier Reiter im Militärviertel hergestellt werden.,„Erhebt Euch aus Eurem Grab!“ – Kel&sbquo;Thuzad,Wird durch den Sieg über die vier Reiter im Militärviertel freigeschaltet.,,,
Charge|Deathrattle,Curse of Naxxramas,Todesstreitross,<b>Ansturm. Todesröcheln:</b> Fügt Eurem Helden 3 Schaden zu.,2,1,3,Minion,FP1_006,,,,,,,,,,
,Curse of Naxxramas,Tote erwecken,<b>Passive Heldenfähigkeit</b>
Erweckt jedes Mal wenn ein Feind stirbt ein Skelett (1/1).,,0,,Hero Power,NAX4_04,,,,,,,,,,
,Curse of Naxxramas,Tote erwecken,<b>Passive Heldenfähigkeit</b>
Erweckt jedes Mal wenn ein Feind stirbt ein Skelett (5/5).,,0,,Hero Power,NAX4_04H,,,,,,,,,,
,Curse of Naxxramas,Totengräber,Erhält jedes Mal +1 Angriff wenn Ihr einen Diener mit <b>Todesröcheln</b> herbeiruft.,1,1,2,Minion,FP1_028,True,Jonboy Meyers,,Common,Kann nach dem Sieg über Flickwerk im Konstruktviertel hergestellt werden.,In einer Welt in der man sich jederzeit vom Geistheiler wiederbeleben lassen kann haben Totengräber einen schweren Stand.,Wird durch den Sieg über Flickwerk im Konstruktviertel freigeschaltet.,,,
,Curse of Naxxramas,Treant,,2,1,2,Minion,FP1_019t,,,,,,,,,Druid,
Deathrattle,Curse of Naxxramas,Unerbittlicher Krieger,<b>Todesröcheln:</b> Ruft einen Spektralen Krieger für Euren Gegner herbei.,3,3,4,Minion,NAX8_04,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Unerbittlicher Lehrling,<b>Todesröcheln:</b> Ruft einen Spektralen Lehrling für Euren Gegner herbei.,2,1,2,Minion,NAX8_03,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Unerbittlicher Reiter,<b>Todesröcheln:</b> Ruft einen Spektralen Reiter für Euren Gegner herbei.,5,6,6,Minion,NAX8_05,,,,,,,,,,
,Curse of Naxxramas,Ungleichgewichtsschlag,<b>Heldenfähigkeit</b>
Verursacht 4 Schaden.,,1,,Hero Power,NAX7_03H,,,,,,,,,,
,Curse of Naxxramas,Ungleichgewichtsschlag,<b>Heldenfähigkeit</b>
Verursacht 3 Schaden.,,2,,Hero Power,NAX7_03,,,,,,,,,,
,Curse of Naxxramas,Unheiliger Schatten,<b>Heldenfähigkeit</b>
Zieht 2 Karten.,,5,,Hero Power,NAX9_06,,,,,,,,,,
,Curse of Naxxramas,Verschlingen,Erhöhte Werte.,,,,Enchantment,FP1_005e,,,,,,,,,,
,Curse of Naxxramas,Verstrahlter Schleim,,2,1,2,Minion,NAX11_03,,,,,,,,,,
Taunt,Curse of Naxxramas,Wächter von Eiskrone,<b>Spott</b>,3,4,3,Minion,NAX15_03n,,,,,,,,,,
Taunt,Curse of Naxxramas,Wächter von Eiskrone,<b>Spott</b>,5,4,5,Minion,NAX15_03t,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Wegelagerer der Anub&sbquo;ar,<b>Todesröcheln:</b> Lasst einen zufälligen befreundeten Diener auf Eure Hand zurückkehren.,5,4,5,Minion,FP1_026,True,Nate Bowden,,Common,Kann nach dem Abschluss der Klassenherausforderung des Schurken in Naxxramas hergestellt werden.,Zuerst hieß er „Anub&sbquo;ar-Typ der einen Diener auf die Hand zurückspringen lässt“ aber dem Namen fehlte irgendwie das gewisse Etwas.,Wird durch das Abschließen der Klassenherausforderung des Schurken in Naxxramas freigeschaltet.,,Rogue,
,Curse of Naxxramas,Wutanfall,Verleiht Eurem Helden +6 Angriff in diesem Zug.,,3,,Spell,NAX12_04,,,,,,,,,,
OneTurnEffect,Curse of Naxxramas,Wutanfall,+6 Angriff in diesem Zug.,,,,Enchantment,NAX12_04e,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Zombiefraß,<b>Todesröcheln:</b> Stellt beim feindlichen Helden 5 Leben wieder her.,2,1,3,Minion,FP1_001,True,E. M. Gist,,Common,Kann nach dem Sieg über Gluth im Konstruktviertel hergestellt werden.,Zombie. Frisch auf den Tisch.,Wird durch den Sieg über Gluth im Konstruktviertel freigeschaltet.,,,
