SET,NAME,TEXT,COST,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,MECHANICS,ELITE,ATTACK,HEALTH,RACE,DURABILITY,FACTION
Blackrock Mountain,Macht des Drachen,Kostet in diesem Zug (3) weniger.,,Enchantment,BRM_003e,,,,,,,Mage,OneTurnEffect,,,,,,
Blackrock Mountain,Macht des Feuerfürsten,<b>Heldenfähigkeit</b>Verursacht 30 Schaden.,2,Hero Power,BRMA03_2,,,,,,,,,,,,,,
Blackrock Mountain,Magmatron,Jedes Mal wenn ein Spieler eine Karte ausspielt fügt ihm Magmatron 2 Schaden zu.,5,Minion,BRMA14_9H,,,Legendary,,,,,,True,8,8,Mech,,
Blackrock Mountain,Magmatron,Jedes Mal wenn ein Spieler eine Karte ausspielt fügt ihm Magmatron 2 Schaden zu.,5,Minion,BRMA14_9,,,Legendary,,,,,Aura,True,7,7,Mech,,
Blackrock Mountain,Magmatron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Magmatron!,6,Hero Power,BRMA14_8H,,,,,,,,,,,,,,
Blackrock Mountain,Magmatron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Magmatron!,8,Hero Power,BRMA14_8,,,,,,,,,,,,,,
Blackrock Mountain,Magmaul,<b>Spott</b>,5,Minion,BRMA14_12,,,Legendary,,,,,Taunt,True,10,2,,,
Blackrock Mountain,Magmawelle,<b>Heldenfähigkeit</b>Fügt allen Dienern 1 Schaden zu.,1,Hero Power,BRMA04_2,,,,,,,,,,,,,,
Blackrock Mountain,Majordomus Exekutus,,,Hero,BRMA06_1,,,,,,,,,,,30,,,
Blackrock Mountain,Majordomus Exekutus,<b>Todesröcheln:</b> Ersetzt Euren Helden durch Ragnaros den Feuerfürsten.,9,Minion,BRM_027,True,Alex Horley Orlandelli,Legendary,Kann nach dem Abschluss des Geschmolzenen Kerns hergestellt werden.,Ihr dachtet Exekutus hätte Euch in Ragnaros verwandelt ... aber eigentlich war Ragnaros schon immer ein Teil von Euch.,Wird durch das Abschließen des Geschmolzenen Kerns freigeschaltet.,,Deathrattle,True,9,7,,,
Blackrock Mountain,Majordomus Exekutus,,,Hero,BRMA06_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Maloriak,,,Hero,BRMA15_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Maloriak,,,Hero,BRMA15_1,,,,,,,,,,,30,,,
Blackrock Mountain,Mana entzünden,<b>Heldenfähigkeit</b>Fügt dem feindlichen Helden 5 Schaden zu wenn er noch über Mana verfügt.,0,Hero Power,BRMA05_2,,,,,,,,,,,,,,
Blackrock Mountain,Mana entzünden,<b>Heldenfähigkeit</b>Fügt dem feindlichen Helden 10 Schaden zu wenn er noch über Mana verfügt.,0,Hero Power,BRMA05_2H,,,,,,,,,,,,,,
Blackrock Mountain,Moira Bronzebart,Thaurissan kann seine Heldenfähigkeit nicht einsetzen. Greift keine Diener ohne <b>Spott</b> an.,2,Minion,BRMA03_3,,,,,,,,Aura,,1,3,,,
Blackrock Mountain,Moira Bronzebart,Thaurissan kann seine Heldenfähigkeit nicht einsetzen. Greift keine Diener ohne <b>Spott</b> an.,2,Minion,BRMA03_3H,,,,,,,,Aura,,3,1,,,
Blackrock Mountain,Mutation,<b>Heldenfähigkeit</b>Werft eine zufällige Karte ab.,1,Hero Power,BRMA12_10,,,,,,,,,,,,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA17_2,,,,,,,,,,,30,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA13_3,,,,,,,,,,,30,,,
Blackrock Mountain,Nefarian,,,Hero,BRMC_02,,,,,,,,,,,30,,,
Blackrock Mountain,Nefarian,<b>Kampfschrei:</b> Fügt Eurer Hand 2 zufällige Zauber von der Klasse Eures Gegners hinzu.,9,Minion,BRM_030,True,Ruan Jia,Legendary,Kann nach dem Abschluss des Geheimlabors hergestellt werden.,Bis heute ist Historikern nicht bekannt warum sich der Herr der Schwarzfelsspitze ausgerechnet auf einem baufälligen Balkon häuslich einrichtete.,Wird durch das Bezwingen aller Bosse im Schwarzfels freigeschaltet.,,Battlecry,True,8,8,Dragon,,
Blackrock Mountain,Nefarian,,,Hero,BRMA13_3H,,,,,,,,,,,30,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA17_2H,,,,,,,,,,,30,,,
Blackrock Mountain,Oberrichter Grimmstein,,,Hero,BRMA02_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Oberrichter Grimmstein,,,Hero,BRMA02_1,,,,,,,,,,,30,,,
Blackrock Mountain,Öffnet das Tor!,<b>Heldenfähigkeit</b>Ruft drei Welplinge (1/1) herbei. Erhaltet eine neue Heldenfähigkeit.,2,Hero Power,BRMA09_2,,,,,,,,,,,,,,
Blackrock Mountain,Öffnet das Tor!,<b>Heldenfähigkeit</b>Ruft drei Welplinge (2/2) herbei. Erhaltet eine neue Heldenfähigkeit.,2,Hero Power,BRMA09_2H,,,,,,,,,,,,,,
Blackrock Mountain,Omnotron,,,Hero,BRMA14_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Omnotron,,,Hero,BRMA14_1,,,,,,,,,,,30,,,
Blackrock Mountain,Onyxia,,,Hero,BRMA17_3H,,,,,,,,,,,30,,,
Blackrock Mountain,Onyxia,,,Hero,BRMA17_3,,,,,,,,,,,15,,,
Blackrock Mountain,Onyxias Klauen,,2,Weapon,BRMA17_9,,,,,,,,,,2,,,6,
Blackrock Mountain,Orc der alten Horde,<b>Spott</b>,1,Minion,BRMA09_3Ht,,,,,,,,Taunt,,2,2,,,
Blackrock Mountain,Orc der alten Horde,<b>Spott</b>,1,Minion,BRMA09_3t,,,,,,,,Taunt,,1,1,,,
Blackrock Mountain,Pechschwinge,<b>Heldenfähigkeit</b>Ruft einen Drachkin (5/4) herbei. Erhaltet eine neue Heldenfähigkeit.,1,Hero Power,BRMA09_4H,,,,,,,,,,,,,,
Blackrock Mountain,Pechschwinge,<b>Heldenfähigkeit</b>Ruft einen Drachkin (3/1) herbei. Erhaltet eine neue Heldenfähigkeit.,1,Hero Power,BRMA09_4,,,,,,,,,,,,,,
Blackrock Mountain,Pechschwingentechnikerin,<b>Kampfschrei:</b> Erhält +1/+1 wenn Ihr einen Drachen auf der Hand habt.,3,Minion,BRM_033,True,Matt Dixon,Common,Kann nach dem Sieg über Baron Geddon im Geschmolzenen Kern hergestellt werden.,Nur mit Originalersatzteilen der Pechschwingenwerkstatt ist Pechschwingenqualität garantiert!,Wird durch den Sieg über Baron Geddon im Geschmolzenen Kern freigeschaltet.,,Battlecry,,2,4,,,Neutral
Blackrock Mountain,Pechschwingenverderber,<b>Kampfschrei:</b> Verursacht 3 Schaden wenn Ihr einen Drachen auf der Hand habt.,5,Minion,BRM_034,True,Greg Staples,Common,Kann nach dem Sieg über Maloriak im Geheimlabor hergestellt werden.,Seinen Namen erhielt er unfreiwillig als er Nefarian einst dubiose Comics und Rock-Schallplatten zusteckte.,Wird durch den Sieg über Maloriak im Geheimlabor freigeschaltet.,,Battlecry,,5,4,,,Neutral
Blackrock Mountain,Rache,Fügt allen Dienern $1 Schaden zu. Fügt allen Dienern stattdessen $3 Schaden zu wenn Euer Held max. 12 Leben hat.,2,Spell,BRM_015,True,Ben Olson,Rare,Kann nach dem Sieg über Feuerkralle im Pechschwingenhort hergestellt werden.,Besser als Arkane Explosion – jetzt können Krieger sich endlich dafür rächen dass Tödlicher Stoß schlechter ist als Feuerball.,Wird durch den Sieg über Feuerkralle im Pechschwingenhort freigeschaltet.,Warrior,,,,,,,
Blackrock Mountain,Ragnaros der Feuerfürst,,,Hero,BRMC_01,,,,,,,,,,,30,,,
Blackrock Mountain,Ragnaros der Feuerfürst,,,Hero,BRMA06_3H,,,,,,,,,,,30,,,
Blackrock Mountain,Ragnaros der Feuerfürst,,,Hero,BRMA06_3,,,,,,,,,,,8,,,
Blackrock Mountain,Ragnaros der Feuerfürst,,,Hero,BRM_027h,,,,,,,,,,,8,,,
Blackrock Mountain,Rend Schwarzfaust,<b>Kampfschrei:</b> Vernichtet einen <b>legendären</b> Diener wenn Ihr einen Drachen auf der Hand habt.,7,Minion,BRM_029,True,Alex Horley,Legendary,Kann nach dem Abschluss der Schwarzfelsspitze hergestellt werden.,Rend hält sich für den wahren Kriegshäuptling der Horde. Er fügt im Wikipedia-Artikel „Kriegshäuptling der Horde“ unermüdlich immer wieder sein Bild ein.,Wird durch das Abschließen der Schwarzfelsspitze freigeschaltet.,,Battlecry,True,8,4,,,
Blackrock Mountain,Rend Schwarzfaust,,,Hero,BRMA09_1,,,,,,,,,,,30,,,
Blackrock Mountain,Rend Schwarzfaust,,,Hero,BRMA09_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Schallatem,+3 Angriff.,,Enchantment,BRMA16_3e,,,,,,,,,,,,,,
Blackrock Mountain,Schallatem,Fügt einem Diener $3 Schaden zu. Verleiht Eurer Waffe +3 Angriff.,4,Spell,BRMA16_3,,,,,,,,,,,,,,
Blackrock Mountain,Schlägerei!,<b>Heldenfähigkeit</b>Legt zwei Diener aus Eurem Deck und einen aus dem Eures Gegners auf das Schlachtfeld.,0,Hero Power,BRMA01_2H,,,,,,,,,,,,,,
Blackrock Mountain,Schlägerei!,<b>Heldenfähigkeit</b>Legt aus jedem Deck einen Diener auf das Schlachtfeld.,0,Hero Power,BRMA01_2,,,,,,,,,,,,,,
Blackrock Mountain,Schmelzen,Angriff in diesem Zug auf 0 gesetzt.,,Enchantment,BRM_001e,,,,,,,Priest,OneTurnEffect,,,,,,
Blackrock Mountain,Schneller Schuss,Verursacht $3 Schaden. Zieht eine Karte wenn Ihr keine Karten auf der Hand habt.,2,Spell,BRM_013,True,Jonboy Meyers,Common,Kann nach dem Abschluss der Jägerherausforderung im Schwarzfels hergestellt werden.,So schnell dass man sogar seinen eigenen Schatten damit erwischen könnte.,Wird durch das Abschließen der Jägerherausforderung im Schwarzfels freigeschaltet.,Hunter,AffectedBySpellPower,,,,,,
Blackrock Mountain,Schwanzfeger,Verursacht $4 Schaden.,4,Spell,BRM_030t,,,,,,,,,,,,,,
Blackrock Mountain,Schwarzer Welpling,,1,Minion,BRM_022t,,Jaemin Kim,Common,,,,,,,2,1,Dragon,,
Blackrock Mountain,Sohn der Flamme,<b>Kampfschrei:</b> Verursacht 6 Schaden.,0,Minion,BRMA13_5,,,,,,,,Battlecry,,6,3,,,
Blackrock Mountain,Spiel mit dem Feuer,Ruft 3 Feueranbeter herbei. <b>Überladung:</b> (2),3,Spell,BRMA04_4,,,,,,,,,,,,,,
Blackrock Mountain,Spiel mit dem Feuer,Ruft 3 Feueranbeter herbei. <b>Überladung:</b> (2),3,Spell,BRMA04_4H,,,,,,,,,,,,,,
Blackrock Mountain,STERBT INSEKT!,<b>Heldenfähigkeit</b>Fügt einem zufälligen Feind 8 Schaden zu.,2,Hero Power,BRM_027p,,,,,,,,,,,,,,
Blackrock Mountain,STERBT INSEKT!,Fügt einem zufälligen Feind $8 Schaden zu.,0,Spell,BRMA13_8,,,,,,,,AffectedBySpellPower,,,,,,
Blackrock Mountain,STERBT INSEKTEN!,<b>Heldenfähigkeit</b>Fügt einem zufälligen Feind 8 Schaden zu. ZWEIMAL.,2,Hero Power,BRM_027pH,,,,,,,,,,,,,,
Blackrock Mountain,Toxitron,Fügt allen anderen Dienern zu Beginn Eures Zuges 1 Schaden zu.,1,Minion,BRMA14_5H,,,Legendary,,,,,,True,4,4,Mech,,
Blackrock Mountain,Toxitron,Fügt allen anderen Dienern zu Beginn Eures Zuges 1 Schaden zu.,1,Minion,BRMA14_5,,,Legendary,,,,,,True,3,3,Mech,,
Blackrock Mountain,Toxitron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Toxitron!,4,Hero Power,BRMA14_4,,,,,,,,,,,,,,
Blackrock Mountain,Toxitron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Toxitron!,2,Hero Power,BRMA14_4H,,,,,,,,,,,,,,
Blackrock Mountain,Trank der Macht,+2/+2.,,Enchantment,BRMA15_2He,,,,,,,,,,,,,,
Blackrock Mountain,Trunkenbold,<b>Spott</b>,1,Minion,BRMA01_4t,,,,,,,,Taunt,,1,1,,,
Blackrock Mountain,Vaelastrasz der Verdorbene,,,Hero,BRMA11_1,,,,,,,,,,,30,,,
Blackrock Mountain,Vaelastrasz der Verdorbene,,,Hero,BRMA11_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Verderbtes Ei,Schlüpft aus wenn es 4 oder mehr Leben hat.,1,Minion,BRMA10_4,,,,,,,,,,0,1,,,
Blackrock Mountain,Verderbtes Ei,Schlüpft aus wenn es 5 oder mehr Leben hat.,1,Minion,BRMA10_4H,,,,,,,,,,0,3,,,
Blackrock Mountain,Vulkanborke,<b>Spott</b>. Kostet (1) weniger für jeden Diener der in diesem Zug gestorben ist.,9,Minion,BRM_009,True,Trent Kaniuga,Rare,Kann nach dem Abschluss der Druidenherausforderung im Schwarzfels hergestellt werden.,Er ist für den Hyjal durchs Feuer gegangen.,Wird durch das Abschließen der Druidenherausforderung im Schwarzfels freigeschaltet.,Druid,Taunt,,7,8,,,
Blackrock Mountain,Vulkandrache,Kostet (1) weniger für jeden Diener der in diesem Zug gestorben ist.,6,Minion,BRM_025,True,Lucas Graciano,Common,Kann nach dem Sieg über das Omnotron-Verteidigungssystem im Geheimlabor hergestellt werden.,Vulkandrachen spucken Lava anstatt Feuer. Ihr wollt gar nicht wissen zu welchem Sodbrennen das führt.,Wird durch den Sieg über das Omnotron-Verteidigungssystem im Geheimlabor freigeschaltet.,,,,6,4,Dragon,,
Blackrock Mountain,Wahre Gestalt,<b>Heldenfähigkeit</b>Lasst die Spiele beginnen!,1,Hero Power,BRMA13_2,,,,,,,,,,,,,,
Blackrock Mountain,Wahre Gestalt,<b>Heldenfähigkeit</b>Lasst die Spiele beginnen!,1,Hero Power,BRMA13_2H,,,,,,,,,,,,,,
Blackrock Mountain,Wahrer Kriegshäuptling,Vernichtet einen legendären Diener.,1,Spell,BRMA09_6,,,,,,,,,,,,,,
Blackrock Mountain,Welpling,,1,Minion,BRM_004t,,,,,,,,,,1,1,,,
Blackrock Mountain,Welpling,,1,Minion,BRMA09_2Ht,,,,,,,,,,2,2,Dragon,,
Blackrock Mountain,Welpling,,1,Minion,BRMA09_2t,,,,,,,,,,1,1,Dragon,,
Blackrock Mountain,Wichtel,,1,Minion,BRM_006t,,,,,,,Warlock,,,1,1,Demon,,
Blackrock Mountain,Wilde Magie,<b>Heldenfähigkeit</b>Erhaltet einen zufälligen Zauber von der Klasse Eures Gegners auf die Hand.,1,Hero Power,BRMA13_4,,,,,,,,,,,,,,
Blackrock Mountain,Wilde Magie,<b>Heldenfähigkeit</b>Erhaltet einen zufälligen Zauber von der Klasse Eures Gegners auf die Hand.,1,Hero Power,BRMA13_4H,,,,,,,,,,,,,,
Blackrock Mountain,Wirbelnde Asche,<b>Windzorn</b>,0,Minion,BRMA13_7,,,,,,,,Windfury,,4,5,,,
Blackrock Mountain,ZEIT FÜR HAUEN,Fügt einem zufälligen Feind $5 Schaden zu. Erhaltet 5 Rüstung.,4,Spell,BRMA07_3,,,,,,,,,,,,,,
Blackrock Mountain,Zur Weißglut gebracht,+3/+3.,,Enchantment,BRM_014e,,,,,,,Hunter,,,,,,,
Blackrock Mountain,Zwergenrausschmeißer,Gewinnt in Scharmützeln immer.,6,Minion,BRMA01_3,,,,,,,,,,4,8,,,
Blackrock Mountain,Zwielichtausdauer,Erhöhtes Leben.,,Enchantment,BRM_004e,,,,,,,,,,,,,,
Blackrock Mountain,Zwielichtwelpling,<b>Kampfschrei:</b> Erhält +2 Leben wenn Ihr einen Drachen auf der Hand habt.,1,Minion,BRM_004,True,Sam Nielson,Common,Kann nach dem Abschluss der Priesterherausforderung im Schwarzfels hergestellt werden.,Zwielichtwelplinge sind im Grunde genommen nichts anderes als magische Vampire – nur nicht so betörend und glitzernd wie die die man aus dem Kino kennt.,Wird durch das Abschließen der Priesterherausforderung im Schwarzfels freigeschaltet.,Priest,Battlecry,,2,1,Dragon,,
