TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,DURABILITY,INPLAYTEXT,PLAYERCLASS,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
<b>Kampfschrei:</b> Ruft Welplinge (1/1) herbei bis Eure Seite des Schlachtfelds voll ist.,Classic,Minion,EX1_562,Onyxia,Neutral,Legendary,9,8,8,Battlecry,,,,True,Dany Orizio,Dragon,Onyxia manipulierte lange Zeit die Geschicke von Sturmwind indem sie sich als Lady Katrana Prestor tarnte. Man hätte meinen können dass die enormen Schwingen und Schuppen jemanden ins Grübeln hätten bringen sollen.,True,,
<b>Kampfschrei:</b> Vernichtet einen zufälligen feindlichen Diener mit max. 2 Angriff.,Classic,Minion,NEW1_041,Panischer Kodo,,Rare,5,3,5,Battlecry,,,,True,Daren Bader,Beast,Dieser Kodo ist ziemlich leicht aus der Ruhe zu bringen.,,,
,Classic,Minion,EX1_160t,Panther,,Common,2,3,2,,,,Druid,,,Beast,,,,
Ruft einen Panther (3/2) herbei.,Classic,Spell,EX1_160a,Panther herbeirufen,Neutral,,,,,,,,Druid,,,,,,,
Zieht 3 Karten.,Classic,Spell,EX1_164b,Pflege,Neutral,,,,,,,,Druid,,,,,,,
<b>Wählt aus:</b> Erhaltet 2 Manakristalle; oder zieht 3 Karten.,Classic,Spell,EX1_164,Pflege,Neutral,Rare,5,,,,,,Druid,True,Terese Nielsen,,Druiden zehren ihre Kraft aus vielen Dingen: aus der Kraft der Natur dem Zwitschern eines Singvogels oder einem Schokoladenkuchen.,,,
Erhaltet 2 Manakristalle.,Classic,Spell,EX1_164a,Pflege,Neutral,,,,,,,,Druid,,,,,,,
<b>Kampfschrei:</b> Stellt bei Eurem Helden 4 Leben wieder her.,Classic,Minion,EX1_583,Priesterin von Elune,Neutral,Common,6,5,4,Battlecry,,,,True,Dan Scott,,Bei ihnen ist „Mondgesicht“ ein Kompliment.,,,
Verdoppelt den Schaden und die Heilung Eurer Zauber und Heldenfähigkeiten.,Classic,Minion,EX1_350,Prophet Velen,Neutral,Legendary,7,7,7,,,,Priest,True,Wei Wang,,Er wurde aus seiner Heimat verbannt alle seine Brüder sind verderbt aber ansonsten geht es ihm eigentlich prima.,True,,
Erhöhte Werte.,Classic,Enchantment,EX1_274e,Pure Macht!,,,,,,,,,Mage,,,,,,,
Verursacht $10 Schaden.,Classic,Spell,EX1_279,Pyroschlag,Neutral,Epic,10,,,,,,Mage,True,Luca Zontini,,Nehmt Euch die Zeit für ein fieses Lachen wenn Ihr diese Karte gerade gezogen habt.,,,
<b>Verstohlenheit</b>,Classic,Minion,CS2_161,Rabenholdtassassine,Alliance,Rare,7,7,5,Stealth,,,,True,Ralph Horsley,,Schickt ihm einfach ein Päckchen mit einem Namen und 10.000 Gold. Er erledigt den Rest.,,,
<b>Combo:</b> Ruft einen Banditen der Defias (2/1) herbei.,Classic,Minion,EX1_131,Rädelsführer der Defias,Neutral,Common,2,2,2,Combo,,,Rogue,True,Dany Orizio,,Ein echter Rädelsführer hat <i>immer</i> ein paar Schergen dabei.,,,
Kann nicht angreifen. Fügt am Ende Eures Zuges einem zufälligen Feind 8 Schaden zu.,Classic,Minion,EX1_298,Ragnaros der Feuerfürst,Neutral,Legendary,8,8,8,,,,,True,Greg Staples,,Ragnaros wurde von den Dunkeleisenzwergen herbeigerufen die schlussendlich von ihm versklavt wurden. Ihn zu beschwören hat oft nicht die gewünschten Auswirkungen.,True,,
Erhöhter Angriff.,Classic,Enchantment,EX1_604o,Rasend,,,,,,,,,Warrior,,,,,,,
Erhält jedes Mal +1/+1 wenn Ihr eine Karte ausspielt.,Classic,Minion,EX1_044,Rastloser Abenteurer,Alliance,Rare,3,2,2,,,,,True,Attila Adorjany,,„Hat jemand zufällig noch ein paar überzählige Bärenpelze?“,,,
+1/+1.,Classic,Enchantment,EX1_366e,Rechtschaffen,,,,,,,,,Paladin,,,,,,,
<b>Kampfschrei:</b> Ruft einen Knappen (2/2) herbei.,Classic,Minion,CS2_151,Ritter der Silbernen Hand,Alliance,Common,5,4,4,Battlecry,,,,True,Matt Starbuck,,Es ist toll ein Ritter zu sein. Nicht so toll ist es ein Knappe zu sein.,,,
<b>Kampfschrei:</b> Verleiht einem Diener +2 Angriff in diesem Zug.,Classic,Minion,CS2_188,Ruchloser Unteroffizier,Alliance,Common,1,2,1,Battlecry,,,,True,Luca Zontini,,Zu der Art seiner „Ruchlosigkeit“ sollte man ihm besser keine Fragen stellen.,,,
+1/+1.,Classic,Enchantment,EX1_160be,Rudelführer,,,,,,,,,Druid,,,,,,,
Verleiht Euren Dienern +1/+1.,Classic,Spell,EX1_160b,Rudelführer,Neutral,,,,,,,,Druid,,,,,,,
Erhaltet jedes Mal 1 Rüstung wenn ein befreundeter Diener Schaden erleidet.,Classic,Minion,EX1_402,Rüstungsschmiedin,Neutral,Rare,2,1,4,,,,Warrior,True,Greg Hildebrandt,,Sie akzeptiert Gildengold für Reparaturen.,,,
Erhöhter Angriff und erhöhtes Leben.,Classic,Enchantment,EX1_531e,Satt,,,,,,,,,Hunter,,,,,,,
<b>Todesröcheln:</b> Ruft zwei Hyänen (2/2) herbei.,Classic,Minion,EX1_534,Savannenhochmähne,,Rare,6,6,5,Deathrattle,,,Hunter,True,Milivoj Ceran,Beast,Ein wunderbares Beispiel für den Kreislauf des Lebens.,,,
Fügt dem feindlichen Helden $2 Schaden zu. <b>Combo:</b> Lasst die Karte im nächsten Zug wieder auf Eure Hand zurückkehren.,Classic,Spell,EX1_137,Schädelbruch,Neutral,Rare,3,,,Combo,,,Rogue,True,James Zhang,,Wenn der kleine Schlag auf den Hinterkopf mal nicht hilft.,,,
<b>Geheimnis:</b> Wenn Euer Gegner einen Diener ausspielt werden diesem $4 Schaden zugefügt.,Classic,Spell,EX1_609,Scharfschießen,Neutral,Common,2,,,Secret,,,Hunter,True,Lorenzo Minaca,,Ein Meisterjäger weiß wo es wehtut und wie man dorthin trifft.,,,
<b>Windzorn</b>,Classic,Minion,EX1_021,Scharfseher von Thrallmar,Horde,Common,3,2,3,Windfury,,,,True,Efrem Palacios,,Er ist momentan auf der Höllenfeuerhalbinsel stationiert hofft aber darauf nach Orgrimmar verlegt zu werden – oder an irgendeinen anderen Ort an dem der Boden weniger brennt.,,,
<b>Gottesschild</b>,Classic,Minion,EX1_020,Scharlachrote Fanatikerin,Alliance,Common,3,3,1,Divine Shield,,,,True,Gonzalo Ordonez,,Niemals gemeinsam mit weißer Wäsche waschen!,,,
Vernichtet alle Diener bis auf einen. <i>(Zufällige Auswahl)</i>,Classic,Spell,EX1_407,Scharmützel,Neutral,Epic,5,,,,,,Warrior,True,Wayne Reynolds,,Wie nennt man eine nicht besonders große Kopfbedeckung aus negativen Emotionen? ... Ein Sha-Mützel. Ha.,,,
Gedankenspiele verpufft! Euer Gegner hat keine Diener!,Classic,Minion,EX1_345t,Schatten des Nichts,,Epic,0,0,1,,,,Priest,,,,,,,
Angriff und Leben durch aufgezehrte Gottesschilde erhöht.,Classic,Enchantment,EX1_590e,Schatten von Muru,,Common,,,,,,,,,,,,,,
Vernichtet einen befreundeten Diener und fügt allen feindlichen Dienern Schaden zu der seinem Angriff entspricht.,Classic,Spell,EX1_303,Schattenflamme,Neutral,Rare,4,,,AffectedBySpellPower,,,Warlock,True,Dave Kendall,,Man nehme einen mächtigen Diener füge etwas Schattenflamme hinzu und fertig ist das leere Spielbrett.,,,
Eure Heldenfähigkeit wird zu „Verursacht 2 Schaden“. Wenn Euer Held bereits Schattengestalt angenommen hat: 3 Schaden.,Classic,Spell,EX1_625,Schattengestalt,,Epic,3,,,,,,Priest,True,Alex Horley Orlandelli,,Wenn ein Priester in Schattengestalt im Licht steht ... wirft er dann einen Schatten?,,,
Lasst einen befreundeten Diener auf Eure Hand zurückkehren. Der Diener kostet (2) weniger.,Classic,Spell,EX1_144,Schattenschritt,Neutral,Common,0,,,,,,Rogue,True,Graven Tung,,Forscher haben herausgefunden dass die Häufigkeit der Verwendung von Schattenschritt proportional zur Außentemperatur ansteigt.,,,
<b>Windzorn</b> <b>Überladung:</b> (2),Classic,Weapon,EX1_567,Schicksalshammer,Neutral,Epic,5,2,,Windfury,8,,Shaman,True,John Polidora,,Orgrim Schicksalshammer gab Thrall diese legendäre Waffe. Ähnlichkeiten zwischen den Namen sind rein zufällig.,,,
Fügt einem Diener für jeden Eurer Rüstungspunkte 1 Schaden zu.,Classic,Spell,EX1_410,Schildschlag,Neutral,Epic,1,,,AffectedBySpellPower,,,Warrior,True,Raymond Swanland,,„Welches ist die bessere Waffe? Die scharfe die Eure Feinde erwarten oder die stumpfe die sie ignorieren?“ – Die Kunst des Kriegers Kapitel 9,,,
<b>Spott</b>,Classic,Minion,EX1_405,Schildträger,Neutral,Common,1,0,4,Taunt,,,,True,Carl Critchlow,,Verteidigung ist der beste Angriff!,,,
,Classic,Minion,EX1_554t,Schlange,Neutral,Common,0,1,1,,,,Hunter,,,Beast,,,,
<b>Geheimnis:</b> Wenn einer Eurer Diener angegriffen wird ruft Ihr drei Schlangen (1/1) herbei.,Classic,Spell,EX1_554,Schlangenfalle,Neutral,Epic,2,,,Secret,,,Hunter,True,Bernie Kang,,Warum müssen es ausgerechnet Schlangen sein?,,,
Angriff verringert.,Classic,Enchantment,EX1_411e2,Schliff benötigt,,,,,,,,,Warrior,,,,,,,
<b>Verstohlenheit</b>,Classic,Minion,EX1_028,Schlingendorntiger,Alliance,Common,5,5,5,Stealth,,,,True,Alex Horley Orlandelli,Beast,Das Tolle an Tigern ist dass Tiger toll sind.,,,
<b>Kampfschrei:</b> Vernichtet die benachbarten Diener und verleiht ihm deren Angriff und Leben.,Classic,Minion,EX1_304,Schrecken der Leere,,Rare,3,3,3,Battlecry,,,Warlock,True,Alexander Alexandrov,Demon,Wenn er auftaucht herrscht um ihn herum gähnende Leere.,,,
<b>Spott.</b> Kostet (1) weniger für jeden Angriffspunkt Eurer Waffe.,Classic,Minion,NEW1_022,Schreckenskorsar,,Common,4,3,3,Taunt,,,,True,Trent Kaniuga,Pirate,„Yarrrr“ ist ein Wort in der Piratensprache das in etwa als „Meinen ergebensten Gruß Euer Durchlaucht“ übersetzt werden kann.,,,
,Classic,Weapon,EX1_409t,Schwere Axt,,,1,1,,,3,,Warrior,,,,,,,
Jedes Mal wenn Ihr einen Diener herbeiruft erhält dieser +1/+1 und diese Waffe verliert 1 Haltbarkeit.,Classic,Weapon,EX1_366,Schwert der Gerechtigkeit,Neutral,Epic,3,1,,,5,,Paladin,True,Efrem Palacios,,Erhebt Euch als Ritter der Angstblase!,,,
Todesröcheln: Ruft einen Treant (2/2) herbei.,Classic,Enchantment,EX1_158e,Seele des Waldes,,,,,,,,,Druid,,,,,,,
Verleiht Euren Dienern „<b>Todesröcheln:</b> Ruft einen Treant (2/2) herbei.“,Classic,Spell,EX1_158,Seele des Waldes,Neutral,Common,4,,,,,,Druid,True,Markus Erdt,,Der Begriff „Aufforstung“ hört sich plötzlich gar nicht mehr so harmlos an.,,,
Vernichtet einen Diener. Stellt bei Eurem Helden #3 Leben wieder her.,Classic,Spell,EX1_309,Seele entziehen,Neutral,Rare,6,,,,,,Warlock,True,Tyler Walpole,,Ihr solltet vielleicht vermeiden Eure eigene Seele zu entziehen. Ihr könntet sonst eine unendliche seltsame Wiederholungsschleife hervorrufen.,,,
Wählt einen Diener aus. Zieht jedes Mal eine Karte wenn er angreift.,Classic,Spell,EX1_363,Segen der Weisheit,,Common,1,,,,,,Paladin,True,Chippy,,Anscheinend kommt mit der Weisheit auch das Wissen dass man wohl in jedem Zug angreifen sollte.,,,
Der Gegner zieht eine Karte wenn dieser Diener angreift.,Classic,Enchantment,EX1_363e2,Segen der Weisheit,,,,,,,,,Paladin,,,,,,,
Der segnende Spieler zieht eine Karte wenn dieser Diener angreift.,Classic,Enchantment,EX1_363e,Segen der Weisheit,,,,,,,,,Paladin,,,,,,,
<b>Kampfschrei:</b> Stellt 3 Leben wieder her.,Classic,Minion,CS2_117,Seher des Irdenen Rings,,Common,3,3,3,Battlecry,,,,True,Alex Horley Orlandelli,,Er kann wirklich ziemlich gut sehen. Für alles andere ist er allerdings nicht unbedingt Experte.,,,
<b>Combo:</b> Verursacht 2 Schaden.,Classic,Minion,EX1_134,SI:7-Agent,Neutral,Rare,3,3,3,Combo,,,Rogue,True,Chris Moeller,,Die Agenten des SI:7 sind verantwortlich für die Geheimdienstaktivitäten von Sturmwind. Darin inbegriffen sind Spionage Attentate und Überraschungsgeburtstagsfeiern für Mitglieder der königlichen Familie.,,,
,Classic,Minion,DREAM_03,Smaragddrache,,,4,7,6,,,,Dream,,,Dragon,,,,
Eure Diener kosten (3) mehr.,Classic,Minion,CS2_227,Söldner der Venture Co.,Horde,Common,5,7,6,Aura,,,,True,John Polidora,,Kein Auftrag ist unmöglich. Es kommt ganz auf die Bezahlung an.,,,
<b>Spott</b> <b>Gottesschild</b>,Classic,Minion,EX1_032,Sonnenläuferin,Alliance,Rare,6,4,5,Divine Shield|Taunt,,,,True,Andrea Uderzo,,Sie läuft nicht wirklich auf der Sonne herum. Es ist nur ein Name. Macht Euch keine Sorgen!,,,
<b>Kampfschrei:</b> Verleiht benachbarten Dienern <b>Spott</b>.,Classic,Minion,EX1_058,Sonnenzornbeschützerin,Alliance,Rare,2,2,3,Battlecry,,,,True,James Ryman,,Sie bringt einen Schild mit aber nur um ihn jemandem in die Hand zu drücken hinter dem sie sich verstecken kann.,,,
<b>Geheimnis:</b> Wenn Euer Gegner einen Diener ausspielt beschwört Ihr eine Kopie desselben herbei.,Classic,Spell,EX1_294,Spiegelgestalt,Neutral,Common,3,,,Secret,,,Mage,True,Raven Mimura,,„Du zuerst.“ – Krushgor das Ungeheuer zu seinem gezähmten Eber,,,
<b>Geheimnis:</b> Wenn Euer Held angegriffen wird erleiden alle Feinde $2 Schaden.,Classic,Spell,EX1_610,Sprengfalle,Neutral,Common,2,,,Secret,,,Hunter,True,Brandon Kitkouski,,Wird allen Jägern empfohlen die nicht gerne kochen.,,,
Der Terrorwolfalpha verleiht diesem Diener +1 Angriff.,Classic,Enchantment,EX1_162o,Stärke des Rudels,,,,,,,,,,,,,,,,
<b>Windzorn</b> <b>Überladung:</b> (2),Classic,Minion,EX1_243,Staubteufel,Neutral,Common,1,3,1,Windfury,,,Shaman,True,Raymond Swanland,,Westfall ist voller Staubteufel Bussarde Banditen und wildgewordener Golems. Warum sollte dort jemand wohnen wollen?,,,
Fügt einem Diener $5 Schaden zu.,Classic,Spell,NEW1_007b,Sternenregen,,,,,,,,,Druid,,,,,,,
<b>Wählt aus:</b> Fügt einem Diener $5 Schaden zu; oder fügt allen feindlichen Dienern $2 Schaden zu.,Classic,Spell,NEW1_007,Sternenregen,,Rare,5,,,,,,Druid,True,Richard Wright,,Diesmal fällt einem der Himmel wirklich auf den Kopf. Und man wird nicht mehr dazu kommen Sterne zu sehen.,,,
Fügt allen feindlichen Dienern $2 Schaden zu.,Classic,Spell,NEW1_007a,Sternenregen,,,,,,,,,Druid,,,,,,,
Bringt einen Diener zum <b>Schweigen</b>.,Classic,Spell,EX1_332,Stille,Neutral,Common,0,,,Silence,,,Priest,True,Zoltan & Gabor,,Reserviert für feindliche Zauberwirker böse Lichs von jenseits des Grabes und Karaokenächte im Grimmigen Säufer.,,,
,Classic,Weapon,EX1_398t,Streitaxt,,,1,2,,,2,,Warrior,,,,,,,
Erhöhter Angriff und erhöhtes Leben.,Classic,Enchantment,EX1_044e,Stufenaufstieg,,,,,,,,,,,,,,,,
Erhöhtes Leben.,Classic,Enchantment,EX1_043e,Stunde des Zwielichts,,,,,,,,,,,,,,,,
<b>Überladung:</b> (1),Classic,Weapon,EX1_247,Sturmgeschmiedete Axt,Neutral,Common,2,2,,,3,,Shaman,True,Nate Bowden,,DAS ist eine Axt.,,,
Hat <b>Ansturm</b> während Ihr eine Waffe angelegt habt.,Classic,Minion,CS2_146,Südmeerdeckmatrose,Alliance,Common,1,2,1,,,,,True,Dan Brereton,Pirate,Unter „Geplänkel“ verstehen Piraten verschiedene Dinge.,,,
Eure anderen Piraten haben +1/+1.,Classic,Minion,NEW1_027,Südmeerkapitän,,Epic,3,3,3,Aura,,,,True,Ken Steacy,Pirate,Sobald er genug Beute gemacht hat wird er sich einen gewaltigen Kapitänshut anfertigen lassen. Er leidet an Hutneid.,,,
<b>Todesröcheln:</b> Übernehmt die Kontrolle über einen zufälligen feindlichen Diener.,Classic,Minion,EX1_016,Sylvanas Windläufer,,Legendary,6,5,5,Deathrattle,,,,True,Glenn Rane,,Sylvanas wurde von Arthas in die Bansheekönigin verwandelt aber er hätte sie besser gleich getötet denn so hat er sie einfach nur wütend gemacht.,True,,
<b>Spott</b> <b>Wutanfall:</b> +3 Angriff,Classic,Minion,EX1_390,Taurenkrieger,Neutral,Common,3,2,3,Enrage|Taunt,,,,True,Paul Warzecha,,Taurenkrieger: Champion von Mulgore Schrecken der Stacheleber Befahrer der Aufzüge von Donnerfels.,,,
Benachbarte Diener haben +1 Angriff.,Classic,Minion,EX1_162,Terrorwolfalpha,Neutral,Common,2,2,2,AdjacentBuff|Aura,,,,True,John Dickenson,Beast,Wir freuen uns schon auf die bevorstehende Terrorwolfbeta. Teilt diese Nachricht mit Euren Freunden und gewinnt mit etwas Glück einen Beta-Key!,,,
,Classic,Minion,EX1_tk29,Teufelssaurier,Neutral,Common,5,5,5,,,,,,,Beast,,,,
<b>Spott</b>. <b>Kampfschrei:</b> Zerstört einen Eurer Manakristalle.,Classic,Minion,EX1_301,Teufelswache,Neutral,Rare,3,3,5,Battlecry|Taunt,,,Warlock,True,John Polidora,Demon,Wird oft verteufelt ... und zwar zu Recht!,,,
<b>Kampfschrei:</b> Jeder Spieler zieht 2 Karten.,Classic,Minion,EX1_050,Tiefenlichtorakel,Neutral,Rare,3,2,2,Battlecry,,,,True,Steve Prescott,Murloc,Sie können in die Zukunft blicken. In dieser Zukunft ziehen beide Spieler weitere Karten. Ganz schön unheimlich.,,,
<b>Kampfschrei:</b> Verleiht ALLEN anderen Murlocs +2 Leben.,Classic,Minion,EX1_103,Tiefenlichtseher,Neutral,Rare,3,2,3,Battlecry,,,,True,Arthur Gimaldinov,Murloc,Die Tiefenlichtmurlocs leben selbst in den dunkelsten Löchern der Abyssischen Tiefen. Es gibt also wirklich keinen Ort an dem man vor Murlocs sicher ist.,,,
<b>Gottesschild</b>. <b>Spott</b>. <b>Todesröcheln:</b> Legt einen Aschenbringer (5/3) an.,Classic,Minion,EX1_383,Tirion Fordring,Neutral,Legendary,8,6,6,Deathrattle|Divine Shield|Taunt,,,Paladin,True,Brom,,Der bekannteste Paladin – gleich nach Uther Mograine Bolvar Arthas ...
– Felix A.,True,,
Verleiht einem verletzten Diener +3/+3.,Classic,Spell,CS2_104,Toben,Neutral,Common,2,,,,,,Warrior,True,Jonboy Meyers,,Diener WÜTEND. Diener ZERQUETSCHT!,,,
+3/+3.,Classic,Enchantment,CS2_104e,Toben,,,,,,,,,Warrior,,,,,,,
<b>Wutanfall:</b> <b>Windzorn</b> und +1 Angriff,Classic,Minion,EX1_412,Tobender Worgen,Neutral,Common,3,3,3,Enrage,,,,True,Alex Horley Orlandelli,,Wenn er jetzt schon tobt dann wartet erst mal bis wir den Nerfhammer auspacken!,,,
<b>Kampfschrei:</b> Vernichtet alle anderen Diener und werft Eure Hand ab.,Classic,Minion,NEW1_030,Todesschwinge,,Legendary,10,12,12,Battlecry,,,,True,Bernie Kang,Dragon,Einst war er ein edler Drache mit dem Namen Neltharion doch Todesschwinge verlor seinen Verstand und zerschmetterte Azeroth bevor er schlussendlich besiegt wurde. Vaterkomplexe?,True,,
Vernichtet einen zufälligen feindlichen Diener.,Classic,Spell,EX1_617,Tödlicher Schuss,Neutral,Common,3,,,,,,Hunter,True,Steve Prescott,,Zielgenauigkeit wird von den Moknathal nicht sehr hoch geschätzt. Tödlichkeit hingegen steht ganz oben auf der Liste.,,,
Verursacht $4 Schaden. Verursacht stattdessen $6 Schaden wenn Euer Held max. 12 Leben hat.,Classic,Spell,EX1_408,Tödlicher Stoß,Neutral,Rare,4,,,,,,Warrior,True,Zoltan & Gabor,,„Wer nur eine Fähigkeit verwendet sollte sich stets für Tödlicher Stoß entscheiden.“ – Gesetz des Kriegers Artikel 6,,,
Zauber kosten in diesem Zug (0)!,Classic,Enchantment,NEW1_029t,Tötet Millhaus!,,Legendary,,,,,,,,,,,,,,
Lasst einen Diener auf die Hand seines Besitzers zurückkehren.,Classic,Spell,DREAM_04,Traum,,,0,,,,,,Dream,,,,,,,
,Classic,Minion,EX1_158t,Treant,Neutral,,1,2,2,,,,Druid,,,,,,,
<b>Spott</b>,Classic,Minion,EX1_573t,Treant,,,1,2,2,Taunt,,,Druid,,,,,,,
<b>Ansturm</b>. Vernichtet diesen Diener am Ende des Zuges.,Classic,Minion,EX1_tk9,Treant,Neutral,Common,1,2,2,Charge,,,Druid,,,,,,,
<b>Kampfschrei:</b> Verwandelt einen anderen zufälligen Diener in einen Teufelssaurier (5/5) oder ein Eichhörnchen (1/1).,Classic,Minion,EX1_083,Tüftlermeister Oberfunks,Alliance,Legendary,3,3,3,Battlecry,,,,True,Tom Baxa,,Tüftlermeister Oberfunks verlor im Zuge der Großen Eichhörnchenplage von Eisenschmiede beinahe seine Tüftlerlizenz.,True,,
Erhöhte Werte.,Classic,Enchantment,EX1_258e,Überladen,,,,,,,,,Shaman,,,,,,,
Verleiht einem befreundeten Diener bis zum Ende des Zuges +4/+4. Dann stirbt er. Auf schreckliche Art und Weise.,Classic,Spell,EX1_316,Überwältigende Macht,Neutral,Common,1,,,,,,Warlock,True,Tom Baxa,,Aus überwältigender Macht folgt überwältigende Verantwortung.,,,
Hat +4/+4 aber wird am Ende dieses Zuges elendig verenden.,Classic,Enchantment,EX1_316e,Überwältigende Macht,Neutral,,,,,,,,Warlock,,,,,,,
Fügt einem Diener Schaden zu der dem Angriff Eures Helden entspricht.,Classic,Spell,EX1_578,Unbändigkeit,Neutral,Rare,1,,,AffectedBySpellPower,,,Druid,True,Dave Rapoza,,Es stimmt schon dass einige Druiden ganz schön wild sind aber es gibt auch andere die gern in Ruhe eine Tasse Tee trinken.,,,
Vernichtet zu Beginn Eures Zuges ALLE Diener.,Classic,Minion,NEW1_021,Untergangsverkünder,,Epic,2,0,7,,,,,True,Alex Horley Orlandelli,,Er hatte schon so oft beinahe recht. Er war sich <i>absolut sicher</i> dass es beim Kataklysmus endlich klappen würde.,,,
Stellt 5 Leben wieder her.,Classic,Spell,NEW1_008b,Uralte Geheimnisse,,,,,,,,,Druid,,,,,,,
Zieht 2 Karten.,Classic,Spell,NEW1_008a,Uralte Lehren,,,,,,,,,Druid,,,,,,,
<b>Kampfschrei:</b> Lasst einen befreundeten Diener vom Schlachtfeld auf Eure Hand zurückkehren.,Classic,Minion,EX1_057,Uralter Braumeister,Alliance,Common,4,5,4,Battlecry,,,,True,Bernie Kang,,Viele Pandaren sagen dass sein Gebräu nach Yak schmeckt. Anscheinend ist das aber als Kompliment gemeint.,,,
<b>Kampfschrei:</b> Verleiht benachbarten Dienern <b>Zauberschaden +1</b>.,Classic,Minion,EX1_584,Uralter Magier,Neutral,Rare,4,2,5,Battlecry,,,,True,Howard Lyon,,Manchmal wirkt er etwas senil und wandert in Spiele von anderen Leuten hinein.,,,
Kann nicht angreifen.,Classic,Minion,EX1_045,Uralter Wächter,Alliance,Rare,2,4,5,,,,,True,Richard Wright,,Warum scheint es so als würden seine Augen Euch folgen wenn Ihr vorbeigeht?,,,
<b>Wählt aus:</b> Zieht 2 Karten; oder stellt 5 Leben wieder her.,Classic,Minion,NEW1_008,Urtum der Lehren,,Epic,7,5,5,,,,Druid,True,Patrik Hjelm,,Los versucht doch mal Euren Namen in seine Rinde zu ritzen.,,,
<b>Wählt aus:</b> +5 Angriff; oder +5 Leben und <b>Spott</b>.,Classic,Minion,EX1_178,Urtum des Krieges,Neutral,Epic,7,5,5,,,,Druid,True,Sean O’Daniels,,Junge Nachtelfen lieben das Spiel „Wer bringt das Urtum des Krieges zum Entwurzeln?“. Wer in den Boden gestampft wird verliert.,,,
Dieser Diener hat erhöhten Angriff und erhöhtes Leben.,Classic,Enchantment,EX1_613e,Van Cleefs Rache,,,,,,,,,Rogue,,,,,,,
<b>Ansturm</b>. <b>Kampfschrei:</b> Werft zwei zufällige Karten ab.,Classic,Minion,EX1_310,Verdammniswache,Neutral,Rare,5,5,7,Battlecry|Charge,,,Warlock,True,Lucas Graciano,Demon,Es ist ziemlich riskant eine Verdammniswache zu beschwören. <i>Irgendjemand</i> wird dran glauben müssen.,,,
Verleiht Euren Dienern bis zu Eurem nächsten Zug <b>Verstohlenheit</b>.,Classic,Spell,EX1_128,Verhüllen,Neutral,Common,1,,,,,,Rogue,True,Steve Hui,,Schurken verhüllen praktisch alles – aber wenn es um ihre Gefühle geht hüllen sie sich nicht gerade in Schweigen.,,,
Bleibt bis zu Eurem nächsten Zug verstohlen.,Classic,Enchantment,EX1_128e,Verhüllt,,,,,,,,,Rogue,,,,,,,
<b>Kampfschrei:</b> Fügt SICH SELBST 4 Schaden zu.,Classic,Minion,CS2_181,Verletzter Klingenmeister,Horde,Rare,3,4,7,Battlecry,,,,True,Samwise,,Er behauptet dass es eine alte Kriegsverletzung ist aber wir vermuten dass er sich einfach beim Rasieren geschnitten hat.,,,
Zwingt einen feindlichen Diener seinen Schaden benachbarten Dienern zuzufügen.,Classic,Spell,EX1_126,Verrat,Neutral,Common,2,,,,,,Rogue,True,Lucas Graciano,,Zu einem gewissen Preis ist sich halt jeder selbst der Nächste.,,,
<b>Kampfschrei:</b> Vertauscht Angriff und Leben eines Dieners.,Classic,Minion,EX1_059,Verrückter Alchemist,Neutral,Rare,2,2,2,Battlecry,,,,True,Tom Fleming,,Ihr werdet seine neuesten Kreationen lieben – besonders wenn Ihr mit der aktuellen Anzahl Eurer Gliedmaßen nicht zufrieden seid.,,,
<b>Kampfschrei:</b> Verursacht 3 Schaden der zufällig auf alle anderen Charaktere aufgeteilt wird.,Classic,Minion,EX1_082,Verrückter Bomber,Alliance,Common,2,3,2,Battlecry,,,,True,Mike Sass,,Er ist nicht wirklich so verrückt er ist nur einfach nicht so sorgsam im Umgang mit Sprengstoffen wie er es vielleicht sein sollte.,,,
Erhöhtes Leben.,Classic,Enchantment,NEW1_025e,Verstärkt,,,,,,,,,,,,,,,,
,Classic,Minion,EX1_130a,Verteidiger,Neutral,Common,1,2,1,,,,Paladin,,,,,,,
<b>Kampfschrei:</b> Verleiht benachbarten Dienern +1/+1 und <b>Spott</b>.,Classic,Minion,EX1_093,Verteidiger von Argus,Alliance,Rare,4,2,3,Battlecry,,,,True,Alex Horley Orlandelli,,Man sollte meinen dass Argus nicht so viele Verteidiger braucht. Aber leider ist dem so.,,,
Fügt zu Beginn Eures Zuges einem zufälligen Feind 2 Schaden zu.,Classic,Minion,EX1_102,Verwüster,Neutral,Rare,3,1,4,,,,,True,Raymond Swanland,Mech,Belagerungen sind nicht für jeden etwas. Sie sind nicht einmal mehr effektiv jetzt da alle ein Flugreittier besitzen.,,,
Erhöhte Werte.,Classic,Enchantment,EX1_304e,Verzehren,,,,,,,,,Warlock,,,,,,,
Ruft jedes Mal einen Violetten Lehrling (1/1) herbei wenn Ihr einen Zauber wirkt.,Classic,Minion,NEW1_026,Violette Ausbilderin,,Rare,4,3,5,,,,,True,James Ryman,,Wenn Ihr nicht genau zuhört lauft Ihr Gefahr in einen Esel verwandelt zu werden ... und dann müsst Ihr Euch in die Ecke stellen.,,,
,Classic,Minion,NEW1_026t,Violetter Lehrling,,,0,1,1,,,,,,,,,,,
