TYPE,SET,HEALTH,ID,NAME,TEXT,FACTION,RARITY,COST,MECHANICS,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
Spell,Classic,,EX1_345,Jogos Mentais,Coloque uma cópia de um lacaio aleatório do deck do oponente no campo de batalha.,Neutral,Epic,4,,,,Priest,,True,Zoltan & Gabor,,Às vezes parece que tudo isso é um jogo.,,,
Minion,Classic,3,EX1_finkle,Jonas Tiragosto,,Neutral,Legendary,2,,,3,,,,,,,True,,
Minion,Classic,5,EX1_534,Jubalta da Savana,<b>Último Suspiro:</b> Evoque duas Hienas 2/2.,,Rare,6,Deathrattle,,6,Hunter,,True,Milivoj Ceran,Beast,Hoje à noite aqui na selva as hienas comem o leããããão.,,,
Enchantment,Classic,,EX1_366e,Justiça Feita,Tem +1/+1.,,,,,,,Paladin,,,,,,,,
Minion,Classic,5,NEW1_041,Kodo em Disparada,<b>Grito de Guerra:</b> Destrua um lacaio inimigo aleatório com 2 ou menos de Ataque.,,Rare,5,Battlecry,,3,,,True,Daren Bader,Beast,Esse Kodo é tão imenso que consegue atropelar a <i>si mesmo</i>.,,,
Minion,Classic,1,EX1_614t,Labareda de Azzinoth,,,,1,,,2,,,,,,,,,
Weapon,Classic,,EX1_133,Lâmina da Perdição,<b>Grito de Guerra:</b> Cause 1 de dano. <b>Combo:</b> Em vez de 1 cause 2 de dano.,Neutral,Rare,3,Battlecry|Combo,,2,Rogue,2,True,Daren Bader,,A Lâmina da Perdição é a arma reserva de Ragnaros enquanto Sulfuras está na loja.,,,
Spell,Classic,,CS2_031,Lança de Gelo,<b>Congele</b> um personagem. Se ele já estiver <b>Congelado</b> cause $4 de dano.,Neutral,Common,1,Freeze,,,Mage,,True,Alex Horley Orlandelli,,O truque é não quebrar a lança. Senão você vai ter &bdquo;Pedaços de Gelo&bdquo;. Pedaços de gelo não são tão eficazes.,,,
Minion,Classic,2,EX1_116,Leeroy Jenkins,<b>Investida</b>. <b>Grito de Guerra:</b> Evoque dois Dragonetes 1/1 para o seu oponente.,Alliance,Legendary,5,Battlecry|Charge,,6,,,True,Gabe from Penny Arcade,,Pelo menos ele tem um Frango Nervoso.,True,,
Minion,Classic,4,EX1_095,Leiloeiro de Geringontzan,Ao lançar um feitiço compre um card.,Neutral,Rare,6,,,4,,,True,Matt Dixon,,Ele costumava gerenciar a casa de leilões do mercado negro mas a violência foi aumentando e ele teve que mudar de negócio.,,,
Spell,Classic,,EX1_573b,Lição de Shan&sbquo;do,Evoque dois Arvorosos 2/2 com <b>Provocar</b>.,Neutral,,,,,,Druid,,,,,,,,
Minion,Classic,2,EX1_131,Líder Défias,<b>Combo:</b> Evoque um Bandido Défias 2/1.,Neutral,Common,2,Combo,,2,Rogue,,True,Dany Orizio,,Ele roubou a escritura da cidade há muitos anos então tecnicamente a cidade <i>é</i> dele. Ele só chama o pessoal de verme pra ser malvado mesmo.,,,
Enchantment,Classic,,EX1_160be,Líder do Bando,+1/+1,,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_160b,Líder do Bando,Conceda +1/+1 aos seus lacaios.,Neutral,,,,,,Druid,,,,,,,,
Minion,Classic,3,EX1_507,Líder Guerreiro Murloc,TODOS os outros Murlocs têm +2/+1.,Neutral,Epic,3,Aura,,3,,,True,Tim McBurnie,Murloc,Os murlocs não enjoam de ficar fazendo sempre o mesmo som? Não! Mrglglrglglglglglglgl!,,,
Minion,Classic,3,EX1_tk11,Lobo Espiritual,<b>Provocar</b>,Neutral,Rare,2,Taunt,,2,Shaman,,,,,,,,
Minion,Classic,2,EX1_162,Lobo Hediondo Alfa,Lacaios adjacentes têm +1 de Ataque.,Neutral,Common,2,AdjacentBuff|Aura,,2,,,True,John Dickenson,Beast,Estamos bem animados com o lançamento do Lobo Hediondo Beta. É só compartilhar esta mensagem para concorrer a uma chave.,,,
Minion,Classic,6,EX1_313,Lorde Abissal,<b>Grito de Guerra:</b> Cause 5 de dano ao seu herói.,Neutral,Epic,4,Battlecry,,5,Warlock,,True,Glenn Rane,Demon,Mannoroth Magtheridon e Brutallus podem estar mortos mas parece que existem MUITOS lordes abissais.,,,
Minion,Classic,15,EX1_323,Lorde Jaraxxus,<b>Grito de Guerra:</b> Destrua seu herói e substitua-o por Lorde Jaraxxus.,,Legendary,9,Battlecry,,3,Warlock,,True,Alex Horley Orlandelli,Demon,&bdquo;GNOMO INSIGNIFICANTE! TANTA ARROGÂNCIA SERÁ SUA RUÍNA!&bdquo;,True,,
Hero,Classic,15,EX1_323h,Lorde Jaraxxus,,Neutral,Legendary,0,,,0,Warlock,,,,Demon,,,,
Enchantment,Classic,,NEW1_018e,Louco por Tesouro,Ataque aumentado.,,,,,,,,,,,,,,,
Weapon,Classic,,EX1_398t,Machado de Batalha,,,,1,,,2,Warrior,2,,,,,,,
Weapon,Classic,,EX1_409t,Machado Pesado,,,,1,,,1,Warrior,3,,,,,,,
Weapon,Classic,,EX1_247,Machado Tempestuoso,<b>Sobrecarga:</b> (1),Neutral,Common,2,,,2,Shaman,3,True,Nate Bowden,,Que machado legal cara.,,,
Minion,Classic,3,EX1_612,Maga do Kirin Tor,<b>Grito de Guerra:</b> O próximo <b>Segredo</b> que você lançar neste turno custará (0).,Neutral,Rare,3,Battlecry,,4,Mage,,True,Popo Wei,,A sede do Kirin Tor fica na cidade flutuante de Dalaran. Como é que ela flutua? Será que usam balões? Balões nunca são uma boa ideia.,,,
Minion,Classic,5,EX1_584,Mago Ancião,<b>Grito de Guerra:</b> Conceda <b>+1 de Dano Mágico</b> aos lacaios adjacentes.,Neutral,Rare,4,Battlecry,,2,,,True,Howard Lyon,,Às vezes ele esquece e simplesmente vai para o jogo dos outros.,,,
Minion,Classic,1,EX1_012,Mago Sangrento Thalnos,<b>+1 de Dano Mágico</b>. <b>Último Suspiro:</b> Compre um card.,Neutral,Legendary,2,Deathrattle|Spellpower,,1,,,True,Alex Horley Orlandelli,,Ele é o responsável pela campanha de doação de sangue anual do Monastério Escarlate!,True,,
Minion,Classic,2,NEW1_019,Malabarista de Facas,Depois de evocar um lacaio cause 1 de dano a um inimigo aleatório.,,Rare,2,,,3,,,True,Matt Cavotta,,Malabaristas de Facas ambiciosos às vezes são promovidos a Malabaristas de Bombas. Mas eles nunca sobrevivem o suficiente para colocar isso num cartão de visitas.,,,
Minion,Classic,12,EX1_563,Malygos,<b>+5 de Dano Mágico</b>,Neutral,Legendary,9,Spellpower,,4,,,True,Michael Komarck,Dragon,Malygos odeia quando mortais usam magia. Odeia!,True,,
Minion,Classic,3,EX1_564,Manipulador Sem-rosto,<b>Grito de Guerra:</b> Escolha um lacaio e torne-se uma cópia dele.,Neutral,Epic,5,Battlecry,,3,,,True,Raymond Swanland,,Os Sem-rosto são servos de Yogg-Saron e eles se alimentam de medo. Neste momento eles estão se alimentando do seu medo de desencantar acidentalmente todos os cards bons.,,,
Enchantment,Classic,,EX1_093e,Mão de Argus,+1/+1 e <b>Provocar</b>.,,,,,,,,,,,,,,,
Spell,Classic,,EX1_155b,Marca da Natureza,+4 de Vida e <b>Provocar</b>.,Neutral,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_155a,Marca da Natureza,+4 de Ataque,Neutral,,,,,,Druid,,,,,,,,
Enchantment,Classic,,EX1_155ae,Marca da Natureza,Este lacaio tem +4 de Ataque.,,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_155,Marca da Natureza,<b>Escolha Um</b> - Conceda +4 de Ataque a um lacaio; ou +4 de Vida e <b>Provocar</b>.,Neutral,Common,3,,,,Druid,,True,Clint Langley,,Os druidas chamam de &bdquo;Marca da Natureza&bdquo;. Todos os outros chamam de &bdquo;precisa de um banho&bdquo;.,,,
Enchantment,Classic,,EX1_155be,Marca da Natureza,Este lacaio tem +4 de Vida e <b>Provocar</b>.,,,,,,,Druid,,,,,,,,
Weapon,Classic,,EX1_567,Martelo da Perdição,<b>Fúria dos Ventos Sobrecarga:</b> (2),Neutral,Epic,5,Windfury,,2,Shaman,8,True,John Polidora,,Orgrim Martelo da Perdição deu sua arma lendária para Thrall. O nome dele é só uma coincidência.,,,
Minion,Classic,1,CS2_146,Marujo dos Mares do Sul,Tem <b>Investida</b> enquanto você tiver uma arma equipada.,Alliance,Common,1,,,2,,,True,Dan Brereton,Pirate,A nova moda dos piratas é uma música que fala &bdquo;Olha a onda!&bdquo;,,,
Enchantment,Classic,,NEW1_029t,Mate o Millhouse!,Feitiços custam (0) neste turno!,,Legendary,,,,,,,,,,,,,
Minion,Classic,6,CS2_227,Mercenário da Emp. S.A.,Seus lacaios custam (3) a mais.,Horde,Common,5,Aura,,7,,,True,John Polidora,,Nenhum trabalho é grande demais. Nenhum preço é alto demais.,,,
Minion,Classic,2,EX1_595,Mestra do Culto,Quando um de seus outros lacaios morrer compre um card.,Neutral,Common,4,,,4,,,True,Raymond Swanland,,Ela pode ser uma mestra do culto maligna mas liga para os pais uma vez por semana.,,,
Minion,Classic,3,NEW1_037,Mestre Armeiro,No fim do seu turno conceda +1 de Ataque a outro lacaio aliado aleatório.,,Rare,2,,,1,,,True,E.M. Gist,,Ele está tentando forjar um machado-mangual atualmente mas todos os outros armeiros dizem que é impossível.,,,
Minion,Classic,4,EX1_057,Mestre Cervejeiro Ancião,<b>Grito de Guerra:</b> Devolva um lacaio aliado do campo de batalha à sua mão.,Alliance,Common,4,Battlecry,,5,,,True,Bernie Kang,,Muitos pandarens dizem que esta bebida tem gosto de iaque. Mas aparentemente isso é um elogio.,,,
Minion,Classic,2,EX1_049,Mestre Cervejeiro Jovem,<b>Grito de Guerra:</b> Devolva um lacaio aliado do campo de batalha à sua mão.,Alliance,Common,2,Battlecry,,3,,,True,Wei Wang,,Sua alegria juvenil nem sempre equivale a cervejas boas. Não beba a Stout Mogu!,,,
Minion,Classic,7,CS2_181,Mestre de Espadas Ferido,<b>Grito de Guerra:</b> Cause 4 de dano a ELE MESMO.,Horde,Rare,3,Battlecry,,4,,,True,Samwise,,Ele diz que é um ferimento de guerra antigo mas nós achamos que ele só se cortou fazendo a barba.,,,
Minion,Classic,4,NEW1_014,Mestre dos Disfarces,<b>Grito de Guerra:</b> Conceda <b>Furtividade</b> a um lacaio aliado.,,Rare,4,Battlecry,,4,Rogue,,True,Ron Spencer,,Na verdade ela é um tauren. O pessoal não chama ele de &bdquo;Mestre dos Disfarces&bdquo; à toa.,,,
Minion,Classic,3,EX1_083,Mestre-faz-tudo Superchispa,<b>Grito de Guerra:</b> Transforme outro lacaio aleatório em um Demossauro 5/5 ou em um Esquilo 1/1.,Alliance,Legendary,3,Battlecry,,3,,,True,Tom Baxa,,O Mestre-faz-tudo Superchispa quase perdeu sua licença de Mestre-faz-tudo depois da Grande Debandada de Esquilos de Altaforja do ano 9.,True,,
Minion,Classic,4,NEW1_029,Millhouse Manavento,<b>Grito de Guerra:</b> Feitiços inimigos custam (0) no próximo turno.,,Legendary,2,Battlecry,,4,,,True,Jim Nelson,,Vou te deixar em brasa coisa fofa!,True,,
Enchantment,Classic,,EX1_570e,Morder,+4 de Ataque neste turno.,,,,OneTurnEffect,,,,,,,,,,,
Spell,Classic,,EX1_570,Morder,Conceda +4 de Ataque ao seu herói neste turno e 4 de Armadura.,Neutral,Rare,4,,,,Druid,,True,Tom Baxa,,Mastigue sua comida!,,,
Minion,Classic,3,NEW1_012,Moreia de Mana,Sempre que você lançar um feitiço receba +1 de Ataque.,,Common,1,,,1,Mage,,True,Blizzard Cinematics,,Essas moreias se alimentam de energias arcanas. Apesar de serem geralmente consideradas antes um incômodo que uma ameaça real é melhor não deixá-las sozinhas perto de um balde de mana.,,,
Enchantment,Classic,,EX1_507e,Mrgglaargl!,Líder Guerreiro Murloc está concedendo +2/+1.,,,,,,,,,,,,,,,
Enchantment,Classic,,EX1_103e,Mrghlglhal,+2 de Vida.,,,,,,,,,,,,,,,
Minion,Classic,3,EX1_170,Naja Imperatriz,Destrua qualquer lacaio atingido por este lacaio.,Neutral,Rare,3,Poisonous,,2,,,True,Lars Grant-West,Beast,A Bacia Sholazar é o lar de várias coisas terríveis. Se você pretende fazer uma visita não esqueça o repelente. E a armadura de placas.,,,
Minion,Classic,4,EX1_557,Nat Pagle,No início do seu turno você tem 50% de chance de comprar um card extra.,Neutral,Legendary,2,,,0,,,True,Steve Prescott,,Nat Pagle o melhor pescador de Azeroth! Ele inventou a Auto-vara de Pescar 3000 a Vara Estendida 3000 e a Roboísca 2099 (ainda na fase de testes).,True,,
Spell,Classic,,EX1_161,Naturalizar,Destrua um lacaio. Seu oponente compra dois cards.,Neutral,Common,1,,,,Druid,,True,Leo Che,,Mais um beija a lona.,,,
Spell,Classic,,CS2_028,Nevasca,Cause $2 de dano a todos os lacaios inimigos e <b>Congele</b>-os.,Neutral,Rare,6,Freeze,,,Mage,,True,Chris Seaman,,Este feitiço pode ser bastente Divertido.,,,
Minion,Classic,8,EX1_560,Nozdormu,Os jogadores só tem 15 segundos para terminarem seus turnos.,Neutral,Legendary,9,,,8,,,True,James Ryman,Dragon,Hora de escrever uma descrição.,True,,
Spell,Classic,,EX1_164,Nutrir,<b>Escolha Um</b> - Receba 2 Cristais de Mana; ou Compre 3 cards.,Neutral,Rare,5,,,,Druid,,True,Terese Nielsen,,Os druidas podem se nutrir de várias maneiras: com o poder da natureza com o cantarolar das aves com um bolo de chocolate.,,,
Spell,Classic,,EX1_164b,Nutrir,Compre 3 cards.,Neutral,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_164a,Nutrir,Receba 2 Cristais de Mana.,Neutral,,,,,,Druid,,,,,,,,
Minion,Classic,5,EX1_002,O Cavaleiro Negro,<b>Grito de Guerra:</b> Destrua um lacaio inimigo com <b>Provocar</b>.,,Legendary,6,Battlecry,,4,,,True,Alex Horley Orlandelli,,Ele foi enviado pelo Lich Rei para atrapalhar o Torneio Argênteo. Podemos dizer que ele falhou miseravelmente.,True,,
Spell,Classic,,EX1_128,Ocultar,Conceda <b>Furtividade</b> aos seus lacaios até o próximo turno.,Neutral,Common,1,,,,Rogue,,True,Steve Hui,,Os Ladinos escondem tudo menos suas emoções. Eles não sabem calar a boca quando começam a falar dos sentimentos.,,,
Enchantment,Classic,,EX1_128e,Oculto,Furtivo até seu próximo turno.,,,,,,,Rogue,,,,,,,,
Spell,Classic,,EX1_132,Olho por Olho,<b>Segredo:</b> Quando o seu herói receber dano cause a mesma quantidade de dano ao herói inimigo.,Neutral,Common,1,Secret,,,Paladin,,True,James Ryman,,A justiça às vezes toma a forma de um punho fechado numa fuça delicada.,,,
Minion,Classic,8,EX1_562,Onyxia,<b>Grito de Guerra:</b> Evoque Dragonetes 1/1 até seu lado do campo de batalha estar cheio.,Neutral,Legendary,9,Battlecry,,8,,,True,Dany Orizio,Dragon,Onyxia manipulou por muito tempo a Corte de Ventobravo disfarçada de Lady Katrana Prestor. Era de se imaginar que as asas e escamas gigantescas seriam notadas não?,True,,
Minion,Classic,2,EX1_050,Oráculo da Luz Fria,<b>Grito de Guerra:</b> Cada jogador compra 2 cards.,Neutral,Rare,3,Battlecry,,2,,,True,Steve Prescott,Murloc,Eles conseguem prever o futuro. No futuro os dois jogadores comprarão mais cards. Sinistro!,,,
Minion,Classic,3,EX1_382,Pacificador Aldor,<b>Grito de Guerra:</b> Mude o Ataque de um lacaio inimigo para 1.,Neutral,Rare,3,Battlecry,,3,Paladin,,True,Dany Orizio,,Os Aldor odeiam duas coisas: os Áugures e smooth jazz.,,,
Enchantment,Classic,,CS2_059o,Pacto de Sangue,Vida aumentada.,,,,,,,Warlock,,,,,,,,
Minion,Classic,2,EX1_160t,Pantera,,,Common,2,,,3,Druid,,,,Beast,,,,
Minion,Classic,2,EX1_017,Pantera da Selva,<b>Furtividade</b>,Horde,Common,3,Stealth,,4,,,True,Jaemin Kim,Beast,A Selva do Espinhaço é um lugar lindo para se visitar mas você não gostaria de morar lá.,,,
Spell,Classic,,EX1_144,Passo Furtivo,Devolva um lacaio aliado à sua mão. Ele custa (2) a menos.,Neutral,Common,0,,,,Rogue,,True,Graven Tung,,Trupes de dançarinos ladinos às vezes dão um Passo Furtivo no fim se sua dança. O público adora.,,,
Spell,Classic,,DREAM_05,Pesadelo,Conceda +5/+5 a um lacaio. No início do próximo turno destrua-o.,,,0,,,,Dream,,,,,,,,
Enchantment,Classic,,DREAM_05e,Pesadelo,Este lacaio tem +5/+5 mas será destruído em breve.,,,,,,,,,,,,,,,
Minion,Classic,2,NEW1_020,Piromante Selvagem,Depois de lançar um feitiço cause 1 de dano a TODOS os lacaios.,,Rare,2,,,3,,,True,Alex Horley Orlandelli,,BUM! HAHAHA BUUUUM!!! MAU É BOM!!! ANARQUIAAAAA!,,,
Enchantment,Classic,,EX1_274e,Poder Bruto!,Atributos aumentados.,,,,,,,Mage,,,,,,,,
Spell,Classic,,EX1_160,Poder da Selva,<b>Escolha Um</b> - Conceda +1/+1 aos seus lacaios ou evoque uma Pantera 3/2.,Neutral,Common,2,,,,Druid,,True,Steve Tappin,,Nunca olhe uma pantera nos olhos. Ou é &bdquo;Sempre olhe uma pantera nos olhos&bdquo;? Bom é um desses dois.,,,
Enchantment,Classic,,EX1_612o,Poder do Kirin Tor,Seu próximo Segredo custará (0).,,,,OneTurnEffect,,,Mage,,,,,,,,
Enchantment,Classic,,EX1_316e,Poder Esmagador,Este lacaio tem +4/+4 mas morrerá de forma horrível no fim do turno.,Neutral,,,,,,Warlock,,,,,,,,
Spell,Classic,,EX1_316,Poder Esmagador,Conceda +4/+4 a um lacaio aliado até o fim do turno. Depois ele morre. Uma morte horrível.,Neutral,Common,1,,,,Warlock,,True,Tom Baxa,,Não conseguimos nem descrever a morte dele de tão horrível. É BIZARRO de ruim! Talvez ainda pior. Não faça isso.,,,
Minion,Classic,4,EX1_315,Portal de Evocação,Seus lacaios custam (2) a menos mas nunca menos de (1).,Neutral,Common,4,Aura,,0,Warlock,,True,Tyler Walpole,,NÃO MENOS QUE 1! Não seja espertinho!,,,
Enchantment,Classic,,EX1_055o,Potencializado,Viciada em Mana tem o Ataque aumentado.,,,,OneTurnEffect,,,,,,,,,,,
Enchantment,Classic,,EX1_411e2,Precisa ser afiado,Ataque diminuído.,,,,,,,Warrior,,,,,,,,
Enchantment,Classic,,EX1_145o,Preparação,O próximo feitiço que você lançar neste turno custará (3) a menos.,,,,OneTurnEffect,,,Rogue,,,,,,,,
Spell,Classic,,EX1_145,Preparação,O próximo feitiço que você lançar neste turno custará (3) a menos.,Neutral,Epic,0,,,,Rogue,,True,Clint Langley,,&bdquo;Esteja preparado.&bdquo; — Lema Ladino,,,
Spell,Classic,,EX1_573a,Presente de Semideus,Conceda aos seus outros lacaios +2/+2.,Neutral,,,,,,Druid,,,,,,,,
Enchantment,Classic,,EX1_573ae,Presente de Semideus,+2/+2.,Neutral,,,,,,Druid,,,,,,,,
Minion,Classic,5,NEW1_026,Professora Violeta,Sempre que lançar um feitiço evoque um Aprendiz Violeta 1/1.,,Rare,4,,,3,,,True,James Ryman,,Se você não prestar atenção pode acabar sendo transformado em um porco. E depois ter seu nome escrito no quadro negro.,,,
Minion,Classic,7,EX1_350,Profeta Velen,Dobre o dano e a cura dos seus feitiços e Poder Heroico.,Neutral,Legendary,7,,,7,Priest,,True,Wei Wang,,Ele foi exilado de casa e todos os seus irmãos ficaram maus mas fora isso ele não tem do que reclamar.,True,,
Enchantment,Classic,,EX1_001e,Protegido,Ataque aumentado.,,,,,,,,,,,,,,,
Minion,Classic,2,EX1_362,Protetor Argênteo,<b>Grito de Guerra:</b> Conceda <b>Escudo Divino</b> a um lacaio aliado.,Neutral,Common,2,Battlecry,,2,Paladin,,True,Doug Alexander,,&bdquo;Não estou dizendo que você pode desviar de bolas de fogo. Mas com este escudo você não vai precisar.&bdquo;,,,
Minion,Classic,3,EX1_058,Protetora Solfúria,<b>Grito de Guerra:</b> Conceda <b>Provocar</b> aos lacaios adjacentes.,Alliance,Rare,2,Battlecry,,2,,,True,James Ryman,,Ela carrega um escudo mas só pra poder entregar pra outra pessoa e ficar atrás dela.,,,
Spell,Classic,,EX1_137,Quebra-crânio,Cause $2 de dano ao herói inimigo. <b>Combo:</b> Devolva este card à sua mão no próximo turno.,Neutral,Rare,3,Combo,,,Rogue,,True,James Zhang,,Quando tudo o mais falha nada supera uma pancada rápida na cabeça.,,,
Minion,Classic,3,EX1_048,Quebra-feitiço,<b>Grito de Guerra:</b> <b>Silencie</b> um lacaio.,Horde,Common,4,Battlecry,,4,,,True,Matt Cavotta,,Quebra-feitiços podem eliminar encantamentos de manipuladores de magia. Não há dor no processo e pode ser executado em um ambulatório.,,,
Minion,Classic,8,EX1_298,Ragnaros o Senhor do Fogo,Não pode atacar. No final do seu turno cause 8 de dano a um inimigo aleatório.,Neutral,Legendary,8,,,8,,,True,Greg Staples,,Ragnaros foi evocado pelos anões Ferro Negro que acabaram sendo escravizados pelo Senhor do Fogo. Evocar Ragnaros raramente funciona como você gostaria.,True,,
Spell,Classic,,EX1_238,Raio,Cause $3 de dano. <b>Sobrecarga:</b> (1),Neutral,Common,1,,,,Shaman,,True,Daarken,,Raio! Raio! Raios!,,,
Spell,Classic,,EX1_251,Raio Bifurcado,Cause $2 de dano a 2 lacaios inimigos aleatórios. <b>Sobrecarga:</b> (2),Neutral,Common,1,,,,Shaman,,True,Ralph Horsley,,É praticamente dois por um né?,,,
Spell,Classic,,EX1_607,Raiva Interior,Cause $1 de dano a um lacaio e conceda-lhe +2 de Ataque.,Neutral,Common,0,,,,Warrior,,True,Slawomir Maniak,,Eles só aparentam estar sorrindo.,,,
Enchantment,Classic,,EX1_607e,Raiva Interior,+2 de Ataque.,,,,,,,Warrior,,,,,,,,
Spell,Classic,,CS2_233,Rajada de Lâminas,Destrua sua arma e cause o dano dela a todos os inimigos.,Neutral,Rare,2,AffectedBySpellPower,,,Rogue,,True,Hideaki Takamura,,&bdquo;Olha não é só ficar balançando adagas de um lado pro outro bem rápido. É bem mais complicado que isso.&bdquo; - Shan Instrutor de Ladinos,,,
Minion,Classic,6,CS1_069,Rastejante do Pântano,<b>Provocar</b>,Alliance,Common,5,Taunt,,3,,,True,Monica Langlois,,Ele costumava ser chamado de Fera do Brejo mas isso confundia as pessoas porque não era uma fera de verdade. Bum! Novo nome!,,,
Minion,Classic,1,EX1_243,Redemoinho de Poeira,<b>Fúria dos Ventos</b>. <b>Sobrecarga:</b> (2),Neutral,Common,1,Windfury,,3,Shaman,,True,Raymond Swanland,,O Cerro Oeste é cheio de redemoinhos de poeira. E urubus. E golens enlouquecidos. E piratas. Por que ainda tem gente morando lá?,,,
Spell,Classic,,EX1_136,Redenção,<b>Segredo:</b> Quando um de seus lacaios morrer reviva-o com 1 de Vida.,Neutral,Common,1,Secret,,,Paladin,,True,Ittoku,,Essa história de &bdquo;redenção&bdquo; é ok mas &bdquo;denção&bdquo; é o quê mesmo?,,,
Spell,Classic,,EX1_533,Redirecionar,<b>Segredo:</b> Quando um personagem tentar atacar o seu herói ele atacará outro personagem aleatório.,Neutral,Rare,2,Secret,,,Hunter,,True,Daren Bader,,Às vezes é tão fácil que basta um bigode falso e o dedo em riste na direção de alguém.,,,
Minion,Classic,8,EX1_543,Rei Mó,<b>Investida</b>,Neutral,Legendary,9,Charge,,8,Hunter,,True,Alex Horley Orlandelli,Beast,A melhor defesa contra o Rei Mó é botar alguém de quem você não gosta na sua frente.,True,,
Minion,Classic,5,EX1_014,Rei Mukla,<b>Grito de Guerra:</b> Conceda 2 Bananas ao seu oponente.,,Legendary,3,Battlecry,,5,,,True,Sunny Gho,Beast,O Rei Mukla vaga pela Ilha Jaguara em busca do amor.,True,,
Spell,Classic,,EX1_339,Roubo de Pensamentos,Copie 2 cards do deck do oponente e ponha-os na sua mão.,Neutral,Common,3,,,,Priest,,True,Alex Garner,,&bdquo;O que acontece quando você lança Roubo de Pensamentos em um orc? Nada!&bdquo; — Piada tauren.,,,
Enchantment,Classic,,EX1_161o,Rugido Desmoralizante,Este lacaio tem -3 de Ataque neste turno.,,,,OneTurnEffect,,,Druid,,,,,,,,
Spell,Classic,,EX1_320,Ruína do Destino,Cause $2 de dano a um personagem. Se ele morrer evoque um Demônio aleatório.,Neutral,Epic,5,,,,Warlock,,True,Raymond Swanland,,Meu conselho é evitar a Ruína se possível.,,,
Hero Power,Classic,,EX1_625t2,Ruptura Mental,<b>Poder Heroico</b>
Cause 3 de dano.,,,2,,,,Priest,,,,,,,,
Minion,Classic,5,EX1_591,Sacerdalma Auchenai,Seus cards e poderes que restauram Vida agora deixam de restaurar e causam dano.,Neutral,Rare,4,Aura,,3,Priest,,True,Doug Alexander,,Os Auchenai sabem que o fim está chegando mas não sabem exatamente quando.,,,
Minion,Classic,4,EX1_583,Sacerdotisa de Eluna,<b>Grito de Guerra:</b> Restaure 4 de Vida do seu herói.,Neutral,Common,6,Battlecry,,5,,,True,Dan Scott,,&bdquo;Lua vaaaaaai iluminar os pensamentos dela...&bdquo;,,,
Minion,Classic,5,EX1_091,Sacerdotisa do Conluio,<b>Grito de Guerra:</b> Assuma o controle de um lacaio inimigo que tenha 2 ou menos de Ataque.,Neutral,Epic,6,Battlecry,,4,Priest,,True,Chippy,,Você nunca sabe quem pode estar trabalhando secretamente para o Conluio...,,,
Minion,Classic,1,EX1_004,Sacerdotisa Jovem,No fim do seu turno conceda +1 de Vida a outro lacaio aliado aleatório.,,Rare,1,,,2,,,True,Vance Kovacs,,Ela mal pode esperar para aprender Palavra de Poder: Fortitude Grau 2,,,
Spell,Classic,,EX1_130,Sacrifício Nobre,<b>Segredo:</b> Quando um inimigo atacar evoque um Defensor 2/1 para ser o novo alvo.,Neutral,Common,1,Secret,,,Paladin,,True,Zoltan & Gabor,,Sempre nos lembraremos de você &bdquo;Defensor&bdquo;!,,,
Spell,Classic,,CS2_073,Sangue Frio,Conceda +2 de Ataque a um lacaio. <b>Combo:</b> +4 de Ataque em vez de +2.,Neutral,Common,1,Combo,,,Rogue,,True,Alex Horley Orlandelli,,&bdquo;Meu sangue é frio vem ver!&bdquo;,,,
Enchantment,Classic,,CS2_073e2,Sangue Frio,+4 de Ataque.,,,,,,,Rogue,,,,,,,,
Enchantment,Classic,,CS2_073e,Sangue Frio,+2 de Ataque.,,,,,,,Rogue,,,,,,,,
Minion,Classic,3,NEW1_018,Saqueadora da Vela Sangrenta,<b>Grito de Guerra:</b> Ela recebe Ataque equivalente ao Ataque da sua arma.,,Common,2,Battlecry,,2,,,True,Jim Nelson,Pirate,&bdquo;Eu só saqueio nos dias que terminam com -feira. Ah e fins de semana.&bdquo;,,,
Minion,Classic,1,CS2_188,Sargento Abusivo,<b>Grito de Guerra:</b> Conceda +2 de Ataque a um lacaio neste turno.,Alliance,Common,1,Battlecry,,2,,,True,Luca Zontini,,ME ADICIONE AO SEU DECK VERME!,,,
Spell,Classic,,NEW1_008b,Segredos Ancestrais,Restaure 5 de Vida.,,,,,,,Druid,,,,,,,,
Spell,Classic,,EX1_578,Selvageria,Cause dano equivalente ao Ataque do seu herói a um lacaio.,Neutral,Rare,1,AffectedBySpellPower,,,Druid,,True,Dave Rapoza,,É verdade que alguns druidas são selvagens mas outros ainda apreciam um momento de paz e um bom chá.,,,
Minion,Classic,3,NEW1_005,Sequestrador,<b>Combo:</b> Devolva um lacaio à mão do dono.,,Epic,6,Combo,,5,Rogue,,True,Dave Allsop,,Ele só quer que as pessoas vejam as fotos que tirou na viagem.,,,
