MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,FACTION
,Blackrock Mountain,O Alquimista,<b>Poder Heroico Passivo</b>Sempre que um lacaio for evocado troque seu Ataque e sua Vida.,,,,Hero Power,BRMA15_2,,,,,,,,,,,
,Blackrock Mountain,O Senescal,<b>Poder Heroico</b>Evoque um Ardilante Acólito 3/3.,,2,,Hero Power,BRMA06_2H,,,,,,,,,,,
,Blackrock Mountain,O Senescal,<b>Poder Heroico</b>Evoque um Ardilante Acólito 1/3.,,2,,Hero Power,BRMA06_2,,,,,,,,,,,
,Blackrock Mountain,O Verdadeiro Chefe Guerreiro,Destrua um lacaio Lendário.,,1,,Spell,BRMA09_6,,,,,,,,,,,
,Blackrock Mountain,O Viveiro,<b>Poder Heroico</b>Conceda +1 de Vida a todos os Ovos Corrompidos depois evoque um.,,1,,Hero Power,BRMA10_3,,,,,,,,,,,
,Blackrock Mountain,O Viveiro,<b>Poder Heroico</b>Conceda +1 de Vida a todos os Ovos Corrompidos depois evoque um.,,0,,Hero Power,BRMA10_3H,,,,,,,,,,,
,Blackrock Mountain,Olhar Intenso,<b>Poder Heroico Passivo</b>Todos os cards custam (1). Os jogadores têm no máximo 1 Cristal de Mana.,,,,Hero Power,BRMA08_2,,,,,,,,,,,
,Blackrock Mountain,Olhar Intenso,<b>Poder Heroico Passivo</b>Todos os cards custam (1). Você tem no máximo 2 Cristais de Mana; o inimigo 1.,,,,Hero Power,BRMA08_2H,,,,,,,,,,,
,Blackrock Mountain,Onyxia,,,,15,Hero,BRMA17_3,,,,,,,,,,,
,Blackrock Mountain,Onyxia,,,,30,Hero,BRMA17_3H,,,,,,,,,,,
,Blackrock Mountain,Onyxigarra,,2,2,,Weapon,BRMA17_9,,,,,,,,,,6,
Taunt,Blackrock Mountain,Orc da Velha Horda,<b>Provocar</b>,1,1,1,Minion,BRMA09_3t,,,,,,,,,,,
Taunt,Blackrock Mountain,Orc da Velha Horda,<b>Provocar</b>,2,1,2,Minion,BRMA09_3Ht,,,,,,,,,,,
,Blackrock Mountain,Ordem de Drakkisath,Destrua um lacaio. Receba 10 de Armadura.,,1,,Spell,BRMA08_3,,,,,,,,,,,
,Blackrock Mountain,Ovo Corrompido,Quando este lacaio tem 5 ou mais pontos de vida ele irrompe.,0,1,3,Minion,BRMA10_4H,,,,,,,,,,,
,Blackrock Mountain,Ovo Corrompido,Quando este lacaio tem 4 ou mais pontos de vida ele irrompe.,0,1,1,Minion,BRMA10_4,,,,,,,,,,,
,Blackrock Mountain,Ovo de Dragão,Sempre que este lacaio receber dano evoque um Dragonete 2/1.,0,1,2,Minion,BRM_022,,Rare,,True,Jaemin Kim,Pode ser criado após a derrota de Laceral Mão Negra no Pico da Rocha Negra.,Eles são como balas para a sua arma-dragão.,Desbloqueado após a derrota de Laceral Mão Negra no Pico da Rocha Negra.,,,
,Blackrock Mountain,Pedrada,Evoque 3 Devotos do Fogo. <b>Sobrecarga:</b> (2),,3,,Spell,BRMA04_4H,,,,,,,,,,,
,Blackrock Mountain,Pedrada,Evoque 3 Devotos do Fogo. <b>Sobrecarga:</b> (2),,3,,Spell,BRMA04_4,,,,,,,,,,,
,Blackrock Mountain,Pega eles!,Evoque quatro Anões 1/1 com <b>Provocar</b>.,,3,,Spell,BRMA01_4,,,,,,,,,,,
,Blackrock Mountain,Poção do Poder,+2/+2.,,,,Enchantment,BRMA15_2He,,,,,,,,,,,
,Blackrock Mountain,Poder do Senhor do Fogo,<b>Poder Heroico</b>Cause 30 de dano.,,2,,Hero Power,BRMA03_2,,,,,,,,,,,
,Blackrock Mountain,Poder Dragônico,Atributos aumentados.,,,,Enchantment,BRM_020e,,,,,,,,,,,
Taunt,Blackrock Mountain,Protótipo Cromático,<b>Provocar</b>,1,2,4,Minion,BRMA17_7,,,,,,,,,,,
,Blackrock Mountain,Pulso Magmático,<b>Poder Heroico</b>Cause 1 de dano a todos os lacaios.,,1,,Hero Power,BRMA04_2,,,,,,,,,,,
,Blackrock Mountain,Ragnaros o Senhor do Fogo,,,,30,Hero,BRMC_01,,,,,,,,,,,
,Blackrock Mountain,Ragnaros o Senhor do Fogo,,,,8,Hero,BRM_027h,,,,,,,,,,,
,Blackrock Mountain,Ragnaros o Senhor do Fogo,,,,8,Hero,BRMA06_3,,,,,,,,,,,
,Blackrock Mountain,Ragnaros o Senhor do Fogo,,,,30,Hero,BRMA06_3H,,,,,,,,,,,
,Blackrock Mountain,Recarregar,Encha todos os Cristais de Mana vazios.,,0,,Spell,BRMA14_11,,,,,,,,,,,
,Blackrock Mountain,Resistência Crepuscular,Vida aumentada.,,,,Enchantment,BRM_004e,,,,,,,,,,,
,Blackrock Mountain,Ressuscitar,Evoque um lacaio aliado aleatório morto neste jogo.,,2,,Spell,BRM_017,,Rare,,True,Luke Mancini,Pode ser criado após a derrota do Imperador Thaurissan no Abismo Rocha Negra.,Assim que adentrei a masmorra vi o aventureiro morto. Com suas últimas forças ele deixara na poeira que cobria a parede às suas costas uma mensagem. Duas palavras: &bdquo;Ress pfv&bdquo;,Desbloqueado após a derrota do Imperador Thaurissan no Abismo Rocha Negra.,Priest,,
,Blackrock Mountain,Revanche,Cause $1 de dano a todos os lacaios. Se você tiver 12 pontos de vida ou menos em vez disso cause $3 de dano.,,2,,Spell,BRM_015,,Rare,,True,Ben Olson,Pode ser criado após a derrota de Violâminus no Covil Asa Negra.,É melhor que Explosão Arcana então os guerreiros finalmente vão se vingar dos magos por Golpe Mortal ser pior que Bola de Fogo.,Desbloqueado após a derrota de Violâminus no Covil Asa Negra.,Warrior,,
,Blackrock Mountain,Revés com a Cauda,Cause $4 de dano.,,4,,Spell,BRM_030t,,,,,,,,,,,
,Blackrock Mountain,Sangue de Dragão,+1/+1,,,,Enchantment,BRM_033e,,,,,,,,,,,
Deathrattle,Blackrock Mountain,Senescal Executus,<b>Último Suspiro:</b> Substitua seu herói por Ragnaros o Senhor do Fogo.,9,9,7,Minion,BRM_027,True,Legendary,,True,Alex Horley Orlandelli,Pode ser criado após a conclusão do Núcleo Derretido.,Você achava que Executus tinha te transformado em Ragnaros mas na verdade Ragnaros estava em você desde o princípio.,Desbloqueado após a conclusão do Núcleo Derretido.,,,
,Blackrock Mountain,Senescal Executus,,,,30,Hero,BRMA06_1H,,,,,,,,,,,
,Blackrock Mountain,Senescal Executus,,,,30,Hero,BRMA06_1,,,,,,,,,,,
,Blackrock Mountain,Sistema de Defesa Omnitron,,,,30,Hero,BRMA14_1H,,,,,,,,,,,
,Blackrock Mountain,Sistema de Defesa Omnitron,,,,30,Hero,BRMA14_1,,,,,,,,,,,
,Blackrock Mountain,Soltem as Aberrações!,Evoque 3 Aberrações.,,2,,Spell,BRMA15_3,,,,,,,,,,,
,Blackrock Mountain,Sopro do Dragão,Causa $4 de dano. Custa (1) a menos para cada lacaio morto neste turno.,,5,,Spell,BRM_003,,Common,,True,Mauricio Herrera,Pode ser criado após a conclusão do Desafio do Mago na Montanha Rocha Negra.,Dragões sopram fogo claro. Mas você sabia que eles também sopram algodão-doce? Só é mais difícil convencê-los a fazer isso.,Desbloqueado após a conclusão do Desafio do Mago da Montanha Rocha Negra.,Mage,,
,Blackrock Mountain,Sopro Sônico,Cause $3 de dano a um lacaio. Concede +3 de Ataque à sua arma.,,4,,Spell,BRMA16_3,,,,,,,,,,,
,Blackrock Mountain,Sopro Sônico,+3 de Ataque.,,,,Enchantment,BRMA16_3e,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem,<b>Poder Heroico</b>No fim do seu turno adicione um card de Suplício da Linhagem à mão do seu adversário.,,0,,Hero Power,BRMA12_2,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem,<b>Poder Heroico</b>No fim do seu turno adicione um card de Suplício da Linhagem à mão do seu adversário.,,0,,Hero Power,BRMA12_2H,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Azul,Enquanto este card estiver na sua mão os feitiços de Cromaggus custam (3) a menos.,,3,,Spell,BRMA12_5H,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Azul,Enquanto estiver na sua mão os feitiços de Cromaggus custam (1) a menos.,,1,,Spell,BRMA12_5,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Bronze,Enquanto este card estiver na sua mão os lacaios de Cromaggus custam (3) a menos.,,3,,Spell,BRMA12_7H,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Bronze,Enquanto estiver na sua mão os lacaios de Cromaggus custam (1) a menos.,,1,,Spell,BRMA12_7,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Preto,Enquanto este card estiver na sua mão sempre que Cromaggus comprar um card ele recebe outra cópia dele.,,3,,Spell,BRMA12_6H,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Preto,Enquanto este card estiver na sua mão sempre que Cromaggus comprar um card ele recebe outra cópia dele.,,1,,Spell,BRMA12_6,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Verde,Enquanto estiver na sua mão recupere 2 pontos de vida do adversário no início do seu turno.,,1,,Spell,BRMA12_4,,,,,,,,,,,
,Blackrock Mountain,Suplício da Linhagem: Verde,Enquanto este card estiver na sua mão recupere 6 pontos de vida do adversário no início do seu turno.,,3,,Spell,BRMA12_4H,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Suplício da Linhagem: Vermelho,Enquanto estiver na sua mão receba 1 de dano no início do seu turno.,,1,,Spell,BRMA12_3,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Suplício da Linhagem: Vermelho,Enquanto este card estiver na sua mão receba 3 de dano no início do seu turno.,,3,,Spell,BRMA12_3H,,,,,,,,,,,
,Blackrock Mountain,Supremo Juiz Durólito,,,,30,Hero,BRMA02_1,,,,,,,,,,,
,Blackrock Mountain,Supremo Juiz Durólito,,,,30,Hero,BRMA02_1H,,,,,,,,,,,
Battlecry,Blackrock Mountain,Técnica Asa Negra,<b>Grito de Guerra:</b> Se tiver um Dragão na mão receba +1/+1.,2,3,4,Minion,BRM_033,,Common,,True,Matt Dixon,Pode ser criado após a derrota do Barão Geddon no Núcleo Derretido.,Quando seu Asa Negra precisar de uma guaribada ela é o cara. Deixar na mão de uma oficina não autorizada é furada!,Desbloqueado após a derrota do Barão Geddon no Núcleo Derretido.,,,Neutral
,Blackrock Mountain,Toxitron,No início do seu turno cause 1 de dano a todos os outros lacaios.,3,1,3,Minion,BRMA14_5,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Toxitron,No início do seu turno cause 1 de dano a todos os outros lacaios.,4,1,4,Minion,BRMA14_5H,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Turba Provocadora,<b>Poder Heroico</b>Evoque um Espectador 1/1 com <b>Provocar</b>.,,0,,Hero Power,BRMA02_2H,,,,,,,,,,,
,Blackrock Mountain,Turba Provocadora,<b>Poder Heroico</b>Evoque um Espectador 1/1 com <b>Provocar</b>.,,1,,Hero Power,BRMA02_2,,,,,,,,,,,
,Blackrock Mountain,Vaelastrasz o Corrupto,,,,30,Hero,BRMA11_1,,,,,,,,,,,
,Blackrock Mountain,Vaelastrasz o Corrupto,,,,30,Hero,BRMA11_1H,,,,,,,,,,,
Taunt,Blackrock Mountain,Vagaroso Vulcânico,<b>Provocar</b>Custa (1) a menos para cada lacaio morto neste turno.,7,9,8,Minion,BRM_009,,Rare,,True,Trent Kaniuga,Pode ser criado após a conclusão do Desafio do Druida na Montanha Rocha Negra.,Flamejante da raiz às pontas!,Desbloqueado após a conclusão do Desafio do Druida da Montanha Rocha Negra.,Druid,,
,Blackrock Mountain,Velha Horda,<b>Poder Heroico</b>Evoque dois Orcs 2/2 com <b>Provocar</b>. Receba um novo Poder Heroico.,,2,,Hero Power,BRMA09_3H,,,,,,,,,,,
,Blackrock Mountain,Velha Horda,<b>Poder Heroico</b>Evoque dois Orcs 1/1 com <b>Provocar</b>. Receba um novo Poder Heroico.,,2,,Hero Power,BRMA09_3,,,,,,,,,,,
,Blackrock Mountain,Vigília Solene,Compre 2 cards. Custa (1) a menos para cada lacaio morto neste turno.,,5,,Spell,BRM_001,,Common,,True,Jaime Jones,Pode ser criado após a conclusão do Desafio do Paladino na Montanha Rocha Negra.,Todo ano a comunidade se reúne diante da Montanha Rocha Negra para relembrar aqueles que foram atraídos para dentro da lava.,Desbloqueado após a conclusão do Desafio do Paladino da Montanha Rocha Negra.,Paladin,,
,Blackrock Mountain,Violâminus o Indomado,,,,30,Hero,BRMA10_1,,,,,,,,,,,
,Blackrock Mountain,Violâminus o Indomado,,,,30,Hero,BRMA10_1H,,,,,,,,,,,
