SET,NAME,TEXT,COST,TYPE,ID,HEALTH,ARTIST,RARITY,ATTACK,RACE,MECHANICS,COLLECTIBLE,FACTION,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY
Blackrock Mountain,임프 두목,이 하수인은 피해를 입을 때마다 1/1 임프를 하나 소환합니다.,3,Minion,BRM_006,4,Steve Prescott,Common,2,Demon,,True,,화산 심장부의 청지기 이그젝큐투스를 쓰러뜨린 후 제작 가능,불량한 임프들은 종종 스톰윈드에 몰래 숨어들어 마법사 탑에 &bdquo;라그나로스 님이 최고시다!&bdquo;라고 낙서를 하곤 합니다.,화산 심장부의 청지기 이그젝큐투스를 쓰러뜨려 잠금 해제,Warlock,,
Blackrock Mountain,재충전,빈 마나 수정을 모두 채웁니다.,0,Spell,BRMA14_11,,,,,,,,,,,,,,
Blackrock Mountain,저놈을 잡아!,<b>도발</b> 능력을 가진 1/1 드워프 4명을 소환합니다.,3,Spell,BRMA01_4,,,,,,,,,,,,,,
Blackrock Mountain,적색의 정수,<b>영웅 능력</b>각 플레이어가 카드를 2장씩 뽑습니다.,0,Hero Power,BRMA11_2,,,,,,,,,,,,,,
Blackrock Mountain,적색의 정수,<b>영웅 능력</b>각 플레이어가 카드를 3장씩 뽑습니다. 마나 수정을 1개 얻습니다.,0,Hero Power,BRMA11_2H,,,,,,,,,,,,,,
Blackrock Mountain,전기골렘,모든 주문의 비용이 (3) 감소합니다.,3,Minion,BRMA14_7H,6,,Legendary,6,Mech,,,,,,,,True,
Blackrock Mountain,전기골렘,모든 주문의 비용이 (3) 감소합니다.,3,Minion,BRMA14_7,5,,Legendary,5,Mech,Aura,,,,,,,True,
Blackrock Mountain,전기골렘 가동,<b>영웅 능력</b>전기골렘 가동!,4,Hero Power,BRMA14_6H,,,,,,,,,,,,,,
Blackrock Mountain,전기골렘 가동,<b>영웅 능력</b>전기골렘 가동!,6,Hero Power,BRMA14_6,,,,,,,,,,,,,,
Blackrock Mountain,제왕 타우릿산,,,Hero,BRMA03_1,30,,,,,,,,,,,,,
Blackrock Mountain,제왕 타우릿산,내 턴이 끝날 때 내 손에 있는 카드들의 비용이 (1) 감소합니다.,6,Minion,BRM_028,5,Wayne Reynolds,Legendary,5,,,True,,검은바위 나락을 완료한 후 제작 가능,그가 살면서 두 번째로 후회하는 일은 사악한 불의 군주를 소환해 부족 전체를 노예 신세로 만든 것입니다.,검은바위 나락을 완료하여 잠금 해제,,True,
Blackrock Mountain,제왕 타우릿산,,,Hero,BRMA03_1H,30,,,,,,,,,,,,,
Blackrock Mountain,제왕의 은총,비용 (1) 감소,,Enchantment,BRM_028e,,,,,,,,,,,,,,
Blackrock Mountain,주정뱅이,<b>도발</b>,1,Minion,BRMA01_4t,1,,,1,,Taunt,,,,,,,,
Blackrock Mountain,죽어라 벌레들아!,<b>영웅 능력</b>무작위로 선택된 적 하나에게 피해를 8 줍니다. <i>2번</i> 발동합니다.,2,Hero Power,BRM_027pH,,,,,,,,,,,,,,
Blackrock Mountain,죽어라 벌레야!,무작위로 선택된 적 하나에게 피해를 $8 줍니다.,0,Spell,BRMA13_8,,,,,,AffectedBySpellPower,,,,,,,,
Blackrock Mountain,죽어라 벌레야!,<b>영웅 능력</b>무작위로 선택된 적 하나에게 피해를 8 줍니다.,2,Hero Power,BRM_027p,,,,,,,,,,,,,,
Blackrock Mountain,진정한 대족장,전설 하수인 하나를 처치합니다.,1,Spell,BRMA09_6,,,,,,,,,,,,,,
Blackrock Mountain,진정한 형상,<b>영웅 능력</b>게임을 시작하자!,1,Hero Power,BRMA13_2H,,,,,,,,,,,,,,
Blackrock Mountain,진정한 형상,<b>영웅 능력</b>게임을 시작하자!,1,Hero Power,BRMA13_2,,,,,,,,,,,,,,
Blackrock Mountain,징 울리기,상대편의 무기를 파괴합니다.,1,Spell,BRMA16_4,,,,,,,,,,,,,,
Blackrock Mountain,청지기 이그젝큐투스,<b>죽음의 메아리:</b> 내 영웅을 불의 군주 라그나로스로 교체합니다.,9,Minion,BRM_027,7,Alex Horley Orlandelli,Legendary,9,,Deathrattle,True,,화산 심장부를 완료한 후 제작 가능,자 너무 일찍 깨웠다고 이그젝큐투스를 꾸짖을 시간입니다.,화산 심장부를 완료하여 잠금 해제,,True,
Blackrock Mountain,청지기 이그젝큐투스,,,Hero,BRMA06_1H,30,,,,,,,,,,,,,
Blackrock Mountain,청지기 이그젝큐투스,,,Hero,BRMA06_1,30,,,,,,,,,,,,,
Blackrock Mountain,청지기의 권능,<b>영웅 능력</b>3/3 불꽃꼬리 수행사제를 하나 소환합니다.,2,Hero Power,BRMA06_2H,,,,,,,,,,,,,,
Blackrock Mountain,청지기의 권능,<b>영웅 능력</b>1/3 불꽃꼬리 수행사제를 하나 소환합니다.,2,Hero Power,BRMA06_2,,,,,,,,,,,,,,
Blackrock Mountain,코렌 다이어브루,,,Hero,BRMA01_1,30,,,,,,,,,,,,,
Blackrock Mountain,코렌 다이어브루,,,Hero,BRMA01_1H,30,,,,,,,,,,,,,
Blackrock Mountain,크로마구스,,,Hero,BRMA12_1H,60,,,,,,,,,,,,,
Blackrock Mountain,크로마구스,,,Hero,BRMA12_1,30,,,,,,,,,,,,,
Blackrock Mountain,크로마구스,내가 카드를 뽑을 때마다 그 카드를 1장 복사하여 내 손으로 가져옵니다.,8,Minion,BRM_031,8,Todd Lockwood,Legendary,6,Dragon,,True,,검은날개 둥지를 완료한 후 제작 가능,왼쪽 머리와 오른쪽 머리는 매번 &bdquo;오늘 뭐 먹지?&bdquo;를 두고 싸운답니다. 결국 먹는 건 또 라면이죠.,검은날개 둥지를 완료하여 잠금 해제,,True,
Blackrock Mountain,타락한 밸라스트라즈,,,Hero,BRMA11_1H,30,,,,,,,,,,,,,
Blackrock Mountain,타락한 밸라스트라즈,,,Hero,BRMA11_1,30,,,,,,,,,,,,,
Blackrock Mountain,타락한 알,생명력이 5 이상이면 부화합니다.,1,Minion,BRMA10_4H,3,,,0,,,,,,,,,,
Blackrock Mountain,타락한 알,생명력이 4 이상이면 부화합니다.,1,Minion,BRMA10_4,1,,,0,,,,,,,,,,
Blackrock Mountain,탈것 내리기,<b>영웅 능력</b>기스를 소환합니다. 새로운 영웅 능력을 얻습니다.,4,Hero Power,BRMA09_5,,,,,,,,,,,,,,
Blackrock Mountain,탈것 내리기,<b>영웅 능력</b>기스를 소환합니다. 새로운 영웅 능력을 얻습니다.,4,Hero Power,BRMA09_5H,,,,,,,,,,,,,,
Blackrock Mountain,파괴의 화염수호정령,<b>전투의 함성:</b> 공격력을 1-4 얻습니다. <b>과부하:</b> (1),4,Minion,BRM_012,6,Paul Mafayon,Common,3,,Battlecry,True,,검은날개 둥지의 군주 빅터 네파리우스를 쓰러뜨린 후 제작 가능,이 중요한 보직의 적임자를 찾기 위해 라그나로스는 엄청나게 많은 불의 정령과 면접을 보았습니다.,검은날개 둥지의 군주 빅터 네파리우스를 쓰러뜨려 잠금 해제,Shaman,,
Blackrock Mountain,패거리,하수인을 선택하고 내 덱에 그 하수인을 3마리 섞어 넣습니다.,2,Spell,BRM_007,,Jim Nelson,Common,,,,True,,검은바위 나락의 검은무쇠 투기장을 완료한 후 제작 가능,달빛시내 마을에는 절대로 혼자 가면 안 됩니다.,검은바위 나락의 검은무쇠 투기장을 완료하여 잠금 해제,Rogue,,
Blackrock Mountain,폭군 서슬송곳니,,,Hero,BRMA10_1,30,,,,,,,,,,,,,
Blackrock Mountain,폭군 서슬송곳니,,,Hero,BRMA10_1H,30,,,,,,,,,,,,,
Blackrock Mountain,한판 붙자!,<b>영웅 능력</b>내 덱에서 하수인 둘 상대편의 덱에서 하수인 하나를 뽑아 각각의 전장에 놓습니다.,0,Hero Power,BRMA01_2H,,,,,,,,,,,,,,
Blackrock Mountain,한판 붙자!,<b>영웅 능력</b>각 플레이어의 덱에서 하수인을 하나씩 뽑아 전장에 놓습니다.,0,Hero Power,BRMA01_2,,,,,,,,,,,,,,
Blackrock Mountain,해골 피조물,,1,Minion,BRMA17_6,1,,,2,,,,,,,,,,
Blackrock Mountain,해골 피조물,,1,Minion,BRMA17_6H,2,,,4,,,,,,,,,,
Blackrock Mountain,해골 하수인,<b>영웅 능력</b>4/2 해골 피조물을 둘 소환합니다.,2,Hero Power,BRMA17_5H,,,,,,,,,,,,,,
Blackrock Mountain,해골 하수인,<b>영웅 능력</b>2/1 해골 피조물을 둘 소환합니다.,2,Hero Power,BRMA17_5,,,,,,,,,,,,,,
Blackrock Mountain,해방!,다음에 내가 내는 용족 하수인의 비용이 (2) 감소합니다.,,Enchantment,BRM_018e,,,,,,,,,,,,Paladin,,
Blackrock Mountain,험상궂은 손님,이 하수인이 피해를 입고 생존할 때마다 다른 험상궂은 손님을 소환합니다.,5,Minion,BRM_019,3,Bobby Chiu,Rare,3,,,True,,검은바위 나락의 험상궂은 주정뱅이 선술집을 완료한 후 제작 가능,정신이 번쩍 들게 두들겨 맞고 싶으십니까? 험상궂은 주정뱅이 선술집으로 오십시오!,검은바위 나락의 험상궂은 주정뱅이 선술집을 완료하여 잠금 해제,,,
Blackrock Mountain,혈족의 고통,<b>영웅 능력</b>내 턴이 끝날 때 상대편의 손에 혈족의 고통 카드 1장을 추가합니다.,0,Hero Power,BRMA12_2H,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통,<b>영웅 능력</b>내 턴이 끝날 때 상대편의 손에 혈족의 고통 카드 1장을 추가합니다.,0,Hero Power,BRMA12_2,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 녹,내 손에 이 카드가 있으면 내 턴이 시작될 때 상대편의 생명력을 6 회복시킵니다.,3,Spell,BRMA12_4H,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 녹,내 손에 이 카드가 있으면 내 턴이 시작될 때 상대편의 생명력을 2 회복시킵니다.,1,Spell,BRMA12_4,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 적,내 손에 이 카드가 있으면 내 턴이 시작될 때 피해를 3 입습니다.,3,Spell,BRMA12_3H,,,,,,ImmuneToSpellpower,,,,,,,,
Blackrock Mountain,혈족의 고통: 적,내 손에 이 카드가 있으면 내 턴이 시작될 때 피해를 1 입습니다.,1,Spell,BRMA12_3,,,,,,ImmuneToSpellpower,,,,,,,,
Blackrock Mountain,혈족의 고통: 청,내 손에 이 카드가 있으면 크로마구스가 쓰는 주문의 비용이 (1) 감소합니다.,1,Spell,BRMA12_5,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 청,내 손에 이 카드가 있으면 크로마구스가 쓰는 주문의 비용이 (3) 감소합니다.,3,Spell,BRMA12_5H,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 청동,내 손에 이 카드가 있으면 크로마구스가 소환하는 하수인의 비용이 (1) 감소합니다.,1,Spell,BRMA12_7,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 청동,내 손에 이 카드가 있으면 크로마구스가 소환하는 하수인의 비용이 (3) 감소합니다.,3,Spell,BRMA12_7H,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 흑,내 손에 이 카드가 있으면 크로마구스는 카드를 뽑을 때마다 그 카드를 복사하여 1장 더 손에 넣습니다.,3,Spell,BRMA12_6H,,,,,,,,,,,,,,
Blackrock Mountain,혈족의 고통: 흑,내 손에 이 카드가 있으면 크로마구스는 카드를 뽑을 때마다 그 카드를 복사하여 1장 더 손에 넣습니다.,1,Spell,BRMA12_6,,,,,,,,,,,,,,
Blackrock Mountain,화산 비룡,이번 턴에 죽은 하수인 하나당 비용이 (1)씩 감소합니다.,6,Minion,BRM_025,4,Lucas Graciano,Common,6,Dragon,,True,,숨겨진 연구실의 만능골렘 방어 시스템을 쓰러뜨린 후 제작 가능,화산의 비룡은 불 대신 용암을 뿜어냅니다. 토륨 거점에 있는 상인은 이들에게 남몰래 속쓰림 방지제를 팔아 꽤 짭짤한 이득을 보고 있습니다.,숨겨진 연구실의 만능골렘 방어 시스템을 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,화산의 나무정령,<b>도발</b>이번 턴에 죽은 하수인 하나당 비용이 (1)씩 감소합니다.,9,Minion,BRM_009,8,Trent Kaniuga,Rare,7,,Taunt,True,,검은바위 산의 드루이드 직업 도전 과제를 완료한 후 제작 가능,누구든 작은 나무정령에게 불 붙이면 뭐 되는 거야.,검은바위 산의 드루이드 직업 도전 과제를 완료하여 잠금 해제,Druid,,
Blackrock Mountain,화염심장,카드를 2장 뽑습니다.방어도를 +4 얻습니다.,3,Spell,BRMA_01,,,,,,,,,,,,,,
Blackrock Mountain,화염의 드루이드,,3,Minion,BRM_010t2,5,Hideaki Takamura,Common,2,Beast,,,,,,,Druid,,
Blackrock Mountain,화염의 드루이드,,3,Minion,BRM_010t,2,Ben Zhang,Common,5,Beast,,,,,,,Druid,,
Blackrock Mountain,화염의 드루이드,<b>선택</b> - 5/2 또는 2/5 하수인으로 변신합니다.,3,Minion,BRM_010,2,Stanley Lau,Common,2,,,True,,화산 심장부의 가르를 쓰러뜨린 후 제작 가능,노스렌드에서 너무 오랜 시간을 보낸 드루이드들은 라그나로스가 제공하는 핫초코의 유혹을 차마 뿌리치지 못했습니다.,화산 심장부의 가르를 쓰러뜨려 잠금 해제,Druid,,
Blackrock Mountain,화염의 피조물,<b>전투의 함성:</b> 피해를 6 줍니다.,0,Minion,BRMA13_5,3,,,6,,Battlecry,,,,,,,,
Blackrock Mountain,황혼의 새끼용,<b>전투의 함성:</b> 만약 내 손에 용족 하수인이 있으면 생명력을 +2 얻습니다.,1,Minion,BRM_004,1,Sam Nielson,Common,2,Dragon,Battlecry,True,,검은바위 산의 사제 직업 도전 과제를 완료한 후 제작 가능,한창 귀엽고 발랄할 나이에 &bdquo;황혼&bdquo;이라는 수식어가 붙는 걸 이 친구들도 그리 달가워하진 않습니다.,검은바위 산의 사제 직업 도전 과제를 완료하여 잠금 해제,Priest,,
Blackrock Mountain,황혼의 지구력,생명력 증가,,Enchantment,BRM_004e,,,,,,,,,,,,,,
Blackrock Mountain,흉포한 심장부 사냥개,<b>전투의 함성:</b> 만약 내 손에 카드가 없으면 +3/+3을 얻습니다.,4,Minion,BRM_014,4,Jomaro Kindred,Rare,4,Beast,Battlecry,True,,검은바위 첨탑의 대영주 오모크를 쓰러뜨린 후 제작 가능,이 괴물을 길들여서 집에 데려가 꼭 껴안고 자겠다는 허황된 꿈을 품고 불타는 용암 구덩이에 들어갔다가 목숨을 잃은 사냥꾼이 여럿입니다.,검은바위 첨탑의 대영주 오모크를 쓰러뜨려 잠금 해제,Hunter,,
Blackrock Mountain,힘의 물약,+2/+2,,Enchantment,BRMA15_2He,,,,,,,,,,,,,,
