SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,Ogro Guerramalho,50% de chance de atacar o inimigo errado.,Weapon,GVG_054,Warrior,True,Richard Wright,Common,4,3,,,Simples todo errado e incrivelmente perigoso. Sabe que nem tudo o que os ogros fazem.,,,2
Goblins vs Gnomes,Ogro Ninja,<b>Furtividade</b>
50% de chance de atacar o inimigo errado.,Minion,GVG_088,Rogue,True,Samwise,Rare,6,5,6,,Ele não teve nota para entrar na Faculdade Ninja mas o papai mexeu os pauzinhos.,Stealth,,
Goblins vs Gnomes,Óleo de Arma do Faz-tudo,+3 de Ataque.,Enchantment,GVG_022b,,,,,,,,,,,,
Goblins vs Gnomes,Óleo de Arma do Faz-tudo,Conceda +3 de Ataque à sua arma. <b>Combo:</b> Conceda +3 de Ataque a um lacaio aliado aleatório.,Spell,GVG_022,Rogue,True,Den,Common,,4,,,"Tá na hora de cascar o bandulho!" - Grito de guerra incompreensível.,Combo,,
Goblins vs Gnomes,Óleo de Arma do Faz-tudo,+3 de Ataque.,Enchantment,GVG_022a,,,,,,,,,,,,
Goblins vs Gnomes,Ovelha Explosiva,<b>Último Suspiro:</b> Cause 2 de dano a todos os lacaios.,Minion,GVG_076,,True,Ralph Horsley,Common,1,2,1,Mech,Como é que isso funciona? Os inimigos pensam: "<i>Ai</i> que ovelhinha fofinha!" e correm para fazer carinho nela?,Deathrattle,,
Goblins vs Gnomes,Pisa-poças,,Minion,GVG_064,,True,Jaemin Kim,Common,3,2,2,Murloc,Ele honra Morgl o grande oráculo murloc! (E quem não honra??),,,
Goblins vs Gnomes,Pistões,Ataque aumentado.,Enchantment,GVG_076a,,,,,,,,,,,,
Goblins vs Gnomes,Poder da Vila da Gambiarra,+1/+1.,Enchantment,GVG_102e,,,,,,,,,,,,
Goblins vs Gnomes,Poder de ZulFarrak,Ataque multiplicador.,Enchantment,GVG_049e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Portal Instável,Adicione um lacaio aleatório à sua mão. Ele custa (3) a menos.,Spell,GVG_003,Mage,True,Sean ODaniels,Rare,,2,,,Os cidadãos de Azeroth não fazem ideia do trabalho que dá estabilizar portais. 30% do PIB vai para a manutenção de portais.,,,
Goblins vs Gnomes,Potencializado,+2/+2.,Enchantment,GVG_036e,Shaman,,,,,,,,,,,
Goblins vs Gnomes,Preparação de Batalha,Evoque três Recrutas do Punho de Prata 1/1. Equipe uma Arma 1/4.,Spell,GVG_061,Paladin,True,Mike Hayes,Rare,,3,,,"Eu levo a paçoca!" – Um dos gritos de guerra mais bem-sucedidos (e raros) do Punho de Prata.,,,
Goblins vs Gnomes,Príncipe Mercador Gallywix,Sempre que seu oponente lança um feitiço ganhe uma cópia do feitiço e conceda uma Moeda a ele.,Minion,GVG_028,Rogue,True,Wei Wang,Legendary,5,6,8,,Gallywix adora a mão invisível do mercado. Especialmente quando ela está espancando seus inimigos.,,True,
Goblins vs Gnomes,Purificador Escarlate,<b>Grito de Guerra</b>: Cause 2 de dano a todos os lacaios com <b>Último Suspiro</b>.,Minion,GVG_101,Paladin,True,Anton Zemskov,Rare,4,3,3,,A Cruzada Escarlate está fazendo uma pesquisa de mercado para saber se "A Cruzada Bege" seria mais bem recebida.,Battlecry,,
Goblins vs Gnomes,Puro,Atributos aumentados.,Enchantment,GVG_101e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Raio Encolhedor,-2 de Ataque neste turno.,Enchantment,GVG_011a,,,,,,,,,,OneTurnEffect,,
Goblins vs Gnomes,Reciclar,Coloque um lacaio inimigo no deck do seu oponente.,Spell,GVG_031,Druid,True,Brandon Kitkouski,Rare,,6,,,A reciclagem druídica funciona assim: plásticos em uma lixeira lacaios inimigos em outra.,,,
Goblins vs Gnomes,Recombobulador,<b>Grito de Guerra:</b> Transforme um lacaio aliado em um lacaio aleatório com o mesmo Custo.,Minion,GVG_108,,True,Ben Olson,Epic,3,2,2,,Para o caso de você não conseguir combobular direito da primeira vez.,Battlecry,,
Goblins vs Gnomes,Rei das Feras,<b>Provocar</b>. <b>Grito de Guerra:</b> Ganhe +1 de Ataque para cada outra Fera que você tiver.,Minion,GVG_046,Hunter,True,Seamus Gallagher,Rare,2,5,6,Beast,Ele nunca dorme. Só olha pra dentro.,Battlecry|Taunt,,
Goblins vs Gnomes,Reparos!,+4 de Vida.,Enchantment,GVG_069a,Priest,,,,,,,,,,,
Goblins vs Gnomes,Resfriador de Emergência,<b>Congele</b> um lacaio.,Spell,PART_005,,,Peerasak Senalai,,,1,,,,Freeze,,
Goblins vs Gnomes,Retalhador Guiado,<b>Último Suspiro:</b> Evoque um lacaio aleatório com 2 de Custo.,Minion,GVG_096,,True,Dan Scott,Common,4,4,3,Mech,Antigamente só goblins pilotavam retalhadores. Hoje em dia todo mundo tem um de Agoureiro a Andarilho das Lendas Cho.,Deathrattle,,
Goblins vs Gnomes,Retaliação,Ataque aumentado,Enchantment,GVG_063a,,,,,,,,,,,,
Goblins vs Gnomes,Retroceder Tempo,Devolva um lacaio aliado à sua mão.,Spell,PART_002,,,Nutthapon Petthai,,,1,,,,,,
Goblins vs Gnomes,Robô de Cura Vintage,<b>Grito de Guerra:</b> Recupere 8 de Vida do seu herói.,Minion,GVG_069,,True,Jesper Esjing,Common,3,5,3,Mech,Já não fazem mais robôs assim (por causa das explosões claro)!,Battlecry,,
Goblins vs Gnomes,Robô de Reparos Aprimorado,<b>Grito de Guerra:</b> Conceda +4 de Vida a um Mecanoide aliado.,Minion,GVG_083,Priest,True,Nutchapol Thitinunthakorn,Rare,5,5,5,Mech,É igual à geração anterior mas é só chamar de "aprimorado" que o preço dobra.,Battlecry,,
Goblins vs Gnomes,Robomba,<b>Último Suspiro:</b> Cause 1-4 de dano a um inimigo aleatório.,Minion,GVG_110t,,,,,1,1,1,Mech,,Deathrattle,,
Goblins vs Gnomes,Robozinho Anodizado,<b>Provocar</b>. <b>Escolha um -</b>
+1 de Ataque ou +1 de Vida.,Minion,GVG_030,Druid,True,Eva Widermann,Common,2,2,2,Mech,Que cuti-cuti! POR QUE ELE TÁ COMENDO MINHA CARA?!? SOCORRO!!!,Taunt,False,
Goblins vs Gnomes,Rompe-neve,<b>Congele</b> qualquer personagem atingido por este lacaio.,Minion,GVG_002,Mage,True,Gabor Szikszai,Common,2,2,3,Mech,"Que a neve lhe seja leve" - Lápide do último oponente derrotado pelo Rompe-neve.,Freeze,,
Goblins vs Gnomes,Rosarães Guima,<b>Grito de Guerra:</b> Destrua uma Fera.,Minion,GVG_120,,True,Ralph Horsley,Legendary,6,5,3,,É difícil ganhar a vida como caçador num mundo onde as feras reaparecem instantaneamente depois que morrem.,Battlecry,True,
Goblins vs Gnomes,Sabotagem,Destrua um lacaio inimigo aleatório. <b>Combo</b>: E a arma do seu oponente.,Spell,GVG_047,Rogue,True,Dave Allsop,Epic,,4,,,Ladino não deixa rastro segue só no sapatinho. Com ladino é mais embaixo enfia a faca de ladinho!,Combo,,
Goblins vs Gnomes,Saltador Metalodonte,<b>Grito de Guerra</b>: Conceda +2 de Ataque aos seus outros Mecanoides.,Minion,GVG_048,Hunter,True,Hideaki Takamura,Rare,3,3,3,Mech,Não os deixe na chuva. Na Cratera Ungoro tem uma colônia enorme de saltadores enferrujadontes.,Battlecry,,
Goblins vs Gnomes,Sapador Goblin,Tem +4 de Ataque enquanto seu oponente tiver 6 ou mais cards na mão.,Minion,GVG_095,,True,Jesper Esjing,Rare,2,3,4,,Ele não é mais viciado em explodir. Hoje em dia só explode socialmente.,Aura,,
Goblins vs Gnomes,Selo da Luz,+2 de Ataque neste turno.,Enchantment,GVG_057a,,,,,,,,,,OneTurnEffect,,
Goblins vs Gnomes,Selo da Luz,Restaure #4 de Vida do seu herói e ganhe +2 de Ataque neste turno.,Spell,GVG_057,Paladin,True,Jason Chan,Common,,2,,,"A morsa da Luz recupera OITO de vida." Quem é essa moça da Luz mesmo?,ImmuneToSpellpower,,
Goblins vs Gnomes,Senhora da Dor,Sempre que este lacaio causar dano restaure a mesma quantidade de Vida do seu herói.,Minion,GVG_018,Warlock,True,Carl Critchlow,Rare,1,2,4,Demon,Irmã da Senhora da Cor que trabalha numa lojinha de tintas.,,,
Goblins vs Gnomes,Sensei de Ferro,No fim do seu turno conceda +2/+2 a outro Mecanoide aliado.,Minion,GVG_027,Rogue,True,Brian Despain,Rare,2,3,2,Mech,Os Mecanoides o adoram porque ele fala a língua deles.

010010000101010101000101,,,
Goblins vs Gnomes,Sobrecarregado,+2 de Dano Mágico.,Enchantment,GVG_123e,Mage,,,,,,,,,Spellpower,,
Goblins vs Gnomes,Sucatatron,Sempre que um Mecanoide aliado morrer receba +2/+2.,Minion,GVG_106,,True,Zoltan Boros,Epic,1,5,5,Mech,A sucata de um robô é o APRIMORAMENTO FANTÁSTICO de outro!,,,
Goblins vs Gnomes,Sucateado,Atributos aumentados.,Enchantment,GVG_106e,,,,,,,,,,,,
Goblins vs Gnomes,Super Afiado,+1 de Ataque.,Enchantment,GVG_023a,,,,,,,,,,,,
Goblins vs Gnomes,Taca-bomba,<b>Grito de Guerra:</b> Cause 4 de dano a um lacaio inimigo aleatório.,Minion,GVG_099,,True,Luca Zontini,Rare,3,5,3,,Ele faz um lobby tremendo em Orgrimmar em favor das bombas.,Battlecry,,
Goblins vs Gnomes,Tanque Aranha,,Minion,GVG_044,,True,Dany Orizio,Common,3,3,4,Mech,"E se a gente instalar umas armas aí?" - Xispavio ao ver a máquina-aranha de transporte,,,
Goblins vs Gnomes,Tanque de Força MÁX,<b>Escudo Divino</b>,Minion,GVG_079,,True,Nutchapol Thitinunthakorn,Common,7,8,7,Mech,Há uma fábrica em Tanaris que produz tanques de força mas só dois foram construídos por conta dos custos elevados.,Divine Shield,,
Goblins vs Gnomes,TAQUI TOMA BÔNUS.,+2/+2.,Enchantment,GVG_104a,,,,,,,,,,,,
Goblins vs Gnomes,Técnico da Vila da Gambiarra,<b>Grito de Guerra:</b> Se você tiver um Mecanoide receba +1/+1 e adicione uma <b>Peça Sobressalente</b> à sua mão.,Minion,GVG_102,,True,Gabor Szikszai,Common,3,3,3,,"Quem nasce lá na Vila / nem sequer vacila / ao abraçar a bomba..." - Gnomoel Rosa,Battlecry,,
Goblins vs Gnomes,Tocha,<b>Grito de Guerra e Último Suspiro:</b> Adicione um card <b>Peça Sobressalente</b> à sua mão.,Minion,GVG_115,,True,Zoltan & Gabor,Legendary,5,6,7,,Alguma coisa sobre conversores de força.,Battlecry|Deathrattle,True,
Goblins vs Gnomes,Totem de Vitalidade,No final do seu turno recupere 4 de Vida do seu herói.,Minion,GVG_039,Shaman,True,Guangjian Huang,Rare,0,2,3,Totem,Dá para encontrar esse item na feirinha de totens do bairro aos sábados.,,,
Goblins vs Gnomes,Trogg Lascapedra,Sempre que seu oponente lançar um feitiço receba +1 de Ataque.,Minion,GVG_067,,True,Peet Cooper,Common,2,2,3,,A única coisa pior que cheiro de trogg é a poesia deles.,,,
Goblins vs Gnomes,Trogg Pedraqueixo Parrudo,Sempre que seu oponente lançar um feitiço receba +2 de Ataque.,Minion,GVG_068,,True,Chris Rahn,Common,3,4,5,,Ele tem esse corpão por causa do pilates.,,,
Goblins vs Gnomes,Troggzor o Aterrador,Quando seu oponente lançar um feitiço evoque um Trogg Pedraqueixo Parrudo.,Minion,GVG_118,,True,Mike Sass,Legendary,6,7,6,,Ele continua aterrando por aí apesar das tentativas de detê-lo.,,True,
Goblins vs Gnomes,V-07-TR-0N,<b>Investida</b>
<b>Mega-Fúria dos Ventos</b> <i>(Pode atacar quatro vezes em um turno.)</i>,Minion,GVG_111t,,,Chris Seaman,Legendary,4,8,8,Mech,,Charge,True,
Goblins vs Gnomes,Velho Lobo do Mar,,Minion,GVG_070,,True,Alex Horley Orlandelli,Common,7,5,4,Pirate,Se você o chamar de "cão sarnento" vai andar na prancha rapidinho.,,,
Goblins vs Gnomes,Velho Retalhador do Sneed,<b>Último Suspiro:</b> Evoque um lacaio lendário aleatório.,Minion,GVG_114,,True,Christopher Moeller,Legendary,5,8,7,Mech,Quando Sneed foi derrotado nas Minas Mortas o retalhador dele foi leiloado para um comprador anônimo. (Provavelmente o Hogger.),Deathrattle,True,
Goblins vs Gnomes,Voljin,<b>Grito de Guerra:</b> Troque a Vida deste lacaio pela de outro.,Minion,GVG_014,Priest,True,Raymond Swanland,Legendary,6,5,2,,Voljin é um Caçador Sombrio que é tipo um Sacerdote de Sombra com um toque de vodu.,Battlecry,True,
Goblins vs Gnomes,Xamã Dunamalho,<b>Fúria dos Ventos Sobrecarga: (1)</b>
50% de chance de atacar o inimigo errado.,Minion,GVG_066,Shaman,True,José Ladrönn,Rare,5,4,4,,Ele não quer nem saber só fecha os olhos e sai saindo. Hahahahaha!,Windfury,,
Goblins vs Gnomes,Yeti Mecânico,<b>Último Suspiro:</b> Concede uma <b>Peça Sobressalente</b> a cada jogador.,Minion,GVG_078,,True,Chris Seaman,Common,4,4,5,Mech,Os yetis do Morro do Ventogelante são uma fonte de inspiração e espancamentos.,Deathrattle,,
