MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,FACTION,DURABILITY
,Blackrock Mountain,Поджигатель,После розыгрыша карты заклинания наносит 2 ед. урона случайно распределяемого между всеми персонажами противника.,2,3,4,Minion,BRM_002,,Mage,True,Alex Horley Orlandelli,Rare,Можно создать после победы над Валестразом в Логове Крыла Тьмы.,Нет поджигатели и Возжигатель – не родственники. Они даже не похожи!,Награда за победу над Валестразом в Логове Крыла Тьмы.,,,
,Blackrock Mountain,Поджигатель-послушник,,3,2,3,Minion,BRMA06_4H,,,,,,,,,,,
,Blackrock Mountain,Поджигатель-послушник,,1,2,3,Minion,BRMA06_4,,,,,,,,,,,
,Blackrock Mountain,Пристальный взгляд,<b>Пассивная сила героя</b>Все карты стоят (1) ману. У вас есть (2) кристалла маны у вашего противника – (1).,,,,Hero Power,BRMA08_2H,,,,,,,,,,,
,Blackrock Mountain,Пристальный взгляд,<b>Пассивная сила героя</b>Все карты стоят (1) ману. У всех игроков может быть не больше (1) кристалла маны.,,,,Hero Power,BRMA08_2,,,,,,,,,,,
,Blackrock Mountain,Пульсация магмы,<b>Сила героя</b>Наносит 1 ед. урона всем существам.,,1,,Hero Power,BRMA04_2,,,,,,,,,,,
,Blackrock Mountain,Рагнарос,,,,30,Hero,BRMC_01,,,,,,,,,,,
,Blackrock Mountain,Рагнарос,,,,30,Hero,BRMA06_3H,,,,,,,,,,,
,Blackrock Mountain,Рагнарос,,,,8,Hero,BRMA06_3,,,,,,,,,,,
,Blackrock Mountain,Рагнарос,,,,8,Hero,BRM_027h,,,,,,,,,,,
,Blackrock Mountain,Раскатистый гонг,Уничтожает оружие противника.,,1,,Spell,BRMA16_4,,,,,,,,,,,
OneTurnEffect,Blackrock Mountain,Растапливание,Атака стала равна 0 до конца хода.,,,,Enchantment,BRM_001e,,Priest,,,,,,,,,
,Blackrock Mountain,Ренд Чернорук,,,,30,Hero,BRMA09_1H,,,,,,,,,,,
,Blackrock Mountain,Ренд Чернорук,,,,30,Hero,BRMA09_1,,,,,,,,,,,
Battlecry,Blackrock Mountain,Ренд Чернорук,<b>Боевой клич:</b> уничтожает <b>легендарное</b> существо если у вас в руке есть дракон.,8,7,4,Minion,BRM_029,,,True,Alex Horley,Legendary,Можно создать после убийства всех боссов в Пике Черной горы.,Ренд считает себя истинным вождем Орды и постоянно редактирует страничку «Википедии» «Вождь Орды» вставляя туда свой портрет. Модераторы не пропускают.,Награда за победу над всеми боссами Пика Черной горы.,True,,
,Blackrock Mountain,Свобода!,Следующий дракон которого вы разыграете стоит на (2) маны меньше.,,,,Enchantment,BRM_018e,,Paladin,,,,,,,,,
,Blackrock Mountain,Священное бдение,Вы берете 2 карты. Это заклинание стоит на (1) ману меньше за каждое существо умершее на этом ходу.,,5,,Spell,BRM_001,,Paladin,True,Jaime Jones,Common,Можно создать после завершения испытания паладина в Черной горе.,Каждый год герои собираются у подножия Черной горы чтобы почтить память тех кто под контролем разума спрыгнул в лаву.,Награда за прохождение испытания паладина в Черной горе.,,,
,Blackrock Mountain,Сила дракона,Характеристики увеличены.,,,,Enchantment,BRM_020e,,,,,,,,,,,
,Blackrock Mountain,Система «Омнитрон»,,,,30,Hero,BRMA14_1H,,,,,,,,,,,
,Blackrock Mountain,Система «Омнитрон»,,,,30,Hero,BRMA14_1,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,Скорострельность,Наносит $3 ед. урона.Если у вас в руке нет карт вы берете карту.,,2,,Spell,BRM_013,,Hunter,True,Jonboy Meyers,Common,Можно создать после завершения испытания охотника в Черной горе.,Хан стрелял первым.,Награда за прохождение испытания охотника в Черной горе.,,,
,Blackrock Mountain,Слепая ярость,Атака увеличена.,,,,Enchantment,BRMA10_6e,,,,,,,,,,,
,Blackrock Mountain,Спешиться,<b>Сила героя</b>Призывает Гита. Изменяет силу героя.,,4,,Hero Power,BRMA09_5,,,,,,,,,,,
,Blackrock Mountain,Спешиться,<b>Сила героя</b>Призывает Гита. Изменяет силу героя.,,4,,Hero Power,BRMA09_5H,,,,,,,,,,,
,Blackrock Mountain,Старая Орда,<b>Сила героя</b>Призывает на поле боя двух орков 2/2 со способностью <b>Провокация</b>. Изменяет силу героя.,,2,,Hero Power,BRMA09_3H,,,,,,,,,,,
,Blackrock Mountain,Старая Орда,<b>Сила героя</b>Призывает на поле боя двух орков 1/1 со способностью <b>Провокация</b>. Изменяет силу героя.,,2,,Hero Power,BRMA09_3,,,,,,,,,,,
,Blackrock Mountain,Судья Мрачнокамень,,,,30,Hero,BRMA02_1H,,,,,,,,,,,
,Blackrock Mountain,Судья Мрачнокамень,,,,30,Hero,BRMA02_1,,,,,,,,,,,
,Blackrock Mountain,Сумеречная стойкость,Здоровье увеличено.,,,,Enchantment,BRM_004e,,,,,,,,,,,
Battlecry,Blackrock Mountain,Сумеречный дракончик,<b>Боевой клич:</b> получает +2 к здоровью если у вас в руке есть дракон.,2,1,1,Minion,BRM_004,Dragon,Priest,True,Sam Nielson,Common,Можно создать после завершения испытания жреца в Черной горе.,Да сумеречные дракончики по сути – магические вампиры. И нет это не намек на какой-то популярный фильм или книгу.,Награда за прохождение испытания жреца в Черной горе.,,,
Battlecry,Blackrock Mountain,Супруга дракона,<b>Боевой клич:</b> следующий дракон которого вы разыграете будет стоить на (2) маны меньше.,5,5,5,Minion,BRM_018,Dragon,Paladin,True,Raymond Swanland,Rare,Можно создать после победы над генералом Драккисатом в Пике Черной горы.,Все хотят обнимашек. Даже огромные чешуйчатые и смертоносные драконы.,Награда за победу над генералом Драккисатом в Пике Черной горы.,,,
,Blackrock Mountain,Сходка,Выберите существо. Вы замешиваете в колоду 3 его копии.,,2,,Spell,BRM_007,,Rogue,True,Jim Nelson,Common,Можно создать после победы на Арене Черного Железа в Глубинах Черной горы.,Не показывайся в Луноречье в одиночку. Запинают толпой.,Награда за победу на Арене Черного Железа в Глубинах Черной горы.,,,
Battlecry,Blackrock Mountain,Сын пламени,<b>Боевой клич:</b> наносит 6 ед. урона.,6,0,3,Minion,BRMA13_5,,,,,,,,,,,
Battlecry,Blackrock Mountain,Техник Крыла Тьмы,<b>Боевой клич:</b> получает +1/+1 если у вас в руке есть дракон.,2,3,4,Minion,BRM_033,,,True,Matt Dixon,Common,Можно создать после победы над Бароном Геддоном в Огненных Недрах.,К кому ты идешь когда надо «прокачать» логово Крыла Тьмы? То-то же.,Награда за победу над Бароном Геддоном в Огненных Недрах.,,Neutral,
Battlecry,Blackrock Mountain,Тихоступ Черного Железа,<b>Боевой клич:</b> наносит 2 ед. урона всем существам противника с полным здоровьем.,4,5,3,Minion,BRM_008,,Rogue,True,Eric Braddock,Rare,Можно создать после завершения испытания разбойника в Черной горе.,Он любит подкрадываться. Везде и всегда. На его счету уже несколько десятков инфарктов.,Награда за прохождение испытания разбойника в Черной горе.,,,
,Blackrock Mountain,Токситрон,В начале вашего хода наносит 1 ед. урона всем прочим существам.,3,1,3,Minion,BRMA14_5,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Токситрон,В начале вашего хода наносит 1 ед. урона всем прочим существам.,4,1,4,Minion,BRMA14_5H,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Удар хвостом,Наносит $4 ед. урона.,,4,,Spell,BRM_030t,,,,,,,,,,,
AffectedBySpellPower,Blackrock Mountain,УМРИ НАСЕКОМОЕ!,Наносит $8 ед. урона случайному персонажу противника.,,0,,Spell,BRMA13_8,,,,,,,,,,,
,Blackrock Mountain,УМРИ НАСЕКОМОЕ!,<b>Сила героя</b>Наносит 8 ед. урона случайному персонажу противника.,,2,,Hero Power,BRM_027p,,,,,,,,,,,
,Blackrock Mountain,УМРИТЕ НАСЕКОМЫЕ!,<b>Сила героя</b>Наносит 8 ед. урона случайному персонажу противника. ДВАЖДЫ.,,2,,Hero Power,BRM_027pH,,,,,,,,,,,
,Blackrock Mountain,Хромаггус,Каждый раз когда вы берете карту вы кладете к себе в руку ее копию.,6,8,8,Minion,BRM_031,Dragon,,True,Todd Lockwood,Legendary,Можно создать после убийства всех боссов в Логове Крыла Тьмы.,Левая голова постоянно спорит с правой о том кого бы съесть на ужин. Договориться не получается никогда и в итоге они питаются одной китайской лапшой.,Награда за победу над всеми боссами Логова Крыла Тьмы.,True,,
,Blackrock Mountain,Хромаггус,,,,60,Hero,BRMA12_1H,,,,,,,,,,,
,Blackrock Mountain,Хромаггус,,,,30,Hero,BRMA12_1,,,,,,,,,,,
,Blackrock Mountain,Хроматическая мутация,Превращает выбранное существо в хроматического драконора 2/2.,,2,,Spell,BRMA12_8,,,,,,,,,,,
,Blackrock Mountain,Хроматический дракон,,7,4,3,Minion,BRMA10_5,,,,,,,,,,,
,Blackrock Mountain,Хроматический дракон,,7,4,7,Minion,BRMA10_5H,,,,,,,,,,,
,Blackrock Mountain,Хроматический драконор,,,,30,Hero,BRMA12_9,,,,,,,,,,,
,Blackrock Mountain,Хроматический драконор,Каждый раз когда ваш противник разыгрывает карту заклинания это существо получает +2/+2.,2,2,3,Minion,BRMA12_8t,Dragon,,,,,,,,,,
Taunt,Blackrock Mountain,Хроматический прототип,<b>Провокация</b>,1,2,4,Minion,BRMA17_7,,,,,,,,,,,
Spellpower,Blackrock Mountain,Чаротрон,Оба игрока получают <b>урон от заклинаний +2</b>.,2,0,2,Minion,BRMA14_3,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Черный дракончик,,2,1,1,Minion,BRM_022t,Dragon,,,Jaemin Kim,Common,,,,,,
,Blackrock Mountain,Электрон,Все заклинания стоят на (3) маны меньше.,6,3,6,Minion,BRMA14_7H,Mech,,,,Legendary,,,,True,,
Aura,Blackrock Mountain,Электрон,Все заклинания стоят на (3) маны меньше.,5,3,5,Minion,BRMA14_7,Mech,,,,Legendary,,,,True,,
,Blackrock Mountain,Эхолокация,<b>Сила героя</b>Снаряжает оружием которое становится сильнее всякий раз когда противник разыгрывает карту.,,1,,Hero Power,BRMA16_2,,,,,,,,,,,
,Blackrock Mountain,Эхолокация,<b>Сила героя</b>Снаряжает оружием которое становится сильнее всякий раз когда противник разыгрывает карту.,,0,,Hero Power,BRMA16_2H,,,,,,,,,,,
,Blackrock Mountain,Я КРУШИТЬ!,<b>Сила героя</b>Уничтожает случайное существо противника.,,0,,Hero Power,BRMA07_2H,,,,,,,,,,,
,Blackrock Mountain,Я КРУШИТЬ!,<b>Сила героя</b>Уничтожает случайное существо противника с неполным здоровьем.,,1,,Hero Power,BRMA07_2,,,,,,,,,,,
,Blackrock Mountain,Я тебя слышу...,Атака увеличена.,,,,Enchantment,BRMA16_5e,,,,,,,,,,,
,Blackrock Mountain,Яйцо дракона,Призывает на поле боя дракончика 2/1 каждый раз когда это существо получает урон.,0,1,2,Minion,BRM_022,,,True,Jaemin Kim,Rare,Можно создать после победы над Рендом Черноруком в Пике Черной горы.,Это как снаряд для твоего дракономета.,Награда за победу над Рендом Черноруком в Пике Черной горы.,,,
Battlecry,Blackrock Mountain,Яростень Недр,<b>Боевой клич:</b> получает +3/+3 если у вас в руке больше нет карт.,4,4,4,Minion,BRM_014,Beast,Hunter,True,Jomaro Kindred,Rare,Можно создать после победы над вождем Омокком в Пике Черной Горы.,Не каждый охотник отважится забраться в наполненную лавой нору и попытаться уговорить живущего в ней монстра стать его милым домашним любимцем.,Награда за победу над вождем Омокком в Пике Черной Горы.,,,
