COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,INPLAYTEXT,FLAVOR,TYPE,ID,MECHANICS,PLAYERCLASS,ELITE,RACE,DURABILITY
True,Classic,Изера,Neutral,В конце вашего хода вы берете карту Сна.,Gabor Szikszai,Legendary,4,9,12,,Изера правит царством Изумрудного Сна. Интересно есть ли там дорога из желтого кирпича?,Minion,EX1_572,,,True,Dragon,
,Classic,Изумрудный дракон,,,,,7,4,6,,,Minion,DREAM_03,,Dream,,Dragon,
True,Classic,Иллидан Ярость Бури,Neutral,Призывает пламя Аззинота 2/1 каждый раз когда вы разыгрываете карту.,Alex Horley Orlandelli,Legendary,7,6,5,,Брат Иллидана Малфурион заточил его под Хиджалом на десять тысяч лет. Кажется в их семье не любят прощать обиды.,Minion,EX1_614,,,True,Demon,
True,Classic,Императорская кобра,Neutral,Уничтожает любое существо которому нанесла урон.,Lars Grant-West,Rare,2,3,3,,В Низине Шолазар водятся ужасные твари. Если вы собираетесь посетить это место не забудьте репеллент и латные доспехи.,Minion,EX1_170,Poisonous,,,Beast,
,Classic,Инфернал,Neutral,,,Common,6,6,6,,,Minion,EX1_tk34,,Warlock,,Demon,
True,Classic,Искупление,Neutral,<b>Секрет:</b> когда одно из ваших существ умирает вы возвращаете его на поле боя с 1 ед. здоровья.,Ittoku,Common,,1,,,Если вас только что воскресили из мертвых не стоит жаловаться на слабое здоровье.,Spell,EX1_136,Secret,Paladin,,,
,Classic,Испепелитель,,,,Legendary,5,5,,,,Weapon,EX1_383t,,Paladin,,,3
,Classic,Как бритва!,,+2 к атаке от <i>Зловещего кузнеца</i>.,,,,,,,,Enchantment,CS2_221e,,,,,
,Classic,Каннибализм,,Атака увеличена.,,,,,,,,Enchantment,tt_004o,,,,,
True,Classic,Капитан Зеленямс,,<b>Боевой клич:</b> ваше оружие получает +1/+1.,Dan Scott,Legendary,5,5,4,,Он должен был вести исполинский корабль на Штормград но эти противные дети опять все испортили!,Minion,NEW1_024,Battlecry,,True,Pirate,
True,Classic,Капитан Южных морей,,Другие ваши пираты получают +1/+1.,Ken Steacy,Epic,3,3,3,,Когда-нибудь он награбит достаточно и закажет себе огромную капитанскую шляпу. Он к ним неравнодушен.,Minion,NEW1_027,Aura,,,Pirate,
True,Classic,Кенарий,Neutral,<b>Выберите эффект:</b> остальные ваши существа получают +2/+2; или призовите на поле боя двух древней 2/2 со способностью <b>«Провокация»</b>.,Alex Horley Orlandelli,Legendary,5,9,8,,Да он действительно полубог. Нет он не носит рубашки.,Minion,EX1_573,,Druid,True,,
True,Classic,Клинок вечных мук,Neutral,<b>Боевой клич:</b> наносит 1 ед. урона. <b>Серия приемов:</b> вместо этого наносит 2 ед. урона.,Daren Bader,Rare,2,3,,,Клинок вечных мук – запасное оружие Рагнароса. Он пользуется им когда отдает Сульфурас на полировку.,Weapon,EX1_133,Battlecry|Combo,Rogue,,,2
,Classic,Кнут и пряник,,+2 к атаке.,,,,,,,,Enchantment,EX1_603e,,Warrior,,,
True,Classic,Колодец Света,Neutral,В начале вашего хода восстанавливает 3 ед. здоровья вашему персонажу с неполным здоровьем.,Blizzard Entertainment,Rare,0,2,5,,До конца не ясно то ли люди специально игнорируют Колодец Света то ли просто его не замечают.,Minion,EX1_341,,Priest,,,
True,Classic,Командир Авангарда,Neutral,<b>Рывок</b>. <b>Божественный щит</b>.,James Ryman,Rare,4,6,2,,Серебряный Рассвет ревностно оберегает мир от двух явлений: от Плети и от тех кто лезет в кассу без очереди.,Minion,EX1_067,Charge|Divine Shield,,,,
,Classic,Командирский крик,,Здоровье ваших существ не может быть уменьшено ниже 1 ед. до конца хода.,,,,,,,,Enchantment,NEW1_036e2,OneTurnEffect,Warrior,,,
True,Classic,Командирский крик,,Здоровье ваших существ не может опуститься ниже 1 ед. до конца хода. Вы берете карту.,Wayne Reynolds,Rare,,2,,,«Кричите громче! Не держите ярость в себе.» Рекомендация будущим воинам.,Spell,NEW1_036,,Warrior,,,
,Classic,Командирский крик,,Здоровье не может быть меньше 1 до конца хода.,,,,,,,,Enchantment,NEW1_036e,OneTurnEffect,Warrior,,,
,Classic,Контроль над разумом,Neutral,,,Common,,,,,,Enchantment,EX1_tk31,Summoned,Priest,,,
True,Classic,Конус холода,Neutral,<b>Замораживает</b> выбранное существо и существа по обе стороны от него и наносит им $1 ед. урона.,Leo Che,Common,,4,,,Маги Кирин-Тора издавна создавали Кубики холода но кубизм вышел из моды лет этак 90 назад.,Spell,EX1_275,Freeze,Mage,,,
True,Classic,Король Круш,Neutral,<b>Рывок</b>,Alex Horley Orlandelli,Legendary,8,9,8,,Лучшая защита от короля Круша – встать за спиной у какого-нибудь неприятного вам существа.,Minion,EX1_543,Charge,Hunter,True,Beast,
True,Classic,Король Мукла,,<b>Боевой клич:</b> ваш противник получает 2 банана.,Sunny Gho,Legendary,5,3,5,,Король Мукла бродит по острову Жагуаро в поисках любви.,Minion,EX1_014,Battlecry,,True,Beast,
,Classic,Кошмар,,Выбранное существо получает +5/+5 но будет уничтожено в начале вашего следующего хода.,,,,0,,,,Spell,DREAM_05,,Dream,,,
,Classic,Кошмар,,Это существо получило +5/+5 но скоро будет уничтожено.,,,,,,,,Enchantment,DREAM_05e,,,,,
,Classic,Кровавая ярость,,Не теряет прочности.,,,,,,,,Enchantment,EX1_411e,,Warrior,,,
,Classic,Кровавое неистовство,,,,,3,3,,,,Weapon,EX1_323w,,Warlock,,,8
True,Classic,Кровавый бес,Neutral,<b>Маскировка</b>. В конце вашего хода другое ваше случайное существо получает +1 к здоровью.,Bernie Kang,Common,0,1,1,,Почему у кровавых бесов глаза желтые? Чтобы лучше прятаться в бананах! Что вы никогда не видели беса в бананах? Хорошо прячется!,Minion,CS2_059,Stealth,Warlock,,Demon,
True,Classic,Кровавый вой,Neutral,Когда вы атакуете существ это оружие теряет 1 ед. атаки вместо прочности.,Zoltan & Gabor,Epic,7,7,,,Это знаменитый топор Громмаша Адского Крика. Каким образом он оказался во владении принца Малчезара — загадка!,Weapon,EX1_411,,Warrior,,,1
,Classic,Кровавый союз,,Здоровье увеличено.,,,,,,,,Enchantment,CS2_059o,,Warlock,,,
True,Classic,Кровожадный корсар,,<b>Боевой клич:</b> уменьшает прочность оружия противника на 1.,Randy Gallegos,Rare,1,1,2,,Однажды пират лежа в больнице по привычке захватил чужое судно.,Minion,NEW1_025,Battlecry,,,Pirate,
True,Classic,Круг исцеления,,Восстанавливает #4 ед. здоровья ВСЕМ существам.,Daarken,Common,,0,,,На самом деле это не круг.,Spell,EX1_621,,Priest,,,
True,Classic,Круговерть Пустоты,Neutral,Уничтожает всех существ.,Dave Allsop,Epic,,8,,,Круговерть Пустоты – это то самое место куда отправляются с поля боя уничтоженные существа.,Spell,EX1_312,,Warlock,,,
True,Classic,Кэрн Кровавое Копыто,Alliance,<b>Предсмертный хрип:</b> призывает на поле боя Бейна Кровавое Копыто 4/5.,Wayne Reynolds,Legendary,4,6,5,,Лучше не кладите эту карту в колоду Гарроша. У них в последнее время не очень хорошие отношения.,Minion,EX1_110,Deathrattle,,True,,
True,Classic,Лазурный дракон,Neutral,<b>Урон от заклинаний +1</b>. <b>Боевой клич:</b> вы берете карту.,Ben Zhang,Rare,4,5,4,,Не называйте их голубыми драконами они обижаются.,Minion,EX1_284,Battlecry|Spellpower,,,Dragon,
,Classic,Ледяная глыба,,Ваш герой <b>неуязвим</b> до конца хода.,,,,,,,,Enchantment,EX1_295o,OneTurnEffect,Mage,,,
True,Classic,Ледяная глыба,Neutral,<b>Секрет:</b> предотвращает наносимый вашему герою смертельный урон и дает ему <b>неуязвимость</b> до конца хода.,Carl Frank,Epic,,3,,,Сохраняйте ЛЕДЯНОЕ спокойствие.,Spell,EX1_295,Secret,Mage,,,
True,Classic,Ледяная преграда,Neutral,<b>Секрет:</b> когда вашего героя атакуют он получает +8 к броне.,Alex Garner,Common,,3,,,Это заклинание первого ранга. Заклинание второго ранга – «Преграда из шоколадного молока».,Spell,EX1_289,Secret,Mage,,,
True,Classic,Ледяное копье,Neutral,<b>Замораживает</b> выбранного персонажа. Если персонаж уже <b>заморожен</b> наносит ему $4 ед. урона.,Alex Horley Orlandelli,Common,,1,,,Главное – не сломать эту штуку иначе вместо ледяного копья вы получите кубики льда а они не столь эффективны в бою.,Spell,CS2_031,Freeze,Mage,,,
True,Classic,Ледяной элементаль,Neutral,<b>Боевой клич:</b> <b>замораживает</b> выбранного персонажа.,Dan Scott,Common,5,6,5,,Морская фигура ЗАМРИ!,Minion,EX1_283,Battlecry|Freeze,,,,
True,Classic,Лепрогном,Neutral,<b>Предсмертный хрип:</b> наносит 2 ед. урона герою противника.,Glenn Rane,Common,2,1,1,,Он очень хочет с вами подружиться но постоянно чувствует себя изгоем что плохо сказывается на его характере.,Minion,EX1_029,Deathrattle,,,,
True,Classic,Лирой Дженкинс,Alliance,<b>Рывок</b>. <b>Боевой клич:</b> призывает на сторону вашего противника двух дракончиков 1/1.,Gabe from Penny Arcade,Legendary,6,5,2,,Зато у него есть злая курица.,Minion,EX1_116,Battlecry|Charge,,True,,
True,Classic,Лорд Джараксус,,<b>Боевой клич:</b> уничтожает вашего героя и заменяет его лордом Джараксусом.,Alex Horley Orlandelli,Legendary,3,9,15,,«НИЧТОЖНЫЙ ГНОМ! ТВОЯ САМОУВЕРЕННОСТЬ ТЕБЯ ПОГУБИТ!»,Minion,EX1_323,Battlecry,Warlock,True,Demon,
,Classic,Лорд Джараксус,Neutral,,,Legendary,0,0,15,,,Hero,EX1_323h,,Warlock,,Demon,
True,Classic,Лук Орлиного рога,,Каждый раз когда открывается ваш <b>Секрет</b> это оружие получает +1 к прочности.,Cyril Van Der Haegen,Rare,3,3,,,Урок первый: острый конец должен указывать на противника.,Weapon,EX1_536,,Hunter,,,2
,Classic,Лунный огонь,Neutral,Наносит 2 ед. урона.,,,,,,,,Spell,EX1_166a,,Druid,,,
True,Classic,Любительница маны,Alliance,Каждый раз когда вы разыгрываете карту заклинания получает +2 к атаке до конца хода.,Hideaki Takamura,Rare,1,2,3,,Она пытается побороть эту дурную привычку но после долгого и трудного дня как отказаться от глоточка маны?,Minion,EX1_055,,,,,
True,Classic,Маг Кирин-Тора,Neutral,<b>Боевой клич:</b> следующий <b>Секрет</b> который вы разыграете на этом ходу будет стоить (0) маны.,Popo Wei,Rare,4,3,3,,Кирин-Тор заседает в парящем городе Даларане. Хотите рецепт парящего Даларана? Два шарика мороженого один шарик Даларана.,Minion,EX1_612,Battlecry,Mage,,,
True,Classic,Маг крови Талнос,Neutral,<b>Урон от заклинаний +1</b>. <b>Предсмертный хрип:</b> вы берете карту.,Alex Horley Orlandelli,Legendary,1,2,1,,Он отвечает за проведение ежегодного кровавого бала в Монастыре Алого ордена.,Minion,EX1_012,Deathrattle|Spellpower,,True,,
,Classic,Маг-ученик,,,,,1,0,1,,,Minion,NEW1_026t,,,,,
True,Classic,Магический призрак,Neutral,Все существа стоят на (1) ману больше.,Luca Zontini,Rare,2,2,2,,По ночам они выходят питаться неиспользованными кристаллами маны.,Minion,EX1_616,Aura,,,,
True,Classic,Малигос,Neutral,<b>Урон от заклинаний +5</b>,Michael Komarck,Legendary,4,9,12,,Малигос терпеть не может когда смертные пользуются магией. Это выводит его из себя!,Minion,EX1_563,Spellpower,,True,Dragon,
True,Classic,Маназмей,,Каждый раз когда вы разыгрываете карту заклинания это существо получает +1 к атаке.,Blizzard Cinematics,Common,1,1,3,,Эти змеи питаются чародейской энергией. Хотя они не представляют большой угрозы лучше не оставляйте их наедине с ведром маны.,Minion,NEW1_012,,Mage,,,
,Classic,Маскировка,,Маскировка до вашего следующего хода.,,,,,,,,Enchantment,EX1_128e,,Rogue,,,
True,Classic,Массовое рассеивание,,Накладывает на всех существ противника эффект <b>немоты</b>. Вы берете карту.,Sean ODaniels,Rare,,4,,,Оно рассеивает все: усиления способности заклинания надежды и мечты.,Spell,EX1_626,Silence,Priest,,,
True,Classic,Мастер брони,Neutral,Каждый раз когда ваше существо получает урон вы получаете +1 к броне.,Greg Hildebrandt,Rare,1,2,4,,Ремонтирует за счет средств гильдии.,Minion,EX1_402,,Warrior,,,
True,Classic,Мастер ковки клинков,,В конце вашего хода другое ваше случайное существо получает +1 к атаке.,E.M. Gist,Rare,1,2,3,,В последнее время он пытается выковать «молотопор» хотя другие кузнецы не верят в его успех.,Minion,NEW1_037,,,,,
True,Classic,Мастер маскировки,,<b>Боевой клич:</b> ваше существо получает <b>«Маскировку»</b>.,Ron Spencer,Rare,4,4,4,,На самом деле это мужчина-таурен. Не зря же его зовут мастером маскировки.,Minion,NEW1_014,Battlecry,Rogue,,,
True,Classic,Матрос Южных морей,Alliance,Получает <b>Рывок</b> пока у вас в руках есть оружие.,Dan Brereton,Common,2,1,1,,Он первый подписал петицию об отмене антипиратского закона.,Minion,CS2_146,,,,Pirate,
True,Classic,Ментальный техник,Alliance,<b>Боевой клич:</b> если у вашего противника есть 4 или более существ вы получаете контроль над одним из них выбранным случайно.,Leo Che,Rare,3,3,3,,Технологии контроля над разумом постоянно улучшаются но до совершенства пока далеко.,Minion,EX1_085,Battlecry,,,,
,Classic,Месть ван Клифа,,Здоровье и атака этого существа увеличены.,,,,,,,,Enchantment,EX1_613e,,Rogue,,,
True,Classic,Мехмастер Замыкалец,Alliance,<b>Боевой клич:</b> превращает другое случайное существо в дьявозавра 5/5 или белку 1/1.,Tom Baxa,Legendary,3,3,3,,Мехмастер Замыкалец чуть не потерял свою лицензию мехмастера после великого нашествия белок на Стальгорн.,Minion,EX1_083,Battlecry,,True,,
True,Classic,Меч справедливости,Neutral,Каждый раз когда вы призываете существо на поле боя оно получает +1/+1 а это оружие теряет 1 ед. прочности.,Efrem Palacios,Epic,1,3,,,Нарекаю тебя Сыром Рокфором!,Weapon,EX1_366,,Paladin,,,5
True,Classic,Миллхаус Манашторм,,<b>Боевой клич:</b> в следующий ход противника его заклинания стоят (0) маны.,Jim Nelson,Legendary,4,2,4,,«Давай зажигать крошка!»,Minion,NEW1_029,Battlecry,,True,,
,Classic,Милость полубога,Neutral,+2/+2.,,,,,,,,Enchantment,EX1_573ae,,Druid,,,
,Classic,Милость полубога,Neutral,Остальные ваши существа получают +2/+2.,,,,,,,,Spell,EX1_573a,,Druid,,,
True,Classic,Миротворец Алдоров,Neutral,<b>Боевой клич:</b> атака выбранного существа противника становится равна 1.,Dany Orizio,Rare,3,3,3,,Алдоры ненавидят две вещи: Провидцев и шансон.,Minion,EX1_382,Battlecry,Paladin,,,
True,Classic,Молния,Neutral,Наносит $3 ед. урона. <b>Перегрузка:</b> (1),Daarken,Common,,1,,,Знаете почему вы сначала видите молнию а потом слышите гром? Потому что глаза у вас впереди а уши – сзади!,Spell,EX1_238,,Shaman,,,
True,Classic,Молодая жрица,,В конце вашего хода другое ваше случайное существо получает +1 к здоровью.,Vance Kovacs,Rare,2,1,1,,Она с нетерпением ждет того дня когда освоит заклинание «Слово силы: Стойкость» второго ранга.,Minion,EX1_004,,,,,
True,Classic,Молодой дракондор,Horde,<b>Неистовство ветра</b>,Greg Hildebrandt,Common,1,1,1,,В их честь таурены назвали свою лучшую команду по тауренболу «Дракондоры».,Minion,CS2_169,Windfury,,,Beast,
True,Classic,Молодой хмелевар,Alliance,<b>Боевой клич:</b> возвращает ваше существо с поля боя в руку.,Wei Wang,Common,3,2,2,,Его отвары пока что далеки от совершенства. «Могушанское темное» вообще пить невозможно.,Minion,EX1_049,Battlecry,,,,
True,Classic,Молот Рока,Neutral,<b>Неистовство ветра</b>. <b>Перегрузка:</b> (2),John Polidora,Epic,2,5,,,Это легендарное оружие подарил Траллу Оргрим Молот Рока. Совпадение имен — чистая случайность.,Weapon,EX1_567,Windfury,Shaman,,,8
True,Classic,Морозная ловушка,Neutral,<b>Секрет:</b> когда существо противника атакует возвращает его в руку владельца. Его стоимость увеличивается на (2) маны.,Matt Gaser,Common,,2,,,От таких шуток мороз по коже!,Spell,EX1_611,Secret,Hunter,,,
True,Classic,Морской великан,Neutral,Стоит на (1) ману меньше за каждое другое существо на поле боя.,Svetlin Velinov,Epic,8,10,8,,Ночевала тучка золотая на груди морского великана...,Minion,EX1_586,,,,,
True,Classic,Мощный удар,Neutral,Наносит $2 ед. урона выбранному существу. Если оно выживет вы берете карту.,E.M. Gist,Common,,2,,,«Дун да дун дун да дун». Если вы слышите как огр напевает это значит бежать уже поздно.,Spell,EX1_391,,Warrior,,,
True,Classic,Мощный удар щитом,Neutral,Наносит выбранному существу 1 ед. урона за каждую единицу брони вашего героя.,Raymond Swanland,Epic,,1,,,«Какое оружие лучше? Острое о котором враг знает или тупое на которое он не обращает внимания?» – Искусство быть воином глава 9,Spell,EX1_410,AffectedBySpellPower,Warrior,,,
,Classic,Мргглаарг!,,+2/+1 от <i>Мурлока-полководца</i>.,,,,,,,,Enchantment,EX1_507e,,,,,
,Classic,Мрглаарг!,,+2 к здоровью.,,,,,,,,Enchantment,EX1_103e,,,,,
True,Classic,Мурлок-волномут,Neutral,Каждый раз когда на поле боя призывается мурлок это существо получает +1 к атаке.,Jaemin Kim,Rare,1,1,2,,Когда они собираются чтобы вместе помутить волны с ними лучше не связываться!,Minion,EX1_509,,,,Murloc,
True,Classic,Мурлок-полководец,Neutral,ВСЕ прочие мурлоки получают +2/+1.,Tim McBurnie,Epic,3,3,3,,Как вы думаете мурлоки когда-нибудь устают издавать один и тот же звук? Ничего подобного! Мрглглглглглглг!,Minion,EX1_507,Aura,,,Murloc,
,Classic,На страже,,Атака увеличена.,,,,,,,,Enchantment,EX1_001e,,,,,
,Classic,Насытившийся маной,,Атака увеличена.,,,,,,,,Enchantment,NEW1_012o,,Mage,,,
True,Classic,Нат Пэгл,Neutral,В начале вашего хода вы с вероятностью 50% берете дополнительную карту.,Steve Prescott,Legendary,0,2,4,,Нат Пэгл лучший рыболов Азерота! Он изобрел Автоспиннинг 3000 Мегакрючок 3000 и Супернаживку 2099 (последняя все еще испытывается).,Minion,EX1_557,,,True,,
True,Classic,Неистовая гарпия,Alliance,<b>Неистовство ветра</b>,Luke Mancini,Common,4,6,5,,У гарпий омерзительный голос. И это еще мягко сказано.,Minion,EX1_033,Windfury,,,,
True,Classic,Немота,Neutral,Накладывает на существо эффект <b>немоты</b>.,Zoltan & Gabor,Common,,0,,,Специально для злобных магов зловещих личей завывающих из могилы и для караоке-вечеров в «Угрюмом обжоре».,Spell,EX1_332,Silence,Priest,,,
True,Classic,Несущийся кодо,,<b>Боевой клич:</b> уничтожает случайное существо противника с атакой 2 или меньше.,Daren Bader,Rare,3,5,5,,Как поймать кодо с помощью спичечного коробка бинокля и пинцета? Нужно посмотреть на кодо через перевернутый бинокль он станет маленьким-маленьким. Затем его нужно взять пинцетом и поместить в коробок.,Minion,NEW1_041,Battlecry,,,Beast,
,Classic,Никчемный бес,,<i>У вас больше не осталось демонов! К счастью еще есть бесы...</i>,,Common,1,1,1,,,Minion,EX1_317t,,Warlock,,Demon,
True,Classic,Ноздорму,Neutral,Длительность хода каждого игрока ограничена 15 секундами.,James Ryman,Legendary,8,9,8,,Эффективное средство против нерасторопных противников.,Minion,EX1_560,,,True,Dragon,
,Classic,Облик кошки,Neutral,<b>Рывок</b>,,Common,,,,,,Spell,EX1_165a,,Druid,,,
,Classic,Облик медведя,Neutral,+2 к здоровью и способность <b>«Провокация»</b>.,,Common,,,,,,Spell,EX1_165b,,Druid,,,
True,Classic,Облик Тьмы,,Сила героя меняется на «Наносит 2 ед. урона». Если уже в <i>Облике тьмы</i> – 3 ед. урона.,Alex Horley Orlandelli,Epic,,3,,,«Да я жрец. НЕТ Я НЕ МОГУ ВАС ПОЛЕЧИТЬ!!!»

Сергей К. «Склиф»,Spell,EX1_625,,Priest,,,
True,Classic,Обращение в пар,Neutral,<b>Секрет:</b> уничтожает существо которое атакует вашего героя.,Raymond Swanland,Rare,,3,,,Был ли Катаклизм результатом того что Смертокрыл проиграл партию когда противник использовал эту карту? Мы никогда не узнаем.,Spell,EX1_594,Secret,Mage,,,
True,Classic,Огненная глыба,Neutral,Наносит $10 ед. урона.,Luca Zontini,Epic,,10,,,Не забудьте злобно рассмеяться вытащив эту карту из колоды!,Spell,EX1_279,,Mage,,,
True,Classic,Огненный бес,Neutral,<b>Боевой клич:</b> наносит 3 ед. урона вашему герою.,Alex Horley Orlandelli,Common,3,1,2,,Бесы любят зажигать. В буквальном смысле.,Minion,EX1_319,Battlecry,Warlock,,Demon,
True,Classic,Огненный великан,,Стоит на (1) ману меньше за каждое повреждение полученное вашим героем.,Glenn Rane,Epic,8,20,8,,Он весь кипит. ПОТОМУ ЧТО У НЕГО ВНУТРИ ЛАВА!,Minion,EX1_620,,,,,
True,Classic,Огонек,Neutral,,Malcolm Davis,Common,1,0,1,,Если запустить достаточное количество огоньков в эредарского повелителя тот взорвется. Но почему?,Minion,CS2_231,,,,,
True,Classic,Око за око,Neutral,<b>Секрет:</b> когда ваш герой получает урон вы наносите такое же количество урона герою противника.,James Ryman,Common,,1,,,Порой правосудие заключается в ударе кулаком об мягкую щеку.,Spell,EX1_132,Secret,Paladin,,,
True,Classic,Ониксия,Neutral,<b>Боевой клич:</b> призывает на вашу сторону дракончиков 1/1 пока поле боя не заполнится.,Dany Orizio,Legendary,8,9,8,,Давным-давно Ониксия плела интриги при королевском дворе Штормграда выдавая себя за леди Катрану Престор. И как только ей удавалось прятать когтистые лапы и огромные крылья?,Minion,EX1_562,Battlecry,,True,Dragon,
True,Classic,Опытный охотник,,<b>Боевой клич:</b> уничтожает существо с атакой 7 или больше.,Chris Seaman,Epic,4,3,2,,Обычные дьявозавры больше его не вдохновляют. Скоро он будет пытаться поймать Ониксию вооружившись лишь тупым клинком Крола.,Minion,EX1_005,Battlecry,,,,
True,Classic,Оружейница Арати,Neutral,<b>Боевой клич:</b> снаряжает вас оружием 2/2.,Samwise,Common,3,4,3,,Скидка 50% на кистевое оружие. Предложение ограничено!,Minion,EX1_398,Battlecry,Warrior,,,
,Classic,Оруженосец,Alliance,,,Common,2,1,2,,,Minion,CS2_152,,,,,
True,Classic,Осветительная ракета,Neutral,Все существа теряют <b>«Маскировку»</b>. Уничтожает все <b>Секреты</b> противника. Вы берете карту.,Tyler Walpole,Rare,,2,,,С этой штукой вам будут рады на любой вечеринке!,Spell,EX1_544,,Hunter,,,
True,Classic,Отраженная сущность,Neutral,<b>Секрет:</b> когда противник разыгрывает карту существа вы призываете на свою сторону его копию.,Raven Mimura,Common,,3,,,«Ты пойдешь первым» – сказал Крашгор по прозвищу Чудовище своему ручному кабану.,Spell,EX1_294,Secret,Mage,,,
,Classic,Отступись!,,Атака стала равна 1.,,,,,,,,Enchantment,EX1_382e,,Paladin,,,
,Classic,Отточенный до блеска,,+1 к прочности.,,,,,,,,Enchantment,CS2_146o,,,,,
,Classic,Пантера,,,,Common,3,2,2,,,Minion,EX1_160t,,Druid,,Beast,
,Classic,ПЕКЛО!,Neutral,<b>Сила героя</b>
 Призывает на поле боя инфернала 6/6.,,,,2,,,,Hero Power,EX1_tk33,,Warlock,,,
,Classic,Перегрузка,,Характеристики увеличены.,,,,,,,,Enchantment,EX1_258e,,Shaman,,,
True,Classic,Перенаправление,Neutral,<b>Секрет:</b> когда персонаж атакует вашего героя вместо этого он атакует другого случайного персонажа.,Daren Bader,Rare,,2,,,Иногда это так же просто как позвонить в чью-то дверь и выбежать из подъезда.,Spell,EX1_533,Secret,Hunter,,,
True,Classic,Переполняющая мощь,Neutral,Ваше существо получает +4/+4 до конца хода. Потом оно умирает. Ужасной смертью.,Tom Baxa,Common,,1,,,У нас не хватит слов чтобы описать насколько ужасна будет его смерть. Чудовищно ужасна! Или даже хуже... В общем пожалейте бедное существо.,Spell,EX1_316,,Warlock,,,
,Classic,Переполняющая мощь,Neutral,Это существо получило +4/+4 но в конце хода его ждет ужасная смерть.,,,,,,,,Enchantment,EX1_316e,,Warlock,,,
,Classic,Печать мудрости,,Когда атакует игрок использовавший печать берет карту.,,,,,,,,Enchantment,EX1_363e,,Paladin,,,
True,Classic,Печать мудрости,,Выберите существо. Когда оно атакует вы берете карту.,Chippy,Common,,1,,,Очевидно с мудростью приходит понимание что атаковать надо на каждом ходу.,Spell,EX1_363,,Paladin,,,
,Classic,Печать мудрости,,Когда это существо атакует противник берет карту.,,,,,,,,Enchantment,EX1_363e2,,Paladin,,,
,Classic,Пламя Аззинота,,,,,2,1,1,,,Minion,EX1_614t,,,,,
,Classic,Пламя Алекстразы,,Здоровье стало равно 15.,,,,,,,,Enchantment,EX1_561e,,,,,
True,Classic,Пламя Тьмы,Neutral,Уничтожает ваше существо и наносит урон равный его атаке всем существам противника.,Dave Kendall,Rare,,4,,,Возьмите мощное существо добавьте пламя Тьмы и развлекайтесь в свое удовольствие!,Spell,EX1_303,AffectedBySpellPower,Warlock,,,
True,Classic,Плотоядный вурдалак,Neutral,Каждый раз когда умирает существо плотоядный вурдалак получает +1 к атаке.,Alex Horley Orlandelli,Common,2,3,3,,Да он ест трупы. Но как будто у него есть выбор.,Minion,tt_004,,,,,
,Classic,Поврежденный голем,Neutral,,,Common,2,1,1,,,Minion,skele21,,,,Mech,
True,Classic,Поганище,Neutral,<b>Провокация</b>. <b>Предсмертный хрип:</b> наносит 2 ед. урона ВСЕМ персонажам.,Alex Horley Orlandelli,Rare,4,5,4,,Поганища любят свежее мясо и долгие прогулки по берегу.,Minion,EX1_097,Deathrattle|Taunt,,,,
,Classic,Поглощение,,Характеристики увеличены.,,,,,,,,Enchantment,EX1_304e,,Warlock,,,
,Classic,Подготовка,,Следующее заклинание которое вы разыграете на этом ходу стоит на (3) маны меньше.,,,,,,,,Enchantment,EX1_145o,OneTurnEffect,Rogue,,,
True,Classic,Подготовка,Neutral,Следующее заклинание которое вы разыграете на этом ходу стоит на (3) маны меньше.,Clint Langley,Epic,,0,,,«Главное – хорошая подготовка.» Девиз разбойников.,Spell,EX1_145,,Rogue,,,
,Classic,Поддержка,,Здоровье увеличено.,,,,,,,,Enchantment,NEW1_025e,,,,,
True,Classic,Покаяние,Neutral,<b>Секрет:</b> когда противник разыгрывает карту существа здоровье этого существа становится равно 1.,Gonzalo Ordonez,Common,,1,,,Любопытно но покаяние зачастую приходит за секунду до гибели.,Spell,EX1_379,Secret,Paladin,,,
,Classic,Покаяние,,Здоровье уменьшено до 1.,,,,,,,,Enchantment,EX1_379e,,Paladin,,,
,Classic,Полный желудок,,+2/+2. Съел мурлока!,,,,,,,,Enchantment,NEW1_017e,,,,,
True,Classic,Порождение Света,Neutral,Атака этого существа всегда равна его здоровью.,Daarken,Common,0,4,5,,Не потому что рядом с ним светло а потому что с ним не надо света.,Minion,EX1_335,,Priest,,,
True,Classic,Портал призыва,Neutral,Ваши существа стоят на (2) маны меньше но не меньше (1).,Tyler Walpole,Common,0,4,4,,НЕ МЕНЬШЕ 1! И торг здесь неуместен.,Minion,EX1_315,Aura,Warlock,,,
True,Classic,Потасовка,Neutral,Уничтожает все существа кроме одного выбранного в <i>случайном порядке</i>.,Wayne Reynolds,Epic,,5,,,Знаете первое правило Бойцовского клуба?,Spell,EX1_407,,Warrior,,,
True,Classic,Потрошение,Neutral,Наносит $2 ед. урона. <b>Серия приемов:</b> вместо этого наносит $4 ед. урона.,Ariel Olivetti,Common,,2,,,За потрошение вашего противника придется заплатить высокую цену: пятна крови очень плохо отмываются от кожаной брони.,Spell,EX1_124,Combo,Rogue,,,
True,Classic,Похититель,,<b>Серия приемов:</b> возвращает выбранное существо в руку владельца.,Dave Allsop,Epic,5,6,3,,Он вовсе не злой. Просто ему не с кем поговорить.,Minion,NEW1_005,Combo,Rogue,,,
