TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,INPLAYTEXT,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Здоровье и атака этого существа увеличены.,Classic,Enchantment,EX1_613e,Месть ван Клифа,,,,,,,,Rogue,,,,,,,,
<b>Боевой клич:</b> превращает другое случайное существо в дьявозавра 5/5 или белку 1/1.,Classic,Minion,EX1_083,Мехмастер Замыкалец,Alliance,Legendary,3,3,3,Battlecry,,,,True,Tom Baxa,Мехмастер Замыкалец чуть не потерял свою лицензию мехмастера после великого нашествия белок на Стальгорн.,True,,,
Каждый раз когда вы призываете существо на поле боя оно получает +1/+1 а это оружие теряет 1 ед. прочности.,Classic,Weapon,EX1_366,Меч справедливости,Neutral,Epic,3,1,,,,Paladin,5,True,Efrem Palacios,Нарекаю тебя Сыром Рокфором!,,,,
<b>Боевой клич:</b> в следующий ход противника его заклинания стоят (0) маны.,Classic,Minion,NEW1_029,Миллхаус Манашторм,,Legendary,2,4,4,Battlecry,,,,True,Jim Nelson,«Давай зажигать крошка!»,True,,,
+2/+2.,Classic,Enchantment,EX1_573ae,Милость полубога,Neutral,,,,,,,Druid,,,,,,,,
Остальные ваши существа получают +2/+2.,Classic,Spell,EX1_573a,Милость полубога,Neutral,,,,,,,Druid,,,,,,,,
<b>Боевой клич:</b> атака выбранного существа противника становится равна 1.,Classic,Minion,EX1_382,Миротворец Алдоров,Neutral,Rare,3,3,3,Battlecry,,Paladin,,True,Dany Orizio,Алдоры ненавидят две вещи: Провидцев и шансон.,,,,
Наносит $3 ед. урона. <b>Перегрузка:</b> (1),Classic,Spell,EX1_238,Молния,Neutral,Common,1,,,,,Shaman,,True,Daarken,Знаете почему вы сначала видите молнию а потом слышите гром? Потому что глаза у вас впереди а уши – сзади!,,,,
В конце вашего хода другое ваше случайное существо получает +1 к здоровью.,Classic,Minion,EX1_004,Молодая жрица,,Rare,1,2,1,,,,,True,Vance Kovacs,Она с нетерпением ждет того дня когда освоит заклинание «Слово силы: Стойкость» второго ранга.,,,,
<b>Неистовство ветра</b>,Classic,Minion,CS2_169,Молодой дракондор,Horde,Common,1,1,1,Windfury,,,,True,Greg Hildebrandt,В их честь таурены назвали свою лучшую команду по тауренболу «Дракондоры».,,Beast,,
<b>Боевой клич:</b> возвращает ваше существо с поля боя в руку.,Classic,Minion,EX1_049,Молодой хмелевар,Alliance,Common,2,3,2,Battlecry,,,,True,Wei Wang,Его отвары пока что далеки от совершенства. «Могушанское темное» вообще пить невозможно.,,,,
<b>Неистовство ветра</b>. <b>Перегрузка:</b> (2),Classic,Weapon,EX1_567,Молот Рока,Neutral,Epic,5,2,,Windfury,,Shaman,8,True,John Polidora,Это легендарное оружие подарил Траллу Оргрим Молот Рока. Совпадение имен — чистая случайность.,,,,
<b>Секрет:</b> когда существо противника атакует возвращает его в руку владельца. Его стоимость увеличивается на (2) маны.,Classic,Spell,EX1_611,Морозная ловушка,Neutral,Common,2,,,Secret,,Hunter,,True,Matt Gaser,От таких шуток мороз по коже!,,,,
Стоит на (1) ману меньше за каждое другое существо на поле боя.,Classic,Minion,EX1_586,Морской великан,Neutral,Epic,10,8,8,,,,,True,Svetlin Velinov,Ночевала тучка золотая на груди морского великана...,,,,
Наносит $2 ед. урона выбранному существу. Если оно выживет вы берете карту.,Classic,Spell,EX1_391,Мощный удар,Neutral,Common,2,,,,,Warrior,,True,E.M. Gist,«Дун да дун дун да дун». Если вы слышите как огр напевает это значит бежать уже поздно.,,,,
Наносит выбранному существу 1 ед. урона за каждую единицу брони вашего героя.,Classic,Spell,EX1_410,Мощный удар щитом,Neutral,Epic,1,,,AffectedBySpellPower,,Warrior,,True,Raymond Swanland,«Какое оружие лучше? Острое о котором враг знает или тупое на которое он не обращает внимания?» – Искусство быть воином глава 9,,,,
+2/+1 от <i>Мурлока-полководца</i>.,Classic,Enchantment,EX1_507e,Мргглаарг!,,,,,,,,,,,,,,,,
+2 к здоровью.,Classic,Enchantment,EX1_103e,Мрглаарг!,,,,,,,,,,,,,,,,
Каждый раз когда на поле боя призывается мурлок это существо получает +1 к атаке.,Classic,Minion,EX1_509,Мурлок-волномут,Neutral,Rare,1,1,2,,,,,True,Jaemin Kim,Когда они собираются чтобы вместе помутить волны с ними лучше не связываться!,,Murloc,,
ВСЕ прочие мурлоки получают +2/+1.,Classic,Minion,EX1_507,Мурлок-полководец,Neutral,Epic,3,3,3,Aura,,,,True,Tim McBurnie,Как вы думаете мурлоки когда-нибудь устают издавать один и тот же звук? Ничего подобного! Мрглглглглглглг!,,Murloc,,
Атака увеличена.,Classic,Enchantment,EX1_001e,На страже,,,,,,,,,,,,,,,,
Атака увеличена.,Classic,Enchantment,NEW1_012o,Насытившийся маной,,,,,,,,Mage,,,,,,,,
В начале вашего хода вы с вероятностью 50% берете дополнительную карту.,Classic,Minion,EX1_557,Нат Пэгл,Neutral,Legendary,2,0,4,,,,,True,Steve Prescott,Нат Пэгл лучший рыболов Азерота! Он изобрел Автоспиннинг 3000 Мегакрючок 3000 и Супернаживку 2099 (последняя все еще испытывается).,True,,,
<b>Неистовство ветра</b>,Classic,Minion,EX1_033,Неистовая гарпия,Alliance,Common,6,4,5,Windfury,,,,True,Luke Mancini,У гарпий омерзительный голос. И это еще мягко сказано.,,,,
Накладывает на существо эффект <b>немоты</b>.,Classic,Spell,EX1_332,Немота,Neutral,Common,0,,,Silence,,Priest,,True,Zoltan & Gabor,Специально для злобных магов зловещих личей завывающих из могилы и для караоке-вечеров в «Угрюмом обжоре».,,,,
<b>Боевой клич:</b> уничтожает случайное существо противника с атакой 2 или меньше.,Classic,Minion,NEW1_041,Несущийся кодо,,Rare,5,3,5,Battlecry,,,,True,Daren Bader,Как поймать кодо с помощью спичечного коробка бинокля и пинцета? Нужно посмотреть на кодо через перевернутый бинокль он станет маленьким-маленьким. Затем его нужно взять пинцетом и поместить в коробок.,,Beast,,
<i>У вас больше не осталось демонов! К счастью еще есть бесы...</i>,Classic,Minion,EX1_317t,Никчемный бес,,Common,1,1,1,,,Warlock,,,,,,Demon,,
Длительность хода каждого игрока ограничена 15 секундами.,Classic,Minion,EX1_560,Ноздорму,Neutral,Legendary,9,8,8,,,,,True,James Ryman,Эффективное средство против нерасторопных противников.,True,Dragon,,
<b>Рывок</b>,Classic,Spell,EX1_165a,Облик кошки,Neutral,Common,,,,,,Druid,,,,,,,,
+2 к здоровью и способность <b>«Провокация»</b>.,Classic,Spell,EX1_165b,Облик медведя,Neutral,Common,,,,,,Druid,,,,,,,,
Сила героя меняется на «Наносит 2 ед. урона». Если уже в <i>Облике тьмы</i> – 3 ед. урона.,Classic,Spell,EX1_625,Облик Тьмы,,Epic,3,,,,,Priest,,True,Alex Horley Orlandelli,«Да я жрец. НЕТ Я НЕ МОГУ ВАС ПОЛЕЧИТЬ!!!»Сергей К. «Склиф»,,,,
<b>Секрет:</b> уничтожает существо которое атакует вашего героя.,Classic,Spell,EX1_594,Обращение в пар,Neutral,Rare,3,,,Secret,,Mage,,True,Raymond Swanland,Был ли Катаклизм результатом того что Смертокрыл проиграл партию когда противник использовал эту карту? Мы никогда не узнаем.,,,,
Наносит $10 ед. урона.,Classic,Spell,EX1_279,Огненная глыба,Neutral,Epic,10,,,,,Mage,,True,Luca Zontini,Не забудьте злобно рассмеяться вытащив эту карту из колоды!,,,,
<b>Боевой клич:</b> наносит 3 ед. урона вашему герою.,Classic,Minion,EX1_319,Огненный бес,Neutral,Common,1,3,2,Battlecry,,Warlock,,True,Alex Horley Orlandelli,Бесы любят зажигать. В буквальном смысле.,,Demon,,
Стоит на (1) ману меньше за каждое повреждение полученное вашим героем.,Classic,Minion,EX1_620,Огненный великан,,Epic,20,8,8,,,,,True,Glenn Rane,Он весь кипит. ПОТОМУ ЧТО У НЕГО ВНУТРИ ЛАВА!,,,,
,Classic,Minion,CS2_231,Огонек,Neutral,Common,0,1,1,,,,,True,Malcolm Davis,Если запустить достаточное количество огоньков в эредарского повелителя тот взорвется. Но почему?,,,,
<b>Секрет:</b> когда ваш герой получает урон вы наносите такое же количество урона герою противника.,Classic,Spell,EX1_132,Око за око,Neutral,Common,1,,,Secret,,Paladin,,True,James Ryman,Порой правосудие заключается в ударе кулаком об мягкую щеку.,,,,
<b>Боевой клич:</b> призывает на вашу сторону дракончиков 1/1 пока поле боя не заполнится.,Classic,Minion,EX1_562,Ониксия,Neutral,Legendary,9,8,8,Battlecry,,,,True,Dany Orizio,Давным-давно Ониксия плела интриги при королевском дворе Штормграда выдавая себя за леди Катрану Престор. И как только ей удавалось прятать когтистые лапы и огромные крылья?,True,Dragon,,
<b>Боевой клич:</b> уничтожает существо с атакой 7 или больше.,Classic,Minion,EX1_005,Опытный охотник,,Epic,3,4,2,Battlecry,,,,True,Chris Seaman,Обычные дьявозавры больше его не вдохновляют. Скоро он будет пытаться поймать Ониксию вооружившись лишь тупым клинком Крола.,,,,
<b>Боевой клич:</b> снаряжает вас оружием 2/2.,Classic,Minion,EX1_398,Оружейница Арати,Neutral,Common,4,3,3,Battlecry,,Warrior,,True,Samwise,Скидка 50% на кистевое оружие. Предложение ограничено!,,,,
,Classic,Minion,CS2_152,Оруженосец,Alliance,Common,1,2,2,,,,,,,,,,,
Все существа теряют <b>«Маскировку»</b>. Уничтожает все <b>Секреты</b> противника. Вы берете карту.,Classic,Spell,EX1_544,Осветительная ракета,Neutral,Rare,2,,,,,Hunter,,True,Tyler Walpole,С этой штукой вам будут рады на любой вечеринке!,,,,
<b>Секрет:</b> когда противник разыгрывает карту существа вы призываете на свою сторону его копию.,Classic,Spell,EX1_294,Отраженная сущность,Neutral,Common,3,,,Secret,,Mage,,True,Raven Mimura,«Ты пойдешь первым» – сказал Краш&sbquo;гор по прозвищу Чудовище своему ручному кабану.,,,,
Атака стала равна 1.,Classic,Enchantment,EX1_382e,Отступись!,,,,,,,,Paladin,,,,,,,,
+1 к прочности.,Classic,Enchantment,CS2_146o,Отточенный до блеска,,,,,,,,,,,,,,,,
,Classic,Minion,EX1_160t,Пантера,,Common,2,3,2,,,Druid,,,,,,Beast,,
<b>Сила героя</b> Призывает на поле боя инфернала 6/6.,Classic,Hero Power,EX1_tk33,ПЕКЛО!,Neutral,,2,,,,,Warlock,,,,,,,,
Характеристики увеличены.,Classic,Enchantment,EX1_258e,Перегрузка,,,,,,,,Shaman,,,,,,,,
<b>Секрет:</b> когда персонаж атакует вашего героя вместо этого он атакует другого случайного персонажа.,Classic,Spell,EX1_533,Перенаправление,Neutral,Rare,2,,,Secret,,Hunter,,True,Daren Bader,Иногда это так же просто как позвонить в чью-то дверь и выбежать из подъезда.,,,,
Ваше существо получает +4/+4 до конца хода. Потом оно умирает. Ужасной смертью.,Classic,Spell,EX1_316,Переполняющая мощь,Neutral,Common,1,,,,,Warlock,,True,Tom Baxa,У нас не хватит слов чтобы описать насколько ужасна будет его смерть. Чудовищно ужасна! Или даже хуже... В общем пожалейте бедное существо.,,,,
Это существо получило +4/+4 но в конце хода его ждет ужасная смерть.,Classic,Enchantment,EX1_316e,Переполняющая мощь,Neutral,,,,,,,Warlock,,,,,,,,
Когда атакует игрок использовавший печать берет карту.,Classic,Enchantment,EX1_363e,Печать мудрости,,,,,,,,Paladin,,,,,,,,
Выберите существо. Когда оно атакует вы берете карту.,Classic,Spell,EX1_363,Печать мудрости,,Common,1,,,,,Paladin,,True,Chippy,Очевидно с мудростью приходит понимание что атаковать надо на каждом ходу.,,,,
Когда это существо атакует противник берет карту.,Classic,Enchantment,EX1_363e2,Печать мудрости,,,,,,,,Paladin,,,,,,,,
,Classic,Minion,EX1_614t,Пламя Аззинота,,,1,2,1,,,,,,,,,,,
Здоровье стало равно 15.,Classic,Enchantment,EX1_561e,Пламя Алекстразы,,,,,,,,,,,,,,,,
Уничтожает ваше существо и наносит урон равный его атаке всем существам противника.,Classic,Spell,EX1_303,Пламя Тьмы,Neutral,Rare,4,,,AffectedBySpellPower,,Warlock,,True,Dave Kendall,Возьмите мощное существо добавьте пламя Тьмы и развлекайтесь в свое удовольствие!,,,,
Каждый раз когда умирает существо плотоядный вурдалак получает +1 к атаке.,Classic,Minion,tt_004,Плотоядный вурдалак,Neutral,Common,3,2,3,,,,,True,Alex Horley Orlandelli,Да он ест трупы. Но как будто у него есть выбор.,,,,
,Classic,Minion,skele21,Поврежденный голем,Neutral,Common,1,2,1,,,,,,,,,Mech,,
<b>Провокация</b>. <b>Предсмертный хрип:</b> наносит 2 ед. урона ВСЕМ персонажам.,Classic,Minion,EX1_097,Поганище,Neutral,Rare,5,4,4,Deathrattle|Taunt,,,,True,Alex Horley Orlandelli,Поганища любят свежее мясо и долгие прогулки по берегу.,,,,
Характеристики увеличены.,Classic,Enchantment,EX1_304e,Поглощение,,,,,,,,Warlock,,,,,,,,
Следующее заклинание которое вы разыграете на этом ходу стоит на (3) маны меньше.,Classic,Enchantment,EX1_145o,Подготовка,,,,,,OneTurnEffect,,Rogue,,,,,,,,
Следующее заклинание которое вы разыграете на этом ходу стоит на (3) маны меньше.,Classic,Spell,EX1_145,Подготовка,Neutral,Epic,0,,,,,Rogue,,True,Clint Langley,«Главное – хорошая подготовка.» Девиз разбойников.,,,,
Здоровье увеличено.,Classic,Enchantment,NEW1_025e,Поддержка,,,,,,,,,,,,,,,,
<b>Секрет:</b> когда противник разыгрывает карту существа здоровье этого существа становится равно 1.,Classic,Spell,EX1_379,Покаяние,Neutral,Common,1,,,Secret,,Paladin,,True,Gonzalo Ordonez,Любопытно но покаяние зачастую приходит за секунду до гибели.,,,,
Здоровье уменьшено до 1.,Classic,Enchantment,EX1_379e,Покаяние,,,,,,,,Paladin,,,,,,,,
+2/+2. Съел мурлока!,Classic,Enchantment,NEW1_017e,Полный желудок,,,,,,,,,,,,,,,,
Атака этого существа всегда равна его здоровью.,Classic,Minion,EX1_335,Порождение Света,Neutral,Common,4,0,5,,,Priest,,True,Daarken,Не потому что рядом с ним светло а потому что с ним не надо света.,,,,
Ваши существа стоят на (2) маны меньше но не меньше (1).,Classic,Minion,EX1_315,Портал призыва,Neutral,Common,4,0,4,Aura,,Warlock,,True,Tyler Walpole,НЕ МЕНЬШЕ 1! И торг здесь неуместен.,,,,
Уничтожает все существа кроме одного выбранного в <i>случайном порядке</i>.,Classic,Spell,EX1_407,Потасовка,Neutral,Epic,5,,,,,Warrior,,True,Wayne Reynolds,Знаете первое правило Бойцовского клуба?,,,,
Наносит $2 ед. урона. <b>Серия приемов:</b> вместо этого наносит $4 ед. урона.,Classic,Spell,EX1_124,Потрошение,Neutral,Common,2,,,Combo,,Rogue,,True,Ariel Olivetti,За потрошение вашего противника придется заплатить высокую цену: пятна крови очень плохо отмываются от кожаной брони.,,,,
<b>Серия приемов:</b> возвращает выбранное существо в руку владельца.,Classic,Minion,NEW1_005,Похититель,,Epic,6,5,3,Combo,,Rogue,,True,Dave Allsop,Он вовсе не злой. Просто ему не с кем поговорить.,,,,
Выбранное существо противника наносит урон равный своей атаке существам находящимся по обе стороны от него.,Classic,Spell,EX1_126,Предательство,Neutral,Common,2,,,,,Rogue,,True,Lucas Graciano,У каждого есть цена. Гномы например сделают что угодно за мягкую игрушку и плитку шоколада.,,,,
Призывает на поле боя пантеру 3/2.,Classic,Spell,EX1_160a,Призыв пантеры,Neutral,,,,,,,Druid,,,,,,,,
+1/+1.,Classic,Enchantment,NEW1_024o,Приказ Зеленямса,,,,,,,,,,,,,,,,
Атака и здоровье увеличены.,Classic,Enchantment,EX1_044e,Приключения!,,,,,,,,,,,,,,,,
Это существо получило +2 к атаке до конца хода.,Classic,Enchantment,CS2_188o,Прилив «вдохновения»,,,,,,OneTurnEffect,,,,,,,,,,
Наносит $5 ед. урона всем персонажам кроме Изеры.,Classic,Spell,DREAM_02,Пробуждение Изеры,,,2,,,,,Dream,,,,,,,,
<b>Неистовство ветра</b>,Classic,Minion,EX1_021,Провидец Траллмара,Horde,Common,3,2,3,Windfury,,,,True,Efrem Palacios,Он служит на Полуострове Адского Пламени но мечтает чтобы его перевели в Оргриммар или куда-нибудь где не так много огня.,,,,
<b>Сила героя</b> Наносит 2 ед. урона.,Classic,Hero Power,EX1_625t,Пронзание разума,,,2,,,,,Priest,,,,,,,,
Ваши заклинания и сила героя восстанавливают здоровье и наносят урон в двойном объеме.,Classic,Minion,EX1_350,Пророк Велен,Neutral,Legendary,7,7,7,,,Priest,,True,Wei Wang,Он был изгнан из родного дома его братья обратились ко злу но в остальном у него все хорошо!,True,,,
+5 к здоровью и способность <b>«Провокация»</b>.,Classic,Enchantment,EX1_178ae,Пустивший корни,,,,,,,,Druid,,,,,,,,
+5 к здоровью и способность <b>«Провокация»</b>.,Classic,Spell,EX1_178a,Пустить корни,Neutral,,,,,,,Druid,,,,,,,,
<b>Неистовство ветра</b>. <b>Перегрузка:</b> (2),Classic,Minion,EX1_243,Пыледемон,Neutral,Common,1,3,1,Windfury,,Shaman,,True,Raymond Swanland,В Западном Крае полно пыледемонов. И канюков. А еще бешеных големов и пиратов. Интересно почему там вообще хоть кто-то живет?,,,,
Здоровье ВСЕХ существ становится равно 1.,Classic,Spell,EX1_619,Равенство,Neutral,Rare,2,,,,,Paladin,,True,Michal Ivan,Все существа по-своему неповторимы... пока им это позволяет здоровье.,,,,
Здоровье стало равно 1.,Classic,Enchantment,EX1_619e,Равенство,,,,,,,,Paladin,,,,,,,,
Не может атаковать. В конце вашего хода наносит 8 ед. урона случайному персонажу противника.,Classic,Minion,EX1_298,Рагнарос,Neutral,Legendary,8,8,8,,,,,True,Greg Staples,Рагнароса призвали дворфы клана Черного Железа и это закончилось тем что Повелитель огня их поработил. Мораль: не призывайте Рагнароса это может плохо кончиться.,True,,,
Наносит $2 ед. урона двум случайным существам противника. <b>Перегрузка:</b> (2),Classic,Spell,EX1_251,Раздвоенная молния,Neutral,Common,1,,,,,Shaman,,True,Ralph Horsley,Идеальное орудие для убийства сразу двух зайцев.,,,,
В начале вашего хода наносит 2 ед. урона случайному персонажу противника.,Classic,Minion,EX1_102,Разрушитель,Neutral,Rare,3,1,4,,,,,True,Raymond Swanland,Какой смысл начинать осаду когда нынче почти у всех есть летающие средства передвижения?,,Mech,,
<b>Боевой клич:</b> накладывает эффект <b>немоты</b> на выбранное существо.,Classic,Minion,EX1_048,Разрушитель чар,Horde,Common,4,4,3,Battlecry,,,,True,Matt Cavotta,Разрушители чар могут вырывать заклинания у магических существ. Операция совершенно безболезненна и проводится в амбулаторных условиях.,,,,
Наносит $5 ед. урона выбранному существу и $2 ед. урона существам находящимся по обе стороны от него.,Classic,Spell,EX1_537,Разрывной выстрел,Neutral,Rare,5,,,,,Hunter,,True,Tom Baxa,Взведите курок досчитайте до пяти и стреляйте. Затем пригнитесь.,,,,
Когда любое существо получает урон разъяренный берсерк получает +1 к атаке.,Classic,Minion,EX1_604,Разъяренный берсерк,Neutral,Rare,3,2,4,,,Warrior,,True,Simon Bisley,До того как стать берсерком он работал бухгалтером.,,,,
<b>Исступление:</b> <b>Неистовство ветра</b> и +1 к атаке.,Classic,Minion,EX1_412,Разъяренный ворген,Neutral,Common,3,3,3,Enrage,,,,True,Alex Horley Orlandelli,Если он уже сейчас разьярен что же будет если жестокие разработчики урежут его способности?,,,,
<b>Боевой клич:</b> наносит 4 ед. урона самому себе.,Classic,Minion,CS2_181,Раненый рубака,Horde,Rare,3,4,7,Battlecry,,,,True,Samwise,Он утверждает что получил эту рану в бою но по-моему он просто порезался когда брился.,,,,
Накладывает на существо эффект <b>немоты</b>.,Classic,Spell,EX1_166b,Рассеивание,Neutral,,,,,Silence,,Druid,,,,,,,,
<b>Сила героя</b> Наносит 3 ед. урона.,Classic,Hero Power,EX1_625t2,Расстройство ума,,,2,,,,,Priest,,,,,,,,
Груул растет...,Classic,Enchantment,NEW1_038o,Рост,,,,,,,,,,,,,,,,
<b>Боевой клич:</b> призывает на поле боя оруженосца 2/2.,Classic,Minion,CS2_151,Рыцарь Длани,Alliance,Common,5,4,4,Battlecry,,,,True,Matt Starbuck,Хорошо быть рыцарем. Гораздо лучше чем оруженосцем.,,,,
<b>Боевой клич:</b> все существа теряют <b>«Божественный щит»</b>. Рыцарь получает +3/+3 за каждый поглощенный щит.,Classic,Minion,EX1_590,Рыцарь крови,Neutral,Epic,3,3,3,Battlecry,,,,True,Trent Kaniuga,Рыцари крови черпают божественные силы из Солнечного Колодца. Ведрами.,,,,
<b>Секрет:</b> когда персонаж противника атакует вы призываете на поле боя защитника 2/1 который принимает на себя удар.,Classic,Spell,EX1_130,Самопожертвование,Neutral,Common,1,,,Secret,,Paladin,,True,Zoltan & Gabor,Вечная тебе память защитник!,,,,
Наносит $5 ед. урона. Восстанавливает #5 ед. здоровья вашему герою.,Classic,Spell,EX1_624,Священный огонь,,Rare,6,,,,,Priest,,True,Miguel Coimbra,Священный огонь не бывает без священного дыма!,,,,
<b>Выберите эффект:</b> ваши существа получают +1/+1; или призовите на поле боя пантеру 3/2.,Classic,Spell,EX1_160,Сила дикой природы,Neutral,Common,2,,,,,Druid,,True,Steve Tappin,Если вы встретили пантеру не смотрите ей в глаза если хотите выжить. Или наоборот надо смотреть ей в глаза? В общем что-то из этого должно сработать...,,,,
Ваш следующий секрет стоит (0) маны.,Classic,Enchantment,EX1_612o,Сила Кирин-Тора,,,,,,OneTurnEffect,,Mage,,,,,,,,
Призывает на поле боя трех древней 2/2 со способностью <b>«Рывок»</b> которые умрут в конце хода.,Classic,Spell,EX1_571,Сила природы,Neutral,Epic,6,,,,,Druid,,True,Trevor Jacobs,«Я хочу прикорнуть под этими деревьями. Эй что это? АААААААА!» – Микрутень невезучий гном.,,,,
+1 к атаке от <i>Вожака лютых волков</i>.,Classic,Enchantment,EX1_162o,Сила стаи,,,,,,,,,,,,,,,,
<b>Предсмертный хрип:</b> вы получаете контроль над случайным существом противника.,Classic,Minion,EX1_016,Сильвана Ветрокрылая,,Legendary,6,5,5,Deathrattle,,,,True,Glenn Rane,Артас превратил Сильвану в королеву банши. Какое оскорбление! Право лучше бы он ее убил...,True,,,
<b>Божественный щит</b>,Classic,Minion,EX1_008,Сквайр Авангарда,Alliance,Common,1,1,1,Divine Shield,,,,True,Zoltan & Gabor,«Торжественно клянусь защищать дело Света очищать мир от Тьмы и есть только обезжиренный йогурт.»Обет ордена Серебряного Рассвета,,,,
<b>Маскировка</b>,Classic,Minion,CS2_161,Скрытный убийца,Alliance,Rare,7,7,5,Stealth,,,,True,Ralph Horsley,Просто отправьте ему посылкой 10 000 золота и вложите записку с именем. Все остальное он берет на себя.,,,,
Каждый раз когда это существо получает урон вы берете карту.,Classic,Minion,EX1_007,Служитель боли,,Common,3,1,3,,,,,True,Dave Kendall,Вообще-то он учился на служителя радости но что-то пошло не так...,,,,
<b>Боевой клич:</b> восстанавливает 3 ед. здоровья.,Classic,Minion,CS2_117,Служитель Земли,,Common,3,3,3,Battlecry,,,,True,Alex Horley Orlandelli,Как же он спит если его глаза всегда открыты?,,,,
<b>Провокация</b>. <b>Божественный щит</b>.,Classic,Minion,EX1_032,Служительница солнца,Alliance,Rare,6,4,5,Divine Shield|Taunt,,,,True,Andrea Uderzo,На самом деле она не служит солнцу. Просто ее так зовут!,,,,
Уничтожает случайное существо противника.,Classic,Spell,EX1_617,Смертельный выстрел,Neutral,Common,3,,,,,Hunter,,True,Steve Prescott,Точность не очень ценится среди мок&sbquo;натальских охотников в отличие от смертоносности.,,,,
Наносит $4 ед. урона. Если у вашего героя 12 или меньше ед. здоровья вместо этого наносит $6 ед. урона.,Classic,Spell,EX1_408,Смертельный удар,Neutral,Rare,4,,,,,Warrior,,True,Zoltan & Gabor,«Если вы используете только одну способность выбирайте «Смертельный удар» – Кодекс воина строка 6,,,,
<b>Боевой клич:</b> уничтожает все прочие существа. Вы сбрасываете все карты из вашей руки.,Classic,Minion,NEW1_030,Смертокрыл,,Legendary,10,12,12,Battlecry,,,,True,Bernie Kang,Однажды дракон Смертокрыл (ранее известный как Нелтарион) сошел с ума и чуть не разрушил Азерот но его остановили. Может ему надо было чаще бывать на свежем воздухе?,True,Dragon,,
Заклинания стоят (0) маны до конца хода!,Classic,Enchantment,NEW1_029t,Смерть Миллхаусу!,,Legendary,,,,,,,,,,,,,,
Не может быть целью заклинаний или силы героя.,Classic,Minion,DREAM_01,Смеющаяся сестра,,,3,3,5,,,Dream,,,,,,,,
<b>Секрет:</b> когда ваш противник разыгрывает карту существа оно получает $4 ед. урона.,Classic,Spell,EX1_609,Снайперский выстрел,Neutral,Common,2,,,Secret,,Hunter,,True,Lorenzo Minaca,Великий снайпер всегда попадает в яблочко. Или в яблоню. Или в кабанчика под ней. В общем великий снайпер никогда не останется голодным!,,,,
Наносит $2 ед. урона всем существам противника и <b>замораживает</b> их.,Classic,Spell,CS2_028,Снежная буря,Neutral,Rare,6,,,Freeze,,Mage,,True,Chris Seaman,Осторожно. Говорят это эпическое заклинание отвлекает детей от школы.,,,,
<b>Предсмертный хрип:</b> вы берете карту.,Classic,Minion,EX1_096,Собиратель сокровищ,Neutral,Common,2,2,1,Deathrattle,,,,True,Jim Nelson,Всегда выбирайте «Мне это нужно».,,,,
Возвращает выбранное существо в руку владельца.,Classic,Spell,DREAM_04,Сон,,,0,,,,,Dream,,,,,,,,
За каждое существо противника призывает по гончей 1/1 со способностью <b>«Рывок»</b>.,Classic,Spell,EX1_538,Спустить собак,,Common,3,,,,,Hunter,,True,Linggar Bramanty,Громко зачитывайте название этой карты каждый раз когда будете ее разыгрывать.,,,,
<b>Боевой клич:</b> возвращает ваше существо с поля боя в вашу руку.,Classic,Minion,EX1_057,Старый хмелевар,Alliance,Common,4,5,4,Battlecry,,,,True,Bernie Kang,Большинство пандаренов говорит что их хмель пахнет как як. Но это очевидно комплимент.,,,,
<b>Божественный щит</b>,Classic,Minion,EX1_023,Страж Луносвета,Horde,Common,4,3,3,Divine Shield,,,,True,Phroilan Gardner,Его первое задание – защитить Луносвет от нападения Плети – закончилось не очень успешно...,,,,
<b>Провокация</b>. <b>Боевой клич:</b> уничтожает один из ваших кристаллов маны.,Classic,Minion,EX1_301,Страж Скверны,Neutral,Rare,3,3,5,Battlecry|Taunt,,Warlock,,True,John Polidora,Да он будет сражаться за вас. НЕТ ЕМУ НЕ НРАВИТСЯ ВАМ ПОДЧИНЯТЬСЯ.,,Demon,,
<b>Рывок</b>. <b>Боевой клич:</b> вы сбрасываете две случайных карты.,Classic,Minion,EX1_310,Страж ужаса,Neutral,Rare,5,5,7,Battlecry|Charge,,Warlock,,True,Lucas Graciano,Призывать стража ужаса опасно – обычно при этом <i>кто-нибудь</i> умирает.,,Demon,,
<b>Провокация</b>,Classic,Minion,EX1_396,Стражник Могу&sbquo;шан,Neutral,Common,4,1,7,Taunt,,,,True,Cole Eastburn,«Могу охранять! Могу – не охранять...»Медведыч,,,,
Каждый раз когда персонаж восстанавливает здоровье стражница Света получает +2 к атаке.,Classic,Minion,EX1_001,Стражница Света,,Rare,1,1,2,,,,,True,Erik Ko,Ее сестры – стражницы Вера Надежда и Любовь.,,,,
<b>Боевой клич:</b> это существо получает +1 к здоровью за каждую карту в вашей руке.,Classic,Minion,EX1_043,Сумеречный дракон,Neutral,Rare,4,4,1,Battlecry,,,,True,Jaemin Kim,Сумеречные драконы питаются духовной энергией и бутербродами с колбасой.,,Dragon,,
Здоровье и атака этого существа увеличены.,Classic,Enchantment,EX1_531e,Сытость,,,,,,,,Hunter,,,,,,,,
