MECHANICS,SET,NAME,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,TYPE,ID,COLLECTIBLE,FLAVOR,PLAYERCLASS,DURABILITY
Deathrattle,Goblins vs Gnomes,自爆綿羊,Ralph Horsley,,<b>死亡之聲:</b>對全部手下造成2點傷害,Common,1,2,1,Mech,Minion,GVG_076,True,這玩意兒怎麼使用呢?你以為你的敵人會說:「唉呀，好可愛的羊啊!」然後跑過去抱它起來玩嗎?,,
,Goblins vs Gnomes,船艦主砲,Warren Mahy,,每當你召喚海盜，對一個隨機敵人造成2點傷害,Common,2,2,3,,Minion,GVG_075,True,等你聽到有人喊「砲擊!」時，通常不是沒事，就是已經太晚了。,,
,Goblins vs Gnomes,苦痛仕女,Carl Critchlow,,每當此手下造成傷害，使你的英雄恢復等量的生命值,Rare,1,2,4,Demon,Minion,GVG_018,True,她特別討厭人家拿她跟苦痛侍僧相提並論。據說苦痛侍僧已經因為這樣挨了好幾頓打。,Warlock,
,Goblins vs Gnomes,蜘蛛坦克,Dany Orizio,,,Common,3,3,4,Mech,Minion,GVG_044,True,「如果我們把槍砲裝上去會怎樣?」-菲茲布里茨對著蜘蛛型運輸工具如是說。,,
Battlecry,Goblins vs Gnomes,血色淨化者,Anton Zemskov,,<b>戰吼:</b>對全部有<b>死亡之聲</b>的手下造成2點傷害,Rare,4,3,3,,Minion,GVG_101,True,最近血色十字軍在做市場調查，看看換個顏色能不能更容易招人。,Paladin,
,Goblins vs Gnomes,裝備精良,,,+2/+2,,,,,,Enchantment,GVG_060e,,,Paladin,
Taunt,Goblins vs Gnomes,訓練假人,Matt Dixon,,<b>嘲諷</b>,Rare,0,0,2,Mech,Minion,GVG_093,True,這個假人的頭上貼著一張紙條，上面寫著:「打我啊!」,,
Charge|Taunt,Goblins vs Gnomes,諾姆瑞根步兵,Zoltan & Gabor,,<b>衝鋒</b><b>嘲諷</b>,Common,1,3,4,,Minion,GVG_098,True,這些英勇的地精士兵們已經準備好要回到他們被輻射汙染、排水系統差勁的家園了!,,
,Goblins vs Gnomes,護甲強化,,,+1生命值,,,,,,Enchantment,PART_001e,,,,
,Goblins vs Gnomes,護甲片,Nutchapol Thitinunthakorn,,賦予一個手下+1生命值,,,1,,,Spell,PART_001,,,,
Divine Shield,Goblins vs Gnomes,護盾小機器人,Raymond Swanland,,<b>聖盾術</b>,Common,2,2,2,Mech,Minion,GVG_058,True,它只相信它的程式碼中要它相信的事情!,Paladin,
,Goblins vs Gnomes,費倫的祝福,Alex Horley Orlandelli,,賦予一個手下+2/+4及<b>法術傷害+1</b>,Common,,3,,,Spell,GVG_010,True,據說費倫每天要收到幾百封希望他的祝福能做成護身符的請求。,Priest,
,Goblins vs Gnomes,費倫的祝福,,,+2/+4及<b>法術傷害+1</b>,,,,,,Enchantment,GVG_010b,,,,
,Goblins vs Gnomes,貿易親王加里維克斯,Wei Wang,True,每當你的對手施放法術，便獲得一張同樣的法術並給他一枚硬幣,Legendary,5,6,8,,Minion,GVG_028,True,加里維克斯相信供需法則。他提供一頓飽打，但需要你支付他車馬費!,Rogue,
Battlecry,Goblins vs Gnomes,赫米特·奈辛瓦里,Ralph Horsley,True,<b>戰吼:</b>摧毀一隻野獸,Legendary,6,5,3,,Minion,GVG_120,True,在一個野獸被殺死後沒幾分鐘就重新出現的世界當獵人，真不知道該說幸還是不幸。,,
Divine Shield,Goblins vs Gnomes,超能坦克麥克斯,Nutchapol Thitinunthakorn,,<b>聖盾術</b>,Common,7,8,7,Mech,Minion,GVG_079,True,在塔納利斯有一間專門製造超能坦克的軍工廠，只製造出兩台就因為嚴重超支而停產了。,,
Spellpower,Goblins vs Gnomes,超頻,,,法術傷害+2,,,,,,Enchantment,GVG_123e,,,Mage,
Battlecry,Goblins vs Gnomes,軍需官,Phroilan Gardner,,<b>戰吼:</b>賦予你的白銀之手新兵+2/+2,Epic,2,5,5,,Minion,GVG_060,True,他很享受新兵誠惶誠恐來跟他拿裝備的感覺。事實上，是有點享受過頭了。,Paladin,
,Goblins vs Gnomes,轟雷,Warren Mahy,,造成$3點到$6點傷害。<b>超載:</b>(1),Common,,2,,,Spell,GVG_038,True,要發天打雷劈的毒誓之前，想想這張牌。,Shaman,
,Goblins vs Gnomes,迴旋刀刃,,,+1攻擊力,,,,,,Enchantment,PART_007e,,,,
,Goblins vs Gnomes,迴旋刀刃,Nutchapol Thitinunthakorn,,賦予一個手下+1攻擊力,,,1,,,Spell,PART_007,,,,
Spellpower|Stealth,Goblins vs Gnomes,迷你法師,Ben Olson,,<b>潛行</b><b>法術傷害+1</b>,Epic,4,4,1,,Minion,GVG_109,True,有時候在古拉巴什競技場的寶箱裡可以找到他。,,
,Goblins vs Gnomes,迷路的陸行鳥,Benjamin Zhang,,,Common,5,4,4,Beast,Minion,GVG_071,True,牠的屁股上有著刺青，寫著:若看到牠，請送回莫高雷。,,
,Goblins vs Gnomes,逆向開關,Nutthapon Petthai,,把一個手下的攻擊力及生命值互相對調,,,1,,,Spell,PART_006,,,,
,Goblins vs Gnomes,那魯之光,Jesper Ejsing,,恢復#3點生命值。若目標仍然受傷，召喚一個護光者,Rare,,1,,,Spell,GVG_012,True,「妳跟過來做什麼?」,Priest,
Battlecry,Goblins vs Gnomes,重組轉化師,Ben Olson,,<b>戰吼:</b>將一個友方手下變形為另一個法力消耗相等的隨機手下,Epic,3,2,2,,Minion,GVG_108,True,上場前記得先禱告一下。,,
,Goblins vs Gnomes,重裝上陣,,,攻擊力提高,,,,,,Enchantment,GVG_086e,,,Warrior,
,Goblins vs Gnomes,鈷藍守護者,Jim Nelson,,每當你召喚機械，獲得<b>聖盾術</b>,Rare,6,5,3,Mech,Minion,GVG_062,True,原本它們的材料是昂貴的源質礦，後來工廠遷到加基森，不知怎地就換成了便宜的鈷藍礦。,Paladin,
,Goblins vs Gnomes,鋼牙,,,+2攻擊力,,,,,,Enchantment,GVG_048e,,,Hunter,
Battlecry,Goblins vs Gnomes,鋼牙獸,Hideaki Takamura,,<b>戰吼:</b>賦予你其他的機械+2攻擊力,Rare,3,3,3,Mech,Minion,GVG_048,True,不要讓牠們淋雨。在安戈洛環形山那邊，鏽牙獸已經多到無法控制了。,Hunter,
,Goblins vs Gnomes,鋼鐵師尊,Brian Despain,,在你的回合結束時，賦予另一個友方機械+2/+2,Rare,2,3,2,Mech,Minion,GVG_027,True,機械很喜歡向他學習，因為他真的會說機械語言。01000111101001001,Rogue,
Battlecry,Goblins vs Gnomes,鋼鐵破滅邪神,Raymond Swanland,True,<b>戰吼:</b>放一張地雷到你對手的牌堆中。當他抽到地雷，會爆炸並對他造成10點傷害,Legendary,6,6,5,Mech,Minion,GVG_056,True,鋼鐵破滅邪神守護著奧格瑪，而且才剛剛獲得「本月最佳員工」獎項!,Warrior,
,Goblins vs Gnomes,隱形力場,Nutchapol Thitinunthakorn,,賦予一個友方手下<b>潛行</b>直到你的下一個回合,,,1,,,Spell,PART_004,,,,
,Goblins vs Gnomes,雞,,,,,1,1,1,Beast,Minion,GVG_092t,,,,
Taunt,Goblins vs Gnomes,電鍍機械小熊,Eva Widermann,False,<b>嘲諷</b>。<b>二選一:</b>+1攻擊力或+1生命值,Common,2,2,2,Mech,Minion,GVG_030,True,噢，好可愛呀!呃，天啊，牠為什麼要啃我的臉?!,Druid,
Windfury,Goblins vs Gnomes,飛行器,Matt Dixon,,<b>風怒</b>,Common,1,3,4,Mech,Minion,GVG_084,True,不會飛的飛行器叫什麼?下一個資料片再告訴你。,,
,Goblins vs Gnomes,魁梧的石顎穴居怪,Chris Rahn,,每當你的對手施放法術，獲得+2攻擊力,Common,3,4,5,,Minion,GVG_068,True,魁梧是相對穴居怪來說。你的話，當然可以叫他矮冬瓜。,,
Aura,Goblins vs Gnomes,魔法代謝,,,攻擊力提高,,,,,,Enchantment,GVG_068a,,,,
Aura,Goblins vs Gnomes,魔法代謝,,,攻擊力提高,,,,,,Enchantment,GVG_067a,,,,
,Goblins vs Gnomes,麥迪文的回音,Alex Garner,,複製場上的每一個友方手下，放到你的手牌裡,Epic,,4,,,Spell,GVG_005,True,麥迪文的回音仍在卡拉贊作祟，永恆地在西洋棋跟爐石戰記中作弊。,Mage,
,Goblins vs Gnomes,黑暗幽光,,,+5/+5及<b>嘲諷</b>,,,,,,Enchantment,GVG_041c,,,Druid,
,Goblins vs Gnomes,黑暗幽光,,,召喚5個幽光,,,,,,Spell,GVG_041b,,,Druid,
,Goblins vs Gnomes,黑暗幽光,,,+5/+5及<b>嘲諷</b>,,,,,,Spell,GVG_041a,,,Druid,
,Goblins vs Gnomes,黑暗幽光,Trent Kaniuga,,<b>二選一:</b>召喚5個幽光，或賦予一個手下+5/+5及<b>嘲諷</b>,Epic,,6,,,Spell,GVG_041,True,不用擔心，我們把替這張卡片命名的人開除了。,Druid,
,Goblins vs Gnomes,黑暗炸彈,Jeff Haynie,,造成$3點傷害,Common,,2,,,Spell,GVG_015,True,如果你想要組一副自殺套牌，這張卡片超好用的!,Warlock,
Aura,Goblins vs Gnomes,齒輪大師,Trent Kaniuga,,若你有機械則獲得+2攻擊力,Common,1,1,2,,Minion,GVG_013,True,過一陣子，你看到的就不是齒輪跟扣鏈，而是機器人、蜘蛛坦克、死亡射線槍等等各式各樣的怪東西...,,
Aura,Goblins vs Gnomes,齒輪大師的扳手,Richard Wright,,若你有機械則獲得+2攻擊力,Epic,1,3,,,Weapon,GVG_024,True,拿來鎖齒輪跟敲穴居怪都同樣好用!,Rogue,3
Battlecry,Goblins vs Gnomes,齒輪巨錘,Dany Orizio,,<b>戰吼:</b>賦予一個隨機的友方手下<b>聖盾術</b>及<b>嘲諷</b>,Epic,2,3,,,Weapon,GVG_059,True,你說，把這個東西從機器裡扯出來，雕上一些符文，裝上把手，就變成了強大的神聖武器?嗯，聽起來還不賴。,Paladin,3
