SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Classic","牛頭人戰士",3,"Minion","EX1_390",,,"Common",2,3,"<b>嘲諷</b>。<b>狂怒:</b>+3攻擊力","Neutral",Enrage|Taunt,,True,"Paul Warzecha","牛頭人戰士:莫高雷的勇士，野豬人的殺手，雷霆崖電梯的乘客。",,,,
"Classic","狂暴",,"Enchantment","EX1_604o","Warrior",,,,,"攻擊力提高",,,,,,,,,,
"Classic","狂野怒火",,"Spell","EX1_549","Hunter",,"Epic",,1,"本回合賦予一隻友方野獸+2攻擊力及<b>免疫</b>","Neutral",,,True,"Alex Horley Orlandelli","沸騰的憤怒僅僅是表面。在那之下是狂亂的自我解放，隨之而來的是輕微的不快。",,,,
"Classic","狂野怒火",,"Enchantment","EX1_549o","Hunter",,,,,"+2攻擊力及本回合<b>免疫</b>",,OneTurnEffect,,,,,,,,
"Classic","狂野火占師",2,"Minion","NEW1_020",,,"Rare",3,2,"在你施放法術之後，對全部手下造成1點傷害",,,,True,"Alex Horley Orlandelli","燒啊燒，燒光光!大家一起燒!",,,,
"Classic","狙擊",,"Spell","EX1_609","Hunter",,"Common",,2,"<b>秘密:</b>當你的對手打出手下時，對其造成$4點傷害","Neutral",Secret,,True,"Lorenzo Minaca","好的狙擊手專打軟肋。像是野豬美味的側腹。嗯...",,,,
"Classic","狼人滲透者",1,"Minion","EX1_010",,,"Common",2,1,"<b>潛行</b>","Alliance",Stealth,,True,"Raymond Swanland","你不想被狼人滲透的話，只要大喊「不可以!壞壞!」就好。",,,,
"Classic","猛擊",,"Spell","EX1_391","Warrior",,"Common",,2,"對一個手下造成$2點傷害。若其存活，抽一張牌","Neutral",,,True,"E.M. Gist","「噹滴噹，噹滴噹」如果你聽到巨魔唱這段旋律，代表已經晚了。",,,,
"Classic","獵犬",1,"Minion","EX1_538t","Hunter",,,1,1,"<b>衝鋒</b>",,Charge,,,,,,"Beast",,
"Classic","獵豹",2,"Minion","EX1_160t","Druid",,"Common",3,2,,,,,,,,,"Beast",,
"Classic","獵豹形態",,"Spell","EX1_165a","Druid",,"Common",,,"<b>衝鋒</b>","Neutral",,,,,,,,,
"Classic","獸群之力",,"Enchantment","EX1_162o",,,,,,"原生恐狼賦予了這個手下+1攻擊力",,,,,,,,,,
"Classic","獸群領袖",,"Enchantment","EX1_160be","Druid",,,,,"+1/+1",,,,,,,,,,
"Classic","獸群領袖",,"Spell","EX1_160b","Druid",,,,,"賦予你全部的手下+1/+1","Neutral",,,,,,,,,
"Classic","王牌獵人",2,"Minion","EX1_005",,,"Epic",4,3,"<b>戰吼:</b>摧毀一個攻擊力在7點以上的手下",,Battlecry,,True,"Chris Seaman","魔暴龍已經引不起他的興趣了。再沒多久，他就會開始嘗試用鈍掉的克羅之刃抓捕奧妮克希亞。",,,,
"Classic","瑪里苟斯",12,"Minion","EX1_563",,,"Legendary",4,9,"<b>法術傷害+5</b>","Neutral",Spellpower,,True,"Michael Komarck","瑪里苟斯非常討厭凡人使用魔法。他會瘋狂暴怒!",True,"Dragon",,
"Classic","生長",,"Enchantment","NEW1_038o",,,,,,"戈魯爾正在變大...",,,,,,,,,,
"Classic","瘋想寶藏",,"Enchantment","NEW1_018e",,,,,,"攻擊力提高",,,,,,,,,,
"Classic","瘋狂炸彈客",2,"Minion","EX1_082",,,"Common",3,2,"<b>戰吼:</b>造成3點傷害，隨機分給其他角色","Alliance",Battlecry,,True,"Mike Sass","他並沒有真的那麼瘋狂，他只是應該對爆裂物更謹慎，卻沒有做到這一點。",,,,
"Classic","瘋狂的鍊金師",2,"Minion","EX1_059",,,"Rare",2,2,"<b>戰吼:</b>對調一個手下的攻擊力及生命值","Neutral",Battlecry,,True,"Tom Fleming","他說:你會<b>愛死</b>我的新菜式...特別是如果你對目前肢體的數量感到不滿意。",,,,
"Classic","白沫狂戰士",4,"Minion","EX1_604","Warrior",,"Rare",2,3,"每當一個手下受到傷害，獲得+1攻擊力","Neutral",,"",True,"Simon Bisley","他在當狂戰士之前原本是個會計師。",,,,
"Classic","白銀之手騎士",4,"Minion","CS2_151",,,"Common",4,5,"<b>戰吼:</b>召喚一個2/2的侍從","Alliance",Battlecry,,True,"Matt Starbuck","當騎士還不賴。當騎士的侍從就差很多了。",,,,
"Classic","盛怒的狼人",3,"Minion","EX1_412",,,"Common",3,3,"<b>狂怒:</b><b>風怒</b>及+1攻擊力","Neutral",Enrage,,True,"Alex Horley Orlandelli","如果他已經在盛怒中，等他被削弱就好了。",,,,
"Classic","盾牌猛擊",,"Spell","EX1_410","Warrior",,"Epic",,1,"對一個手下造成相當於你護甲值的傷害","Neutral",AffectedBySpellPower,,True,"Raymond Swanland","「哪一把武器比較好?是敵人會小心提防的利刃，還是會被他們輕忽的鈍器?」-戰士之道，第9章",,,,
"Classic","知識古樹",5,"Minion","NEW1_008","Druid",,"Epic",5,7,"<b>二選一:</b>抽2張牌，或恢復5點生命值",,,,True,"Patrik Hjelm","沒關係，去把你的名字刻在他身上。",,,,
"Classic","石毀車",4,"Minion","EX1_102",,,"Rare",1,3,"在你的回合開始時，對一個隨機敵人造成2點傷害","Neutral",,"",True,"Raymond Swanland","攻城戰對大家來說都不好玩。而且，效果還不怎麼樣，因為現在大家都有飛行坐騎了。",,"Mech",,
"Classic","破法者",3,"Minion","EX1_048",,,"Common",4,4,"<b>戰吼:</b><b>沉默</b>一個手下","Horde",Battlecry,,True,"Matt Cavotta","破法者能夠將施法者身上的附魔取下來。此過程無痛，可在門診時完成。",,,,
"Classic","碎顱",,"Spell","EX1_137","Rogue",,"Rare",,3,"對敵方英雄造成$2點傷害。<b>連擊:</b>下回合這張牌將返回你手上","Neutral",Combo,,True,"James Zhang","當其他的方法都不管用，巴一下頭就對了。",,,,
"Classic","磨利",,"Enchantment","CS2_146o",,,,,,"+1耐久度",,,,,,,,,,
"Classic","祈倫托之力",,"Enchantment","EX1_612o","Mage",,,,,"你的下一個秘密消耗(0)點",,OneTurnEffect,,,,,,,,
"Classic","祈倫托法師",3,"Minion","EX1_612","Mage",,"Rare",4,3,"<b>戰吼:</b>你本回合內使用的下一個<b>秘密</b>消耗為(0)點","Neutral",Battlecry,,True,"Popo Wei","祈倫托住在飄浮的城市達拉然裡。如何調製飄浮達拉然?兩球冰淇淋，一球達拉然。",,,,
"Classic","祈倫托的教誨",,"Enchantment","EX1_584e",,,,,,"<b>法術傷害+1</b>",,,,,,,,,,
"Classic","神恩術",,"Spell","EX1_349","Paladin",,"Rare",,3,"抽牌，直到你手牌的數量與對手相等","Neutral",,,True,"Lucas Graciano","這可不是普通的恩惠，而是神的恩惠，就像是幫人挪動沙發床一樣!",,,,
"Classic","神殿執行者",6,"Minion","EX1_623","Priest",,"Common",6,6,"<b>戰吼:</b>賦予一個友方手下+3生命值",,Battlecry,,True,"Daren Bader","他星期四晚上會在豬和哨聲旅店兼差當保鑣。",,,,
"Classic","神聖之火",,"Spell","EX1_624","Priest",,"Rare",,6,"造成$5點傷害。使你的英雄恢復#5點生命值",,,,True,"Miguel Coimbra","隨之而來的通常是神聖的黑煙!",,,,
"Classic","神聖憤怒",,"Spell","EX1_365","Paladin",,"Rare",,5,"抽一張牌，並造成等同於其法力消耗的傷害","Neutral",,,True,"Justin Sweet","拜託，讓我抽到熔火巨人!!",,,,
"Classic","視界術",,"Enchantment","CS2_053e","Shaman",,,,,"你的其中一張牌消耗減少(3)點",,,,,"Lars Grant-West",,,,,
"Classic","視界術",,"Spell","CS2_053","Shaman",,"Epic",,3,"抽一張牌。該卡片消耗減少(3)點","Neutral",,,True,"Lars Grant-West","德雷克塔爾看不到，但他「看」得到。懂我意思嗎?不懂也沒關係。",,,,
"Classic","秘法魔像",2,"Minion","EX1_089",,,"Rare",4,3,"<b>衝鋒</b>。<b>戰吼:</b>給你的對手一顆法力水晶","Neutral",Battlecry|Charge,,True,"Sedhayu Ardian","有秘法魔像讓整個地方看起來高檔多了，除此之外，他們還是非常棒的話題。",,,,
"Classic","穆克拉",5,"Minion","EX1_014",,,"Legendary",5,3,"<b>戰吼:</b>給你的對手2根香蕉",,Battlecry,,True,"Sunny Gho","穆克拉在哈圭羅島上遊盪，尋找他的真愛。",True,"Beast",,
"Classic","米歐浩斯·曼納斯頓",4,"Minion","NEW1_029",,,"Legendary",4,2,"<b>戰吼:</b>敵人下一個回合的法術消耗為(0)點",,Battlecry,,True,"Jim Nelson","「我要點燃你們那些紅潤的臉頰!」",True,,,
"Classic","精神振奮",,"Enchantment","CS2_188o",,,,,,"本回合這個手下擁有+2攻擊力",,OneTurnEffect,,,,,,,,
"Classic","精神控制技師",3,"Minion","EX1_085",,,"Rare",3,3,"<b>戰吼:</b>若你的對手有4個以上的手下，隨機控制其中一個","Alliance",Battlecry,,True,"Leo Che","精神控制的科技越來越發達，但這並沒有說明什麼。",,,,
"Classic","精靈龍",2,"Minion","NEW1_023",,,"Common",3,2,"無法被法術或英雄能力指定",,,,True,"Samwise","可愛。對魔法免疫。不會在地毯上小便。簡直是完美的寵物!",,"Dragon",,
"Classic","紅龍女王之火",,"Enchantment","EX1_561e",,,,,,"將生命值設為15點",,,,,,,,,,
"Classic","納特·帕格",4,"Minion","EX1_557",,,"Legendary",0,2,"在你的回合開始時，你有50%的機率多抽一張牌","Neutral",,"",True,"Steve Prescott","納特·帕格，艾澤拉斯的釣魚大師!他發明了自動竿3000、加長竿3000和誘餌竿2099(仍在測試中)。",True,,,
"Classic","純粹的能量!",,"Enchantment","EX1_274e","Mage",,,,,"屬性提高",,,,,,,,,,
"Classic","索爾瑪先知",3,"Minion","EX1_021",,,"Common",2,3,"<b>風怒</b>","Horde",Windfury,,True,"Efrem Palacios","他被派駐在地獄火半島，但是他很希望能轉調到靠近奧格瑪的地方，或者只要地上沒著火的地方就好。",,,,
"Classic","紫羅蘭學徒",1,"Minion","NEW1_026t",,,,1,0,,,,,,,,,,,
"Classic","紫羅蘭教師",5,"Minion","NEW1_026",,,"Rare",3,4,"每當你施放法術，召喚一個1/1紫羅蘭學徒",,,,True,"James Ryman","如果你不專心，你可能會被變成豬。然後名字會被記在黑板上。",,,,
"Classic","綁匪",3,"Minion","NEW1_005","Rogue",,"Epic",5,6,"<b>連擊:</b>將一個手下返回擁有者手上",,Combo,,True,"Dave Allsop","他只是想要大家看看他度假時拍的照片。",,,,
"Classic","綠皮的指揮",,"Enchantment","NEW1_024o",,,,,,"+1/+1",,,,,,,,,,
"Classic","綠皮船長",4,"Minion","NEW1_024",,,"Legendary",5,5,"<b>戰吼:</b>賦予你的武器+1/+1",,Battlecry,,True,"Dan Scott","要不是那些圍觀的臭小孩，他<b>差點</b>就成功把一艘部落大戰艦開進暴風港!",True,"Pirate",,
"Classic","群體驅魔",,"Spell","EX1_626","Priest",,"Rare",,4,"<b>沉默</b>敵方全部手下。抽一張牌",,Silence,,True,"Sean O'Daniels","它會驅散增益效果、能力、希望和夢想。",,,,
"Classic","翡翠龍",6,"Minion","DREAM_03","Dream",,,7,4,,,,,,,,,"Dragon",,
"Classic","老邁的法師",5,"Minion","EX1_584",,,"Rare",2,4,"<b>戰吼:</b>賦予兩側的手下<b>法術傷害+1</b>","Neutral",Battlecry,,True,"Howard Lyon","有時候他會忘記自己在幹嘛，然後闖進別人的戰鬥中。",,,,
"Classic","老邁的釀酒大師",4,"Minion","EX1_057",,,"Common",5,4,"<b>戰吼:</b>把一個友方手下從戰場返回你的手上","Alliance",Battlecry,,True,"Bernie Kang","大部分的熊貓人會說他釀的酒嘗起來像犛牛。不過這顯然是種讚美。",,,,
"Classic","聖光之子",5,"Minion","EX1_335","Priest",,"Common",0,4,"此手下的攻擊力總是會相當於其生命值","Neutral",,,True,"Daarken","聖光之子?還是聖光的棋子?",,,,
"Classic","聖療術",,"Spell","EX1_354","Paladin",,"Epic",,8,"恢復#8點生命值。抽3張牌","Neutral",,,True,"Raymond Swanland","聖騎士都覺得這個法術緊急時很好用。其他人都覺得這個法術很該死。",,,,
"Classic","背叛",,"Spell","EX1_126","Rogue",,"Common",,2,"強迫一個敵方手下對兩側的手下造成等同其攻擊力的傷害","Neutral",,,True,"Lucas Graciano","每個人都有一個價碼。以地精來說，他們可以被動物布娃娃跟些許的巧克力收買。",,,,
"Classic","自然之力",,"Spell","EX1_571","Druid",,"Epic",,6,"召喚三個有<b>衝鋒</b>，並在回合結束即死亡的2/2樹人","Neutral",,,True,"Trevor Jacobs","「我想先在那些樹下打個盹。等等...啊啊啊啊!!!」-不幸的地精布林克非茲",,,,
"Classic","自然化",,"Spell","EX1_161","Druid",,"Common",,1,"摧毀一個手下。你的對手抽2張牌","Neutral",,,True,"Leo Che","又幹掉一個。",,,,
"Classic","自然印記",,"Enchantment","EX1_155ae","Druid",,,,,"這個手下擁有+4攻擊力",,,,,,,,,,
"Classic","自然印記",,"Enchantment","EX1_155be","Druid",,,,,"這個手下擁有+4生命值及<b>嘲諷</b>",,,,,,,,,,
"Classic","自然印記",,"Spell","EX1_155a","Druid",,,,,"+4攻擊力","Neutral",,,,,,,,,
"Classic","自然印記",,"Spell","EX1_155b","Druid",,,,,"+4生命值及<b>嘲諷</b>","Neutral",,,,,,,,,
"Classic","自然印記",,"Spell","EX1_155","Druid",,"Common",,3,"<b>二選一:</b>給一個手下+4攻擊力，或+4生命值及<b>嘲諷</b>","Neutral",,,True,"Clint Langley","德魯伊們說這叫「自然印記」。其他人則說他們「該洗澡了」。",,,,
"Classic","致命射擊",,"Spell","EX1_617","Hunter",,"Common",,3,"摧毀一個隨機敵方手下","Neutral",,,True,"Steve Prescott","精準度在摩克納薩爾族當中並非受到極大青睞的優點。不過致命度還排在挺前面的。",,,,
"Classic","致死打擊",,"Spell","EX1_408","Warrior",,"Rare",,4,"造成$4點傷害。若你生命值在12點以下則造成$6點傷害","Neutral",,,True,"Zoltan & Gabor","「如果你只能選一個技能，使用致死打擊。」-戰士守則，第6條",,,,
"Classic","艾德溫·范克里夫",2,"Minion","EX1_613","Rogue",,"Legendary",2,3,"<b>連擊:</b>在本回合中，之前所打出的每一張牌，都使其獲得+2/+2","Neutral",Combo,,True,"Efrem Palacios","他帶領石匠公會重建暴風城。當貴族們拒絕付賬後，他成立了迪菲亞兄弟會來，嗯，<b>拆除</b>暴風城。",True,,,
"Classic","芬克·恩霍爾",3,"Minion","EX1_finkle",,,"Legendary",3,2,,"Neutral",,,,,,True,,,
"Classic","苦痛侍僧",3,"Minion","EX1_007",,,"Common",1,3,"每當此手下受到傷害，抽一張牌",,,,True,"Dave Kendall","他年輕時本來是想要受訓成為快樂侍僧，但是後來的發展並不如他原本的預期。",,,,
"Classic","范克里夫的復仇",,"Enchantment","EX1_613e","Rogue",,,,,"這個手下的攻擊力及生命值提高",,,,,,,,,,
"Classic","荊棘谷猛虎",5,"Minion","EX1_028",,,"Common",5,5,"<b>潛行</b>","Alliance",Stealth,,True,"Alex Horley Orlandelli","老虎最棒的地方就是牠們棒透了!",,"Beast",,
"Classic","莫魯之影",,"Enchantment","EX1_590e",,,"Common",,,"這個手下吞噬了聖盾術，攻擊力及生命值提高",,,,,,,,,,
"Classic","著裝",,"Enchantment","NEW1_037e",,,,,,"攻擊力提高",,,,False,,,,,,
"Classic","葛羅瑪許·地獄吼",9,"Minion","EX1_414","Warrior",,"Legendary",4,8,"<b>衝鋒</b>。
<b>狂怒:</b>+6攻擊力","Neutral",Charge|Enrage,,True,"Glenn Rane","葛羅瑪許帶頭喝了瑪諾洛斯的腐化之血，害獸人皮膚變綠，眼睛變紅!顯然不是個明智的決定。",True,,,
"Classic","蒼藍龍",4,"Minion","EX1_284",,,"Rare",4,5,"<b>法術傷害+1</b>。<b>戰吼:</b>抽一張牌","Neutral",Battlecry|Spellpower,,True,"Ben Zhang","牠們本來是想要叫碧晶龍或天藍龍，後來覺得那樣聽起來不夠神秘。蒼藍好像也沒好多少就是了。",,"Dragon",,
"Classic","虛無之影",1,"Minion","EX1_345t","Priest",,"Epic",0,0,"心理遊戲失效!你的對手沒有手下!",,,,,,,,,,
"Classic","虛無恐獸",3,"Minion","EX1_304","Warlock",,"Rare",3,3,"<b>戰吼:</b>摧毀其兩側的手下，獲得其攻擊力及生命值",,Battlecry,,True,"Alexander Alexandrov","如果你把這張放進套牌裡，你絕對會失去其他手下的信任。",,"Demon",,
"Classic","蛇",1,"Minion","EX1_554t","Hunter",,"Common",1,0,,"Neutral",,,,,,,"Beast",,
"Classic","血之契印",,"Enchantment","CS2_059o","Warlock",,,,,"生命值提高",,,,,,,,,,
"Classic","血之小鬼",1,"Minion","CS2_059","Warlock",,"Common",0,1,"<b>潛行</b>。你的回合結束時，賦予另一個隨機友方手下+1生命值","Neutral",Stealth,"",True,"Bernie Kang","小鬼對於能躲起來並滿懷惡意地嘲諷附近的所有人感到很滿意。",,"Demon",,
"Classic","血之烈怒",,"Weapon","EX1_323w","Warlock",8,,3,3,,,,,,,,,,,
"Classic","血吼之斧",,"Weapon","EX1_411","Warrior",1,"Epic",7,7,"攻擊手下會降低1點攻擊力，而非1點耐久度","Neutral",,,True,"Zoltan & Gabor","葛羅瑪許·地獄吼知名的斧頭。不知道為什麼，最後是到了莫克札王子的手上。真是詭異!",,,,
"Classic","血帆劫掠者",3,"Minion","NEW1_018",,,"Common",2,2,"<b>戰吼:</b>獲得與你武器相當的攻擊力",,Battlecry,,True,"Jim Nelson","我只在以「星期」為開頭的日子搶劫。",,"Pirate",,
"Classic","血帆海寇",2,"Minion","NEW1_025",,,"Rare",1,1,"<b>戰吼:</b>使你對手的武器耐久度降低1點",,Battlecry,,True,"Randy Gallegos","每個海盜都必須用同一組四位數密碼來設定保險箱。如此一來，以後找到其他海盜的寶藏才不用猜密碼。-海盜法典",,"Pirate",,
"Classic","血性狂暴",,"Enchantment","EX1_411e","Warrior",,,,,"不損失耐久度",,,,,,,,,,
"Classic","血法師薩爾諾斯",1,"Minion","EX1_012",,,"Legendary",1,2,"<b>法術傷害+1</b>。<b>死亡之聲:</b>抽一張牌","Neutral",Deathrattle|Spellpower,,True,"Alex Horley Orlandelli","他負責血色修道院的每年度的捐血活動。",True,,,
"Classic","血色十字軍",1,"Minion","EX1_020",,,"Common",3,3,"<b>聖盾術</b>","Alliance",Divine Shield,,True,"Gonzalo Ordonez","洗白衣服的時候，千萬不要跟血色十字軍的人一起洗。",,,,
"Classic","血騎士",3,"Minion","EX1_590",,,"Epic",3,3,"<b>戰吼:</b>全部手下失去<b>聖盾術</b>。每個聖盾術將使其獲得+3/+3","Neutral",Battlecry,,True,"Trent Kaniuga","血騎士從太陽之井獲得他們的神聖力量。話說，你最好別想去那裡泡溫泉。",,,,
"Classic","被困住",,"Enchantment","EX1_611e","Hunter",,,,,"在下一個回合開始時，將會再被<b>凍結</b>",,,,,,,,,,
"Classic","解任務的冒險者",2,"Minion","EX1_044",,,"Rare",2,3,"每當你出牌，獲得+1/+1","Alliance",,"",True,"Attila Adorjany","「有人有多的野豬皮嗎?」",,,,
"Classic","誤導",,"Spell","EX1_533","Hunter",,"Rare",,2,"<b>秘密:</b>攻擊你英雄的角色，會改為攻擊另一個隨機角色","Neutral",Secret,,True,"Daren Bader","有時候簡單到只要戴上假鬍子然後指著另一個人就行了。",,,,
"Classic","調教一番",,"Enchantment","EX1_603e","Warrior",,,,,"+2攻擊力",,,,,,,,,,
"Classic","諾茲多姆",8,"Minion","EX1_560",,,"Legendary",8,9,"雙方玩家每回合只剩15秒思考時間","Neutral",,"",True,"James Ryman","寫說明文字的時間到了。",True,"Dragon",,
"Classic","警報機器人",3,"Minion","EX1_006",,,"Rare",0,3,"在你的回合開始時，與你手牌中的隨機一個手下交換",,,,True,"Sean O’Daniels","警告。警告。警告。",,"Mech",,
"Classic","護光者",2,"Minion","EX1_001",,,"Rare",1,1,"每當一個角色受到治療，獲得+2攻擊力",,,,True,"Erik Ko","她還有兩個姊妹：護膚者和護髮者。",,,,
"Classic","護甲鍛造師",4,"Minion","EX1_402","Warrior",,"Rare",1,2,"每當一個友方手下受到傷害，獲得1點護甲值","Neutral",,"",True,"Greg Hildebrandt","她接受用公會資金進行修理!",,,,
"Classic","豺狼人",2,"Minion","NEW1_040t",,,,2,2,"<b>嘲諷</b>",,Taunt,,,,,,,,
"Classic","貝恩·血蹄",5,"Minion","EX1_110t",,,"Legendary",4,4,,,,,,,,True,,,
"Classic","負盾兵",4,"Minion","EX1_405",,,"Common",0,1,"<b>嘲諷</b>","Neutral",Taunt,,True,"Carl Critchlow","你知道這個遊戲裡面的盾牌有多大嗎?別以為這份工作很輕鬆。",,,,
"Classic","賈拉克瑟斯領主",15,"Minion","EX1_323","Warlock",,"Legendary",3,9,"<b>戰吼:</b>摧毀你的英雄並以賈拉克瑟斯領主取代之",,Battlecry,,True,"Alex Horley Orlandelli","「卑微的地精!你的傲慢將使你喪命!」",True,"Demon",,
"Classic","賈拉克瑟斯領主",15,"Hero","EX1_323h","Warlock",,"Legendary",0,0,,"Neutral",,,,,,,"Demon",,
"Classic","超載",,"Enchantment","EX1_258e","Shaman",,,,,"屬性提高",,,,,,,,,,
"Classic","軍情七處密探",3,"Minion","EX1_134","Rogue",,"Rare",3,3,"<b>連擊:</b>造成2點傷害","Neutral",Combo,,True,"Chris Moeller","軍情七處的密探負責暴風城的秘密行動，包括諜報、刺殺，還有替王室成員準備驚喜的生日派對。",,,,
"Classic","迦頓男爵",5,"Minion","EX1_249",,,"Legendary",7,7,"在你的回合結束時，對全部其他角色造成2點傷害","Neutral",,,True,"Ian Ameling","迦頓男爵曾是拉格納羅斯手下的首席軍官，直到他惹火了救火的人。",True,,,
"Classic","迪菲亞強盜",1,"Minion","EX1_131t","Rogue",,,2,1,,"Neutral",,,,,,,,,
"Classic","迪菲亞頭目",2,"Minion","EX1_131","Rogue",,"Common",2,2,"<b>連擊:</b>召喚一個2/1的迪菲亞強盜","Neutral",Combo,,True,"Dany Orizio","他很多年前就偷走了小鎮的地契。所以按理來說，小鎮的確<b>是</b>屬於他。他看到每個人都叫對方「少年」，雖然他自己也沒多老。",,,,
"Classic","迷你召喚師",2,"Minion","EX1_076",,,"Rare",2,2,"你每回合打出的第一個手下消耗減少(1)點","Alliance",Aura,"",True,"Ron Spears","她一直想要擺脫「迷你」這個字眼。",,,,
"Classic","退下!",,"Enchantment","EX1_382e","Paladin",,,,,"攻擊力改為1點",,,,,,,,,,
"Classic","遠古看守者",5,"Minion","EX1_045",,,"Rare",4,2,"無法攻擊","Alliance",,,True,"Richard Wright","為什麼在你經過的時候，它的視線好像在跟著你?",,,,
"Classic","酒足飯飽",,"Enchantment","NEW1_017e",,,,,,"+2/+2。肚子裡裝著魚人",,,,,,,,,,
"Classic","重斧",,"Weapon","EX1_409t","Warrior",3,,1,1,,,,,,,,,,,
"Classic","野性之力",,"Spell","EX1_160","Druid",,"Common",,2,"<b>二選一:</b>使你的全部手下+1/+1，或召喚一隻3/2獵豹","Neutral",,,True,"Steve Tappin","永遠別跟獵豹對視。還是「要與獵豹正面對視」?反正是這兩種的其中一種就對了。",,,,
"Classic","野性之魂",,"Spell","EX1_248","Shaman",,"Rare",,3,"召喚兩隻2/3並有<b>嘲諷</b>的幽靈狼。<b>超載:</b>(2)","Neutral",,,True,"Clint Langley","幽靈狼跟其他的狼差不多，只是更毛茸茸一點。",,,,
"Classic","銀月看守者",3,"Minion","EX1_023",,,"Common",3,4,"<b>聖盾術</b>","Horde",Divine Shield,,True,"Phroilan Gardner","他們第一次嘗試在銀月城抵抗天譴軍團的結果實在不怎麼理想...",,,,
"Classic","銀白侍從",1,"Minion","EX1_008",,,"Common",1,1,"<b>聖盾術</b>","Alliance",Divine Shield,,True,"Zoltan & Gabor","「我在此宣誓將信仰聖光，驅散世界上的黑暗力量，並只食用捲餅。」-銀色黎明誓語",,,,
"Classic","銀白指揮官",2,"Minion","EX1_067",,,"Rare",4,6,"<b>衝鋒</b>，<b>聖盾術</b>","Neutral",Charge|Divine Shield,,True,"James Ryman","銀色黎明對於天譴軍團的動向十分關切，對在咖啡廳插隊的人也非常關切。",,,,
"Classic","銀色黎明保衛者",2,"Minion","EX1_362","Paladin",,"Common",2,2,"<b>戰吼:</b>賦予一個友方手下<b>聖盾術</b>","Neutral",Battlecry,,True,"Doug Alexander","「我沒說你可以躲開火球。我說的是，有這個盾，你根本不需要躲。」",,,,
"Classic","鏡像體",,"Spell","EX1_294","Mage",,"Common",,3,"<b>秘密:</b>當你的對手打出手下時，召喚一個它的複製品","Neutral",Secret,,True,"Raven Mimura","「你先上。」-『巨獸』庫洛許戈爾對寵物野豬如此說。",,,,
"Classic","鐵喙貓頭鷹",1,"Minion","CS2_203",,,"Common",2,2,"<b>戰吼:</b><b>沉默</b>一個手下","Horde",Battlecry,,True,"Trevor Jacobs","牠們拍翅的聲音十分安靜，但是牠們的尖叫聲...反正跟安靜完全相反就對了。",,"Beast",,
"Classic","長鬃草原獅",5,"Minion","EX1_534","Hunter",,"Rare",6,6,"<b>死亡之聲:</b>召喚兩隻2/2土狼",,Deathrattle,"",True,"Milivoj Ceran","在恐怖的叢林中，獅子也會被土狼群慢慢吞食。",,"Beast",,
"Classic","閃電箭",,"Spell","EX1_238","Shaman",,"Common",,1,"造成$3點傷害。<b>超載:</b>(1)","Neutral",,,True,"Daarken","閃電箭!閃電箭!閃電箭!",,,,
"Classic","閃電風暴",,"Spell","EX1_259","Shaman",,"Rare",,3,"對全部敵方手下造成$2點到$3點傷害。<b>超載:</b>(2)","Neutral",,,True,"Christopher Moeller","撐傘恐怕只會更糟。",,,,
"Classic","防衛者",1,"Minion","EX1_130a","Paladin",,"Common",2,1,,"Neutral",,,,,,,,,
"Classic","阿古斯之手",,"Enchantment","EX1_093e",,,,,,"+1/+1及<b>嘲諷</b>",,,,,,,,,,
"Classic","阿古斯防衛者",3,"Minion","EX1_093",,,"Rare",2,4,"<b>戰吼:</b>賦予兩側的手下+1/+1及<b>嘲諷</b>","Alliance",Battlecry,,True,"Alex Horley Orlandelli","你可能會覺得阿古斯並不需要這麼多的保護。其實它需要。",,,,
"Classic","阿拉希武器鍛造師",3,"Minion","EX1_398","Warrior",,"Common",3,4,"<b>戰吼:</b>裝備一把2/2的武器","Neutral",Battlecry,,True,"Samwise","拳套類武器打對折，限時限量!",,,,
"Classic","阿曼尼狂戰士",3,"Minion","EX1_393",,,"Common",2,2,"<b>狂怒:</b>+3攻擊力","Neutral",Enrage,,True,"Chippy","如果阿曼尼狂戰士問「你在看我嗎?」正確的回答是「沒啊，老兄。」",,,,
"Classic","陶土議會先知",3,"Minion","CS2_117",,,"Common",3,3,"<b>戰吼:</b>恢復3點生命值",,Battlecry,,True,"Alex Horley Orlandelli","忙著看未來的發展，導致他一直沒注意到現在發生的事。嗯...是什麼燒起來了?",,,,
"Classic","隱蔽",,"Enchantment","EX1_128e","Rogue",,,,,"潛行，直到你的下一回合為止",,,,,,,,,,
"Classic","隱蔽",,"Spell","EX1_128","Rogue",,"Common",,1,"賦予全部友方手下<b>潛行</b>直到你的下一個回合","Neutral",,,True,"Steve Hui","盜賊除了情緒之外，其他的東西都藏得很好。你沒辦法讓盜賊閉嘴不談他們內心的感受。",,,,
"Classic","雅立史卓莎",8,"Minion","EX1_561",,,"Legendary",8,9,"<b>戰吼:</b>把一個英雄剩餘的生命值設為15點","Neutral",Battlecry,,True,"Raymond Swanland","『生命守縛者』雅立史卓莎替所有人帶來生命與希望。除了死亡之翼。還有瑪里苟斯。還有耐克魯斯。",True,"Dragon",,
"Classic","需要磨利",,"Enchantment","EX1_411e2","Warrior",,,,,"攻擊力降低",,,,,,,,,,
