COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,TYPE,ID,PLAYERCLASS,HEALTH,ELITE,ATTACK,RACE,MECHANICS,DURABILITY,FACTION
,Blackrock Mountain,跃下坐骑,,<b>英雄技能</b>召唤盖斯。获得另一个英雄技能。,,4,,,,Hero Power,BRMA09_5,,,,,,,,
,Blackrock Mountain,达基萨斯将军,,,,,,,,Hero,BRMA08_1H,,50,,,,,,
,Blackrock Mountain,达基萨斯将军,,,,,,,,Hero,BRMA08_1,,50,,,,,,
,Blackrock Mountain,达基萨斯的命令,,消灭一个随从。获得10点护甲值。,,1,,,,Spell,BRMA08_3,,,,,,,,
,Blackrock Mountain,迦顿男爵,,,,,,,,Hero,BRMA05_1,,30,,,,,,
,Blackrock Mountain,迦顿男爵,,,,,,,,Hero,BRMA05_1H,,50,,,,,,
,Blackrock Mountain,酒吧醉汉,,<b>嘲讽</b>,,1,,,,Minion,BRMA01_4t,,1,,1,,Taunt,,
,Blackrock Mountain,释放畸变怪！,,召唤3个畸变怪。,,2,,,,Spell,BRMA15_3,,,,,,,,
,Blackrock Mountain,雏龙,,,,1,,,,Minion,BRM_004t,,1,,1,,,,
,Blackrock Mountain,雏龙,,,,1,,,,Minion,BRMA09_2Ht,,2,,2,Dragon,,,
,Blackrock Mountain,雏龙,,,,1,,,,Minion,BRMA09_2t,,1,,1,Dragon,,,
,Blackrock Mountain,雏龙孵化,,<b>英雄技能</b>使所有腐化的蛋获得+1生命值，并召唤一个腐化的蛋。,,1,,,,Hero Power,BRMA10_3,,,,,,,,
True,Blackrock Mountain,雷德·黑手,Alex Horley,<b>战吼：</b>如果你的手牌中有龙牌，则消灭一个<b>传说</b>随从。,Legendary,7,在击败黑石塔的所有首领后能够制作。,雷德坚持认为自己才是部落真正的领袖。于是他登陆某百科网站，修改了“部落酋长”词条，加入了他自己的照片。,在击败黑石塔的所有首领后解锁。,Minion,BRM_029,,4,True,8,,Battlecry,,
,Blackrock Mountain,雷德·黑手,,,,,,,,Hero,BRMA09_1,,30,,,,,,
,Blackrock Mountain,雷德·黑手,,,,,,,,Hero,BRMA09_1H,,30,,,,,,
,Blackrock Mountain,音波吐息,,+3攻击力。,,,,,,Enchantment,BRMA16_3e,,,,,,,,
,Blackrock Mountain,音波吐息,,对一个随从造成$3点伤害。使你的武器获得+3攻击力。,,4,,,,Spell,BRMA16_3,,,,,,,,
True,Blackrock Mountain,饥饿的巨龙,John Polidora,<b>战吼：</b>为你的对手随机召唤一个法力值消耗为（1）点的随从。,Common,4,在击败黑翼之巢的克洛玛古斯后能够制作。,它其实不太愿意吃1点法力值召唤出来的随从，那些肉都不够它塞牙缝的。,在击败黑翼之巢的克洛玛古斯后解锁。,Minion,BRM_026,,6,,5,Dragon,Battlecry,,
,Blackrock Mountain,马洛拉克,,,,,,,,Hero,BRMA15_1H,,30,,,,,,
,Blackrock Mountain,马洛拉克,,,,,,,,Hero,BRMA15_1,,30,,,,,,
,Blackrock Mountain,黑翼,,<b>英雄技能</b>召唤一个3/1的龙人。获得另一个英雄技能。,,1,,,,Hero Power,BRMA09_4,,,,,,,,
,Blackrock Mountain,黑翼,,<b>英雄技能</b>召唤一个5/4的龙人。获得另一个英雄技能。,,1,,,,Hero Power,BRMA09_4H,,,,,,,,
True,Blackrock Mountain,黑翼技师,Matt Dixon,<b>战吼：</b>如果你的手牌中有龙牌，便获得+1/+1。,Common,3,在击败熔火之心的迦顿男爵后能够制作。,黑翼技师不仅承担所有黑翼之巢的机械维护工作，还会为成为会员的龙进行推拿和按摩。,在击败熔火之心的迦顿男爵后解锁。,Minion,BRM_033,,4,,2,,Battlecry,,Neutral
True,Blackrock Mountain,黑翼腐蚀者,Greg Staples,<b>战吼：</b>如果你的手牌中有龙牌，则造成3点伤害。,Common,5,在击败秘密实验室的马洛拉克后能够制作。,当他把几本漫画书和几张摇滚碟片带回黑石山的时候，他就获得了“腐蚀者”的称号。,在击败秘密实验室的马洛拉克后解锁。,Minion,BRM_034,,4,,5,,Battlecry,,Neutral
,Blackrock Mountain,黑色雏龙,Jaemin Kim,,Common,1,,,,Minion,BRM_022t,,1,,2,Dragon,,,
,Blackrock Mountain,黑铁保镖,,黑铁保镖总是会赢得绝命乱斗的胜利。,,6,,,,Minion,BRMA01_3,,8,,4,,,,
True,Blackrock Mountain,黑铁潜藏者,Eric Braddock,<b>战吼：</b>对所有未受伤的敌方随从造成2点伤害。,Rare,5,在完成黑石山的潜行者职业挑战后能够制作。,他最喜欢在不为人知的地方躲起来。所以他的朋友们经常会很担心，害怕他一不小心掉进岩浆里了。,在完成黑石山的潜行者职业挑战后解锁。,Minion,BRM_008,Rogue,3,,4,,Battlecry,,
,Blackrock Mountain,黑铁观众,,<b>嘲讽</b>,,1,,,,Minion,BRMA02_2t,,1,,1,,Taunt,,
,Blackrock Mountain,黑龙吐息,,<b>英雄技能</b>奈法利安从空中喷吐火焰！,,0,,,,Hero Power,BRMA17_8,,,,,,,,
,Blackrock Mountain,黑龙吐息,,<b>英雄技能</b>奈法利安从空中喷吐火焰！,,0,,,,Hero Power,BRMA17_8H,,,,,,,,
,Blackrock Mountain,龙人,,,,1,,,,Minion,BRMA09_4t,,1,,3,Dragon,,,
,Blackrock Mountain,龙人,,,,1,,,,Minion,BRMA09_4Ht,,4,,5,Dragon,,,
,Blackrock Mountain,龙人之力,,属性值提高。,,,,,,Enchantment,BRM_020e,,,,,,,,
True,Blackrock Mountain,龙人巫师,Edouard Guiton & Stuido HIVE,每当你以该随从为目标使用一个法术时，便获得+1/+1。,Common,4,在击败秘密实验室的奈法利安后能够制作。,当龙人巫师向大家说道：“我来给大家变个戏法”的时候，大家都走开了，因为没人要看他从龙变成人的把戏。,在击败秘密实验室的奈法利安后解锁。,Minion,BRM_020,,5,,3,Dragon,,,
True,Blackrock Mountain,龙人打击者,Slawomir Maniak,<b>战吼：</b>如果你的对手的生命值小于或等于15点，便获得+3/+3。,Common,6,在击败秘密实验室的艾卓曼德斯后能够制作。,不要问龙人任何问题。因为他们的答案肯定是：“就不告诉你，就不告诉你……”,在击败秘密实验室的艾卓曼德斯后解锁。,Minion,BRM_024,,6,,6,Dragon,Battlecry,,
True,Blackrock Mountain,龙卵,Jaemin Kim,每当该随从受到伤害时，便召唤一只2/1的雏龙。,Rare,1,在击败黑石塔的雷德·黑手后能够制作。,究竟是先有龙，还是先有龙卵？,在击败黑石塔的雷德·黑手后解锁。,Minion,BRM_022,,2,,0,,,,
,Blackrock Mountain,龙息之力,,在本回合中，法力值消耗减少（3）点。,,,,,,Enchantment,BRM_003e,Mage,,,,,OneTurnEffect,,
True,Blackrock Mountain,龙息术,Mauricio Herrera,造成$4点伤害。在本回合中每有一个随从死亡，该牌的法力值消耗就减少（1）点。,Common,5,在完成黑石山的法师职业挑战后能够制作。,大家都知道龙能够喷吐火焰，但你知道其实它们也能喷吐棉花糖吗？只是通常来说，它们缺少一个喷吐棉花糖的理由而已。,在完成黑石山的法师职业挑战后解锁。,Spell,BRM_003,Mage,,,,,,,
,Blackrock Mountain,龙牙,,每当你的对手使用一张牌时，便获得+1攻击力。,,1,,,,Weapon,BRMA16_5,,,,0,,,6,
True,Blackrock Mountain,龙王配偶,Raymond Swanland,<b>战吼：</b>你的下一张龙牌的法力值消耗减少（2）点。,Rare,5,在击败黑石塔的达基萨斯将军后能够制作。,我们所有生物都需要生命中的另一半。即便是巨大的、浑身长满鳞片的、狂野而致命的龙，也是如此。,在击败黑石塔的达基萨斯将军后解锁。,Minion,BRM_018,Paladin,5,,5,Dragon,Battlecry,,
,Blackrock Mountain,龙血,,+1/+1,,,,,,Enchantment,BRM_033e,,,,,,,,
,Blackrock Mountain,龙血之痛,,<b>英雄技能</b>在你的回合结束时，将一张龙血之痛牌加入你的对手的手牌。,,0,,,,Hero Power,BRMA12_2,,,,,,,,
,Blackrock Mountain,龙血之痛,,<b>英雄技能</b>在你的回合结束时，将一张龙血之痛牌加入你的对手的手牌。,,0,,,,Hero Power,BRMA12_2H,,,,,,,,
,Blackrock Mountain,龙血之痛：红,,如果这张牌在你的手牌中，在你的回合开始时，你的英雄受到3点伤害。,,3,,,,Spell,BRMA12_3H,,,,,,ImmuneToSpellpower,,
,Blackrock Mountain,龙血之痛：红,,如果这张牌在你的手牌中，在你的回合开始时，你的英雄受到1点伤害。,,1,,,,Spell,BRMA12_3,,,,,,ImmuneToSpellpower,,
,Blackrock Mountain,龙血之痛：绿,,如果这张牌在你的手牌中，在你的回合开始时，敌方英雄恢复6点生命值。,,3,,,,Spell,BRMA12_4H,,,,,,,,
,Blackrock Mountain,龙血之痛：绿,,如果这张牌在你的手牌中，在你的回合开始时，敌方英雄恢复2点生命值。,,1,,,,Spell,BRMA12_4,,,,,,,,
,Blackrock Mountain,龙血之痛：蓝,,如果这张牌在你的手牌中，克鲁玛古斯的法术的法力值消耗就减少（1）点。,,1,,,,Spell,BRMA12_5,,,,,,,,
,Blackrock Mountain,龙血之痛：蓝,,如果这张牌在你的手牌中，克鲁玛古斯的法术的法力值消耗就减少（3）点。,,3,,,,Spell,BRMA12_5H,,,,,,,,
,Blackrock Mountain,龙血之痛：青铜,,如果这张牌在你的手牌中，克鲁玛古斯的随从的法力值消耗就减少（1）点。,,1,,,,Spell,BRMA12_7,,,,,,,,
,Blackrock Mountain,龙血之痛：青铜,,如果这张牌在你的手牌中，克鲁玛古斯的随从的法力值消耗就减少（3）点。,,3,,,,Spell,BRMA12_7H,,,,,,,,
,Blackrock Mountain,龙血之痛：黑,,如果这张牌在你的手牌中，每当克洛玛古斯抽牌时，复制该牌，并将其置入克洛玛古斯手中。,,1,,,,Spell,BRMA12_6,,,,,,,,
,Blackrock Mountain,龙血之痛：黑,,如果这张牌在你的手牌中，每当克洛玛古斯抽牌时，复制该牌，并将其置入克洛玛古斯手中。,,3,,,,Spell,BRMA12_6H,,,,,,,,
