SET,NAME,TEXT,COST,TYPE,ID,PLAYERCLASS,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,RACE,DURABILITY,FACTION
Blackrock Mountain,La vieja Horda,<b>Poder de héroe</b>Invoca a dos orcos 1/1 con <b>Provocar</b>. Obtiene un nuevo poder de héroe.,2,Hero Power,BRMA09_3,,,,,,,,,,,,,,
Blackrock Mountain,La vieja Horda,<b>Poder de héroe</b>Invoca a dos orcos 2/2 con <b>Provocar</b>. Obtiene un nuevo poder de héroe.,2,Hero Power,BRMA09_3H,,,,,,,,,,,,,,
Blackrock Mountain,Lanzador de hachas,Cada vez que este esbirro recibe daño inflige 2 p. de daño al héroe enemigo.,4,Minion,BRM_016,Warrior,,2,5,True,Efrem Palacios,Common,Se puede crear tras completar el desafío de clase del guerrero en la Montaña Roca Negra.,Desde que empezó como &bdquo;lanzador de palos&bdquo; se ha esforzado mucho por alcanzar su sueño: convertirse en &bdquo;lanzador de tauren&bdquo;.,Se desbloquea al completar el desafío de clase del guerrero en la Montaña Roca Negra.,,,,
Blackrock Mountain,Lava viviente,<b>Provocar</b>,0,Minion,BRMA13_6,,Taunt,6,6,,,,,,,,,,
Blackrock Mountain,Lord Victor Nefarius,,,Hero,BRMA13_1,,,,30,,,,,,,,,,
Blackrock Mountain,Lord Victor Nefarius,,,Hero,BRMA13_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Maderero volcánico,<b>Provocar</b>Cuesta (1) cristal menos por cada esbirro que haya muerto este turno.,9,Minion,BRM_009,Druid,Taunt,7,8,True,Trent Kaniuga,Rare,Se puede crear tras completar el desafío de clase del druida en la Montaña Roca Negra.,¿A quién se le ocurrió la brillante idea de mezclar volcán y madera?,Se desbloquea al completar el desafío de clase del druida en la Montaña Roca Negra.,,,,
Blackrock Mountain,Magia salvaje,<b>Poder de héroe</b>Coloca un hechizo aleatorio de la clase de tu oponente en tu mano.,1,Hero Power,BRMA13_4H,,,,,,,,,,,,,,
Blackrock Mountain,Magia salvaje,<b>Poder de héroe</b>Coloca un hechizo aleatorio de la clase de tu oponente en tu mano.,1,Hero Power,BRMA13_4,,,,,,,,,,,,,,
Blackrock Mountain,Magmatron,Cada vez que un jugador juega una carta Magmatron le inflige 2 p. de daño.,5,Minion,BRMA14_9,,Aura,7,7,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Magmatron,Cada vez que un jugador juega una carta Magmatron le inflige 2 p. de daño.,5,Minion,BRMA14_9H,,,8,8,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Maloriak,,,Hero,BRMA15_1,,,,30,,,,,,,,,,
Blackrock Mountain,Maloriak,,,Hero,BRMA15_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Mayordomo Executus,,,Hero,BRMA06_1,,,,30,,,,,,,,,,
Blackrock Mountain,Mayordomo Executus,,,Hero,BRMA06_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Mayordomo Executus,<b>Último aliento:</b> Reemplaza a tu héroe con Ragnaros Señor del Fuego.,9,Minion,BRM_027,,Deathrattle,9,7,True,Alex Horley Orlandelli,Legendary,Se puede crear tras completar el Núcleo de Magma.,Un día le preparó el té a Ragnaros y este respondió: &bdquo;¡¿QUÉ SIGNIFICA ESTA INFUSIÓN?!&bdquo;.,Se desbloquea al completar el Núcleo de Magma.,True,,,
Blackrock Mountain,Mirada intensa,<b>Poder de héroe pasivo</b>Todas las cartas cuestan (1) cristal. Los jugadores tienen un máximo de 1 cristal de maná.,,Hero Power,BRMA08_2,,,,,,,,,,,,,,
Blackrock Mountain,Mirada intensa,<b>Poder de héroe pasivo</b>Todas las cartas cuestan (1) cristal. Tienes un máximo de 2 cristales de maná y tu oponente 1.,,Hero Power,BRMA08_2H,,,,,,,,,,,,,,
Blackrock Mountain,Moira Barbabronce,No se puede usar el poder de héroe de Thaurissan.Nunca ataca a esbirros a menos que tengan <b>Provocar</b>.,2,Minion,BRMA03_3H,,Aura,3,1,,,,,,,,,,
Blackrock Mountain,Moira Barbabronce,No se puede usar el poder de héroe de Thaurissan.Nunca ataca a esbirros a menos que tengan <b>Provocar</b>.,2,Minion,BRMA03_3,,Aura,1,3,,,,,,,,,,
Blackrock Mountain,Mutación,<b>Poder de héroe</b>Descarta una carta aleatoria.,1,Hero Power,BRMA12_10,,,,,,,,,,,,,,
Blackrock Mountain,Mutación cromática,Transforma a un esbirro en un dragonante cromático 2/2.,2,Spell,BRMA12_8,,,,,,,,,,,,,,
Blackrock Mountain,Nefarian,,,Hero,BRMC_02,,,,30,,,,,,,,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA13_3H,,,,30,,,,,,,,,,
Blackrock Mountain,Nefarian,<b>Grito de batalla:</b> Añade 2 hechizos aleatorios a tu mano <i>(de la clase de tu oponente)</i>.,9,Minion,BRM_030,,Battlecry,8,8,True,Ruan Jia,Legendary,Se puede crear tras completar el Laboratorio Secreto.,Lo llaman &bdquo;Alanegra&bdquo; porque es un dragón negro... y tiene alas.,¡Se desbloquea al derrotar a todos los jefes de la Montaña Roca Negra!,True,Dragon,,
Blackrock Mountain,Nefarian,,,Hero,BRMA17_2,,,,30,,,,,,,,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA17_2H,,,,30,,,,,,,,,,
Blackrock Mountain,Nefarian,,,Hero,BRMA13_3,,,,30,,,,,,,,,,
Blackrock Mountain,Onyxia,,,Hero,BRMA17_3H,,,,30,,,,,,,,,,
Blackrock Mountain,Onyxia,,,Hero,BRMA17_3,,,,15,,,,,,,,,,
Blackrock Mountain,Orco de la vieja Horda,<b>Provocar</b>,1,Minion,BRMA09_3t,,Taunt,1,1,,,,,,,,,,
Blackrock Mountain,Orco de la vieja Horda,<b>Provocar</b>,1,Minion,BRMA09_3Ht,,Taunt,2,2,,,,,,,,,,
Blackrock Mountain,Orden de Drakkisath,Destruye a un esbirro. Otorga 10 p. de armadura.,1,Spell,BRMA08_3,,,,,,,,,,,,,,
Blackrock Mountain,Pandilla,Elige un esbirro. Mete 3 copias de él en tu mazo.,2,Spell,BRM_007,Rogue,,,,True,Jim Nelson,Common,Se puede crear al superar la Arena Hierro Negro en las Profundidades de Roca Negra.,Si tienes la intención de adentrarte en Arroyo de la Luna más vale que lo hagas con un par de colegas.,Se desbloquea al superar la Arena Hierro Negro en las Profundidades de Roca Negra.,,,,
Blackrock Mountain,Parroquiano lúgubre,Cada vez que este esbirro sobrevive al daño invoca a otro parroquiano lúgubre.,5,Minion,BRM_019,,,3,3,True,Bobby Chiu,Rare,Se puede crear al superar el Tragapenas en las Profundidades de Roca Negra.,Si te encanta recibir mamporros ¡ven al Tragapenas!,Se desbloquea al superar el Tragapenas en las Profundidades de Roca Negra.,,,,
Blackrock Mountain,Poción de poderío,+2/+2.,,Enchantment,BRMA15_2He,,,,,,,,,,,,,,
Blackrock Mountain,Poder del Señor del Fuego,<b>Poder de héroe</b>Inflige 30 p. de daño.,2,Hero Power,BRMA03_2,,,,,,,,,,,,,,
Blackrock Mountain,Poder dracónico,Estadísticas aumentadas.,,Enchantment,BRM_020e,,,,,,,,,,,,,,
Blackrock Mountain,Poderío del dragón,Cuesta (3) cristales menos este turno.,,Enchantment,BRM_003e,Mage,OneTurnEffect,,,,,,,,,,,,
Blackrock Mountain,Portero Hierro Negro,Siempre resulta vencedor en las camorras.,6,Minion,BRMA01_3,,,4,8,,,,,,,,,,
Blackrock Mountain,Prototipo cromático,<b>Provocar</b>,2,Minion,BRMA17_7,,Taunt,1,4,,,,,,,,,,
Blackrock Mountain,Pulso de magma,<b>Poder de héroe</b>Inflige 1 p. de daño a todos los esbirros.,1,Hero Power,BRMA04_2,,,,,,,,,,,,,,
Blackrock Mountain,Ragnaros Señor del Fuego,,,Hero,BRMA06_3,,,,8,,,,,,,,,,
Blackrock Mountain,Ragnaros Señor del Fuego,,,Hero,BRMA06_3H,,,,30,,,,,,,,,,
Blackrock Mountain,Ragnaros Señor del Fuego,,,Hero,BRM_027h,,,,8,,,,,,,,,,
Blackrock Mountain,Ragnaros Señor del Fuego,,,Hero,BRMC_01,,,,30,,,,,,,,,,
Blackrock Mountain,Recargar,Llena todos los cristales de maná vacíos.,0,Spell,BRMA14_11,,,,,,,,,,,,,,
Blackrock Mountain,Rend Puño Negro,,,Hero,BRMA09_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Rend Puño Negro,<b>Grito de batalla:</b> Destruye a un esbirro <b>legendario</b> si hay un dragón en tu mano.,7,Minion,BRM_029,,Battlecry,8,4,True,Alex Horley,Legendary,Se puede crear tras completar la Cumbre de Roca Negra.,Rend está convencido de que él es el auténtico Jefe de Guerra de la Horda y no deja de modificar la página de Wikipedia de &bdquo;Jefe de Guerra de la Horda&bdquo; para que aparezca su foto.,Se desbloquea al completar la Cumbre de Roca Negra.,True,,,
Blackrock Mountain,Rend Puño Negro,,,Hero,BRMA09_1,,,,30,,,,,,,,,,
Blackrock Mountain,Resurrección,Invoca a un esbirro amistoso aleatorio que haya muerto durante esta partida.,2,Spell,BRM_017,Priest,,,,True,Luke Mancini,Rare,Se puede crear tras derrotar al emperador Thaurissan en las Profundidades de Roca Negra.,Entré en una mazmorra y vi a un aventurero muerto. Con sus últimas fuerzas había escrito un mensaje en el polvo de la pared. Solo dos palabras: &bdquo;res porfa&bdquo;.,Se desbloquea al derrotar al emperador Thaurissan en las Profundidades de Roca Negra.,,,,
Blackrock Mountain,Revancha,Inflige $1 p. de daño a todos los esbirros. Si tienes 12 p. de salud o menos inflige $3 p. de daño.,2,Spell,BRM_015,Warrior,,,,True,Ben Olson,Rare,Se puede crear tras derrotar a Sangrevaja en la Guarida de Alanegra.,Es mejor que Deflagración Arcana así que parece que los guerreros por fin podrán vengarse de los magos por el hecho de que Golpe mortal fuera peor que Bola de fuego.,Se desbloquea al derrotar a Sangrevaja en la Guarida de Alanegra.,,,,
Blackrock Mountain,Robustez Crepuscular,Salud aumentada.,,Enchantment,BRM_004e,,,,,,,,,,,,,,
Blackrock Mountain,Sangre de dragón,+1/+1,,Enchantment,BRM_033e,,,,,,,,,,,,,,
Blackrock Mountain,Sangrevaja el Indomable,,,Hero,BRMA10_1,,,,30,,,,,,,,,,
Blackrock Mountain,Sangrevaja el Indomable,,,Hero,BRMA10_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Sistema de Defensa de Omnitron,,,Hero,BRMA14_1,,,,30,,,,,,,,,,
Blackrock Mountain,Sistema de Defensa de Omnitron,,,Hero,BRMA14_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Te oigo...,Ataque aumentado.,,Enchantment,BRMA16_5e,,,,,,,,,,,,,,
Blackrock Mountain,Técnica Alanegra,<b>Grito de batalla:</b> Obtiene +1/+1 si hay un dragón en tu mano.,3,Minion,BRM_033,,Battlecry,2,4,True,Matt Dixon,Common,Se puede crear tras derrotar al barón Geddon en el Núcleo de Magma.,Es con quien tienes que hablar si Alanegra necesita un arreglillo. ¡Ni se te ocurra llevarlo a un taller que no sea oficial!,Se desbloquea al derrotar al barón Geddon en el Núcleo de Magma.,,,,Neutral
Blackrock Mountain,Toxitron,Al comienzo de tu turno inflige 1 p. de daño a todos los demás esbirros.,1,Minion,BRMA14_5,,,3,3,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Toxitron,Al comienzo de tu turno inflige 1 p. de daño a todos los demás esbirros.,1,Minion,BRMA14_5H,,,4,4,,,Legendary,,,,True,Mech,,
Blackrock Mountain,Tragón,<b>Provocar</b>,1,Minion,BRMA01_4t,,Taunt,1,1,,,,,,,,,,
Blackrock Mountain,Triturador dracónido,<b>Grito de batalla:</b> Si tu oponente tiene 15 p. de salud o menos obtiene +3/+3.,6,Minion,BRM_024,,Battlecry,6,6,True,Slawomir Maniak,Common,Se puede crear tras derrotar a Atramedes en el Laboratorio Secreto.,Los dracónidos poseen las peores partes de un dragón pero con forma de humanoide. ¿De verdad era necesario?,Se desbloquea al derrotar a Atramedes en el Laboratorio Secreto.,,Dragon,,
Blackrock Mountain,Vaelastrasz el Corrupto,,,Hero,BRMA11_1H,,,,30,,,,,,,,,,
Blackrock Mountain,Vaelastrasz el Corrupto,,,Hero,BRMA11_1,,,,30,,,,,,,,,,
Blackrock Mountain,Vagador Hierro Negro,<b>Grito de batalla:</b> Inflige 2 p. de daño a todos los esbirros enemigos que no hayan recibido daño.,5,Minion,BRM_008,Rogue,Battlecry,4,3,True,Eric Braddock,Rare,Se puede crear tras completar el desafío de clase del pícaro en la Montaña Roca Negra.,Vagando se pasa el día vagando y los vecinos mientras tanto no paran de molestar.,Se desbloquea al completar el desafío de clase del pícaro en la Montaña Roca Negra.,,,,
Blackrock Mountain,Vigilia solemne,Roba 2 cartas. Cuesta (1) cristal menos por cada esbirro que haya muerto este turno.,5,Spell,BRM_001,Paladin,,,,True,Jaime Jones,Common,Se puede crear tras completar el desafío de clase del paladín en la Montaña Roca Negra.,Cada año la gente se reúne frente a la Montaña Roca Negra para llorar a aquellos que controlados mentalmente se arrojaron a la lava.,Se desbloquea al completar el desafío de clase del paladín en la Montaña Roca Negra.,,,,
Blackrock Mountain,YO MACHACAR,<b>Poder de héroe</b>Destruye a un esbirro enemigo aleatorio.,0,Hero Power,BRMA07_2H,,,,,,,,,,,,,,
Blackrock Mountain,YO MACHACAR,<b>Poder de héroe</b>Destruye a un esbirro enemigo aleatorio dañado.,1,Hero Power,BRMA07_2,,,,,,,,,,,,,,
