SET,NAME,TEXT,RARITY,COST,TYPE,ID,MECHANICS,FACTION,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Classic","Infiltrado huargen","<b>Sigilo</b>","Common",1,"Minion","EX1_010",Stealth,"Alliance",1,,2,,,True,"Raymond Swanland","Para detener a los infiltrados huargen hay que gritar "¡No! ¡Chico malo!".",,,,
"Classic","Infusión","+3 p. de salud.",,,"Enchantment","EX1_623e",,,,,,"Priest",,,,,,,,
"Classic","Inspiración","Este esbirro tiene +2 p. de ataque este turno.",,,"Enchantment","CS2_188o",OneTurnEffect,,,,,,,,,,,,,
"Classic","Invoca una pantera","Invoca una pantera 3/2.",,,"Spell","EX1_160a",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Invocadora tamaño bolsillo","El primer esbirro que juegues cada turno cuesta (1) cristal menos.","Rare",2,"Minion","EX1_076",Aura,"Alliance",2,"",2,,,True,"Ron Spears","Fácil de transportar.",,,,
"Classic","Ira de batalla","Roba una carta por cada personaje amistoso dañado.","Common",2,"Spell","EX1_392",,"Neutral",,,,"Warrior",,True,"Alex Horley Orlandelli","Para poder ganar hay que saber sufrir.",,,,
"Classic","Ira interna","Inflige $1 p. de daño a un esbirro y le otorga +2 p. de ataque.","Common",0,"Spell","EX1_607",,"Neutral",,,,"Warrior",,True,"Slawomir Maniak","Suele desembocar en ira externa.",,,,
"Classic","Ira interna","+2 p. de ataque.",,,"Enchantment","EX1_607e",,,,,,"Warrior",,,,,,,,
"Classic","Ira sangrienta","No hay pérdida de durabilidad.",,,"Enchantment","EX1_411e",,,,,,"Warrior",,,,,,,,
"Classic","Juegos mentales","Coloca una copia de un esbirro aleatorio del mazo de tu oponente en el campo de batalla.","Epic",4,"Spell","EX1_345",,"Neutral",,,,"Priest",,True,"Zoltan & Gabor","A veces parece que esto no es más que un juego.",,,,
"Classic","Justicia impuesta","Tiene +1/+1.",,,"Enchantment","EX1_366e",,,,,,"Paladin",,,,,,,,
"Classic","Kodo en estampida","<b>Grito de batalla:</b> Destruye a un esbirro enemigo aleatorio con 2 p. de ataque o menos.","Rare",5,"Minion","NEW1_041",Battlecry,,5,,3,,,True,"Daren Bader","Es un kodo tan grande que puede provocar una estampida él solo.",,"Beast",,
"Classic","La Bestia","<b>Último aliento:</b> Invoca un Finkle Einhorn 3/3 para tu oponente.","Legendary",6,"Minion","EX1_577",Deathrattle,"Neutral",7,,9,,,True,"Glenn Rane","Vive en la Montaña Roca Negra y disfruta devorando gnomos de un bocado.",True,"Beast",,
"Classic","La fuerza de la manada","El lobo temible alfa otorga +1 p. de ataque a este esbirro.",,,"Enchantment","EX1_162o",,,,,,,,,,,,,,
"Classic","Lanza de hielo","<b>Congela</b> a un personaje. Si ya estaba <b>congelado</b> en su lugar inflige $4 p. de daño.","Common",1,"Spell","CS2_031",Freeze,"Neutral",,,,"Mage",,True,"Alex Horley Orlandelli","El truco está en no romper la lanza. De lo contrario te quedas con "Astillas de hielo". Las astillas son mucho menos efectivas.",,,,
"Classic","Lección del shan'do","Invoca dos antárboles 2/2 con <b>Provocar</b>.",,,"Spell","EX1_573b",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Lechuza Picoférreo","<b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.","Common",2,"Minion","CS2_203",Battlecry,"Horde",1,,2,,,True,"Trevor Jacobs","¡Está que trina!",,"Beast",,
"Classic","Leeroy Jenkins","<b>Cargar</b>. <b>Grito de batalla:</b> Invoca dos crías 1/1 para tu oponente.","Legendary",5,"Minion","EX1_116",Battlecry|Charge,"Alliance",2,,6,,,True,"Gabe from Penny Arcade","¡Leeeeeeeeeeeeeroy!",True,,,
"Classic","Líder de guerra múrloc","Todos los demás múrlocs tienen +2/+1.","Epic",3,"Minion","EX1_507",Aura,"Neutral",3,,3,,,True,"Tim McBurnie","¿Alguna vez nos cansaremos de imitar el sonido de los múrlocs? ¡No! ¡Mrglglrglglglglglglgl!",,"Murloc",,
"Classic","Líder de la manada","+1/+1",,,"Enchantment","EX1_160be",,,,,,"Druid",,,,,,,,
"Classic","Líder de la manada","Otorga +1/+1 a tus esbirros.",,,"Spell","EX1_160b",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Llama de Azzinoth",,,1,"Minion","EX1_614t",,,1,,2,,,,,,,,,
"Classic","Llama de las Sombras","Destruye a un esbirro amistoso e inflige un daño equivalente a su ataque a todos los esbirros enemigos.","Rare",4,"Spell","EX1_303",AffectedBySpellPower,"Neutral",,,,"Warlock",,True,"Dave Kendall","A los demonios no les entusiasma esta carta ¡pero a los brujos les encanta!",,,,
"Classic","Lluvia de estrellas","Inflige $5 p. de daño a un esbirro.",,,"Spell","NEW1_007b",,,,,,"Druid",,,,,,,,
"Classic","Lluvia de estrellas","Inflige $2 p. de daño a todos los esbirros enemigos.",,,"Spell","NEW1_007a",,,,,,"Druid",,,,,,,,
"Classic","Lluvia de estrellas","<b>Elige una:</b> Inflige $5 p. de daño a un esbirro o bien inflige $2 p. de daño a todos los esbirros enemigos.","Rare",5,"Spell","NEW1_007",,,,,,"Druid",,True,"Richard Wright","El cielo cae sobre nuestras cabezas.",,,,
"Classic","Lobo temible alfa","Los esbirros adyacentes tienen +1 p. de ataque.","Common",2,"Minion","EX1_162",AdjacentBuff|Aura,"Neutral",2,"",2,,,True,"John Dickenson","Pensamos en añadir un lobo temible beta pero la gente se quejaría de no tener claves.",,"Beast",,
"Classic","Loca por el tesoro","Ataque aumentado.",,,"Enchantment","NEW1_018e",,,,,,,,,,,,,,
"Classic","Lord Jaraxxus",,"Legendary",0,"Hero","EX1_323h",,"Neutral",15,,0,"Warlock",,,,,,"Demon",,
"Classic","Lord Jaraxxus","<b>Grito de batalla:</b> Destruye a tu héroe y lo reemplaza con Lord Jaraxxus.","Legendary",9,"Minion","EX1_323",Battlecry,,15,,3,"Warlock",,True,"Alex Horley Orlandelli","¡UN GNOMO INSIGNIFICANTE! ¡¡¡TU ARROGANCIA SERÁ TU PERDICIÓN!!!",True,"Demon",,
"Classic","Maestra de diablillos","Al final de tu turno inflige 1 p. de daño a este esbirro e invoca a un diablillo 1/1.","Rare",3,"Minion","EX1_597",,"Neutral",5,"",1,,,True,"Mark Gibbons","Disfrutaría más de su trabajo si no fuera por los mordiscos de los diablillos.",,,,
"Classic","Maestra de secta","Cuando uno de tus otros esbirros muere roba una carta.","Common",4,"Minion","EX1_595",,"Neutral",2,"",4,,,True,"Raymond Swanland","Aunque sea una maestra de secta malvada siempre se acuerda de llamar a sus padres una vez por semana.",,,,
"Classic","Maestra del disfraz","<b>Grito de batalla:</b> Otorga <b>Sigilo</b> a un esbirro amistoso.","Rare",4,"Minion","NEW1_014",Battlecry,,4,,4,"Rogue",,True,"Ron Spencer","En realidad es una tauren. Por algo es una maestra del disfraz.",,,,
"Classic","Maestro cervecero anciano","<b>Grito de batalla:</b> Devuelve a tu mano a un esbirro amistoso del campo de batalla.","Common",4,"Minion","EX1_057",Battlecry,"Alliance",4,,5,,,True,"Bernie Kang","La pregunta adecuada no es "¿Por qué bebemos?" sino "¿Por qué merece la pena beber?".",,,,
"Classic","Maestro cervecero joven","<b>Grito de batalla:</b> Devuelve a tu mano a un esbirro amistoso del campo de batalla.","Common",2,"Minion","EX1_049",Battlecry,"Alliance",2,,3,,,True,"Wei Wang","Su entusiasmo juvenil no siempre equivale a brebajes deliciosos. ¡No pruebes su "Sorpresa Mogu"!",,,,
"Classic","Maestro del acero herido","<b>Grito de batalla:</b> Se inflige 4 p. de daño a sí mismo.","Rare",3,"Minion","CS2_181",Battlecry,"Horde",7,"",4,,,True,"Samwise","Dice que es una herida de batalla pero en realidad se cortó pelando patatas.",,,,
"Classic","Maestro forjador de espadas","Al final de tu turno otorga +1 p. de ataque a otro esbirro amistoso aleatorio.","Rare",2,"Minion","NEW1_037",,,3,"",1,,,True,"E.M. Gist","Está intentando inventar un "hacha mangual" pero los demás forjadores dicen que es imposible.",,,,
"Classic","Maestro manitas Sobrechispa","<b>Grito de batalla:</b> Transforma a otro esbirro aleatorio en un demosaurio 5/5 o en una ardilla 1/1.","Legendary",3,"Minion","EX1_083",Battlecry,"Alliance",3,,3,,,True,"Tom Baxa","El maestro manitas Sobrechispa casi perdió su licencia de manitas tras la fatídica Gran Estampida de Ardillas de Forjaz.",True,,,
"Classic","Maga del Kirin Tor","<b>Grito de batalla:</b> El siguiente <b>Secreto</b> que juegues este turno costará (0) cristales.","Rare",3,"Minion","EX1_612",Battlecry,"Neutral",3,,4,"Mage",,True,"Popo Wei","El Kirin Tor se encuentra en la ciudad flotante de Dalaran. ¿Cómo flota Dalaran? Apunta al suelo y falla.",,,,
"Classic","Mago anciano","<b>Grito de batalla:</b> Otorga <b>+1 p. de daño con hechizos</b> a los esbirros adyacentes.","Rare",4,"Minion","EX1_584",Battlecry,"Neutral",5,,2,,,True,"Howard Lyon","A veces se le va la cabeza y entra en las partidas de otros jugadores.",,,,
"Classic","Mago sangriento Thalnos","<b>+1 p. de daño con hechizos</b>. <b>Último aliento:</b> Roba una carta.","Legendary",2,"Minion","EX1_012",Deathrattle|Spellpower,"Neutral",1,,1,,,True,"Alex Horley Orlandelli","Es el encargado de las donaciones de sangre del Monasterio Escarlata.",True,,,
"Classic","Malabarista de cuchillos","Cuando invocas a un esbirro inflige 1 p. de daño a un enemigo aleatorio.","Rare",2,"Minion","NEW1_019",,,2,"",3,,,True,"Matt Cavotta","¿Dónde si no íbamos a ponernos la manzana?",,,,
"Classic","Malygos","<b>+5 p. de daño con hechizos</b>","Legendary",9,"Minion","EX1_563",Spellpower,"Neutral",12,,4,,,True,"Michael Komarck","¡La magia le vuelve loco!",True,"Dragon",,
"Classic","Manipulador ignoto","<b>Grito de batalla:</b> Elige a un esbirro y se convierte en una copia de este.","Epic",5,"Minion","EX1_564",Battlecry,"Neutral",3,,3,,,True,"Raymond Swanland","Los manipuladores ignotos son sirvientes de Yogg-Saron y se alimentan de tu miedo. Ahora mismo se está alimentando de tu miedo a desencantar una carta buena por accidente.",,,,
"Classic","Mano de Argus","+1/+1 y <b>Provocar</b>.",,,"Enchantment","EX1_093e",,,,,,,,,,,,,,
"Classic","Marca de la Naturaleza","+4 p. de ataque.",,,"Spell","EX1_155a",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Marca de la Naturaleza","<b>Elige una:</b> Otorga +4 p. de ataque a un esbirro o bien +4 p. de salud y <b>Provocar</b>.","Common",3,"Spell","EX1_155",,"Neutral",,,,"Druid",,True,"Clint Langley","¿Qué es una gallina en la cuerda floja? Un druida Equilibrio.",,,,
"Classic","Marca de la Naturaleza","+4 p. de salud y <b>Provocar</b>.",,,"Spell","EX1_155b",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Marca de la Naturaleza","Este esbirro tiene +4 p. de salud y <b>Provocar</b>.",,,"Enchantment","EX1_155be",,,,,,"Druid",,,,,,,,
"Classic","Marca de la Naturaleza","Este esbirro tiene +4 p. de ataque.",,,"Enchantment","EX1_155ae",,,,,,"Druid",,,,,,,,
"Classic","Marinero de Mares del Sur","Tiene <b>Cargar</b> mientras tengas un arma equipada.","Common",1,"Minion","CS2_146",,"Alliance",1,,2,,,True,"Dan Brereton","Su barco tiene una quilla lista para estrenar.",,"Pirate",,
"Classic","Martillo maldito","<b>Viento Furioso Sobrecarga:</b> (2)","Epic",5,"Weapon","EX1_567",Windfury,"Neutral",,,2,"Shaman",8,True,"John Polidora","Thrall recibió esta arma legendaria de manos de Orgrim Martillo Maldito pero rechazó quedarse también con el apellido.",,,,
"Classic","Mejorada","+1 p. de ataque y +1 p. de durabilidad.",,,"Enchantment","EX1_409e",,,,,,"Warrior",,,,,,,,
"Classic","Mejorado","Durabilidad aumentada.",,,"Enchantment","EX1_536e",,,,,,"Hunter",,,,,,,,
"Classic","Mercenario Ventura y Cía.","Tus esbirros cuestan (3) cristales más.","Common",5,"Minion","CS2_227",Aura,"Horde",6,"",7,,,True,"John Polidora","Está a tu servicio... por un módico precio.",,,,
"Classic","Molino Tormenta de Maná","<b>Grito de batalla:</b> Los hechizos enemigos cuestan (0) cristales el próximo turno.","Legendary",2,"Minion","NEW1_029",Battlecry,,4,,4,,,True,"Jim Nelson","¡Cuidado con el bigote!",True,,,
"Classic","Mordedura","Otorga a tu héroe +4 p. de ataque este turno y 4 p. de armadura.","Rare",4,"Spell","EX1_570",,"Neutral",,,,"Druid",,True,"Tom Baxa","¡Mastica la comida!",,,,
"Classic","Mordedura","+4 p. de ataque este turno.",,,"Enchantment","EX1_570e",OneTurnEffect,,,,,,,,,,,,,
"Classic","Motivación por la fuerza","+2 p. de ataque.",,,"Enchantment","EX1_603e",,,,,,"Warrior",,,,,,,,
"Classic","Mrghlglhal","+2 p. de salud.",,,"Enchantment","EX1_103e",,,,,,,,,,,,,,
"Classic","Nat Pagle","Al principio de tu turno tienes un 50% de probabilidad de robar una carta más.","Legendary",2,"Minion","EX1_557",,"Neutral",4,"",0,,,True,"Steve Prescott","¡Nat Pagle pescador por excelencia de Azeroth! Inventó la Autopescadora 3000 la Extendocaña 3000 y la Cebomática 2999 (todavía en período de prueba).",True,,,
"Classic","Naturalizar","Destruye a un esbirro. Tu oponente roba 2 cartas.","Common",1,"Spell","EX1_161",,"Neutral",,,,"Druid",,True,"Leo Che","Habló el tauren y dijo mu.",,,,
"Classic","Necrófago carnívoro","Cada vez que un esbirro muere obtiene +1 de ataque.","Common",3,"Minion","tt_004",,"Neutral",3,"",2,,,True,"Alex Horley Orlandelli","Algo tendrá que comer.",,,,
"Classic","Noble sacrificio","<b>Secreto:</b> Cuando un enemigo ataca invoca a un defensor 2/1 como nuevo objetivo.","Common",1,"Spell","EX1_130",Secret,"Neutral",,,,"Paladin",,True,"Zoltan & Gabor","¡Nunca te olvidaremos defensor o como quiera que te llames!",,,,
"Classic","Nozdormu","Los jugadores solo tienen 15 s para sus turnos.","Legendary",9,"Minion","EX1_560",,"Neutral",8,"",8,,,True,"James Ryman","No le gusta perder el tiempo.",True,"Dragon",,
"Classic","Nutrir","Obtén 2 cristales de maná.",,,"Spell","EX1_164a",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Nutrir","Roba 3 cartas.",,,"Spell","EX1_164b",,"Neutral",,,,"Druid",,,,,,,,
"Classic","Nutrir","<b>Elige una:</b> Obtén 2 cristales de maná o bien roba 3 cartas.","Rare",5,"Spell","EX1_164",,"Neutral",,,,"Druid",,True,"Terese Nielsen","Los druidas se nutren de muchas cosas: el poder de la naturaleza... el canto de los pájaros... las tartas de chocolate...",,,,
"Classic","Ojo por ojo","<b>Secreto:</b> Cuando tu héroe recibe daño inflige la misma cantidad de daño al héroe enemigo.","Common",1,"Spell","EX1_132",Secret,"Neutral",,,,"Paladin",,True,"James Ryman","A veces la justicia adopta la forma de un puño cerrado contra una suave mejilla.",,,,
"Classic","Onyxia","<b>Grito de batalla:</b> Invoca crías 1/1 hasta que tu lado del campo de batalla esté lleno.","Legendary",9,"Minion","EX1_562",Battlecry,"Neutral",8,,8,,,True,"Dany Orizio","Onyxia manipuló a la corte de Ventormenta durante mucho tiempo disfrazada de Lady Katrana Prestor. La gente debería haber sospechado de las alas gigantes y el aliento de fuego.",True,"Dragon",,
"Classic","Oráculo Luz Fría","<b>Grito de batalla:</b> Cada jugador roba 2 cartas.","Rare",3,"Minion","EX1_050",Battlecry,"Neutral",2,,2,,,True,"Steve Prescott","Es capaz de ver el futuro y ha visto que dos jugadores van a robar cartas.",,"Murloc",,
"Classic","Orador del Sino","Al comienzo de tu turno destruye a todos los esbirros.","Epic",2,"Minion","NEW1_021",,,7,,0,,,True,"Alex Horley Orlandelli","Después de tantos años de presagiar el fin del mundo con el Cataclismo pensó que de verdad había llegado el momento.",,,,
"Classic","Orden de Verdetez","+1/+1.",,,"Enchantment","NEW1_024o",,,,,,,,,,,,,,
"Classic","Orden oscura","Este esbirro ha cambiado de dueño este turno.",,,"Enchantment","EX1_334e",,,,,,"Priest",,,,,,,,
"Classic","Pacificador Aldor","<b>Grito de batalla:</b> Cambia el ataque de un esbirro enemigo a 1 p.","Rare",3,"Minion","EX1_382",Battlecry,"Neutral",3,,3,"Paladin",,True,"Dany Orizio","Los Aldor odian dos cosas: a los Arúspices y a los Arúspices.",,,,
"Classic","Pacto de sangre","Salud aumentada.",,,"Enchantment","CS2_059o",,,,,,"Warlock",,,,,,,,
"Classic","Pantera",,"Common",2,"Minion","EX1_160t",,,2,,3,"Druid",,,,,,"Beast",,
"Classic","Pantera de la selva","<b>Sigilo</b>","Common",3,"Minion","EX1_017",Stealth,"Horde",2,,4,,,True,"Jaemin Kim","Tuercespina es un lugar precioso pero la esperanza de vida es alarmante.",,"Beast",,
"Classic","Paso de las Sombras","Devuelve a un esbirro amistoso a tu mano. Cuesta (2) cristales menos.","Common",0,"Spell","EX1_144",,"Neutral",,,,"Rogue",,True,"Graven Tung","A veces los grupos de baile de los pícaros hacen el Paso de las Sombras al final de una actuación. A las masas les encanta.",,,,
"Classic","Perro","<b>Cargar</b>",,1,"Minion","EX1_538t",Charge,,1,,1,"Hunter",,,,,,"Beast",,
"Classic","Pesadilla","Otorga +5/+5 a un esbirro. Al comienzo de tu siguiente turno lo destruyes.",,0,"Spell","DREAM_05",,,,,,"Dream",,,,,,,,
"Classic","Pesadilla","Este esbirro tiene +5/+5 pero se destruirá pronto.",,,"Enchantment","DREAM_05e",,,,,,,,,,,,,,
"Classic","Piroexplosión","Inflige $10 p. de daño.","Epic",10,"Spell","EX1_279",,"Neutral",,,,"Mage",,True,"Luca Zontini","Tómate la libertad de soltar una carcajada malvada cuando robes esta carta.",,,,
"Classic","Piromántico salvaje","Después de que lances un hechizo inflige 1 p. de daño a todos los esbirros.","Rare",2,"Minion","NEW1_020",,,2,,3,,,True,"Alex Horley Orlandelli","¡A este no lo invites a tu casa!",,,,
"Classic","Plátanos","Tiene +1/+1.",,,"Enchantment","EX1_014te",,,,,,,,,,,,,,
"Classic","Plátanos","Otorga +1/+1 a un esbirro.",,1,"Spell","EX1_014t",,,,,,,,,,,,,,
"Classic","Poder de lo Salvaje","<b>Elige una:</b> Otorga +1/+1 a tus esbirros o bien invoca una pantera 3/2.","Common",2,"Spell","EX1_160",,"Neutral",,,,"Druid",,True,"Steve Tappin","Nunca mires a una pantera a los ojos. ¿O era "Mira siempre a una pantera a los ojos"? Bueno es una de las dos.",,,,
"Classic","Poder del Kirin Tor","Tu siguiente secreto cuesta (0) cristales.",,,"Enchantment","EX1_612o",OneTurnEffect,,,,,"Mage",,,,,,,,
"Classic","Poder desatado","Estadísticas aumentadas.",,,"Enchantment","EX1_274e",,,,,,"Mage",,,,,,,,
"Classic","Poder sobrecogedor","Este esbirro tiene +4/+4 pero morirá al final del turno.",,,"Enchantment","EX1_316e",,"Neutral",,,,"Warlock",,,,,,,,
"Classic","Poder sobrecogedor","Otorga +4/+4 a un esbirro amistoso hasta el final del turno. Luego el esbirro muere. De forma horrible.","Common",1,"Spell","EX1_316",,"Neutral",,,,"Warlock",,True,"Tom Baxa","Ni siquiera podríamos describir lo horrible que es esa muerte. ¡Es increíblemente horrorosa! Puede que incluso peor. No lo hagas.",,,,
"Classic","Pollo furioso","<b>Enfurecer:</b> +5 p. de ataque.","Rare",1,"Minion","EX1_009",Enrage,,1,,1,,,True,"Mike Sass","¡Es el pollo diablo!",,"Beast",,
"Classic","Portaescudos","<b>Provocar</b>","Common",1,"Minion","EX1_405",Taunt,"Neutral",4,,0,,,True,"Carl Critchlow","Tiene mérito con lo grandes que son los escudos en este juego.",,,,
"Classic","Portal de invocación","Tus esbirros cuestan (2) cristales menos pero no menos de (1).","Common",4,"Minion","EX1_315",Aura,"Neutral",4,"",0,"Warlock",,True,"Tyler Walpole","Cada vez que lo llamas "armario" un brujo sacrifica un alma.",,,,
"Classic","Potenciada","La adicta al maná tiene ataque aumentado.",,,"Enchantment","EX1_055o",OneTurnEffect,,,,,,,,,,,,,
"Classic","Pozo de Luz","Al comienzo de tu turno restaura 3 p. de salud a un personaje amistoso dañado.","Rare",2,"Minion","EX1_341",,"Neutral",5,"",0,"Priest",,True,"Blizzard Entertainment","Nadie usa jamás el Pozo de Luz.",,,,
"Classic","Preparación","El próximo hechizo que lances este turno costará (3) cristales menos.",,,"Enchantment","EX1_145o",OneTurnEffect,,,,,"Rogue",,,,,,,,
"Classic","Preparación","El próximo hechizo que lances este turno costará (3) cristales menos.","Epic",0,"Spell","EX1_145",,"Neutral",,,,"Rogue",,True,"Clint Langley",""¡Siempre preparados!" - Lema de los pícaros",,,,
"Classic","Profesora violeta","Cada vez que lanzas un hechizo invoca a un aprendiz violeta 1/1.","Rare",4,"Minion","NEW1_026",,,5,,3,,,True,"James Ryman","Convierte a los alumnos desobedientes en ovejas.",,,,
"Classic","Profeta Velen","Duplica el daño y la sanación de tus hechizos y de tu poder de héroe.","Legendary",7,"Minion","EX1_350",,"Neutral",7,,7,"Priest",,True,"Wei Wang","Lo exiliaron de su hogar sus hermanos se aliaron con demonios y lleva desde entonces de pie en El Exodar. Se merece la jubilación.",True,,,
"Classic","Protector Argenta","<b>Grito de batalla:</b> Otorga <b>Escudo divino</b> a un esbirro amistoso.","Common",2,"Minion","EX1_362",Battlecry,"Neutral",2,,2,"Paladin",,True,"Doug Alexander",""No digo que puedas esquivar bolas de fuego. Digo que con este escudo no te hará falta".",,,,
"Classic","Protectora Furia del Sol","<b>Grito de batalla:</b> Otorga <b>Provocar</b> a los esbirros adyacentes.","Rare",2,"Minion","EX1_058",Battlecry,"Alliance",3,,2,,,True,"James Ryman","Ese escudo que lleva en realidad es para dárselo al primero que se ponga a su lado.",,,,
"Classic","Púa mental","<b>Poder de héroe</b>
Inflige 2 p. de daño.",,2,"Hero Power","EX1_625t",,,,,,"Priest",,,,,,,,
"Classic","Rabia","Ataque aumentado.",,,"Enchantment","EX1_604o",,,,,,"Warrior",,,,,,,,
"Classic","Rabioso Amani","<b>Enfurecer:</b> +3 p. de ataque.","Common",2,"Minion","EX1_393",Enrage,"Neutral",3,,2,,,True,"Chippy","Si un rabioso Amani te dice "¿Qué estás mirando?" la respuesta correcta es "Ná colega".",,,,
"Classic","Rabioso demente","Cada vez que un esbirro recibe daño obtiene 1 p. de ataque.","Rare",3,"Minion","EX1_604",,"Neutral",4,"",2,"Warrior",,True,"Simon Bisley","Era contable antes de convertirse en rabioso profesional. Se ve que le salía a cuenta.",,,,
"Classic","Ráfaga de lava","Inflige $5 p. de daño. <b>Sobrecarga:</b> (2)","Rare",3,"Spell","EX1_241",,"Neutral",,,,"Shaman",,True,"Dan Scott","¡Es como un océano de magma líquido en tu boca!",,,,
"Classic","Ragnaros Señor del Fuego","No puede atacar. Al final de tu turno inflige 8 p. de daño a un enemigo aleatorio.","Legendary",8,"Minion","EX1_298",,"Neutral",8,,8,,,True,"Greg Staples","Los enanos Hierro Negro invocaron a Ragnaros el Señor del Fuego pero este acabó esclavizándolos. Se ve que invocar a Ragnaros no siempre sale como uno espera.",True,,,
"Classic","Redención","<b>Secreto:</b> Cuando uno de tus esbirros muere vuelve a la vida con 1 p. de salud.","Common",1,"Spell","EX1_136",Secret,"Neutral",,,,"Paladin",,True,"Ittoku","Si juegas dos cartas de estas ¿la segunda es una re-redención?",,,,
"Classic","Redirección","<b>Secreto:</b> Cuando un personaje vaya a atacar a tu héroe en su lugar atacará a otro personaje aleatorio.","Rare",2,"Spell","EX1_533",Secret,"Neutral",,,,"Hunter",,True,"Daren Bader","A veces los cazadores disparan a alguien y dicen que ha sido el tanque.",,,,
"Classic","Reflejo viviente","<b>Secreto:</b> Cuando tu oponente juega un esbirro invocas una copia de ese esbirro.","Common",3,"Spell","EX1_294",Secret,"Neutral",,,,"Mage",,True,"Raven Mimura",""Tú primero". - Krush'gor el Gigante a su mascota jabalí.",,,,
"Classic","Refuerzo","Salud aumentada.",,,"Enchantment","NEW1_025e",,,,,,,,,,,,,,
"Classic","Relámpago bifurcado","Inflige $2 p. de daño a 2 esbirros enemigos aleatorios. <b>Sobrecarga:</b> (2)","Common",1,"Spell","EX1_251",,"Neutral",,,,"Shaman",,True,"Ralph Horsley","¡Una carta chocante!",,,,
"Classic","Rey Krush","<b>Cargar</b>","Legendary",9,"Minion","EX1_543",Charge,"Neutral",8,,8,"Hunter",,True,"Alex Horley Orlandelli","La mejor defensa contra el rey Krush es ponerte detrás de alguien que te caiga mal.",True,"Beast",,
"Classic","Rey Mukla","<b>Grito de batalla:</b> Da 2 plátanos a tu oponente.","Legendary",3,"Minion","EX1_014",Battlecry,,5,,5,,,True,"Sunny Gho","La única carta que se preocupa por el nivel de potasio del contrincante.",True,"Beast",,
"Classic","Robo de ideas","Copia 2 cartas del mazo de tu oponente y las coloca en tu mano.","Common",3,"Spell","EX1_339",,"Neutral",,,,"Priest",,True,"Alex Garner",""¿Qué consigues cuando le lanzas Robo de ideas a un orco? ¡Nada!" - Chiste tauren",,,,
"Classic","Roboalarma","Al comienzo de tu turno cambia a este esbirro por otro al azar que tengas en tu mano.","Rare",3,"Minion","EX1_006",,,3,,0,,,True,"Sean O’Daniels","ALERTA. ALERTA. ALERTA.",,"Mech",,
"Classic","Rompecabezas","Inflige $2 p. de daño al héroe enemigo. <b>Combo:</b> Devuelve esta carta a tu mano el siguiente turno.","Rare",3,"Spell","EX1_137",Combo,"Neutral",,,,"Rogue",,True,"James Zhang","Cuando todo lo demás falla no hay nada como un buen mamporro en la cabeza.",,,,
"Classic","Rompehechizos","<b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.","Common",4,"Minion","EX1_048",Battlecry,"Horde",3,,4,,,True,"Matt Cavotta","A los elfos de sangre no les gusta compartir la magia.",,,,
"Classic","Rugido desmoralizador","Este esbirro tiene -3 p. de ataque este turno.",,,"Enchantment","EX1_161o",OneTurnEffect,,,,,"Druid",,,,,,,,
"Classic","Sacerdotisa Auchenai","Tus cartas y poderes que restauran salud ahora infligen daño.","Rare",4,"Minion","EX1_591",Aura,"Neutral",5,,3,"Priest",,True,"Doug Alexander","No hay dos personas que pronuncien "Auchenai" de la misma forma.",,,,
"Classic","Sacerdotisa de Elune","<b>Grito de batalla:</b> Restaura 4 p. de salud a tu héroe.","Common",6,"Minion","EX1_583",Battlecry,"Neutral",4,,5,,,True,"Dan Scott","Siempre está en la luna.",,,,
"Classic","Sacerdotisa de la Cábala","<b>Grito de batalla:</b> Toma el control de un esbirro enemigo con 2 p. de ataque o menos.","Epic",6,"Minion","EX1_091",Battlecry,"Neutral",5,,4,"Priest",,True,"Chippy","Ya nunca sabrás en quién confiar...",,,,
"Classic","Sacerdotisa joven","Al final de tu turno otorga +1 p. de salud a otro esbirro amistoso aleatorio.","Rare",1,"Minion","EX1_004",,,1,,2,,,True,"Vance Kovacs","No ve el momento de aprender el rango 2 de Palabra de poder: entereza.",,,,
"Classic","Salvajismo","Inflige a un esbirro un daño equivalente al ataque de tu héroe.","Rare",1,"Spell","EX1_578",AffectedBySpellPower,"Neutral",,,,"Druid",,True,"Dave Rapoza","Es cierto que algunos druidas reaccionan así cuando ven una cesta de pícnic pero otros saben apreciar la tranquilidad y una buena taza de té.",,,,
"Classic","Sangre fría","+4 p. de ataque.",,,"Enchantment","CS2_073e2",,,,,,"Rogue",,,,,,,,
"Classic","Sangre fría","Otorga a un esbirro +2 p. de ataque. <b>Combo:</b> +4 p. de ataque.","Common",1,"Spell","CS2_073",Combo,"Neutral",,,,"Rogue",,True,"Alex Horley Orlandelli",""Si la tuviera más fría sangraría cubitos".",,,,
"Classic","Sangre fría","+2 p. de ataque.",,,"Enchantment","CS2_073e",,,,,,"Rogue",,,,,,,,
