SET,NAME,TEXT,RARITY,COST,TYPE,ID,FACTION,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Classic","Invoca una Pantera","Invoca una Pantera 3/2.",,,"Spell","EX1_160a","Neutral",,,,,"Druid",,,,,,,,
"Classic","Invocadora tamaño pinta","El primer esbirro que juegas en cada turno cuesta (1) menos.","Rare",2,"Minion","EX1_076","Alliance",Aura,2,"",2,,,True,"Ron Spears","A la hora del amor su peor competencia es la Invocadora tamaño galón.",,,,
"Classic","Ira de batalla","Roba una carta por cada personaje aliado dañado.","Common",2,"Spell","EX1_392","Neutral",,,,,"Warrior",,True,"Alex Horley Orlandelli","Ojo no soy yo cuando me enojo.",,,,
"Classic","Ira interna","Inflige $1 de daño a un esbirro y le otorga +2 de Ataque.","Common",0,"Spell","EX1_607","Neutral",,,,,"Warrior",,True,"Slawomir Maniak","Risas vemos corazones no sabemos.",,,,
"Classic","Ira interna","+2 de Ataque.",,,"Enchantment","EX1_607e",,,,,,"Warrior",,,,,,,,
"Classic","Ira sangrienta","No pierdes Durabilidad.",,,"Enchantment","EX1_411e",,,,,,"Warrior",,,,,,,,
"Classic","Juegos mentales","Pon una copia de un esbirro aleatorio del mazo de tu adversario en el campo de batalla.","Epic",4,"Spell","EX1_345","Neutral",,,,,"Priest",,True,"Zoltan & Gabor","A veces parece que todo esto fuera un juego.",,,,
"Classic","Justicia servida","Tiene +1/+1.",,,"Enchantment","EX1_366e",,,,,,"Paladin",,,,,,,,
"Classic","Kodo en estampida","<b>Grito de batalla:</b> destruye a un esbirro enemigo aleatorio con 2 de Ataque o menos.","Rare",5,"Minion","NEW1_041",,Battlecry,5,,3,,,True,"Daren Bader","Este kodo es tan grande que puede causar una estampida <i>él solo</i>.",,"Beast",,
"Classic","La Bestia","<b>Estertor:</b> invoca un Finkle Einhorn 3/3 para tu adversario.","Legendary",6,"Minion","EX1_577","Neutral",Deathrattle,7,,9,,,True,"Glenn Rane","Vive en la Montaña Roca Negra. Come gnomos. Y no mucho más...",True,"Beast",,
"Classic","La fuerza de la manada","El Lobo alfa temible le otorga +1 de Ataque a este esbirro.",,,"Enchantment","EX1_162o",,,,,,,,,,,,,,
"Classic","La gracia de Elune","Salud aumentada.",,,"Enchantment","EX1_004e",,,,,,,,,,,,,,
"Classic","Lanza de hielo","<b>Congela</b> a un personaje. Si ya estaba <b>Congelado</b> entonces le inflige $4 de daño.","Common",1,"Spell","CS2_031","Neutral",Freeze,,,,"Mage",,True,"Alex Horley Orlandelli","La cuestión es no romper la lanza. Si se rompe te quedas con "Trozos de hielo". Y los Trozos de hielo no son tan efectivos.",,,,
"Classic","Lección de Shan'do","Invoca dos Antárboles 2/2 con <b>Provocación</b>.",,,"Spell","EX1_573b","Neutral",,,,,"Druid",,,,,,,,
"Classic","Lechuza cortezaférrea","<b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.","Common",2,"Minion","CS2_203","Horde",Battlecry,1,,2,,,True,"Trevor Jacobs","Sus alas son silenciosas pero su chirrido es... todo lo opuesto al silencio.",,"Beast",,
"Classic","Leeroy Jenkins","<b>Carga</b>. <b>Grito de batalla:</b> invoca dos Crías 1/1 para tu adversario.","Legendary",5,"Minion","EX1_116","Alliance",Battlecry|Charge,2,,6,,,True,"Gabe from Penny Arcade","Por lo menos tiene Pollo enfadado.",True,,,
"Classic","Líder de guerra múrloc","TODOS los otros múrlocs tienen +2/+1.","Epic",3,"Minion","EX1_507","Neutral",Aura,3,,3,,,True,"Tim McBurnie","¿Los múrlocs nunca se cansan de hacer el mismo ruidito? ¡No! Mrglglrglglglglglglgl",,"Murloc",,
"Classic","Líder de la manada","Otorga +1/+1 a tus esbirros.",,,"Spell","EX1_160b","Neutral",,,,,"Druid",,,,,,,,
"Classic","Líder de la manada","+1/+1",,,"Enchantment","EX1_160be",,,,,,"Druid",,,,,,,,
"Classic","Llama de Azzinoth",,,1,"Minion","EX1_614t",,,1,,2,,,,,,,,,
"Classic","Llama de las sombras","Destruye un esbirro aliado e inflige su daño de Ataque a todos los esbirros enemigos.","Rare",4,"Spell","EX1_303","Neutral",AffectedBySpellPower,,,,"Warlock",,True,"Dave Kendall","Comienza con un esbirro poderoso incorpora Llama de las sombras y une con movimientos envolventes... ¡es la receta de la diversión!",,,,
"Classic","Lluvia de estrellas","Inflige $5 de daño a un esbirro.",,,"Spell","NEW1_007b",,,,,,"Druid",,,,,,,,
"Classic","Lluvia de estrellas","Inflige $2 de daño a todos los esbirros enemigos.",,,"Spell","NEW1_007a",,,,,,"Druid",,,,,,,,
"Classic","Lluvia de estrellas","<b>Elige una opción:</b> inflige $5 de daño a un esbirro o $2 de daño a todos los esbirros enemigos.","Rare",5,"Spell","NEW1_007",,,,,,"Druid",,True,"Richard Wright","Sí caen estrellas de punta.",,,,
"Classic","Lobo alfa temible","Los esbirros adyacentes tienen +1 de Ataque.","Common",2,"Minion","EX1_162","Neutral",AdjacentBuff|Aura,2,"",2,,,True,"John Dickenson","Estamos muy contentos de anunciar el lanzamiento de Lobo beta temible. Compartan este mensaje y tendrán la posibilidad de ganarse una clave.",,"Beast",,
"Classic","Locura sombría","Toma el control de un esbirro enemigo con 3 de Ataque o menos hasta el final del turno.","Rare",4,"Spell","EX1_334","Neutral",,,,,"Priest",,True,"Mark Gibbons","Puedes dar todas las explicaciones que quieras pero no deja de ser perverso.",,,,
"Classic","Lord Jaraxxus",,"Legendary",0,"Hero","EX1_323h","Neutral",,15,,0,"Warlock",,,,,,"Demon",,
"Classic","Lord Jaraxxus","<b>Grito de batalla:</b> destruye a tu héroe y reemplázalo por Lord Jaraxxus.","Legendary",9,"Minion","EX1_323",,Battlecry,15,,3,"Warlock",,True,"Alex Horley Orlandelli","¡GNOMO INSIGNIFICANTE! ¡TU ARROGANCIA SERÁ TU PERDICIÓN!",True,"Demon",,
"Classic","Maestra de diablillos","Al final de tu turno inflige 1 de daño a este esbirro e invoca un Diablillo 1/1.","Rare",3,"Minion","EX1_597","Neutral",,5,"",1,,,True,"Mark Gibbons","Disfrutaría mucho más del trabajo si pudiera lograr que los diablillos DEJARAN DE MORDERLA.",,,,
"Classic","Maestra de secta","Cada vez que muere uno de tus otros esbirros roba una carta.","Common",4,"Minion","EX1_595","Neutral",,2,"",4,,,True,"Raymond Swanland","Será una maestra de la secta maligna sí... pero todavía llama a sus padres una vez por semana.",,,,
"Classic","Maestra del disfraz","<b>Grito de batalla:</b> otorga <b>Sigilo</b> a un esbirro aliado.","Rare",4,"Minion","NEW1_014",,Battlecry,4,,4,"Rogue",,True,"Ron Spencer","En realidad es un tauren hombre. No por nada la gente la llama "Maestra del disfraz".",,,,
"Classic","Maestra violeta","Cada vez que lanzas un hechizo invoca un Aprendiz violeta 1/1.","Rare",4,"Minion","NEW1_026",,,5,,3,,,True,"James Ryman","Si no prestas atención te crecerán orejas de burro. Y luego te mandarán al rincón.",,,,
"Classic","Maestro cervecero anciano","<b>Grito de batalla:</b> devuelve un esbirro aliado del campo de batalla a tu mano.","Common",4,"Minion","EX1_057","Alliance",Battlecry,4,,5,,,True,"Bernie Kang","La mayoría de los pandaren dice que su cerveza sabe a yak. Aparentemente eso es un halago.",,,,
"Classic","Maestro cervecero joven","<b>Grito de batalla:</b> devuelve un esbirro aliado del campo de batalla a tu mano.","Common",2,"Minion","EX1_049","Alliance",Battlecry,2,,3,,,True,"Wei Wang","Su entusiasmo jovial no siempre se refleja en la calidad de sus cervezas. Ni siquiera intentes probar la Mogu negra.",,,,
"Classic","Maestro del acero herido","<b>Grito de batalla:</b> se AUTOINFLIGE 4 de daño.","Rare",3,"Minion","CS2_181","Horde",Battlecry,7,"",4,,,True,"Samwise","Dice que es una vieja herida de guerra pero nosotros estamos seguros de que se cortó mientras se afeitaba.",,,,
"Classic","Maestro forjador de espadas","Al final de tu turno otorga +1 de Ataque a otro esbirro aliado aleatorio.","Rare",2,"Minion","NEW1_037",,,3,"",1,,,True,"E.M. Gist","Está intentando forjar un hacha-mayal pero los demás forjadores de espadas no le tienen fe.",,,,
"Classic","Maestro manitas Sobrechispa","<b>Grito de batalla:</b> Transforma a otro esbirro aleatorio en un Demosaurio 5/5 o en una Ardilla 1/1.","Legendary",3,"Minion","EX1_083","Alliance",Battlecry,3,,3,,,True,"Tom Baxa","El Maestro manitas Sobrechispa casi pierde su licencia de manitas después de la Gran estampida de ardillas de Forjaz en 2009.",True,,,
"Classic","Maga del Kirin Tor","<b>Grito de batalla:</b> el próximo <b>Secreto</b> que juegues en este turno cuesta (0).","Rare",3,"Minion","EX1_612","Neutral",Battlecry,3,,4,"Mage",,True,"Popo Wei","Los Kirin Tor viven en la ciudad flotante de Dalaran. ¿Cómo logran que flote? Baten siete claras a punto nieve y agregan una pizca de Dalaran.",,,,
"Classic","Mago ancestral","<b>Grito de batalla:</b> otorga <b>Daño de hechizo +1</b> a los esbirros adyacentes.","Rare",4,"Minion","EX1_584","Neutral",Battlecry,5,,2,,,True,"Howard Lyon","A veces se desorienta un poco y cree que está en una mina de enanos luchando contra un balrog.",,,,
"Classic","Mago sangriento Thalnos","<b>Daño de hechizo +1</b>. <b>Estertor:</b> roba una carta.","Legendary",2,"Minion","EX1_012","Neutral",Deathrattle|Spellpower,1,,1,,,True,"Alex Horley Orlandelli","Es el jefe del departamento de donación anual de sangre en el Monasterio Escarlata.",True,,,
"Classic","Malabarista de cuchillos","Después de invocar un esbirro inflige 1 de daño a un enemigo aleatorio.","Rare",2,"Minion","NEW1_019",,,2,"",3,,,True,"Matt Cavotta","A menudo los malabaristas de cuchillos ascienden a malabaristas de bombas. Lamentablemente duran tan poco que nunca llegan a convertirse en cartas.",,,,
"Classic","Malygos","<b>Daño de hechizo +5</b>","Legendary",9,"Minion","EX1_563","Neutral",Spellpower,12,,4,,,True,"Michael Komarck","Malygos odia que los mortales usen magia. Se pone como loco.",True,"Dragon",,
"Classic","Manipulador ignoto","<b>Grito de batalla:</b> elige un esbirro y se convierte en una copia de él.","Epic",5,"Minion","EX1_564","Neutral",Battlecry,3,,3,,,True,"Raymond Swanland","Los ignotos son los sirvientes de Yogg-Saron y se alimentan del miedo. En este momento se están alimentando de tu miedo de desencantar tus mejores cartas por error.",,,,
"Classic","Mano de Argus","+1/+1 y <b>Provocación</b>.",,,"Enchantment","EX1_093e",,,,,,,,,,,,,,
"Classic","Marca de la naturaleza","Este esbirro tiene +4 de Ataque.",,,"Enchantment","EX1_155ae",,,,,,"Druid",,,,,,,,
"Classic","Marca de la naturaleza","+4 de Ataque.",,,"Spell","EX1_155a","Neutral",,,,,"Druid",,,,,,,,
"Classic","Marca de la naturaleza","<b>Elige una opción:</b> otorga +4 de Ataque o +4 de Salud y <b>Provocación</b> a un esbirro.","Common",3,"Spell","EX1_155","Neutral",,,,,"Druid",,True,"Clint Langley","Los druidas lo llaman "Marca de la naturaleza". Todos los demás lo conocen como "Te hace falta un baño".",,,,
"Classic","Marca de la naturaleza","+4 de Salud y <b>Provocación</b>.",,,"Spell","EX1_155b","Neutral",,,,,"Druid",,,,,,,,
"Classic","Marca de la naturaleza","Este esbirro tiene +4 de Salud y <b>Provocación</b>.",,,"Enchantment","EX1_155be",,,,,,"Druid",,,,,,,,
"Classic","Marinero de los Mares del sur","Tiene <b>Carga</b> mientras tengas un arma equipada.","Common",1,"Minion","CS2_146","Alliance",,1,,2,,,True,"Dan Brereton","Parece que los piratas se sumaron a la moda del "Planking".",,"Pirate",,
"Classic","Martillo maldito","<b>Viento furioso Sobrecarga:</b> (2)","Epic",5,"Weapon","EX1_567","Neutral",Windfury,,,2,"Shaman",8,True,"John Polidora","Orgrim Martillo Maldito le dio esta arma legendaria a Thrall. Su nombre es pura coincidencia.",,,,
"Classic","Mejorada","+1 de Ataque y +1 de Durabilidad.",,,"Enchantment","EX1_409e",,,,,,"Warrior",,,,,,,,
"Classic","Mejorada","Durabilidad aumentada.",,,"Enchantment","EX1_536e",,,,,,"Hunter",,,,,,,,
"Classic","Mercenario de Ventura y Cía.","Tus esbirros cuestan (3) más.","Common",5,"Minion","CS2_227","Horde",Aura,6,"",7,,,True,"John Polidora","Para él no hay trabajo demasiado riesgoso. Ni precio demasiado alto.",,,,
"Classic","Molino Tormenta de Maná","<b>Grito de batalla:</b> los hechizos enemigos cuestan (0) en el próximo turno.","Legendary",2,"Minion","NEW1_029",,Battlecry,4,,4,,,True,"Jim Nelson",""¡Te alegraré el día corazón!".",True,,,
"Classic","Mordedura","+4 de Ataque en este turno.",,,"Enchantment","EX1_570e",,OneTurnEffect,,,,,,,,,,,,
"Classic","Mordedura","Otorga a tu héroe +4 de Ataque en este turno y 4 de Armadura.","Rare",4,"Spell","EX1_570","Neutral",,,,,"Druid",,True,"Tom Baxa","Te lo he dicho mil veces: ¡mastica la comida!",,,,
"Classic","Mrghlglhal","+2 de Salud.",,,"Enchantment","EX1_103e",,,,,,,,,,,,,,
"Classic","Nat Pagle","Al comienzo de tu turno tienes un 50 % de probabilidad de robar una carta adicional.","Legendary",2,"Minion","EX1_557","Neutral",,4,"",0,,,True,"Steve Prescott","Nat Pagle el mejor pescador de Azeroth. Inventor de la Autopesca 3000 el Extendecañas 3000 el Encarnamatic 2099 (actualmente en fase de prueba).",True,,,
"Classic","Naturalizar","Destruye un esbirro. Tu adversario roba 2 cartas.","Common",1,"Spell","EX1_161","Neutral",,,,,"Druid",,True,"Leo Che","Golpe a golpe esbirro a esbirro.",,,,
"Classic","Necrófago carnívoro","Cada vez que un esbirro muere obtiene +1 de Ataque.","Common",3,"Minion","tt_004","Neutral",,3,"",2,,,True,"Alex Horley Orlandelli",""Carnívoro" es un nombre injusto. No es su culpa es que en verdad no hay muchas otras cosas que pueda comer.",,,,
"Classic","Nozdormu","Los jugadores solo tienen 15 segundos para tomar su turno.","Legendary",9,"Minion","EX1_560","Neutral",,8,"",8,,,True,"James Ryman","El tiempo justo para escribir un chiste.",True,"Dragon",,
"Classic","Nutrir","Roba 3 cartas.",,,"Spell","EX1_164b","Neutral",,,,,"Druid",,,,,,,,
"Classic","Nutrir","Obtienes 2 Cristales de maná.",,,"Spell","EX1_164a","Neutral",,,,,"Druid",,,,,,,,
"Classic","Nutrir","<b>Elige una opción:</b> obtén 2 Cristales de maná o roba 3 cartas.","Rare",5,"Spell","EX1_164","Neutral",,,,,"Druid",,True,"Terese Nielsen","Los druidas se nutren de distintas cosas: el poder de la naturaleza el canto de las aves un pastel de chocolate...",,,,
"Classic","Oculto","En sigilo hasta tu próximo turno.",,,"Enchantment","EX1_128e",,,,,,"Rogue",,,,,,,,
"Classic","Ojo por ojo","<b>Secreto:</b> cuando tu héroe recibe daño inflige esa misma cantidad de daño al héroe enemigo.","Common",1,"Spell","EX1_132","Neutral",Secret,,,,"Paladin",,True,"James Ryman","A veces la justicia toma la forma de un puño que se estrella contra una mejilla delicada.",,,,
"Classic","Onyxia","<b>Grito de batalla:</b> invoca Crías 1/1 hasta que tu lado del campo de batalla esté completo.","Legendary",9,"Minion","EX1_562","Neutral",Battlecry,8,,8,,,True,"Dany Orizio","Durante mucho tiempo Onyxia manipuló a la Corte de Ventormenta disfrazándose de Lady Katrana Prestor. Aparentemente nadie reparó en las alas gigantes y las escamas.",True,"Dragon",,
"Classic","Oráculo luz fría","<b>Grito de batalla:</b> cada jugador roba 2 cartas.","Rare",3,"Minion","EX1_050","Neutral",Battlecry,2,,2,,,True,"Steve Prescott","Ven el futuro. En ese futuro ambos jugadores pueden robar más cartas. ¡Bbrrr!",,"Murloc",,
"Classic","Orador del sino","Al comienzo de tu turno destruye a TODOS los esbirros.","Epic",2,"Minion","NEW1_021",,,7,,0,,,True,"Alex Horley Orlandelli","Estuvo casi en lo cierto muchísimas veces. Estaba <i>seguro</i> de que vendría durante el Cataclismo.",,,,
"Classic","Orden de Verdetez","+1/+1.",,,"Enchantment","NEW1_024o",,,,,,,,,,,,,,
"Classic","Orden oscura","Este esbirro ha cambiado de controlador en este turno.",,,"Enchantment","EX1_334e",,,,,,"Priest",,,,,,,,
"Classic","Pacificador aldor","<b>Grito de batalla:</b> cambia el Ataque de un esbirro enemigo a 1.","Rare",3,"Minion","EX1_382","Neutral",Battlecry,3,,3,"Paladin",,True,"Dany Orizio","Los aldor odian dos cosas: los arúspices y el reggaeton.",,,,
"Classic","Pacto de sangre","Salud aumentada.",,,"Enchantment","CS2_059o",,,,,,"Warlock",,,,,,,,
"Classic","Pantera",,"Common",2,"Minion","EX1_160t",,,2,,3,"Druid",,,,,,"Beast",,
"Classic","Pantera de la selva","<b>Sigilo</b>","Common",3,"Minion","EX1_017","Horde",Stealth,2,,4,,,True,"Jaemin Kim","Tuercespina es un hermoso lugar para visitar pero no creo que te guste mucho vivir ahí.",,"Beast",,
"Classic","Partetesta","Inflige $2 de daño al héroe enemigo. <b>Combo:</b> devuelve esta carta a tu mano en el próximo turno.","Rare",3,"Spell","EX1_137","Neutral",Combo,,,,"Rogue",,True,"James Zhang","Cuando todo lo demás falla nada mejor que un buen golpe en la sien.",,,,
"Classic","Paso de las sombras","Devuelve un esbirro aliado a tu mano. Cuesta (2) menos.","Common",0,"Spell","EX1_144","Neutral",,,,,"Rogue",,True,"Graven Tung","A veces las tropas danzantes de los pícaros terminan la función con unos pasitos en las sombras. Y el público enloquece.",,,,
"Classic","Pelea","Destruye a todos los esbirros excepto uno <i>(elegido aleatoriamente).</i>","Epic",5,"Spell","EX1_407","Neutral",,,,,"Warrior",,True,"Wayne Reynolds","¿Sabes cuál es la primera regla del Club de la Pelea?",,,,
"Classic","Pesadilla","Este esbirro tiene +5/+5 pero pronto será destruido.",,,"Enchantment","DREAM_05e",,,,,,,,,,,,,,
"Classic","Pesadilla","Otorga +5/+5 a un esbirro. Al comienzo de tu próximo turno destrúyelo.",,0,"Spell","DREAM_05",,,,,,"Dream",,,,,,,,
"Classic","Piroexplosión","Inflige $10 de daño.","Epic",10,"Spell","EX1_279","Neutral",,,,,"Mage",,True,"Luca Zontini","Cuando robes esta carta tómate un momento para lanzar una carcajada diabólica.",,,,
"Classic","Piromántico salvaje","Después de lanzar un hechizo inflige 1 de daño a TODOS los esbirros.","Rare",2,"Minion","NEW1_020",,,2,,3,,,True,"Alex Horley Orlandelli","¡BUM BUM! ¡PON A GOZAR TU CUERPO CON EL BUM!",,,,
"Classic","Poder de lo salvaje","<b>Elige una opción:</b> otorga +1/+1 a tus esbirros o invoca una Pantera 3/2.","Common",2,"Spell","EX1_160","Neutral",,,,,"Druid",,True,"Steve Tappin","Nunca mires a una pantera a los ojos. Un momento... ¿era "Siempre mira a una pantera a los ojos"? Bueno es una de las dos.",,,,
"Classic","Poder del Kirin Tor","Tu próximo Secreto cuesta (0).",,,"Enchantment","EX1_612o",,OneTurnEffect,,,,"Mage",,,,,,,,
"Classic","Poder sobrecogedor","Otorga +4/+4 a un esbirro aliado hasta el final del turno. Luego muere. De una forma horrible.","Common",1,"Spell","EX1_316","Neutral",,,,,"Warlock",,True,"Tom Baxa","No hay palabras para describir lo horrible que es esa muerte. ¡Es TREMENDAMENTE fea! Horripilante. No lo hagas por favor.",,,,
"Classic","Poder sobrecogedor","Este esbirro tiene +4/+4 pero morirá horriblemente al final del turno.",,,"Enchantment","EX1_316e","Neutral",,,,,"Warlock",,,,,,,,
"Classic","Pollo enfadado","<b>Enfurecer:</b> +5 de Ataque.","Rare",1,"Minion","EX1_009",,Enrage,1,,1,,,True,"Mike Sass","No hay bestia más aterradora (o ridícula) que una gallina completamente fuera de sus casillas.",,"Beast",,
"Classic","Portaescudos","<b>Provocación</b>","Common",1,"Minion","EX1_405","Neutral",Taunt,4,,0,,,True,"Carl Critchlow","¿Has visto el tamaño de los escudos en este juego? Esto no es moco de pavo.",,,,
"Classic","Portal de invocación","Tus esbirros cuestan (2) menos pero no menos de (1).","Common",4,"Minion","EX1_315","Neutral",Aura,4,"",0,"Warlock",,True,"Tyler Walpole","¡NO MENOS DE 1! ¡Ni se te ocurra pensarlo!",,,,
"Classic","Potenciado","La Adicta al maná tiene Ataque aumentado.",,,"Enchantment","EX1_055o",,OneTurnEffect,,,,,,,,,,,,
"Classic","Pozo de luz","Al comienzo de tu turno restaura 3 de Salud a un personaje aliado dañado.","Rare",2,"Minion","EX1_341","Neutral",,5,"",0,"Priest",,True,"Blizzard Entertainment","No está claro si la gente no le presta atención al Pozo de luz o si simplemente es invisible.",,,,
"Classic","Preparación","El próximo hechizo que juegues en este turno cuesta (3) menos.",,,"Enchantment","EX1_145o",,OneTurnEffect,,,,"Rogue",,,,,,,,
"Classic","Preparación","El próximo hechizo que juegues en este turno cuesta (3) menos.","Epic",0,"Spell","EX1_145","Neutral",,,,,"Rogue",,True,"Clint Langley",""Estén preparados" —Lema de Pícaros.",,,,
"Classic","Profeta Velen","Duplica el daño y la sanación de tus hechizos y de tu Poder de héroe.","Legendary",7,"Minion","EX1_350","Neutral",,7,,7,"Priest",,True,"Wei Wang","Lo exiliaron de su hogar y todos sus hermanos se volvieron malvados. Pero dejando eso de lado no tiene mucho de qué quejarse.",True,,,
"Classic","Protector argenta","<b>Grito de batalla:</b> otorga <b>Escudo divino</b> a un esbirro aliado.","Common",2,"Minion","EX1_362","Neutral",Battlecry,2,,2,"Paladin",,True,"Doug Alexander",""No digo que puedes esquivar bolas de fuego. Digo que con este escudo no te hará falta".",,,,
"Classic","Protectora Furia del Sol","<b>Grito de batalla:</b> otorga <b>Provocación</b> a los esbirros adyacentes.","Rare",2,"Minion","EX1_058","Alliance",Battlecry,3,,2,,,True,"James Ryman","Lleva un escudo pero solo para dárselo a alguien que la proteja.",,,,
"Classic","Protegido","Ataque aumentado.",,,"Enchantment","EX1_001e",,,,,,,,,,,,,,
"Classic","Púa mental","<b>Poder de héroe</b>
Inflige 2 de daño.",,2,"Hero Power","EX1_625t",,,,,,"Priest",,,,,,,,
"Classic","Puesto a punto","+2 de Ataque.",,,"Enchantment","EX1_603e",,,,,,"Warrior",,,,,,,,
"Classic","Rabioso","Ataque aumentado.",,,"Enchantment","EX1_604o",,,,,,"Warrior",,,,,,,,
"Classic","Rabioso Amani","<b>Enfurecer:</b> +3 de Ataque","Common",2,"Minion","EX1_393","Neutral",Enrage,3,,2,,,True,"Chippy","Si un Rabioso Amani pregunta "¡¿Me estás mirando?!" la respuesta correcta es "No colega".",,,,
"Classic","Rabioso espumoso","Cada vez que un esbirro recibe daño obtiene +1 de Ataque.","Rare",3,"Minion","EX1_604","Neutral",,4,"",2,"Warrior",,True,"Simon Bisley","Antes era contador hasta que descubrió su talento como rabioso.",,,,
"Classic","Ráfaga de lava","Inflige $5 de daño. <b>Sobrecarga:</b> (2)","Rare",3,"Spell","EX1_241","Neutral",,,,,"Shaman",,True,"Dan Scott","¡Es como un océano de magma líquida en tu boca!",,,,
"Classic","Ragnaros el Señor del Fuego","No puede atacar. Al final de tu turno inflige 8 de daño a un enemigo aleatorio.","Legendary",8,"Minion","EX1_298","Neutral",,8,,8,,,True,"Greg Staples","Los enanos Hierro negro invocaron a Ragnaros que luego terminó esclavizándolos. A menudo Invocar al Señor del Fuego no funciona como uno espera.",True,,,
"Classic","Redención","<b>Secreto:</b> cuando uno de tus esbirros muera devuélvelo al campo de batalla con 1 de Salud.","Common",1,"Spell","EX1_136","Neutral",Secret,,,,"Paladin",,True,"Ittoku","No logro entender cómo conseguiste la dención en primer lugar. ¡Es un misterio!",,,,
"Classic","Redirección","<b>Secreto:</b> cuando un personaje ataca a tu héroe el ataque se desvía a otro personaje aleatorio.","Rare",2,"Spell","EX1_533","Neutral",Secret,,,,"Hunter",,True,"Daren Bader","A veces el secreto es ponerse un bigote falso y señalar al de al lado.",,,,
"Classic","Reforzado","Salud aumentada.",,,"Enchantment","NEW1_025e",,,,,,,,,,,,,,
"Classic","Relámpago bifurcado","Inflige $2 de daño a 2 esbirros enemigos aleatorios. <b>Sobrecarga:</b> (2)","Common",1,"Spell","EX1_251","Neutral",,,,,"Shaman",,True,"Ralph Horsley","Dicen que el Lámpago bifurcado ya era fulminante ¡imagínate el RElámpago!",,,,
"Classic","Rey Krush","<b>Carga</b>","Legendary",9,"Minion","EX1_543","Neutral",Charge,8,,8,"Hunter",,True,"Alex Horley Orlandelli","La mejor defensa contra el Rey Krush es buscar a alguien que te caiga mal y usarlo de escudo.",True,"Beast",,
"Classic","Rey Mukla","<b>Grito de batalla:</b> otorga 2 Bananas a tu adversario.","Legendary",3,"Minion","EX1_014",,Battlecry,5,,5,,,True,"Sunny Gho","Rey Mukla merodea por la Isla Jaguero... en busca de amor.",True,"Beast",,
"Classic","Roboalarma","Al comienzo de tu turno cambia este esbirro por uno aleatorio de tu mano.","Rare",3,"Minion","EX1_006",,,3,,0,,,True,"Sean O’Daniels","ADVERTENCIA. ADVERTENCIA. ADVERTENCIA.",,"Mech",,
"Classic","Rompedor de hechizos","<b>Grito de batalla:</b> <b>Silencia</b> a un esbirro.","Common",4,"Minion","EX1_048","Horde",Battlecry,3,,4,,,True,"Matt Cavotta","Los rompedores de hechizos pueden destruir los encantamientos de los usuarios de la magia. El procedimiento es indoloro y puede hacerse con un tratamiento ambulatorio.",,,,
"Classic","Rugido desmoralizador","Este esbirro tiene -3 de Ataque en este turno.",,,"Enchantment","EX1_161o",,OneTurnEffect,,,,"Druid",,,,,,,,
"Classic","Sabueso","<b>Carga</b>",,1,"Minion","EX1_538t",,Charge,1,,1,"Hunter",,,,,,"Beast",,
"Classic","Sacerdotisa de almas auchenai","Tus cartas y poderes que restauran Salud ahora infligen daño.","Rare",4,"Minion","EX1_591","Neutral",Aura,5,,3,"Priest",,True,"Doug Alexander","Los Auchenai saben que se acerca el fin pero no están seguros de cuándo será.",,,,
"Classic","Sacerdotisa de Elune","<b>Grito de batalla:</b> restaura 4 de Salud a tu héroe.","Common",6,"Minion","EX1_583","Neutral",Battlecry,4,,5,,,True,"Dan Scott","Si se jacta de que te hará sentir como en la Luna trata de no dejarte llevar por la imaginación...",,,,
"Classic","Sacerdotisa de la cábala","<b>Grito de batalla:</b> toma el control de un esbirro enemigo que tenga 2 de Ataque o menos.","Epic",6,"Minion","EX1_091","Neutral",Battlecry,5,,4,"Priest",,True,"Chippy","Nunca se sabe quién puede estar trabajando de encubierto para la cábala...",,,,
"Classic","Sacerdotisa joven","Al final de tu turno otorga +1 de Salud a otro esbirro aliado aleatorio.","Rare",1,"Minion","EX1_004",,,1,,2,,,True,"Vance Kovacs","Está ansiosa por aprender Palabra de poder: Entereza nivel 2.",,,,
"Classic","Sacrificio noble","<b>Secreto:</b> cuando un enemigo ataca invocas un Defensor 2/1 como el nuevo objetivo.","Common",1,"Spell","EX1_130","Neutral",Secret,,,,"Paladin",,True,"Zoltan & Gabor","¡Nunca te olvidaremos "Defensor"!",,,,
"Classic","Salvajismo","Inflige daño equivalente al Ataque de tu héroe contra un esbirro.","Rare",1,"Spell","EX1_578","Neutral",AffectedBySpellPower,,,,"Druid",,True,"Dave Rapoza","Es cierto algunos druidas son salvajes pero también hay otros que disfrutan los momentos de paz con una taza de té.",,,,
"Classic","Sangre fría","Otorga +2 de Ataque a un esbirro. <b>Combo:</b> +4 de Ataque.","Common",1,"Spell","CS2_073","Neutral",Combo,,,,"Rogue",,True,"Alex Horley Orlandelli",""Mi sangre es más fría que el acero de mis espadas".",,,,
"Classic","Sangre fría","+2 de Ataque.",,,"Enchantment","CS2_073e",,,,,,"Rogue",,,,,,,,
"Classic","Sangre fría","+4 de Ataque.",,,"Enchantment","CS2_073e2",,,,,,"Rogue",,,,,,,,
