SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,RACE,ELITE,DURABILITY
Goblins vs Gnomes,Moneda de Gallywix,Obtienes 1 Cristal de maná solo en este turno.
<i>(No activará a Gallywix)</i>.,Spell,GVG_028t,,,,,,,0,,,,,
Goblins vs Gnomes,Montura araña,,Minion,GVG_044,,,True,Dany Orizio,Common,3,3,4,"¿Y si le agregamos armas?" —Fizzblitz mientras contemplaba la máquina transportadora de arañas,Mech,,
Goblins vs Gnomes,Muñeco-diana,<b>Provocación</b>.,Minion,GVG_093,,Taunt,True,Matt Dixon,Rare,0,0,2,La versión para ingenieros de un cartel que dice "Patéame".,Mech,,
Goblins vs Gnomes,Neptulon,<b>Grito de batalla:</b> agrega 4 Múrlocs aleatorios a tu mano. <b>Sobrecarga: (3)</b>,Minion,GVG_042,Shaman,Battlecry,True,Ruan Jia,Legendary,7,7,7,Neptulon es "El Cazamareas" y uno de los cuatro señores elementales. Cuando sale de juerga con Ragnaros todas las fiestas tienen un sauna.,,True,
Goblins vs Gnomes,Ninja ogro,<b>Sigilo</b>
50% de probabilidades de atacar al enemigo equivocado.,Minion,GVG_088,Rogue,Stealth,True,Samwise,Rare,6,5,6,Con sus calificaciones nunca podría haber entrado a la escuela de ninjas. Pero su padre usó sus influencias.,,,
Goblins vs Gnomes,Nulificador arcano X-21,<b>Provocación</b>
No puede ser objetivo de Hechizos ni Poderes de héroe.,Minion,GVG_091,,Taunt,True,Zero Yue,Rare,2,4,5,Los magos e ingenieros goblin debatieron mucho sobre la conveniencia de esta invención.,Mech,,
Goblins vs Gnomes,Ofrenda de cartas,Cada jugador roba una carta.,Spell,GVG_032b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Ofrenda de maná,Otorga un Cristal de maná a cada jugador.,Spell,GVG_032a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Oveja explosiva,<b>Estertor:</b> inflige 2 de daño a todos los esbirros.,Minion,GVG_076,,Deathrattle,True,Ralph Horsley,Common,1,2,1,¿Cómo se supone que funciona? ¿Los enemigos la ven dicen "<i>¡Qué linda ovejita!</i>" y corren a abrazarla?,Mech,,
Goblins vs Gnomes,Pequeña exorcista,<b>Provocación</b>
<b>Grito de batalla:</b> obtiene +1/+1 por cada esbirro enemigo con <b>Estertor</b>.,Minion,GVG_097,,Battlecry|Taunt,True,Jim Nelson,Rare,2,3,3,Los brujos siempre tienen un exorcista en su lista de contactos por si acaso liberan al demonio equivocado.,,,
Goblins vs Gnomes,Pisacharcos,,Minion,GVG_064,,,True,Jaemin Kim,Common,3,2,2,Le rinde tributo a Morgl ¡el gran oráculo múrloc! (¿Y quién no?),Murloc,,
Goblins vs Gnomes,Pistones,Ataque aumentado.,Enchantment,GVG_076a,,,,,,,,,,,,
Goblins vs Gnomes,Poderío de Ciudad Manitas,+1/+1.,Enchantment,GVG_102e,,,,,,,,,,,,
Goblins vs Gnomes,Poderío de ZulFarrak,Ataque multiplicador.,Enchantment,GVG_049e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Pollo,,Minion,GVG_092t,,,,,,1,1,1,,Beast,,
Goblins vs Gnomes,Portal inestable,Agrega un esbirro aleatorio a tu mano. Cuesta (3) menos.,Spell,GVG_003,Mage,,True,Sean ODaniels,Rare,,2,,Los ciudadanos de Azeroth no se imaginan el esfuerzo que requiere este trabajo. El 30% de nuestro presupuesto anual está destinado al mantenimiento de portales.,,,
Goblins vs Gnomes,Potenciado,+2/+2.,Enchantment,GVG_036e,Shaman,,,,,,,,,,,
Goblins vs Gnomes,Príncipe mercante Gallywix,Cuando tu adversario lanza un hechizo obtienes una copia y le das una Moneda.,Minion,GVG_028,Rogue,,True,Wei Wang,Legendary,5,6,8,Gallywix cree en la oferta y la demanda: ¡ofrece palizas y demanda que pagues!,,True,
Goblins vs Gnomes,Purificador Escarlata,<b>Grito de batalla</b>: inflige 2 de daño a todos los esbirros con <b>Estertor</b>.,Minion,GVG_101,Paladin,Battlecry,True,Anton Zemskov,Rare,4,3,3,La Cruzada Escarlata está haciendo una investigación de mercado para averiguar si la "Cruzada Lila" tendría mayor aceptación.,,,
Goblins vs Gnomes,Puro,Estadísticas aumentadas.,Enchantment,GVG_101e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Rayo reductor,-2 de Ataque en este turno.,Enchantment,GVG_011a,,OneTurnEffect,,,,,,,,,,
Goblins vs Gnomes,Reciclaje,Coloca un esbirro enemigo en el mazo de tu oponente.,Spell,GVG_031,Druid,,True,Brandon Kitkouski,Rare,,6,,Para un reciclaje druida exitoso separa los plásticos en un contenedor y los esbirros enemigos en otro.,,,
Goblins vs Gnomes,Recombobulador,<b>Grito de batalla:</b> transforma a un esbirro aliado en un esbirro aleatorio del mismo costo.,Minion,GVG_108,,Battlecry,True,Ben Olson,Epic,3,2,2,Por si acaso la primera combobulación no salió del todo bien.,,,
Goblins vs Gnomes,Refrigerante de emergencia,<b>Congela</b> a un esbirro.,Spell,PART_005,,Freeze,,Peerasak Senalai,,,1,,,,,
Goblins vs Gnomes,Repuestos de lata,+2/+2.,Enchantment,GVG_055e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Retribución,Ataque aumentado,Enchantment,GVG_063a,,,,,,,,,,,,
Goblins vs Gnomes,Revolucionado,Daño de hechizo +2.,Enchantment,GVG_123e,Mage,Spellpower,,,,,,,,,,
Goblins vs Gnomes,Rey de las bestias,<b>Provocación</b>. <b>Grito de batalla:</b> obtiene +1 de Ataque por cada Bestia que tengas.,Minion,GVG_046,Hunter,Battlecry|Taunt,True,Seamus Gallagher,Rare,2,5,6,Nunca duerme. Ni siquiera en la imponente jungla.,Beast,,
Goblins vs Gnomes,Robosanador antiguo,<b>Grito de batalla:</b> restaura 8 de Salud a tu héroe.,Minion,GVG_069,,Battlecry,True,Jesper Esjing,Common,3,5,3,¡Ya no los hacen como antes! (Principalmente por las explosiones).,Mech,,
Goblins vs Gnomes,Robot bum,<b>Estertor</b>: inflige 1-4 de daño a un enemigo aleatorio.,Minion,GVG_110t,,Deathrattle,,,,1,1,1,,Mech,,
Goblins vs Gnomes,Robot de reparación mejorado,<b>Grito de batalla:</b> otorga +4 de Salud a un Meca aliado.,Minion,GVG_083,Priest,Battlecry,True,Nutchapol Thitinunthakorn,Rare,5,5,5,Son idénticos a los de la generación anterior. Solo les agregaron la palabra "mejorado" para venderlos al doble.,Mech,,
Goblins vs Gnomes,Robotín,Al comienzo de cada turno obtiene +1 de Ataque.,Minion,GVG_103,,,True,Skan Srisuwan,Common,1,2,2,Está pensando seriamente en cambiarse el nombre: odia que le digan Robotina.,Mech,,
Goblins vs Gnomes,Sabotaje,Destruye un esbirro enemigo aleatorio. <b>Combo</b>: Destruye el arma de tu adversario.,Spell,GVG_047,Rogue,Combo,True,Dave Allsop,Epic,,4,,Los pícaros están indignados. Saben que fue tu idea. ¡No te saldrás con la tuya!,,,
Goblins vs Gnomes,Saltador dienteacero,<b>Grito de batalla</b>: otorga +2 de Ataque a tus otros Mecas.,Minion,GVG_048,Hunter,Battlecry,True,Hideaki Takamura,Rare,3,3,3,No los olvides bajo la lluvia. En el Cráter de UnGoro hay toda una colonia de saltadores dienteoxidados.,Mech,,
Goblins vs Gnomes,Sello de luz,Restaura #4 de Salud a tu héroe y le otorga +2 de Ataque durante este turno.,Spell,GVG_057,Paladin,ImmuneToSpellpower,True,Jason Chan,Common,,2,,El Sello de luz de bajo consumo restaura OCHO de salud por el mismo precio.,,,
Goblins vs Gnomes,Sello de luz,+2 de Ataque en este turno.,Enchantment,GVG_057a,,OneTurnEffect,,,,,,,,,,
Goblins vs Gnomes,Sensei de la armonía,Estadísticas aumentadas.,Enchantment,GVG_027e,Rogue,,,,,,,,,,,
Goblins vs Gnomes,Sensei férreo,Al final de tu turno otorga +2/+2 a otro Meca aliado.,Minion,GVG_027,Rogue,,True,Brian Despain,Rare,2,3,2,Es el maestro favorito de los Mecas porque habla su mismo idioma.

0110100001101001,Mech,,
Goblins vs Gnomes,Siegaenemigos 4000,También daña a los esbirros adyacentes al objetivo.,Minion,GVG_113,,,True,James Ryman,Legendary,6,8,9,Segar enemigos no es tan distinto de segar una cosecha... una vez que te acostumbras.,Mech,True,
Goblins vs Gnomes,Superafilado,+1 de Ataque.,Enchantment,GVG_023a,,,,,,,,,,,,
Goblins vs Gnomes,Técnico de Ciudad Manitas,<b>Grito de batalla:</b> si tienes un Meca obtiene +1/+1 y agrega una <b>Pieza de repuesto</b> a tu mano.,Minion,GVG_102,,Battlecry,True,Gabor Szikszai,Common,3,3,3,No debe de ser fácil ser técnico en Ciudad Manitas. Hay mucha competencia.,,,
Goblins vs Gnomes,TOMA: POTENCIADOR.,+2/+2.,Enchantment,GVG_104a,,,,,,,,,,,,
Goblins vs Gnomes,Toscogro,50% de probabilidades de atacar al enemigo equivocado.,Minion,GVG_065,,,True,Vinod Rams,Common,4,3,4,Los ogros tienen serios problemas de memoria que... Los ogros tienen serios...,,,
Goblins vs Gnomes,Toshley,<b>Grito de batalla y Estertor:</b> Agrega una carta de <b>Pieza de repuesto</b> a tu mano.,Minion,GVG_115,,Battlecry|Deathrattle,True,Zoltan & Gabor,Legendary,5,6,7,Algo sobre transformadores.,,True,
Goblins vs Gnomes,Tótem vital,Al final de tu turno restaura 4 de Salud a tu héroe.,Minion,GVG_039,Shaman,,True,Guangjian Huang,Rare,0,2,3,Puedes comprarlos en el mercado totémico. Este sábado están de oferta.,Totem,,
Goblins vs Gnomes,Triturador piloteado,<b>Estertor:</b> invoca un esbirro aleatorio con un costo de 2.,Minion,GVG_096,,Deathrattle,True,Dan Scott,Common,4,4,3,Antes los goblins eran los únicos que pilotaban trituradores. Ahora parece que todos tienen uno: desde el Orador del sino hasta el Eremita Cho.,Mech,,
Goblins vs Gnomes,Trogg Comepiedras fornido,Cada vez que tu adversario juega un hechizo obtiene +2 de Ataque.,Minion,GVG_068,,,True,Chris Rahn,Common,3,4,5,Es así de fornido porque practica crossfit.,,,
Goblins vs Gnomes,Trogg Rompecantos,Cada vez que tu adversario juega un hechizo obtiene +1 de Ataque.,Minion,GVG_067,,,True,Peet Cooper,Common,2,2,3,Lo único peor que el olor de los troggs es su producción poética.,,,
Goblins vs Gnomes,Troggzor el Terrinator,Cada vez que tu adversario juega un hechizo tú invocas un Trogg Comepiedras fornido.,Minion,GVG_118,,,True,Mike Sass,Legendary,6,7,6,Muchos han intentado detenerlo pero sigue exterrinando todo en la región.,,True,
Goblins vs Gnomes,Umbroso,Salud intercambiada.,Enchantment,GVG_014a,Priest,,,,,,,,,,,
Goblins vs Gnomes,V-07-TR-0N,<b>Carga</b>
<b>Megaviento furioso</b> <i>(Puede atacar cuatro veces por turno).</i>,Minion,GVG_111t,,Charge,,Chris Seaman,Legendary,4,8,8,,Mech,True,
Goblins vs Gnomes,Vieja trituradora de Sneed,<b>Estertor:</b> invoca un esbirro legendario aleatorio.,Minion,GVG_114,,Deathrattle,True,Christopher Moeller,Legendary,5,8,7,Cuando Sneed fue derrotado en las Minas de la Muerte un comprador anónimo adquirió su trituradora en una subasta. (Dicen que fue Hogger).,Mech,True,
Goblins vs Gnomes,Viejo lobo de mar,,Minion,GVG_070,,,True,Alex Horley Orlandelli,Common,7,5,4,Durante años padeció una terrible enfermedad: era perro de agua dulce.,Pirate,,
Goblins vs Gnomes,Vigía flotante,Cada vez que tu héroe recibe daño durante tu turno obtiene +2/+2.,Minion,GVG_100,Warlock,,True,Todd Lockwood,Common,4,5,4,El nombre original era Vigía ojosádico de la perdición pero el departamento de marketing creyó que era un poco agresivo.,Demon,,
Goblins vs Gnomes,Voljin,<b>Grito de batalla:</b> intercambia su Salud con otro esbirro.,Minion,GVG_014,Priest,Battlecry,True,Raymond Swanland,Legendary,6,5,2,Voljin es un cazador de las sombras que es algo así como un sacerdote de las sombras pero con más vudú.,,True,
Goblins vs Gnomes,Yeti mecánico,<b>Estertor:</b> otorga una <b>Pieza de repuesto</b> a cada jugador.,Minion,GVG_078,,Deathrattle,True,Chris Seaman,Common,4,4,5,Los yetis de Alto del Orvallo son una fuente de inspiración y de golpizas salvajes.,Mech,,
Goblins vs Gnomes,Zancaalta perdido,,Minion,GVG_071,,,True,Benjamin Zhang,Common,5,4,4,En el trasero tiene un tatuaje que dice: "Si me pierdo devuélvanme a Mulgore".,Beast,,
Goblins vs Gnomes,Zap-o-mático giratorio,<b>Viento furioso</b>,Minion,GVG_037,Shaman,Windfury,True,Jim Nelson,Common,3,2,2,Por un dinerillo adicional puedes comprarlo en "rojo manzana deliciosa".,Mech,,
Goblins vs Gnomes,Zapador goblin,Tiene +4 de Ataque mientras tu adversario tiene 6 o más cartas en la mano.,Minion,GVG_095,,Aura,True,Jesper Esjing,Rare,2,3,4,Sus noches de pasarla bomba ya quedaron atrás. Ahora prefiere un buen libro y una taza de té.,,,
