MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,DURABILITY
,,Goblins vs Gnomes,Plaque d’armure,Nutchapol Thitinunthakorn,Donne +1 PV à un serviteur.,,,1,,,,Spell,PART_001,,,
,,Goblins vs Gnomes,Plaque d’armure,,+1 PV.,,,,,,,Enchantment,PART_001e,,,
,True,Goblins vs Gnomes,Portail instable,Sean O&sbquo;Daniels,Place un serviteur aléatoire dans votre main. Il coûte (3) cristaux de moins.,Rare,,2,,,Les citoyens d&sbquo;Azeroth ne s’imaginent pas combien il est difficile et surtout coûteux de stabiliser ces portails. D’ailleurs vous auriez pas 1 PO pour nous aider ?,Spell,GVG_003,Mage,,
,,Goblins vs Gnomes,Poulet,,,,1,1,1,Beast,,Minion,GVG_092t,,,
,True,Goblins vs Gnomes,Prince marchand Gallywix,Wei Wang,Chaque fois que votre adversaire lance un sort  il obtient une Pièce et vous gagnez une copie du sort.,Legendary,5,6,8,,Gallywix croit au principe de l’offre et la demande : il vous file une raclée et vous demande de le payer !,Minion,GVG_028,Rogue,True,
,,Goblins vs Gnomes,Puissance acquise,,+2/+2.,,,,,,,Enchantment,GVG_036e,Shaman,,
,,Goblins vs Gnomes,Puissance de Brikabrok,,+1/+1.,,,,,,,Enchantment,GVG_102e,,,
,,Goblins vs Gnomes,Puissance de Zul’Farrak,,Multiple l’Attaque.,,,,,,,Enchantment,GVG_049e,Hunter,,
,,Goblins vs Gnomes,Pur,,Caractéristiques augmentées.,,,,,,,Enchantment,GVG_101e,Paladin,,
Battlecry,True,Goblins vs Gnomes,Purificateur écarlate,Anton Zemskov,<b>Cri de guerre :</b> inflige 2 points de dégâts à tous les serviteurs avec <b>Râle d’agonie</b>.,Rare,4,3,3,,La Croisade écarlate fait une étude de marché pour savoir si changer de nom pour la Croisade mauve améliorerait son image.,Minion,GVG_101,Paladin,,
OneTurnEffect,,Goblins vs Gnomes,Rayon réducteur,,-2 ATQ pendant ce tour.,,,,,,,Enchantment,GVG_011a,,,
Battlecry,True,Goblins vs Gnomes,Recombobulateur,Ben Olson,<b>Cri de guerre :</b> transforme un serviteur allié en un serviteur aléatoire de même coût.,Epic,3,2,2,,Votre combobulation a raté ? Si la réponse est oui n’attendez plus et appelez un professionnel !,Minion,GVG_108,,,
,True,Goblins vs Gnomes,Recyclage,Brandon Kitkouski,Replace un serviteur adverse dans le deck de votre adversaire.,Rare,,6,,,Les druides ont tout compris au recyclage : ils mettent le plastique dans le bac jaune et les serviteurs adverses dans le bac vert.,Spell,GVG_031,Druid,,
Battlecry,True,Goblins vs Gnomes,Réducteur fou,Jim Nelson,<b>Cri de guerre :</b> donne à un serviteur -2 ATQ pendant ce tour.,Common,3,2,2,,Depuis la débâcle de l’agrandisseur de monde les gnomes sont plus prudents avec les inventions modifiant la taille enfin la plupart du temps.,Minion,GVG_011,Priest,,
,True,Goblins vs Gnomes,Régiment de bataille,Mike Hayes,Invoque trois recrues de la Main d’argent 1/1. Équipe une arme 1/4.,Rare,,3,,,« Avec du guacamole la fête est plus folle ! » - Cri de ralliement de prédilection de la Main d’Argent.,Spell,GVG_061,Paladin,,
Spellpower,,Goblins vs Gnomes,Remonté,,+2 aux dégâts des sorts.,,,,,,,Enchantment,GVG_123e,Mage,,
,,Goblins vs Gnomes,Remontoir,Nutthapon Petthai,Renvoie un serviteur allié dans votre main.,,,1,,,,Spell,PART_002,,,
,,Goblins vs Gnomes,Réparations !,,+4 PV.,,,,,,,Enchantment,GVG_069a,Priest,,
Deathrattle,,Goblins vs Gnomes,Ro’Boum,,<b>Râle d’agonie :</b> inflige 1 à 4 points de dégâts à un adversaire aléatoire.,,1,1,1,Mech,,Minion,GVG_110t,,,
Enrage,True,Goblins vs Gnomes,Robo-baston,Tyler Walpole,<b>Accès de rage :</b> +1 ATQ.,Common,1,1,3,Mech,La production en série des Robo-baston a été arrêtée quand on a découvert qu’ils étaient fabriqués en modèle réduit.,Minion,GVG_051,Warrior,,
Battlecry,True,Goblins vs Gnomes,Robot barbier gobelin,Zolton Boros,<b>Cri de guerre :</b> confère à votre arme +1 ATQ.,Common,3,2,2,Mech,Sur son enseigne on peut lire « Raies barbes et tifs ».,Minion,GVG_023,Rogue,,
Battlecry,True,Goblins vs Gnomes,Robot de soins antique,Jesper Esjing,<b>Cri de guerre :</b> rend 8 PV à votre héros.,Common,3,5,3,Mech,Des Méca construits pour durer qu’ils disaient…,Minion,GVG_069,,,
Battlecry,True,Goblins vs Gnomes,Robot réparateur amélioré,Nutchapol Thitinunthakorn,<b>Cri de guerre :</b> donne +4 PV à un Méca allié.,Rare,5,5,5,Mech,Si ce n’est pour la mention « amélioré » dans son nom il est en tous points identique à la version précédente. Mais il est vendu le double du prix.,Minion,GVG_083,Priest,,
Battlecry|Taunt,True,Goblins vs Gnomes,Roi des bêtes,Seamus Gallagher,<b>Provocation</b>. <b>Cri de guerre :</b> gagne +1 ATQ pour chacune de vos autres Bêtes.,Rare,2,5,6,Beast,Bienvenue au sommet de la chaîne alimentaire.,Minion,GVG_046,Hunter,,
Battlecry,True,Goblins vs Gnomes,Rouage-marteau,Danny Orizio,<b>Cri de guerre :</b> donne <b>Bouclier divin</b> et <b>Provocation</b> à un serviteur allié aléatoire.,Epic,2,3,,,Hé attendez un peu. Vous dites que vous avez fabriqué une arme à partir… d’un rouage ???,Weapon,GVG_059,Paladin,,3
Combo,True,Goblins vs Gnomes,Sabotage,Dave Allsop,Détruit un serviteur adverse aléatoire. <b>Combo :</b> détruit aussi l’arme de votre adversaire.,Epic,,4,,,Je ne suis pas un spécialiste mais à mon avis là vous allez mourir hein !,Spell,GVG_047,Rogue,,
,True,Goblins vs Gnomes,Saccageur gangrené,Zoltan & Gabor,Chaque fois que votre adversaire joue une carte vous défausse des 3 cartes sur le dessus de votre deck.,Epic,8,5,8,Mech,Une petite merveille d’ingénierie gangrenée.,Minion,GVG_016,,,
Aura,True,Goblins vs Gnomes,Sapeur gobelin,Jesper Esjing,A +4 ATQ tant que votre adversaire a 6 cartes ou plus dans sa main.,Rare,2,3,4,,Il ne s’éclate qu’en bonne société !,Minion,GVG_095,,,
,True,Goblins vs Gnomes,Saute-flaque,Jaemin Kim,,Common,3,2,2,Murloc,C’est un grand fan de Morgl le grand oracle murloc ! (mais qui ne l’est pas ?!),Minion,GVG_064,,,
OneTurnEffect,,Goblins vs Gnomes,Sceau de Lumière,,+2 ATQ pendant ce tour.,,,,,,,Enchantment,GVG_057a,,,
ImmuneToSpellpower,True,Goblins vs Gnomes,Sceau de Lumière,Jason Chan,Rend #4 |4(pointpoints) de vie à votre héros et lui confère +2 ATQ pendant ce tour.,Common,,2,,,Puisse cette lumière vous éclairer dans les endroits les plus sombres où toutes les autres lumières seront éteintes.,Spell,GVG_057,Paladin,,
,True,Goblins vs Gnomes,Senseï de fer,Brian Despain,À la fin de votre tour donne +2/+2 à un autre Méca allié.,Rare,2,3,2,Mech,C’est le senseï préféré des Méca parce qu’il maîtrise toutes les subtilités de leur langue. 01011001011011111010000000100001,Minion,GVG_027,Rogue,,
,True,Goblins vs Gnomes,Sniper de Gentepression,Jun Kang,Votre pouvoir héroïque peut viser les serviteurs.,Epic,2,2,3,,Peu de gobelins ont la patience nécessaire pour être sniper. La plupart préfèrent lancer des explosifs.,Minion,GVG_087,Hunter,,
,True,Goblins vs Gnomes,Sombres feux follets,Trent Kaniuga,<b>Choix des armes :</b> invoque 5 feux follets ou donne +5/+5 et <b>Provocation</b> à un serviteur.,Epic,,6,,,De toute évidence quelqu’un a nourri les feux follets après minuit…,Spell,GVG_041,Druid,,
,,Goblins vs Gnomes,Sombres feux follets,,+5/+5 et <b>Provocation</b>.,,,,,,,Enchantment,GVG_041c,Druid,,
,,Goblins vs Gnomes,Sombres feux follets,,+5/+5 et <b>Provocation</b>.,,,,,,,Spell,GVG_041a,Druid,,
,,Goblins vs Gnomes,Sombres feux follets,,Invoque 5 feux follets.,,,,,,,Spell,GVG_041b,Druid,,
Freeze,True,Goblins vs Gnomes,Souffle-neige,Gabor Szikszai,<b>Gèle</b> tout personnage blessé par ce serviteur.,Common,2,2,3,Mech,Rien à voir avec le transperce-neige.,Minion,GVG_002,Mage,,
,,Goblins vs Gnomes,Sourcils froncés,,Caractéristiques augmentées.,,,,,,,Enchantment,GVG_100e,Warlock,,
,True,Goblins vs Gnomes,Sylvenier du Bosquet,Chris Rahn,<b>Choix des armes :</b> donne à chaque joueur un cristal de mana ou chaque joueur pioche une carte.,Rare,2,3,4,,Aime : la rando et les grands espaces. Déteste : les déchiqueteurs gobelins et les sandales.,Minion,GVG_032,Druid,,
Battlecry,True,Goblins vs Gnomes,Technicien de Brikabrok,Gabor Szikszai,<b>Cri de guerre :</b> si vous avez un Méca gagne +1/+1 et ajoute une <b>Pièce détachée</b> dans votre main.,Common,3,3,3,,Aux bons ouvriers les bons outils.,Minion,GVG_102,,,
,True,Goblins vs Gnomes,Tête de Mimiron,Trent Kaniuga,Au début de votre tour si vous avez au moins 3 Méca les détruit tous pour former V-07-TR-0N.,Legendary,4,5,5,Mech,Ne pas appuyer sur le gros bouton rouge !,Minion,GVG_111,,True,
,True,Goblins vs Gnomes,Tir du cobra,Howard Lyon,Inflige $3 |4(pointpoints) de dégâts à un serviteur et au héros adverse.,Common,,5,,,Venu de nulle part c’est le tir du cobra. Plus vif que le serpent c’est le tir du cobra. Personne ne l’aperçoit c’est le tir du cobra. Mais il est toujours là c&sbquo;est le tir du cobra.,Spell,GVG_073,Hunter,,
Battlecry|Deathrattle,True,Goblins vs Gnomes,Toshley,Zoltan & Gabor,<b>Cri de guerre et Râle d’agonie :</b> ajoute une carte <b>Pièce détachée</b> dans votre main.,Legendary,5,6,7,,C’est la pièce manquante du puzzle ?,Minion,GVG_115,,True,
,True,Goblins vs Gnomes,Totem de vitalité,Guangjian Huang,À la fin de votre tour rend 4 PV à votre héros.,Rare,0,2,3,Totem,Vous pouvez en acheter sur le marché aux totems tous les samedis.,Minion,GVG_039,Shaman,,
Stealth,True,Goblins vs Gnomes,Traqueur gloubelin,Seamus Gallagher,<b>Camouflage</b>,Common,2,2,3,,« Chut je crois que j’ai entendu quelque chose. »
« Bah c’est probablement rien. »
- Des malfrats,Minion,GVG_081,,,
,True,Goblins vs Gnomes,Tricheur borgne,Danny Beck,Chaque fois que vous jouez un pirate gagne <b>Camouflage</b>.,Rare,4,2,1,Pirate,Si on ne peut plus tricher avec ses amis c’est plus la peine de jouer aux cartes.,Minion,GVG_025,Rogue,,
,True,Goblins vs Gnomes,Trogg brisepierre,Peet Cooper,Chaque fois que votre adversaire lance un sort gagne +1 ATQ.,Common,2,2,3,,Il n’y a rien de pire que l’odeur des troggs… sauf peut-être leurs poèmes.,Minion,GVG_067,,,
,True,Goblins vs Gnomes,Trogg mâcheroc mastoc,Chris Rahn,Chaque fois que votre adversaire lance un sort gagne +2 ATQ.,Common,3,4,5,,C’est dur à prononcer mais moins que « Le mastoc moustique mastique Max le mystique masqué ».,Minion,GVG_068,,,
,True,Goblins vs Gnomes,Troggzor le Terreminator,Mike Sass,Chaque fois que votre adversaire lance un sort invoque un trogg mâcheroc mastoc.,Legendary,6,7,6,,Il ne peut pas s’empêcher de terreminer le terrain malgré toutes les tentatives pour l’arrêter.,Minion,GVG_118,,True,
Charge,,Goblins vs Gnomes,V-07-TR-0N,Chris Seaman,<b>Charge</b>
<b>Méga furie des vents</b>
<i>(Peut attaquer quatre fois par tour.)</i>,Legendary,4,8,8,Mech,,Minion,GVG_111t,,True,
Battlecry,True,Goblins vs Gnomes,Vierge guerrière,Alex Horley Orlandelli,<b>Cri de guerre :</b> gagne 5 points d’armure.,Rare,5,6,5,,Elle a 3 porte-boucliers pour la soutenir c’est plus que certains chefs de village.,Minion,GVG_053,Warrior,,
Deathrattle,True,Goblins vs Gnomes,Vieux déchiqueteur de Sneed,Christopher Moeller,<b>Râle d’agonie :</b> invoque un serviteur légendaire aléatoire.,Legendary,5,8,7,Mech,Quand Sneed a été vaincu dans les Mortemines son déchiqueteur a été vendu aux enchères à un acheteur anonyme. (Probablement Lardeur.),Minion,GVG_114,,True,
,,Goblins vs Gnomes,Vindicte,,Attaque augmentée.,,,,,,,Enchantment,GVG_063a,,,
Battlecry,True,Goblins vs Gnomes,Vol’jin,Raymond Swanland,<b>Cri de guerre :</b> échange sa Vie avec un autre serviteur.,Legendary,6,5,2,,Vol’jin est un chasseur des ombres c’est comme un prêtre Ombre mais avec plus de vaudou mec !,Minion,GVG_014,Priest,True,
Deathrattle,True,Goblins vs Gnomes,Yéti mécanique,Chris Seaman,<b>Râle d’agonie :</b> donne une <b>Pièce détachée</b> à chaque joueur.,Common,4,4,5,Mech,Les yétis de la pointe du Noroît sont une source d’inspiration mais aussi de bleus.,Minion,GVG_078,,,
Windfury,True,Goblins vs Gnomes,Zap-o-matic tournoyant,Jim Nelson,<b>Furie des vents</b>,Common,3,2,2,Mech,Pour un petit supplément vous pouvez avoir l’option « rouge pompier ».,Minion,GVG_037,Shaman,,
