SET,NAME,TEXT,COST,TYPE,ID,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,DURABILITY,PLAYERCLASS,RACE
Curse of Naxxramas,Supercharge,Confère +2 PV à vos serviteurs.,2,Spell,NAX13_03,,,,,,,,,,,,,
Curse of Naxxramas,Thaddius,,,Hero,NAX13_01,,,30,,,,,,,,,,
Curse of Naxxramas,Thaddius,,,Hero,NAX13_01H,,,45,,,,,,,,,,
Curse of Naxxramas,Thaddius,,10,Minion,FP1_014t,,11,11,,,Legendary,,,,True,,,
Curse of Naxxramas,Thane Korth’azz,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_03H,,2,7,,,,,,,True,,,
Curse of Naxxramas,Thane Korth’azz,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_03,,1,7,,,,,,,True,,,
Curse of Naxxramas,Tisseuse,<b>Râle d’agonie :</b> ajoute une carte Bête aléatoire dans votre main.,1,Minion,FP1_011,Deathrattle,1,1,True,Dan Brereton,Common,Peut être créée après avoir terminé le défi de la classe chasseur de Naxxramas.,Les cocons d’araignée c’est comme les boîtes de chocolats : on ne sait jamais sur quoi on va tomber !,Obtenue en terminant le défi de la classe chasseur de Naxxramas.,,,Hunter,Beast
Curse of Naxxramas,Trait de givre,<b>Pouvoir héroïque</b>
Inflige 2 points de dégâts au héros ennemi et le <b>gèle</b>.,0,Hero Power,NAX15_02,Freeze,,,,,,,,,,,,
Curse of Naxxramas,Trait de givre,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts au héros ennemi et le <b>gèle</b>.,0,Hero Power,NAX15_02H,Freeze,,,,,,,,,,,,
Curse of Naxxramas,Tréant,,1,Minion,FP1_019t,,2,2,,,,,,,,,Druid,
Curse of Naxxramas,Vengeance,+3/+2.,,Enchantment,FP1_020e,,,,,,,,,,,,Paladin,
Curse of Naxxramas,Venger,<b>Secret :</b> quand l’un de vos serviteurs meurt donne +3/+2 à un serviteur allié aléatoire.,1,Spell,FP1_020,Secret,,,True,Zoltan & Gabor,Common,Peut être créée après avoir terminé le défi de la classe paladin de Naxxramas.,Un jour plusieurs paladins se sont ligués pour rendre la justice. Au moment de choisir un nom leur avocat les a convaincus de se faire appeler la Digue des justiciers. On n’est jamais trop prudent.,Obtenue en terminant le défi de la classe paladin de Naxxramas.,,,Paladin,
