MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,INPLAYTEXT,ELITE,RACE,DURABILITY
Taunt,Classic,Druide de la Griffe,<b>Provocation</b>,Minion,EX1_165t2,,,,Common,4,5,6,,Druid,,,Beast,
,Classic,Du calme !,L’Attaque est passée à 1.,Enchantment,EX1_382e,,,,,,,,,Paladin,,,,
,Classic,Éclair,Inflige $3 |4(pointpoints) de dégâts.
<b>Surcharge :</b> (1),Spell,EX1_238,True,Neutral,Daarken,Common,,1,,Foudre éclair et tonnerre !,Shaman,,,,
,Classic,Éclat lunaire,Inflige 2 points de dégâts.,Spell,EX1_166a,,Neutral,,,,,,,Druid,,,,
,Classic,Écureuil,,Minion,EX1_tk28,,Neutral,,Common,1,1,1,,,,,Beast,
,Classic,Écuyer,,Minion,CS2_152,,Alliance,,Common,2,1,2,,,,,,
Divine Shield,Classic,Écuyère d’Argent,<b>Bouclier divin</b>,Minion,EX1_008,True,Alliance,Zoltan & Gabor,Common,1,1,1,« Je jure solennellement de faire respecter la Lumière de purger le monde de ses ténèbres et de manger au moins 5 fruits et légumes par jour. » - Serment de l’Aube d’argent,,,,,
Combo,Classic,Edwin VanCleef,<b>Combo :</b> gagne +2/+2 pour chaque carte jouée auparavant pendant ce tour.,Minion,EX1_613,True,Neutral,Efrem Palacios,Legendary,2,3,2,Il a dirigé les maçons lors de la reconstruction de Hurlevent et lorsque les nobles ont refusé de payer il a fondé la Confrérie défias pour eh bien <i>redécorer</i> la ville.,Rogue,,True,,
,Classic,Égalité,Les points de vie de TOUS les serviteurs passent à 1.,Spell,EX1_619,True,Neutral,Michal Ivan,Rare,,2,,Nous sommes tous spéciaux et uniques... même avec un seul point de vie.,Paladin,,,,
,Classic,Égalité,Les points de vie sont passés à 1.,Enchantment,EX1_619e,,,,,,,,,Paladin,,,,
Battlecry|Freeze,Classic,Élémentaire de givre,<b>Cri de guerre :</b> <b>gèle</b> un personnage.,Minion,EX1_283,True,Neutral,Dan Scott,Common,5,6,5,Ou quand un élémentaire d’eau et un élémentaire de glace s’aiment d’amour !,,,,,
Taunt,Classic,Élémentaire de terre,<b>Provocation</b>
<b>Surcharge :</b> (3),Minion,EX1_250,True,Neutral,Dan Scott,Epic,7,5,8,Dur comme la pierre.,Shaman,,,,
,Classic,Élémentaire délié,Chaque fois que vous jouez une carte avec <b>Surcharge</b> gagne +1/+1.,Minion,EX1_258,True,Neutral,Matt Gaser,Common,2,3,4,Moi je dirais plutôt qu’il se délite !,Shaman,,,,
,Classic,En pleine forme,Ce serviteur a +2 ATQ.,Enchantment,CS2_181e,,,,,,,,,,,,,
,Classic,Enraciné,+5 PV et <b>Provocation</b>.,Enchantment,EX1_178ae,,,,,,,,,Druid,,,,
,Classic,Enraciner,+5 PV et <b>Provocation</b>.,Spell,EX1_178a,,Neutral,,,,,,,Druid,,,,
,Classic,Enseignante pourpre,Chaque fois que vous lancez un sort invoque un apprenti pourpre 1/1.,Minion,NEW1_026,True,,James Ryman,Rare,3,4,5,Si vous ne l’écoutez pas attentivement vous courez le risque d’être transformé en porc. Et envoyé au coin.,,,,,
,Classic,Enseignements du Kirin Tor,<b>Dégâts des sorts : +1</b>,Enchantment,EX1_584e,,,,,,,,,,,,,
Secret,Classic,Entité miroir,<b>Secret :</b> quand votre adversaire joue un serviteur en invoque une copie.,Spell,EX1_294,True,Neutral,Raven Mimura,Common,,3,,« Vas-y d’abord. » - Krush’gor le Béhémoth à son sanglier.,Mage,,,,
,Classic,Épée de justice,Chaque fois que vous invoquez un serviteur lui donne +1/+1 et perd 1 Durabilité.,Weapon,EX1_366,True,Neutral,Efrem Palacios,Epic,1,3,,Au nom du baron de Mouton je te fais chevalier !,Paladin,,,,5
,Classic,Équipé,Attaque augmentée.,Enchantment,NEW1_037e,False,,,,,,,,,,,,
,Classic,Esprit ancestral,Confère à un serviteur « <b>Râle d’agonie :</b> réinvoque ce serviteur. »,Spell,CS2_038,True,Neutral,Zoltan & Gabor,Rare,,2,,Pfff c’est seulement une égratignure.,Shaman,,,,
,Classic,Esprit ancestral,<b>Râle d’agonie :</b> réinvoque ce serviteur.,Enchantment,CS2_038e,,,,,,,,,Shaman,,,,
Taunt,Classic,Esprit du loup,<b>Provocation</b>,Minion,EX1_tk11,,Neutral,,Rare,2,2,3,,Shaman,,,,
,Classic,Esprit farouche,Invoque deux esprits du loup 2/3 avec <b>Provocation</b>. <b>Surcharge :</b> (2),Spell,EX1_248,True,Neutral,Clint Langley,Rare,,3,,On les appelle esprits de loup c’est comme des loups sauf que c’est pas pareil !,Shaman,,,,
Combo,Classic,Éviscération,Inflige $2 |4(pointpoints) de dégâts. <b>Combo :</b> inflige $4 |4(pointpoints) de dégâts à la place.,Spell,EX1_124,True,Neutral,Ariel Olivetti,Common,,2,,Des taches d’éviscération qui ne veulent pas partir ? Utilisez Disparition le meilleur contre les taches !,Rogue,,,,
,Classic,Explosion de lave,Inflige $5 |4(pointpoints) de dégâts.
<b>Surcharge :</b> (2),Spell,EX1_241,True,Neutral,Dan Scott,Rare,,3,,C’est comme un océan de magma liquide dans votre bouche !,Shaman,,,,
,Classic,Explosion pyrotechnique,Inflige $10 |4(pointpoints) de dégâts.,Spell,EX1_279,True,Neutral,Luca Zontini,Epic,,10,,Prenez le temps d’éclater d’un rire démoniaque après avoir pioché cette carte.,Mage,,,,
Battlecry,Classic,Fabricante d’armes,<b>Cri de guerre :</b> vous équipe d’une arme 2/2.,Minion,EX1_398,True,Neutral,Samwise,Common,3,4,3,50% de réduction sur les armes de pugilat pour une durée limitée !,Warrior,,,,
,Classic,Fabricante d’armures,Chaque fois qu’un serviteur allié subit des dégâts vous gagnez 1 point d’armure.,Minion,EX1_402,True,Neutral,Greg Hildebrandt,Rare,1,2,4,Elle accepte les fonds de la guilde pour les réparations !,Warrior,,,,
,Classic,Faveur divine,Vous piochez des cartes jusqu’à en avoir autant en main que votre adversaire.,Spell,EX1_349,True,Neutral,Lucas Graciano,Rare,,3,,Ce n’est pas une simple faveur c’est une faveur divine comme aider un ami à déménager un jour de raid !,Paladin,,,,
,Classic,Faveur du demi-dieu,+2/+2.,Enchantment,EX1_573ae,,Neutral,,,,,,,Druid,,,,
,Classic,Faveur du demi-dieu,Confère +2/+2 à vos autres serviteurs.,Spell,EX1_573a,,Neutral,,,,,,,Druid,,,,
,Classic,Feu d’Alexstrasza,Les PV passent à 15.,Enchantment,EX1_561e,,,,,,,,,,,,,
,Classic,FEU D’ENFER !,<b>Pouvoir héroïque</b>
Invoque un infernal 6/6.,Hero Power,EX1_tk33,,Neutral,,,,2,,,Warlock,,,,
,Classic,Feu démoniaque,Inflige $2 |4(pointpoints) de dégâts à un serviteur. Si la cible est un de vos démons lui donne +2/+2 à la place.,Spell,EX1_596,True,Neutral,Ben Wootten,Common,,2,,Le feu démoniaque est comme un feu normal sauf qu’IL NE S’ARRÊTE JAMAIS DE BRÛLER AU SECOURS !,Warlock,,,,
,Classic,Feu démoniaque,Ce démon a +2/+2.,Enchantment,EX1_596e,,Neutral,,Common,,0,,,Warlock,,,,
,Classic,Feu follet,,Minion,CS2_231,True,Neutral,Malcolm Davis,Common,1,0,1,Si on en rassemble un nombre suffisant on peut faire exploser un seigneur érédar. Mais comment c’est possible ?,,,,,
,Classic,Feu intérieur,L’Attaque de ce serviteur est égale à ses PV.,Enchantment,CS1_129e,,,,,,,,,Priest,,,,
,Classic,Feu intérieur,Change l’Attaque d’un serviteur pour qu’elle soit égale à ses PV.,Spell,CS1_129,True,Neutral,Steve Prescott,Common,,1,,Améliorer vos serviteurs : bonne idée. Entamer la discussion dans les Tarides : mauvaise idée.,Priest,,,,
,Classic,Finkle Einhorn,,Minion,EX1_finkle,,Neutral,,Legendary,3,2,3,,,,True,,
,Classic,Flamme d’Azzinoth,,Minion,EX1_614t,,,,,2,1,1,,,,,,
,Classic,Flammes sacrées,Inflige $5 points de dégâts. Rend #5 PV à votre héros.,Spell,EX1_624,True,,Miguel Coimbra,Rare,,6,,Ce sort est souvent suivi d’une sacrée fumée !,Priest,,,,
,Classic,Folie de l’ombre,Prend le contrôle d’un serviteur adverse avec 3 ATQ ou moins jusqu’à la fin du tour.,Spell,EX1_334,True,Neutral,Mark Gibbons,Rare,,4,,Vous pouvez vous justifier aussi longtemps que vous voulez c’est quand même inqualifiable.,Priest,,,,
Battlecry,Classic,Forban de la Voile sanglante,<b>Cri de guerre :</b> ôte 1 Durabilité à l’arme de votre adversaire.,Minion,NEW1_025,True,,Randy Gallegos,Rare,1,1,2,Tous les pirates utilisent les mêmes quatre chiffres pour accéder aux distributeurs d’or automatiques. C’est pour ça que ça s’appelle le « code des pirates ».,,,,Pirate,
,Classic,Force de la meute,Le loup alpha redoutable confère +1 ATQ à ce serviteur.,Enchantment,EX1_162o,,,,,,,,,,,,,
,Classic,Force de la nature,Invoque trois tréants 2/2 avec <b>Charge</b> qui meurent à la fin du tour.,Spell,EX1_571,True,Neutral,Trevor Jacobs,Epic,,6,,« Je crois que je vais faire un somme sous ces arbres. Hé qu’est-ce que... AAAAAHHH ! » - Folbulle le malheureux gnome,Druid,,,,
Enrage,Classic,Forgeron malveillant,<b>Accès de rage :</b> votre arme a +2 ATQ.,Minion,CS2_221,True,Horde,Justin Sweet,Common,4,5,6,Elle vous forgera une épée mais vous allez devoir lui rapporter 5 lingots d’acier 3 granules de terre et le scalp de son dernier client.,,,,,
,Classic,Forme d’Ombre,Transforme votre pouvoir héroïque qui inflige 2 points de dégâts. Si la forme d’Ombre est déjà adoptée : 3 points de dégâts.,Spell,EX1_625,True,,Alex Horley Orlandelli,Epic,,3,,Si un rayon de lumière éclaire un prêtre en forme d’Ombre est-ce qu’il a une ombre ?,Priest,,,,
,Classic,Forme d’ours,+2 PV et <b>Provocation</b>.,Spell,EX1_165b,,Neutral,,Common,,,,,Druid,,,,
,Classic,Forme de félin,<b>Charge</b>,Spell,EX1_165a,,Neutral,,Common,,,,,Druid,,,,
,Classic,Fourche d’éclairs,Inflige $2 |4(pointpoints) de dégâts à 2 serviteurs adverses aléatoires. <b>Surcharge :</b> (2),Spell,EX1_251,True,Neutral,Ralph Horsley,Common,,1,,Et il existe la même pour les croissants !,Shaman,,,,
,Classic,Frappe mortelle,Inflige $4 |4(pointpoints) de dégâts. Si votre héros a 12 PV ou moins inflige $6 |4(pointpoints) de dégâts à la place.,Spell,EX1_408,True,Neutral,Zoltan & Gabor,Rare,,4,,« Si vous ne deviez utiliser qu’une compétence choisissez Frappe mortelle. » - Le code du guerrier ligne 6,Warrior,,,,
,Classic,Fureur sanguinaire,,Weapon,EX1_323w,,,,,3,3,,,Warlock,,,,8
,Classic,Fusée éclairante,Tous les serviteurs perdent le <b>Camouflage</b>. Détruit tous les <b>Secrets</b> adverses. Vous piochez une carte.,Spell,EX1_544,True,Neutral,Tyler Walpole,Rare,,2,,Non seulement elle révèle les adversaires mais en plus elle est très utile pendant les fêtes !,Hunter,,,,
,Classic,Gain de niveau !,Attaque et Vie augmentées.,Enchantment,EX1_044e,,,,,,,,,,,,,
Battlecry|Taunt,Classic,Gangregarde,<b>Provocation</b>. <b>Cri de guerre :</b> détruit un de vos cristaux de mana.,Minion,EX1_301,True,Neutral,John Polidora,Rare,3,3,5,Oui il va combattre pour vous. MAIS IL NE VA PAS AIMER ÇA.,Warlock,,,Demon,
Divine Shield,Classic,Garde de Lune-d’argent,<b>Bouclier divin</b>,Minion,EX1_023,True,Horde,Phroilan Gardner,Common,3,4,3,La première fois qu’il a protégé Lune-d’Argent contre le Fléau ça ne s’est pas très bien passé...,,,,,
,Classic,Garde des secrets,Caractéristiques augmentées.,Enchantment,EX1_080o,,,,,,,,,,,,,
Battlecry|Charge,Classic,Garde funeste,<b>Charge</b>. <b>Cri de guerre :</b> vous défausse de deux cartes aléatoires.,Minion,EX1_310,True,Neutral,Lucas Graciano,Rare,5,5,7,Vous seriez prêt à <i>sacrifier une vie</i> pour invoquer un garde funeste ?!,Warlock,,,Demon,
,Classic,Garde rapprochée,Attaque augmentée.,Enchantment,EX1_001e,,,,,,,,,,,,,
Battlecry,Classic,Garde-paix de l’Aldor,<b>Cri de guerre :</b> l’Attaque d’un serviteur adverse passe à 1.,Minion,EX1_382,True,Neutral,Dany Orizio,Rare,3,3,3,L’Aldor déteste deux choses : les Clairvoyants et les bals musettes.,Paladin,,,,
,Classic,Gardelumière,Chaque fois qu’un personnage est soigné gagne +2 ATQ.,Minion,EX1_001,True,,Erik Ko,Rare,1,1,2,Petite mais costaude !,,,,,
,Classic,Gardien du bosquet,<b>Choix des armes :</b> inflige 2 points de dégâts ou réduit au <b>Silence</b> un serviteur.,Minion,EX1_166,True,Neutral,Gabor Szikszai,Rare,2,4,4,Ce gars arrive et se met à tailler vos buissons sans même vous demander la permission.,Druid,,,,
Taunt,Classic,Gardien mogu’shan,<b>Provocation</b>,Minion,EX1_396,True,Neutral,Cole Eastburn,Common,1,4,7,Le roi-tonnerre par-ci le roi-tonnerre par là... Il n’a que ce nom à la bouche !,,,,,
,Classic,Gardienne des secrets,Chaque fois qu’un <b>Secret</b> est joué gagne +1/+1.,Minion,EX1_080,True,Alliance,Gonzalo Ordonez,Rare,1,1,2,C’est promis elle ne dira à personne le truc que vous avez fait hier avec cette personne.,,,,,
,Classic,Géant de lave,Coûte (1) cristal de moins pour chaque point de dégâts subi par votre héros.,Minion,EX1_620,True,,Glenn Rane,Epic,8,20,8,Il est sujet aux brûlures d’estomac. Pas étonnant quand on est PLEIN DE LAVE.,,,,,
,Classic,Géant des mers,Coûte (1) cristal de moins pour chaque autre serviteur sur le champ de bataille.,Minion,EX1_586,True,Neutral,Svetlin Velinov,Epic,8,10,8,Ho ho ho géant des mers !,,,,,
,Classic,Géant des montagnes,Coûte (1) cristal de moins pour chaque autre carte dans votre main.,Minion,EX1_105,True,Neutral,Samwise,Epic,8,12,8,Il n’est pas gros il a une ossature lourde !,,,,,
Taunt,Classic,Gnoll,<b>Provocation</b>,Minion,NEW1_040t,,,,,2,2,2,,,,,,
Deathrattle,Classic,Gnome lépreux,<b>Râle d’agonie :</b> inflige 2 points de dégâts au héros adverse.,Minion,EX1_029,True,Neutral,Glenn Rane,Common,2,1,1,Tout ce qu’il veut c’est se faire des amis mais ces rejets constants commencent à l’énerver.,,,,,
Battlecry|Charge,Classic,Golem arcanique,<b>Charge</b>. <b>Cri de guerre :</b> donne à votre adversaire un cristal de mana.,Minion,EX1_089,True,Neutral,Sedhayu Ardian,Rare,4,3,2,Avoir des golems arcaniques chez soi permet d’étaler son statut social et en plus c’est un excellent sujet de conversation.,,,,,
Deathrattle,Classic,Golem des moissons,<b>Râle d’agonie :</b> invoque un golem endommagé 2/1.,Minion,EX1_556,True,Neutral,Brian Despain,Common,2,3,3,« Seuil de surchauffe dépassé. Plantage système. Bourrage céréale en tuyère deux. Extinction. »,,,,Mech,
,Classic,Golem endommagé,,Minion,skele21,,Neutral,,Common,2,1,1,,,,,Mech,
,Classic,Gorgé de mana,Attaque augmentée.,Enchantment,NEW1_012o,,,,,,,,,Mage,,,,
,Classic,Goule mangeuse de chair,Chaque fois qu’un serviteur meurt gagne
+1 ATQ.,Minion,tt_004,True,Neutral,Alex Horley Orlandelli,Common,2,3,3,Pas très sympa de l’appeler « mangeuse de chair ». Ce n’est pas de sa faute s’il n’y a que ça à manger.,,,,,
,Classic,Grâce d’Élune,Vie augmentée.,Enchantment,EX1_004e,,,,,,,,,,,,,
Deathrattle,Classic,Grande crinière des savanes,<b>Râle d’agonie :</b> invoque deux hyènes 2/2.,Minion,EX1_534,True,,Milivoj Ceran,Rare,6,6,5,Dans la jungle terrible jungle le lion est mort ce soir.,Hunter,,,Beast,
Charge|Enrage,Classic,Grommash Hurlenfer,<b>Charge</b>.
<b>Accès de rage :</b> +6 ATQ,Minion,EX1_414,True,Neutral,Glenn Rane,Legendary,4,8,9,Grommash a bu le sang contaminé de Mannoroth condamnant les orcs à avoir la peau verte et les yeux rouges ! Ce n’était peut-être pas sa meilleure décision...,Warrior,,True,,
,Classic,Gruul,À la fin de chaque tour gagne +1/+1.,Minion,NEW1_038,True,,Kev Walker,Legendary,7,8,7,Son nom est Gruul « le tueur de dragons ». Il voulait juste les câliner... Il ne pensait pas que...,,,True,,
Enrage|Taunt,Classic,Guerrier tauren,<b>Provocation</b>.
<b>Accès de rage :</b> +3 ATQ,Minion,EX1_390,True,Neutral,Paul Warzecha,Common,2,3,3,Guerrier tauren : champion d’arène tueur de hyènes chevaucheur de phalènes.,,,,,
,Classic,Guetteur ancien,Ne peut pas attaquer.,Minion,EX1_045,True,Alliance,Richard Wright,Rare,4,2,5,Vous avez l’impression que son regard vous suit quand vous passez à côté.,,,,,
,Classic,Hache d’armes,,Weapon,EX1_398t,,,,,2,1,,,Warrior,,,,2
,Classic,Hache de Forge-foudre,<b>Surcharge :</b> (1),Weapon,EX1_247,True,Neutral,Nate Bowden,Common,2,2,,Hé en voilà une belle hache.,Shaman,,,,3
,Classic,Hache lourde,,Weapon,EX1_409t,,,,,1,1,,,Warrior,,,,3
Windfury,Classic,Harpie Furie-des-vents,<b>Furie des vents</b>,Minion,EX1_033,True,Alliance,Luke Mancini,Common,4,6,5,Comment de si belles créatures peuvent-elles avoir une voix aussi désagréable ?,,,,,
Battlecry,Classic,Harrison Jones,<b>Cri de guerre :</b> détruit l’arme de votre adversaire. Vous piochez le nombre de cartes équivalent à sa durabilité.,Minion,EX1_558,True,Neutral,Matt Dixon,Legendary,5,5,4,« Sa place est dans le hall des Explorateurs ! »,,,True,,
,Classic,Heure du Crépuscule,Vie augmentée.,Enchantment,EX1_043e,,,,,,,,,,,,,
AffectedBySpellPower,Classic,Heurt de bouclier,Inflige 1 point de dégâts à un serviteur pour chaque point d’Armure que vous avez.,Spell,EX1_410,True,Neutral,Raymond Swanland,Epic,,1,,« En combat qu’est-ce qui est le mieux ? L’arme tranchante à laquelle s’attend votre adversaire ou l’arme émoussée à laquelle il ne s’attend pas ? » - L’art du guerrier chapitre 9,Warrior,,,,
,Classic,Heurtoir,Inflige $2 |4(pointpoints) de dégâts à un serviteur. Vous piochez une carte s’il survit.,Spell,EX1_391,True,Neutral,E.M. Gist,Common,,2,,« Dun da dun dun da dun » : si vous entendez un ogre chanter ça c’est qu’il est déjà trop tard.,Warrior,,,,
Silence,Classic,Horion de terre,Réduit un serviteur au <b>Silence</b> puis lui inflige $1 |4(pointpoints) de dégâts.,Spell,EX1_245,True,Neutral,Kevin Chin,Common,,1,,Horion de terre ? Ça ne devrait pas être « Horion d’Azeroth » ?,Shaman,,,,
,Classic,Hurlesang,Attaquer un serviteur coûte 1 ATQ au lieu de 1 Durabilité.,Weapon,EX1_411,True,Neutral,Zoltan & Gabor,Epic,7,7,,La célèbre hache de Grommash Hurlenfer. On ne sait comment le prince Malchezaar s’est retrouvé en sa possession. Un vrai mystère !,Warrior,,,,1
,Classic,Hyène,,Minion,EX1_534t,,,Andrew Robinson,Rare,2,2,2,,Hunter,,,Beast,
,Classic,Hyène charognarde,Chaque fois qu’une bête alliée meurt gagne +2/+1.,Minion,EX1_531,True,,Jim Nelson,Common,2,2,2,Les hyènes préfèrent les os de kodo ou de serpent des vents mais elles mangent n’importe quoi. Même des petits pois !,Hunter,,,Beast,
,Classic,Illidan Hurlorage,Quand vous jouez une carte invoque une Flamme d’Azzinoth 2/1.,Minion,EX1_614,True,Neutral,Alex Horley Orlandelli,Legendary,7,6,5,Le frère d’Illidan Malfurion l’a emprisonné sous Hyjal pendant dix mille ans. Les Hurlorage sont vraiment rancuniers.,,,True,Demon,
,Classic,Imposition des mains,Rend #8 |4(pointpoints) de vie. Vous piochez 3 cartes.,Spell,EX1_354,True,Neutral,Raymond Swanland,Epic,,8,,Non mais oh gardez vos mains dans vos poches !,Paladin,,,,
,Classic,Infernal,,Minion,EX1_tk34,,Neutral,,Common,6,6,6,,Warlock,,,Demon,
Stealth,Classic,Infiltrateur worgen,<b>Camouflage</b>,Minion,EX1_010,True,Alliance,Raymond Swanland,Common,2,1,1,Si vous ne voulez pas que des worgens vous infiltrent vous n’avez qu’à crier : « Non ! Méchant loup ! »,,,,,
,Classic,Infusion,+3 PV.,Enchantment,EX1_623e,,,,,,,,,Priest,,,,
,Classic,Invocation de panthère,Invoque une panthère 3/2.,Spell,EX1_160a,,Neutral,,,,,,,Druid,,,,
Freeze,Classic,Javelot de glace,<b>Gèle</b> un personnage. S’il est déjà <b>gelé</b> inflige $4 |4(pointpoints) de dégâts à la place.,Spell,CS2_031,True,Neutral,Alex Horley Orlandelli,Common,,1,,Le truc c’est de ne pas briser le javelot. Sinon vous obtenez des morceaux de glace. Et ce n’est pas aussi efficace.,Mage,,,,
Windfury,Classic,Jeune faucon-dragon,<b>Furie des vents</b>,Minion,CS2_169,True,Horde,Greg Hildebrandt,Common,1,1,1,L’équipe championne de tournoi de balle au tauren s’en est inspirée pour choisir leur nom : les faucons-dragons.,,,,Beast,
Battlecry,Classic,Jeune maître brasseur,<b>Cri de guerre :</b> renvoie un serviteur allié du champ de bataille et le place dans votre main.,Minion,EX1_049,True,Alliance,Wei Wang,Common,3,2,2,Ses breuvages ne sont pas toujours à la hauteur de son enthousiasme juvénile. Ne buvez surtout pas la brune mogu !,,,,,
,Classic,Jeune prêtresse,À la fin de votre tour donne +1 PV à un autre serviteur allié aléatoire.,Minion,EX1_004,True,,Vance Kovacs,Rare,2,1,1,Elle a hâte d’apprendre Mot de pouvoir : Robustesse II.,,,,,
,Classic,Jeux d’esprit,Place une copie d’un serviteur aléatoire du jeu de votre adversaire sur le champ de bataille.,Spell,EX1_345,True,Neutral,Zoltan & Gabor,Epic,,4,,On pourrait presque croire que ce n’est qu’un jeu.,Priest,,,,
,Classic,Jongleur de couteaux,Inflige 1 point de dégâts à un adversaire aléatoire après que vous avez invoqué un serviteur.,Minion,NEW1_019,True,,Matt Cavotta,Rare,3,2,2,Les jongleurs de couteaux doués sont parfois promus jongleurs de bombes. Mais ils ne survivent jamais assez longtemps pour devenir une carte.,,,,,
,Classic,Justice rendue,A +1/+1.,Enchantment,EX1_366e,,,,,,,,,Paladin,,,,
Combo,Classic,Kidnappeur,<b>Combo :</b> renvoie un serviteur dans la main de son propriétaire.,Minion,NEW1_005,True,,Dave Allsop,Epic,5,6,3,Il veut seulement montrer ses photos de vacances à quelqu’un.,Rogue,,,,
Battlecry,Classic,Kodo déchaîné,<b>Cri de guerre :</b> détruit un serviteur adverse aléatoire avec 2 en Attaque ou moins.,Minion,NEW1_041,True,,Daren Bader,Rare,3,5,5,Ce kodo est tellement gros qu’il pourrait s’écraser <i>lui-même</i>.,,,,Beast,
Deathrattle,Classic,La Bête,<b>Râle d’agonie :</b> invoque Finkle Einhorn 3/3 pour votre adversaire.,Minion,EX1_577,True,Neutral,Glenn Rane,Legendary,9,6,7,Elle vit au mont Rochenoire. Elle mange les gnomes. Point barre.,,,True,Beast,
,Classic,Lâcher les chiens,Invoque un chien 1/1 avec <b>Charge</b> pour chaque serviteur adverse.,Spell,EX1_538,True,,Linggar Bramanty,Common,,3,,J’ai déjà entendu ça quelque part...,Hunter,,,,
Battlecry|Combo,Classic,Lame de la perdition,<b>Cri de guerre :</b> inflige 1 point de dégâts. <b>Combo :</b> inflige 2 points de dégâts à la place.,Weapon,EX1_133,True,Neutral,Daren Bader,Rare,2,3,,La lame de la perdition est l’arme de secours de Ragnaros quand Sulfuras est en réparation.,Rogue,,,,2
,Classic,Lardeur,À la fin de votre tour invoque un gnoll 2/2 avec <b>Provocation</b>.,Minion,NEW1_040,True,,Laurel D. Austin,Legendary,4,6,4,Lardeur est super fort. Si vous réussissez à le tuer c’est uniquement parce qu’il vous aura <i>laissé</i> faire.,,,True,,
Battlecry,Classic,Le Chevalier noir,<b>Cri de guerre :</b> détruit un serviteur adverse avec <b>Provocation</b>.,Minion,EX1_002,True,,Alex Horley Orlandelli,Legendary,4,6,5,Le roi-liche l’a envoyé interrompre le tournoi d’Argent. Mais on peut dire que ça a été un échec cuisant.,,,True,,
,Classic,Leçon de Shan’do,Invoque deux tréants 2/2 avec <b>Provocation</b>.,Spell,EX1_573b,,Neutral,,,,,,,Druid,,,,
Battlecry|Charge,Classic,Leeroy Jenkins,<b>Charge</b>. <b>Cri de guerre :</b> invoque deux dragonnets 1/1 pour votre adversaire.,Minion,EX1_116,True,Alliance,Gabe from Penny Arcade,Legendary,6,5,2,Au moins il a un poulet furieux.,,,True,,
Windfury,Classic,Long-voyant de Thrallmar,<b>Furie des vents</b>,Minion,EX1_021,True,Horde,Efrem Palacios,Common,2,3,3,Il est en poste dans la péninsule des Flammes infernales mais il espère être réaffecté plus près d’Orgrimmar ou à tout autre endroit qui ne soit pas en feu.,,,,,
AdjacentBuff|Aura,Classic,Loup alpha redoutable,Les serviteurs adjacents ont +1 ATQ.,Minion,EX1_162,True,Neutral,John Dickenson,Common,2,2,2,Je suis l’alpha et l’oméga bébé !,,,,Beast,
Battlecry,Classic,Mage ancien,<b>Cri de guerre :</b> donne aux serviteurs adjacents <b>+1 aux dégâts des sorts</b>.,Minion,EX1_584,True,Neutral,Howard Lyon,Rare,2,4,5,Parfois il perd la mémoire et se retrouve dans le jeu de quelqu’un d’autre.,,,,,
Deathrattle|Spellpower,Classic,Mage de sang Thalnos,<b>Dégâts des sorts : +1</b>.
<b>Râle d’agonie :</b> vous piochez une carte.,Minion,EX1_012,True,Neutral,Alex Horley Orlandelli,Legendary,1,2,1,Il est en charge de la campagne annuelle de don du sang du monastère Écarlate.,,,True,,
Battlecry,Classic,Mage du Kirin Tor,<b>Cri de guerre :</b> le prochain <b>Secret</b> que vous jouez ce tour-ci coûte (0).,Minion,EX1_612,True,Neutral,Popo Wei,Rare,4,3,3,Les mages du Kirin Tor résident dans la cité flottante de Dalaran. Une ville qui flotte ? Et pourquoi pas des chevaux ailés !!!,Mage,,,,
,Classic,Main d’Argus,+1/+1 et <b>Provocation</b>.,Enchantment,EX1_093e,,,,,,,,,,,,,
,Classic,Maître de culte,Vous piochez une carte quand un de vos autres serviteurs meurt.,Minion,EX1_595,True,Neutral,Raymond Swanland,Common,4,4,2,Elle a beau être à la tête d’un culte diabolique elle appelle quand même ses parents toutes les semaines.,,,,,
,Classic,Maître des diablotins,À la fin de votre tour ce serviteur subit 1 point de dégâts et invoque un diablotin 1/1.,Minion,EX1_597,True,Neutral,Mark Gibbons,Rare,1,3,5,Elle apprécierait davantage son travail si elle pouvait empêcher les diablotins de la MORDRE.,,,,,
,Classic,Maître des flots murloc,Chaque fois qu’un murloc est invoqué gagne
+1 ATQ.,Minion,EX1_509,True,Neutral,Jaemin Kim,Rare,1,1,2,Il devient super fort pendant les réunions de famille !,,,,Murloc,
,Classic,Maître fabricant d’épées,À la fin de votre tour donne +1 ATQ à un autre serviteur allié aléatoire.,Minion,NEW1_037,True,,E.M. Gist,Rare,1,2,3,Il veut créer une « hache-fléau » mais tous les autres fabricants d’armes affirment que c’est impossible.,,,,,
Battlecry,Classic,Maître-lame blessé,<b>Cri de guerre :</b> s’inflige 4 points de dégâts.,Minion,CS2_181,True,Horde,Samwise,Rare,4,3,7,Il affirme que c’est une vieille blessure de guerre mais en fait il s’est juste blessé en se rasant.,,,,,
Battlecry,Classic,Maîtresse du déguisement,<b>Cri de guerre :</b> confère <b>Camouflage</b> à un serviteur allié.,Minion,NEW1_014,True,,Ron Spencer,Rare,4,4,4,Il paraît qu’en fait c’est UN TAUREN. Ce n’est pas pour rien que c’est un maître du déguisement.,Rogue,,,,
