SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,ATTACK,HEALTH,PLAYERCLASS,DURABILITY,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,RACE,ELITE,HOWTOGET,HOWTOGETGOLD
Classic,Infiltrateur worgen,Alliance,<b>Camouflage</b>,Common,1,Minion,EX1_010,2,1,,,Stealth,,True,Raymond Swanland,Si vous ne voulez pas que des worgens vous infiltrent vous n’avez qu’à crier : « Non ! Méchant loup ! »,,,,
Classic,Infusion,,+3 PV.,,,Enchantment,EX1_623e,,,Priest,,,,,,,,,,
Classic,Invocation de panthère,Neutral,Invoque une panthère 3/2.,,,Spell,EX1_160a,,,Druid,,,,,,,,,,
Classic,Javelot de glace,Neutral,<b>Gèle</b> un personnage. S’il est déjà <b>gelé</b> inflige $4 |4(pointpoints) de dégâts à la place.,Common,1,Spell,CS2_031,,,Mage,,Freeze,,True,Alex Horley Orlandelli,Le truc c’est de ne pas briser le javelot. Sinon vous obtenez des morceaux de glace. Et ce n’est pas aussi efficace.,,,,
Classic,Jeune faucon-dragon,Horde,<b>Furie des vents</b>,Common,1,Minion,CS2_169,1,1,,,Windfury,,True,Greg Hildebrandt,L’équipe championne de tournoi de balle au tauren s’en est inspirée pour choisir leur nom : les faucons-dragons.,Beast,,,
Classic,Jeune maître brasseur,Alliance,<b>Cri de guerre :</b> renvoie un serviteur allié du champ de bataille et le place dans votre main.,Common,2,Minion,EX1_049,3,2,,,Battlecry,,True,Wei Wang,Ses breuvages ne sont pas toujours à la hauteur de son enthousiasme juvénile. Ne buvez surtout pas la brune mogu !,,,,
Classic,Jeune prêtresse,,À la fin de votre tour donne +1 PV à un autre serviteur allié aléatoire.,Rare,1,Minion,EX1_004,2,1,,,,,True,Vance Kovacs,Elle a hâte d’apprendre Mot de pouvoir : Robustesse II.,,,,
Classic,Jeux d’esprit,Neutral,Place une copie d’un serviteur aléatoire du jeu de votre adversaire sur le champ de bataille.,Epic,4,Spell,EX1_345,,,Priest,,,,True,Zoltan & Gabor,On pourrait presque croire que ce n’est qu’un jeu.,,,,
Classic,Jongleur de couteaux,,Inflige 1 point de dégâts à un adversaire aléatoire après que vous avez invoqué un serviteur.,Rare,2,Minion,NEW1_019,3,2,,,,,True,Matt Cavotta,Les jongleurs de couteaux doués sont parfois promus jongleurs de bombes. Mais ils ne survivent jamais assez longtemps pour devenir une carte.,,,,
Classic,Justice rendue,,A +1/+1.,,,Enchantment,EX1_366e,,,Paladin,,,,,,,,,,
Classic,Kidnappeur,,<b>Combo :</b> renvoie un serviteur dans la main de son propriétaire.,Epic,6,Minion,NEW1_005,5,3,Rogue,,Combo,,True,Dave Allsop,Il veut seulement montrer ses photos de vacances à quelqu’un.,,,,
Classic,Kodo déchaîné,,<b>Cri de guerre :</b> détruit un serviteur adverse aléatoire avec 2 en Attaque ou moins.,Rare,5,Minion,NEW1_041,3,5,,,Battlecry,,True,Daren Bader,Ce kodo est tellement gros qu’il pourrait s’écraser <i>lui-même</i>.,Beast,,,
Classic,La Bête,Neutral,<b>Râle d’agonie :</b> invoque Finkle Einhorn 3/3 pour votre adversaire.,Legendary,6,Minion,EX1_577,9,7,,,Deathrattle,,True,Glenn Rane,Elle vit au mont Rochenoire. Elle mange les gnomes. Point barre.,Beast,True,,
Classic,Lâcher les chiens,,Invoque un chien 1/1 avec <b>Charge</b> pour chaque serviteur adverse.,Common,3,Spell,EX1_538,,,Hunter,,,,True,Linggar Bramanty,J’ai déjà entendu ça quelque part...,,,,
Classic,Lame de la perdition,Neutral,<b>Cri de guerre :</b> inflige 1 point de dégâts. <b>Combo :</b> inflige 2 points de dégâts à la place.,Rare,3,Weapon,EX1_133,2,,Rogue,2,Battlecry|Combo,,True,Daren Bader,La lame de la perdition est l’arme de secours de Ragnaros quand Sulfuras est en réparation.,,,,
Classic,Lardeur,,À la fin de votre tour invoque un gnoll 2/2 avec <b>Provocation</b>.,Legendary,6,Minion,NEW1_040,4,4,,,,,True,Laurel D. Austin,Lardeur est super fort. Si vous réussissez à le tuer c’est uniquement parce qu’il vous aura <i>laissé</i> faire.,,True,,
Classic,Le Chevalier noir,,<b>Cri de guerre :</b> détruit un serviteur adverse avec <b>Provocation</b>.,Legendary,6,Minion,EX1_002,4,5,,,Battlecry,,True,Alex Horley Orlandelli,Le roi-liche l’a envoyé interrompre le tournoi d’Argent. Mais on peut dire que ça a été un échec cuisant.,,True,,
Classic,Leçon de Shan’do,Neutral,Invoque deux tréants 2/2 avec <b>Provocation</b>.,,,Spell,EX1_573b,,,Druid,,,,,,,,,,
Classic,Leeroy Jenkins,Alliance,<b>Charge</b>. <b>Cri de guerre :</b> invoque deux dragonnets 1/1 pour votre adversaire.,Legendary,5,Minion,EX1_116,6,2,,,Battlecry|Charge,,True,Gabe from Penny Arcade,Au moins il a un poulet furieux.,,True,,
Classic,Long-voyant de Thrallmar,Horde,<b>Furie des vents</b>,Common,3,Minion,EX1_021,2,3,,,Windfury,,True,Efrem Palacios,Il est en poste dans la péninsule des Flammes infernales mais il espère être réaffecté plus près d’Orgrimmar ou à tout autre endroit qui ne soit pas en feu.,,,,
Classic,Loup alpha redoutable,Neutral,Les serviteurs adjacents ont +1 ATQ.,Common,2,Minion,EX1_162,2,2,,,AdjacentBuff|Aura,,True,John Dickenson,Je suis l’alpha et l’oméga bébé !,Beast,,,
Classic,Mage ancien,Neutral,<b>Cri de guerre :</b> donne aux serviteurs adjacents <b>+1 aux dégâts des sorts</b>.,Rare,4,Minion,EX1_584,2,5,,,Battlecry,,True,Howard Lyon,Parfois il perd la mémoire et se retrouve dans le jeu de quelqu’un d’autre.,,,,
Classic,Mage de sang Thalnos,Neutral,<b>Dégâts des sorts : +1</b>.<b>Râle d’agonie :</b> vous piochez une carte.,Legendary,2,Minion,EX1_012,1,1,,,Deathrattle|Spellpower,,True,Alex Horley Orlandelli,Il est en charge de la campagne annuelle de don du sang du monastère Écarlate.,,True,,
Classic,Mage du Kirin Tor,Neutral,<b>Cri de guerre :</b> le prochain <b>Secret</b> que vous jouez ce tour-ci coûte (0).,Rare,3,Minion,EX1_612,4,3,Mage,,Battlecry,,True,Popo Wei,Les mages du Kirin Tor résident dans la cité flottante de Dalaran. Une ville qui flotte ? Et pourquoi pas des chevaux ailés !!!,,,,
Classic,Main d’Argus,,+1/+1 et <b>Provocation</b>.,,,Enchantment,EX1_093e,,,,,,,,,,,,,
Classic,Maître de culte,Neutral,Vous piochez une carte quand un de vos autres serviteurs meurt.,Common,4,Minion,EX1_595,4,2,,,,,True,Raymond Swanland,Elle a beau être à la tête d’un culte diabolique elle appelle quand même ses parents toutes les semaines.,,,,
Classic,Maître des diablotins,Neutral,À la fin de votre tour ce serviteur subit 1 point de dégâts et invoque un diablotin 1/1.,Rare,3,Minion,EX1_597,1,5,,,,,True,Mark Gibbons,Elle apprécierait davantage son travail si elle pouvait empêcher les diablotins de la MORDRE.,,,,
Classic,Maître des flots murloc,Neutral,Chaque fois qu’un murloc est invoqué gagne+1 ATQ.,Rare,1,Minion,EX1_509,1,2,,,,,True,Jaemin Kim,Il devient super fort pendant les réunions de famille !,Murloc,,,
Classic,Maître fabricant d’épées,,À la fin de votre tour donne +1 ATQ à un autre serviteur allié aléatoire.,Rare,2,Minion,NEW1_037,1,3,,,,,True,E.M. Gist,Il veut créer une « hache-fléau » mais tous les autres fabricants d’armes affirment que c’est impossible.,,,,
Classic,Maître-lame blessé,Horde,<b>Cri de guerre :</b> s’inflige 4 points de dégâts.,Rare,3,Minion,CS2_181,4,7,,,Battlecry,,True,Samwise,Il affirme que c’est une vieille blessure de guerre mais en fait il s’est juste blessé en se rasant.,,,,
Classic,Maîtresse du déguisement,,<b>Cri de guerre :</b> confère <b>Camouflage</b> à un serviteur allié.,Rare,4,Minion,NEW1_014,4,4,Rogue,,Battlecry,,True,Ron Spencer,Il paraît qu’en fait c’est UN TAUREN. Ce n’est pas pour rien que c’est un maître du déguisement.,,,,
Classic,Malygos,Neutral,<b>Dégâts des sorts : +5</b>,Legendary,9,Minion,EX1_563,4,12,,,Spellpower,,True,Michael Komarck,Malygos déteste que les humains utilisent la magie ça le rend fou !,Dragon,True,,
Classic,Manipulateur sans-visage,Neutral,<b>Cri de guerre :</b> choisit un serviteur et en devient la copie conforme.,Epic,5,Minion,EX1_564,3,3,,,Battlecry,,True,Raymond Swanland,Les sans-visages sont les serviteurs de Yogg-Saron et ils se nourrissent de la peur. En ce moment celui-ci se nourrit de votre peur de désenchanter toutes vos bonnes cartes par accident.,,,,
Classic,Marche-soleil,Alliance,<b>Provocation</b><b>Bouclier divin</b>,Rare,6,Minion,EX1_032,4,5,,,Divine Shield|Taunt,,True,Andrea Uderzo,Elle ne marche pas VRAIMENT sur le soleil c’est juste un nom. Ne vous inquiétez pas !,,,,
Classic,Marque de la nature,Neutral,+4 ATQ.,,,Spell,EX1_155a,,,Druid,,,,,,,,,,
Classic,Marque de la nature,,Ce serviteur a +4 ATQ.,,,Enchantment,EX1_155ae,,,Druid,,,,,,,,,,
Classic,Marque de la nature,Neutral,+4 PV et <b>Provocation</b>.,,,Spell,EX1_155b,,,Druid,,,,,,,,,,
Classic,Marque de la nature,,Ce serviteur a +4 PV et <b>Provocation</b>.,,,Enchantment,EX1_155be,,,Druid,,,,,,,,,,
Classic,Marque de la nature,Neutral,<b>Choix des armes :</b> donne +4 ATQ à un serviteur ou +4 PV et <b>Provocation</b>.,Common,3,Spell,EX1_155,,,Druid,,,,True,Clint Langley,Les druides appellent ça la « Marque de la nature ». Les autres considèrent qu’ils ont juste besoin d’un bon bain...,,,,
Classic,Marteau-du-Destin,Neutral,<b>Furie des ventsSurcharge :</b> (2),Epic,5,Weapon,EX1_567,2,,Shaman,8,Windfury,,True,John Polidora,Cette arme légendaire fut offerte à Thrall par Orgrim Marteau-du-Destin. Mais son nom est une simple coïncidence.,,,,
Classic,Massacreur du temple,,<b>Cri de guerre :</b> donne +3 PV à un serviteur allié.,Common,6,Minion,EX1_623,6,6,Priest,,Battlecry,,True,Daren Bader,Il a une double vie c’est lui qui anime les soirées karaoké du jeudi soir à la taverne du Cochon siffleur.,,,,
Classic,Matelot des mers du Sud,Alliance,A <b>Charge</b> tant que vous êtes équipé d’une arme.,Common,1,Minion,CS2_146,2,1,,,,,True,Dan Brereton,La nouvelle mode chez les pirates c’est d’enflammer les planches !,Pirate,,,
Classic,Meneur défias,Neutral,<b>Combo :</b> invoque un bandit défias 2/1.,Common,2,Minion,EX1_131,2,2,Rogue,,Combo,,True,Dany Orizio,Il aime bien traiter les gens de grouillots. Mais pourquoi est-il aussi méchant ?,,,,
Classic,Météores,,<b>Choix des armes :</b> inflige $5 |4(pointpoints) de dégâts à un serviteur ; ou $2 |4(pointpoints) de dégâts à tous les serviteurs adverses.,Rare,5,Spell,NEW1_007,,,Druid,,,,True,Richard Wright,« Un peu plus près des étoiles ! »- Albatros,,,,
Classic,Météores,,Inflige $2 |4(pointpoints) de dégâts à tous les serviteurs adverses.,,,Spell,NEW1_007a,,,Druid,,,,,,,,,,
Classic,Météores,,Inflige $5 |4(pointpoints) de dégâts à un serviteur.,,,Spell,NEW1_007b,,,Druid,,,,,,,,,,
Classic,Millhouse Tempête-de-Mana,,<b>Cri de guerre :</b> les sorts adverses coûtent (0) au prochain tour.,Legendary,2,Minion,NEW1_029,4,4,,,Battlecry,,True,Jim Nelson,« Allumeeer le feu allumeeeeer le feu ! »,,True,,
Classic,Minuscule invocatrice,Alliance,Le premier serviteur que vous jouez à chaque tour coûte (1) cristal de moins.,Rare,2,Minion,EX1_076,2,2,,,Aura,,True,Ron Spears,Elle est super jalouse de la grande invocatrice.,,,,
Classic,Morsure,,+4 ATQ pendant ce tour.,,,Enchantment,EX1_570e,,,,,OneTurnEffect,,,,,,,,
Classic,Morsure,Neutral,Confère +4 ATQ au héros pendant ce tour et +4 Armure.,Rare,4,Spell,EX1_570,,,Druid,,,,True,Tom Baxa,J’ai une faim de loup !,,,,
Classic,Mousse de la Voile sanglante,,<b>Cri de guerre :</b> gagne des points d’Attaque d’un montant équivalent à ceux de votre arme.,Common,2,Minion,NEW1_018,2,3,,,Battlecry,,True,Jim Nelson,Le pillage pour moi c’est seulement les jours en « di ».,Pirate,,,
Classic,Mrgglaargl !,,Le chef de guerre murloc confère +2/+1.,,,Enchantment,EX1_507e,,,,,,,,,,,,,
Classic,Mrghlglhal,,+2 PV.,,,Enchantment,EX1_103e,,,,,,,,,,,,,
Classic,Nain sombrefer,Alliance,<b>Cri de guerre :</b> donne +2 ATQ à un serviteur pendant ce tour.,Common,4,Minion,EX1_046,4,4,,,Battlecry,,True,Scott Hampton,Les gardiens du minerai de sombrefer. Sans doute le plus insupportable minerai au monde vu le trajet à faire pour le forger.,,,,
Classic,Nat Pagle,Neutral,Au début de votre tour vous avez 50% de chances de piocher une carte supplémentaire.,Legendary,2,Minion,EX1_557,0,4,,,,,True,Steve Prescott,Nat Pagle le meilleur pêcheur d’Azeroth ! Il a inventé le pêcheur-o-matic 3000 l’allonge-canne 3000 et l’appât-o-matic 2099 (en cours d’expérimentation).,,True,,
Classic,Néant distordu,Neutral,Détruit tous les serviteurs.,Epic,8,Spell,EX1_312,,,Warlock,,,,True,Dave Allsop,Le Néant distordu est un endroit sans forme rempli de magie d’illusions... et de serviteurs sauvagement sacrifiés.,,,,
Classic,Nervi de la KapitalRisk,Horde,Vos serviteurs coûtent (3) cristaux de plus.,Common,5,Minion,CS2_227,7,6,,,Aura,,True,John Polidora,Je finis toujours le travail pour lequel on me paie.,,,,
Classic,Noble sacrifice,Neutral,<b>Secret :</b> invoque un défenseur 2/1 qui devient la cible de l’adversaire sur le point d’attaquer.,Common,1,Spell,EX1_130,,,Paladin,,Secret,,True,Zoltan & Gabor,Nul sacrifice nulle victoire.,,,,
Classic,Nourrir,Neutral,Vous gagnez 2 cristaux de mana.,,,Spell,EX1_164a,,,Druid,,,,,,,,,,
Classic,Nourrir,Neutral,Vous piochez 3 cartes.,,,Spell,EX1_164b,,,Druid,,,,,,,,,,
Classic,Nourrir,Neutral,<b>Choix des armes :</b> vous gagnez 2 cristaux de mana ou vous piochez 3 cartes.,Rare,5,Spell,EX1_164,,,Druid,,,,True,Terese Nielsen,Les druides se nourrissent de nombreuses choses : le pouvoir de la nature le chant d’un oiseau un gâteau au chocolat.,,,,
Classic,Nozdormu,Neutral,Les joueurs n’ont que 15 secondes pour jouer leur tour.,Legendary,9,Minion,EX1_560,8,8,,,,,True,James Ryman,Dépêchez-vous son temps est précieux !,Dragon,True,,
Classic,Obnubilé par les trésors,,Attaque augmentée.,,,Enchantment,NEW1_018e,,,,,,,,,,,,,
Classic,Œil pour œil,Neutral,<b>Secret :</b> inflige au héros adverse autant de dégâts que ceux subis par votre héros.,Common,1,Spell,EX1_132,,,Paladin,,Secret,,True,James Ryman,Mon poing a faim de justice !,,,,
Classic,Ombre du néant,,Comment ça « Votre adversaire n’a plus de serviteurs » ?,Epic,0,Minion,EX1_345t,0,1,Priest,,,,,,,,,,
Classic,Ombreflamme,Neutral,Détruit un serviteur allié et inflige des dégâts équivalents à ses points d’attaque à tous les serviteurs adverses.,Rare,4,Spell,EX1_303,,,Warlock,,AffectedBySpellPower,,True,Dave Kendall,Choisissez d’abord un serviteur puissant puis balancez-lui un coup d’Ombreflamme ça réchauffera l’atmosphère !,,,,
Classic,Ombres de M’uru,,Ce serviteur a consumé les Boucliers divins et ses points d’Attaque et de Vie sont augmentés.,Common,,Enchantment,EX1_590e,,,,,,,,,,,,,
Classic,Onyxia,Neutral,<b>Cri de guerre :</b> invoque des dragonnets 1/1 jusqu’à remplir votre côté du plateau.,Legendary,9,Minion,EX1_562,8,8,,,Battlecry,,True,Dany Orizio,Onyxia a longtemps manipulé la cour de Hurlevent en se faisant passer pour dame Katrana Prestor. Les ailes immenses et les écailles auraient dû leur mettre la puce à l’oreille.,Dragon,True,,
Classic,Oracle froide-lumière,Neutral,<b>Cri de guerre :</b> chaque joueur pioche 2 cartes.,Rare,3,Minion,EX1_050,2,2,,,Battlecry,,True,Steve Prescott,Il peut prédire l’avenir. Bientôt les deux joueurs vont piocher des cartes. Ça fait peur...,Murloc,,,
Classic,Ordres de Vertepeau,,+1/+1.,,,Enchantment,NEW1_024o,,,,,,,,,,,,,
Classic,Pacte de sang,,Vie augmentée.,,,Enchantment,CS2_059o,,,Warlock,,,,,,,,,,
Classic,Panthère,,,Common,2,Minion,EX1_160t,3,2,Druid,,,,,,,Beast,,,
Classic,Panthère de la jungle,Horde,<b>Camouflage</b>,Common,3,Minion,EX1_017,4,2,,,Stealth,,True,Jaemin Kim,Strangleronce est un endroit magnifique où partir en vacances mais vous ne voudriez pas y vivre.,Beast,,,
Classic,Pas de l’ombre,Neutral,Renvoie un serviteur allié dans votre main. Il coûte (2) cristaux de moins.,Common,0,Spell,EX1_144,,,Rogue,,,,True,Graven Tung,Les troupes de voleurs font parfois un petit pas de l’ombre à la fin de leur performance le public adore ça !,,,,
Classic,Piège à serpents,Neutral,<b>Secret :</b> quand un de vos serviteurs est attaqué invoque trois serpents 1/1.,Epic,2,Spell,EX1_554,,,Hunter,,Secret,,True,Bernie Kang,Des serpents fallait que ce soit des serpents !,,,,
Classic,Piège explosif,Neutral,<b>Secret :</b> quand votre héros est attaqué inflige $2 |4(pointpoints) de dégâts à tous les adversaires.,Common,2,Spell,EX1_610,,,Hunter,,Secret,,True,Brandon Kitkouski,Il piège votre prochain repas et en plus il le rôtit !,,,,
Classic,Piège givrant,Neutral,<b>Secret :</b> quand un serviteur adverse attaque le renvoie dans la main de son propriétaire et il coûte désormais (2) cristaux de plus.,Common,2,Spell,EX1_611,,,Hunter,,Secret,,True,Matt Gaser,« Ça me laisse de glace. » Réponse appropriée à un Piège givrant ou à une mauvaise blague.,,,,
Classic,Plaie funeste,Neutral,Inflige $2 |4(pointpoints) de dégâts à un personnage. S’il est tué invoque un démon aléatoire.,Epic,5,Spell,EX1_320,,,Warlock,,,,True,Raymond Swanland,Mon conseil évitez ce destin funeste si possible.,,,,
Classic,Pointe mentale,,<b>Pouvoir héroïque</b>Inflige 2 points de dégâts.,,2,Hero Power,EX1_625t,,,Priest,,,,,,,,,,
Classic,Portail d’invocation,Neutral,Vos serviteurs coûtent (2) cristaux de moins mais jamais moinsde (1).,Common,4,Minion,EX1_315,0,4,Warlock,,Aura,,True,Tyler Walpole,JAMAIS MOINS DE 1 ! N’allez pas vous faire des idées !,,,,
Classic,Porte-bouclier,Neutral,<b>Provocation</b>,Common,1,Minion,EX1_405,0,4,,,Taunt,,True,Carl Critchlow,Vous avez vu la taille des boucliers dans ce jeu ? Ce n’est vraiment pas un travail facile.,,,,
Classic,Porte-cendres,,,Legendary,5,Weapon,EX1_383t,5,,Paladin,3,,,,,,,,,
Classic,Poulet furieux,,<b>Accès de rage :</b> +5 ATQ.,Rare,1,Minion,EX1_009,1,1,,,Enrage,,True,Mike Sass,Tais-toi tais-toi tais-toi la patte de poulet furieux satan hérétique !!!,Beast,,,
Classic,Préparation,Neutral,Le prochain sort que vous lancez pendant ce tour coûte (3) cristaux de moins.,Epic,0,Spell,EX1_145,,,Rogue,,,,True,Clint Langley,« Toujours prêt » - Devise des voleurs,,,,
Classic,Préparation,,Le prochain sort que vous lancez pendant ce tour coûte (3) cristaux de moins.,,,Enchantment,EX1_145o,,,Rogue,,OneTurnEffect,,,,,,,,
Classic,Prêtresse auchenaï,Neutral,Vos cartes et pouvoirs rendant de la Vie infligent désormais des dégâts à la place.,Rare,4,Minion,EX1_591,3,5,Priest,,Aura,,True,Doug Alexander,La fin des temps c’est maintenant ! ... Ou pas.,,,,
Classic,Prêtresse d’Élune,Neutral,<b>Cri de guerre :</b> rend 4 points de vie à votre héros.,Common,6,Minion,EX1_583,5,4,,,Battlecry,,True,Dan Scott,Si elle propose de vous montrer la « lune » méfiez-vous ce n’est pas du tout ce que vous imaginez.,,,,
Classic,Prêtresse de la Cabale,Neutral,<b>Cri de guerre :</b> prend le contrôle d’un serviteur adverse avec 2 en Attaque ou moins.,Epic,6,Minion,EX1_091,4,5,Priest,,Battlecry,,True,Chippy,Difficile de savoir qui travaille en secret pour la Cabale...,,,,
Classic,Pris au piège,,Sera <b>Gelé</b> à nouveau au début du tour suivant.,,,Enchantment,EX1_611e,,,Hunter,,,,,,,,,,
Classic,Prophète du Cercle terrestre,,<b>Cri de guerre :</b> rend 3 points de vie.,Common,3,Minion,CS2_117,3,3,,,Battlecry,,True,Alex Horley Orlandelli,Avant il faisait partie du Cercle des prophètes disparus mais on ne sait pas ce qu’ils sont devenus.,,,,
Classic,Prophète Velen,Neutral,Double les dégâts et les soins de vos sorts et de votre pouvoir héroïque.,Legendary,7,Minion,EX1_350,7,7,Priest,,,,True,Wei Wang,Il a été banni ses frères ont mal tourné mais à part ça il a vraiment tout pour être heureux.,,True,,
Classic,Protecteur d’Argent,Neutral,<b>Cri de guerre :</b> confère <b>Bouclier divin</b> à un serviteur allié.,Common,2,Minion,EX1_362,2,2,Paladin,,Battlecry,,True,Doug Alexander,« Je ne dis pas que tu peux éviter les boules de feu. Non. Ce que je veux dire c’est qu’avec ce bouclier tu ne les sentiras plus. »,,,,
Classic,Protectrice solfurie,Alliance,<b>Cri de guerre :</b> confère <b>Provocation</b> aux serviteurs adjacents.,Rare,2,Minion,EX1_058,2,3,,,Battlecry,,True,James Ryman,Elle porte un bouclier mais dès qu’elle peut elle le donne à quelqu’un d’autre et se planque derrière.,,,,
Classic,Puissance accablante,Neutral,Confère +4/+4 à un serviteur allié jusqu’à la fin du tour. Puis il meurt. De façon horrible.,Common,1,Spell,EX1_316,,,Warlock,,,,True,Tom Baxa,Impossible de décrire l’horreur de cette mort. Ce n’est VRAIMENT pas beau à voir. Pire encore. Ne le faites pas.,,,,
Classic,Puissance accablante,Neutral,Ce serviteur a +4/+4 mais il mourra de façon horrible à la fin du tour.,,,Enchantment,EX1_316e,,,Warlock,,,,,,,,,,
Classic,Puissance brute !,,Caractéristiques augmentées.,,,Enchantment,EX1_274e,,,Mage,,,,,,,,,,
Classic,Puissance du fauve,Neutral,<b>Choix des armes :</b>donne à vos serviteurs +1/+1 ou invoque une panthère 3/2.,Common,2,Spell,EX1_160,,,Druid,,,,True,Steve Tappin,Ne jamais regarder une panthère dans les yeux. Ou toujours la regarder dans les yeux ? C’est soit l’un soit l’autre.,,,,
Classic,Puissance du Kirin Tor,,Votre prochain Secret coûte (0).,,,Enchantment,EX1_612o,,,Mage,,OneTurnEffect,,,,,,,,
Classic,Puits de lumière,Neutral,Au début de votre tour rend 3 PV à un personnage allié blessé.,Rare,2,Minion,EX1_341,0,5,Priest,,,,True,Blizzard Entertainment,« Sur celui-ci pas besoin de cliquer ! » - Soltek,,,,
Classic,Pyromancien sauvage,,Après que vous avez lancé un sort inflige 1 point de dégâts à TOUS les serviteurs.,Rare,2,Minion,NEW1_020,3,2,,,,,True,Alex Horley Orlandelli,BOUM LE MONDE ENTIER FAIT BOUM TOUT L’UNIVERS FAIT BOUM PARC’QUE MON CŒUR FAIT BOUM BOUM.,,,,
Classic,Rage du combat,Neutral,Vous piochez une carte pour chaque personnage allié blessé.,Common,2,Spell,EX1_392,,,Warrior,,,,True,Alex Horley Orlandelli,« Ne me mettez pas en colère vous risqueriez de le regretter. »,,,,
Classic,Rage intérieure,,+2 Attaque.,,,Enchantment,EX1_607e,,,Warrior,,,,,,,,,,
Classic,Rage intérieure,Neutral,Inflige $1 |4(pointpoints) de dégâts à un serviteur et lui confère +2 ATQ.,Common,0,Spell,EX1_607,,,Warrior,,,,True,Slawomir Maniak,Ce n’est qu’un sourire de façade.,,,,
Classic,Rage sanguinaire,,Aucune perte de durabilité.,,,Enchantment,EX1_411e,,,Warrior,,,,,,,,,,
Classic,Ragnaros seigneur du feu,Neutral,Ne peut pas attaquer. À la fin de votre tour inflige 8 points de dégâts à un adversaire aléatoire.,Legendary,8,Minion,EX1_298,8,8,,,,,True,Greg Staples,Ragnaros a été invoqué par les nains sombrefers qui finirent par se retrouver esclaves du seigneur du feu. Invoquer Ragnaros a souvent des effets secondaires indésirables...,,True,,
Classic,Rampant des tourbières,Alliance,<b>Provocation</b>,Common,5,Minion,CS1_069,3,6,,,Taunt,,True,Monica Langlois,Autrefois on l’appelait la créature du marais mais on le confondait trop souvent avec l’<i>autre</i>... Alors il a changé de nom !,,,,
Classic,Rédemption,Neutral,<b>Secret :</b> quand un de vos serviteurs meurt il est ressuscité avec1 PV.,Common,1,Spell,EX1_136,,,Paladin,,Secret,,True,Ittoku,Ah t’es pas mort ! Très bien salut !,,,,
Classic,Rejeton de lumière,Neutral,L’Attaque de ce serviteur est toujours égale à sa Vie.,Common,4,Minion,EX1_335,0,5,Priest,,,,True,Daarken,Rejeton de lumière ou rejet d’onde lumière ?,,,,
Classic,Renforcement,,Vie augmentée.,,,Enchantment,NEW1_025e,,,,,,,,,,,,,
Classic,Repentir,,Points de vie réduits à 1.,,,Enchantment,EX1_379e,,,Paladin,,,,,,,,,,
Classic,Repentir,Neutral,<b>Secret :</b> quand votre adversaire joue un serviteur ses points de vie sont réduits à 1.,Common,1,Spell,EX1_379,,,Paladin,,Secret,,True,Gonzalo Ordonez,Les gens se repentent souvent au moment de disparaître. Comme c’est curieux.,,,,
Classic,Rêve,,Renvoie un serviteur dans la main de son propriétaire.,,0,Spell,DREAM_04,,,Dream,,,,,,,,,,
Classic,Réveil d’Ysera,,Inflige $5 |4(pointpoints) de dégâts à tous les personnages sauf Ysera.,,2,Spell,DREAM_02,,,Dream,,,,,,,,,,
Classic,Robot d’alarme,,Au début de votre tour échange ce serviteur avec un autre choisi au hasard dans votre main.,Rare,3,Minion,EX1_006,0,3,,,,,True,Sean O’Daniels,ALERTE. ALERTE. ALERTE.,Mech,,,
Classic,Roi Krush,Neutral,<b>Charge</b>,Legendary,9,Minion,EX1_543,8,8,Hunter,,Charge,,True,Alex Horley Orlandelli,Le meilleur moyen de se protéger contre Krush c’est de se cacher derrière quelqu’un qu’on n’aime pas.,Beast,True,,
Classic,Roi Mukla,,<b>Cri de guerre :</b> donne 2 bananes à votre adversaire.,Legendary,3,Minion,EX1_014,5,5,,,Battlecry,,True,Sunny Gho,Le roi Mukla s’est rendu sur l’île aux Jagueros pour trouver l’amour.,Beast,True,,
Classic,Saccager,Neutral,Confère +3/+3 à un serviteur blessé.,Common,2,Spell,CS2_104,,,Warrior,,,,True,Jonboy Meyers,Serviteur pas CONTENT ! Serviteur TOUT CASSER !,,,,
Classic,Saccager,,+3/+3.,,,Enchantment,CS2_104e,,,Warrior,,,,,,,,,,
Classic,Sang froid,,+4 ATQ.,,,Enchantment,CS2_073e2,,,Rogue,,,,,,,,,,
Classic,Sang froid,Neutral,Confère +2 ATQ à un serviteur. <b>Combo :</b> +4 ATQ à la place.,Common,1,Spell,CS2_073,,,Rogue,,Combo,,True,Alex Horley Orlandelli,Antisocial tu perds ton sang-froid !,,,,
Classic,Sang froid,,+2 ATQ.,,,Enchantment,CS2_073e,,,Rogue,,,,,,,,,,
Classic,Sauvagerie,Neutral,Inflige des dégâts d’un montant équivalent à l’Attaque de votre héros à un serviteur.,Rare,1,Spell,EX1_578,,,Druid,,AffectedBySpellPower,,True,Dave Rapoza,Même le plus timide des druides se transforme en bête sauvage quand on lui prend son miel.,,,,
Classic,Secrets anciens,,Rend 5 points de vie.,,,Spell,NEW1_008b,,,Druid,,,,,,,,,,
